#scan	iMeasureCycle=1	iMux=0	time=0.132	N=220	LocalTime=31/10/2023 13:20:47
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-30	-3.02671E-09	0.294854	-1E-06	2.34617E-09	0.294854
-30	-2.34408E-09	0.47154	0.1	1.76749E-09	0.47154
-30.0001	-2.03931E-09	0.647902	0.2	1.52069E-09	0.647902
-30.0001	-1.58129E-09	0.8429	0.3	1.10214E-09	0.8429
-30	-1.38927E-09	1.019289	0.4	9.4556E-10	1.019289
-30.0001	-1.2691E-09	1.19573	0.499999	8.5101E-10	1.19573
-30.0001	-1.16939E-09	1.404063	0.6	7.753E-10	1.404063
-30	-1.05473E-09	1.580336	0.699999	6.7647E-10	1.580336
-30.0001	-9.7724E-10	1.756645	0.799999	6.0999E-10	1.756645
-30	-9.4933E-10	1.932941	0.899999	5.8981E-10	1.932941
-30.0001	-9.4171E-10	2.10923	1	5.9283E-10	2.10923
-30.0001	-8.7362E-10	2.23042	1	5.3771E-10	2.23042
-30.0001	-8.0249E-10	2.410134	0.900001	4.707E-10	2.410134
-30.0001	-7.2687E-10	2.586576	0.800001	4.0432E-10	2.586576
-30	-6.9944E-10	2.76292	0.7	3.8252E-10	2.76292
-30	-6.5945E-10	2.939258	0.6	3.4478E-10	2.939258
-30.0001	-6.2655E-10	3.115493	0.499999	3.1407E-10	3.115493
-30	-5.8569E-10	3.291733	0.4	2.8076E-10	3.291733
-30	-5.3867E-10	3.469921	0.299999	2.4357E-10	3.469921
-30.0001	-5.2041E-10	3.646235	0.2	2.2664E-10	3.646235
-30.0001	-4.9881E-10	3.822514	0.099999	2.0818E-10	3.822514
-30	-4.6818E-10	4.007061	-1E-06	1.8118E-10	4.007061
-20.00001	4.03167E-09	4.183169	-4E-06	-3.8923E-09	4.183169
-20.00001	1.46872E-09	4.352138	0.1	6.31453E-09	4.352138
-20.00001	7.4071E-10	4.494866	0.2	1.2943E-08	4.494866
-20.00001	3.6713E-10	4.644687	0.3	1.72948E-08	4.644687
-20.00001	1.6478E-10	4.794591	0.399999	2.09195E-08	4.794591
-20.00001	4.467E-11	4.944685	0.499997	2.46009E-08	4.944685
-20.00001	-3.37E-11	5.094562	0.6	2.86725E-08	5.094562
-20	-9.059E-11	5.244397	0.699999	3.23961E-08	5.244397
-20	-1.3343E-10	5.396035	0.800002	3.58375E-08	5.396035
