#scan;iMeasureCycle=1;iMux=0;time=0.137;N=220;LocalTime=31/10/2023 13:29:10
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
-30;-1.92E-09;0.299809;-1.00E-06;1.36E-10;0.299809
-30;-1.48E-09;0.47648;0.099999;9.86E-11;0.47648
-30;-1.38E-09;0.652835;0.199999;8.25E-11;0.652835
-30.0001;-1.15E-09;0.847834;0.299999;6.06E-11;0.847834
-30.0001;-9.90E-10;1.024228;0.399999;7.40E-11;1.024228
-30;-9.67E-10;1.200431;0.5;6.40E-11;1.200431
-30;-8.90E-10;1.409135;0.6;5.51E-11;1.409135
-30.0001;-8.36E-10;1.585505;0.699999;5.43E-11;1.585505
-30.0001;-8.04E-10;1.761796;0.799999;5.87E-11;1.761796
-30;-7.31E-10;1.938122;0.9;5.80E-11;1.938122
-30;-6.63E-10;2.114471;0.999999;6.06E-11;2.114471
-30;-6.57E-10;2.235655;0.999999;4.93E-11;2.235655
-30.0001;-6.02E-10;2.419907;0.9;2.62E-11;2.419907
-30.0001;-5.41E-10;2.596198;0.800001;1.06E-11;2.596198
-30;-5.02E-10;2.772524;0.699999;-4.70E-12;2.772524
-30;-4.69E-10;2.948903;0.599999;-1.84E-11;2.948903
-30.0001;-4.48E-10;3.125322;0.499999;-3.72E-11;3.125322
-30.0001;-4.01E-10;3.30156;0.4;-5.11E-11;3.30156
-30.0001;-3.88E-10;3.479804;0.3;-5.67E-11;3.479804
-30;-3.74E-10;3.656118;0.2;-6.37E-11;3.656118
-30.0001;-3.65E-10;3.856814;0.099999;-5.00E-11;3.856814
-30;-3.31E-10;4.033119;0;-6.73E-11;4.033119
-20.00001;1.02E-10;4.209177;-1.00E-06;-8.17E-12;4.209177
-20.00001;-1.55E-11;4.422177;0.099999;-2.79E-12;4.422177
-20;-4.73E-11;4.59823;0.199999;-2.44E-12;4.59823
-20;-7.01E-11;4.774324;0.3;2.30E-13;4.774324
-20;-8.37E-11;4.950428;0.399999;1.22E-12;4.950428
-20.00001;-9.35E-11;5.126608;0.499999;1.85E-12;5.126608
-20.00001;-9.98E-11;5.302613;0.599999;2.90E-12;5.302613
-20.00001;-1.02E-10;5.47899;0.699999;3.31E-12;5.47899
-20.00001;-1.04E-10;5.655125;0.800001;4.19E-12;5.655125
-20.00001;-1.08E-10;5.831353;0.899999;4.74E-12;5.831353
-20.00001;-1.13E-10;6.018315;1;5.10E-12;6.018315
-20.00001;-1.08E-10;6.139544;1;3.62E-12;6.139544
-20.00001;-1.09E-10;6.315616;0.899999;2.51E-12;6.315616
-20;-1.12E-10;6.491818;0.799999;1.54E-12;6.491818
-20.00001;-1.15E-10;6.66793;0.7;1.23E-12;6.66793
-20;-1.14E-10;6.865819;0.6;1.31E-12;6.865819
-20;-1.15E-10;7.042036;0.5;-6.20E-13;7.042036
-20;-1.18E-10;7.218152;0.399999;2.30E-13;7.218152
-20.00001;-1.13E-10;7.431645;0.3;-1.13E-12;7.431645
-20;-1.15E-10;7.60793;0.199999;-1.29E-12;7.60793
-20;-1.17E-10;7.784092;0.099999;-1.60E-12;7.784092
-20;-1.18E-10;7.962237;0;-1.58E-12;7.962237
-10;5.85E-10;8.138318;0;-9.23E-12;8.138318
-10;3.75E-10;8.314371;0.100001;4.20E-13;8.314371
-10;2.80E-10;8.492577;0.2;1.08E-11;8.492577
-10;2.27E-10;8.668693;0.3;2.21E-11;8.668693
-10;1.89E-10;8.844806;0.4;3.40E-11;8.844806
-10.00001;1.65E-10;9.027369;0.499999;4.58E-11;9.027369
-10.00001;1.51E-10;9.203575;0.6;5.63E-11;9.203575
-10;1.34E-10;9.411988;0.699999;6.72E-11;9.411988
-10.00001;1.15E-10;9.588239;0.799999;8.00E-11;9.588239
-10;1.07E-10;9.764448;0.9;9.16E-11;9.764448
-10.00001;9.81E-11;9.941617;0.999999;9.46E-11;9.941617
-10.00001;9.15E-11;10.062827;0.999999;9.78E-11;10.062827
-10.00001;8.33E-11;10.239014;0.899999;8.68E-11;10.239014
-10.00001;7.41E-11;10.442771;0.799999;7.47E-11;10.442771
-10;7.63E-11;10.618897;0.7;5.85E-11;10.618897
-10.00001;6.97E-11;10.794983;0.599999;4.75E-11;10.794983
-10;6.93E-11;10.971127;0.499999;3.36E-11;10.971127
-10.00001;6.46E-11;11.147254;0.4;2.11E-11;11.147254
-10.00001;5.58E-11;11.323291;0.299999;1.16E-11;11.323291
-10.00001;4.83E-11;11.500004;0.2;7.58E-12;11.500004
-10.00001;4.02E-11;11.67612;0.1;1.67E-12;11.67612
-10;3.79E-11;11.852329;0;-2.52E-12;11.852329
4.80E-06;5.87E-09;12.035188;0;-1.07E-11;12.035188
1.20E-06;8.94E-10;12.183941;0.099999;7.26E-11;12.183941
1.00E-07;2.02E-10;12.380444;0.2;1.31E-10;12.380444
1.00E-07;1.45E-10;12.556529;0.299999;1.95E-10;12.556529
0;1.22E-10;12.732494;0.4;2.83E-10;12.732494
0;1.04E-10;12.945641;0.5;3.67E-10;12.945641
0;9.31E-11;13.121749;0.600001;4.66E-10;13.121749
0;8.45E-11;13.297718;0.7;5.48E-10;13.297718
-1.00E-07;7.81E-11;13.474076;0.8;6.60E-10;13.474076
0;7.30E-11;13.650196;0.9;7.98E-10;13.650196
1.00E-07;6.96E-11;13.826215;1;8.54E-10;13.826215
-3.00E-07;6.42E-11;13.947468;1;8.61E-10;13.947468
-3.00E-07;6.15E-11;14.123629;0.899999;5.92E-10;14.123629
-2.00E-07;5.69E-11;14.299694;0.8;6.12E-10;14.299694
2.00E-07;5.54E-11;14.475838;0.7;4.36E-10;14.475838
-1.00E-07;5.17E-11;14.651863;0.6;3.77E-10;14.651863
2.00E-07;4.96E-11;14.827883;0.499999;2.81E-10;14.827883
1.00E-07;4.59E-11;15.005296;0.399999;1.91E-10;15.005296
1.00E-07;4.39E-11;15.181351;0.3;1.14E-10;15.181351
0;4.27E-11;15.357293;0.199999;6.01E-11;15.357293
3.00E-07;4.00E-11;15.54457;0.099999;2.28E-11;15.54457
0;3.86E-11;15.720484;0;-2.26E-12;15.720484
10;3.53E-10;15.92977;0;-5.00E-14;15.92977
10;2.57E-10;16.105903;0.099999;8.99E-10;16.105903
10;2.13E-10;16.281926;0.2;1.56E-09;16.281926
9.99999;1.89E-10;16.462256;0.300001;2.04E-09;16.462256
10;1.70E-10;16.638298;0.4;2.50E-09;16.638298
9.99999;1.59E-10;16.814367;0.499999;2.95E-09;16.814367
9.99999;1.52E-10;16.991407;0.6;3.23E-09;16.991407
9.99999;1.46E-10;17.167565;0.699999;3.38E-09;17.167565
9.99999;1.40E-10;17.343635;0.799999;4.12E-09;17.343635
9.99999;1.32E-10;17.519903;0.899999;4.75E-09;17.519903
9.99999;1.26E-10;17.695978;0.999999;5.07E-09;17.695978
9.99999;1.25E-10;17.817208;0.999998;4.85E-09;17.817208
9.99999;1.21E-10;17.993259;0.899999;4.06E-09;17.993259
10;1.19E-10;18.169389;0.8;3.34E-09;18.169389
10;1.14E-10;18.345414;0.700001;2.90E-09;18.345414
9.99999;1.09E-10;18.523435;0.6;2.18E-09;18.523435
10;1.07E-10;18.699517;0.499999;1.80E-09;18.699517
10;1.02E-10;18.898029;0.4;1.31E-09;18.898029
9.99999;1.02E-10;19.074201;0.299999;9.71E-10;19.074201
10;1.03E-10;19.250341;0.2;6.31E-10;19.250341
10;1.00E-10;19.460085;0.100001;3.12E-10;19.460085
9.99999;9.77E-11;19.63608;-1.00E-06;2.80E-13;19.63608
20;4.74E-10;19.812219;0;5.05E-11;19.812219
19.99999;3.52E-10;19.988416;0.099999;7.61E-09;19.988416
20;3.10E-10;20.158584;0.2;1.37E-08;20.158584
19.99999;2.86E-10;20.308519;0.300002;1.92E-08;20.308519
20;2.67E-10;20.458598;0.399999;2.41E-08;20.458598
19.99999;2.54E-10;20.608463;0.499999;2.87E-08;20.608463
20;2.43E-10;20.758305;0.599999;3.26E-08;20.758305
19.99999;2.31E-10;20.945331;0.699998;3.65E-08;20.945331
20;2.26E-10;21.095135;0.799996;3.96E-08;21.095135
20;2.21E-10;21.24496;0.899996;4.12E-08;21.24496
20;2.14E-10;21.416171;0.999999;4.51E-08;21.416171
