#scan;iMeasureCycle=1;iMux=0;time=0.133;N=482;LocalTime=31/10/2023 13:26:53;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;IDrain^1/2
-60;-5.37E-09;0.293628;1;2.19E-11;0.293628;;4.67974E-06
-59.5;-3.14E-09;0.470574;1;-7.10E-11;0.470574;;0
-59.0001;-2.55E-09;0.647146;0.999999;-5.63E-11;0.647146;;0
-58.5001;-1.99E-09;0.841593;1;-3.68E-11;0.841593;;0
-58.0001;-1.59E-09;1.018415;0.999999;-6.69E-11;1.018415;;0
-57.5;-1.32E-09;1.195023;1;-8.26E-11;1.195023;;0
-57.0001;-1.21E-09;1.407861;0.999999;-4.53E-11;1.407861;;0
-56.5001;-1.02E-09;1.584666;1;-7.14E-11;1.584666;;0
-56;-8.95E-10;1.76113;1;-7.82E-11;1.76113;;0
-55.5001;-7.70E-10;1.937743;0.999999;-1.04E-10;1.937743;;0
-55.0001;-6.54E-10;2.114323;1;-7.58E-11;2.114323;;0
-54.5;-5.81E-10;2.290945;0.999999;-7.88E-11;2.290945;;0
-54;-5.69E-10;2.469259;1.000001;-5.56E-11;2.469259;;0
-53.5001;-4.99E-10;2.645778;0.999999;-7.29E-11;2.645778;;0
-53;-4.55E-10;2.847156;0.999999;-4.86E-11;2.847156;;0
-52.5001;-4.11E-10;3.023911;1;-2.75E-11;3.023911;;0
-52;-2.93E-10;3.200472;1;-5.27E-11;3.200472;;0
-51.5;-2.02E-10;3.41328;0.999999;-2.85E-11;3.41328;;0
-51.0001;-2.63E-11;3.589959;0.999999;-5.38E-11;3.589959;;0
-50.5;9.79E-11;3.766398;1;-5.13E-11;3.766398;;0
-50;6.91E-11;3.942914;0.999999;-6.91E-11;3.942914;;0
-49.5001;-1.34E-10;4.119484;1;-4.28E-11;4.119484;;0
-49.0001;-2.25E-10;4.295927;0.999999;-4.72E-11;4.295927;;0
-48.5001;-2.92E-10;4.47457;1;-3.43E-11;4.47457;;0
-48;-3.14E-10;4.651174;1;-2.99E-11;4.651174;;0
-47.5001;-3.50E-10;4.852673;1;-3.78E-11;4.852673;;0
-47;-3.42E-10;5.029338;1.000001;-3.64E-11;5.029338;;0
-46.5;-3.32E-10;5.205749;1;-3.16E-11;5.205749;;0
-46;-3.61E-10;5.414461;1;-7.54E-12;5.414461;;0
-45.5;-3.33E-10;5.591187;0.999999;-2.16E-11;5.591187;;0
-45.0001;-3.34E-10;5.767643;1;-1.15E-11;5.767643;;0
-44.5001;-3.29E-10;5.944206;0.999999;-6.96E-12;5.944206;;0
-44.0001;-3.32E-10;6.120797;0.999999;2.34E-12;6.120797;;1.52971E-06
-43.5001;-3.09E-10;6.297344;1;-1.97E-12;6.297344;;0
-43.0001;-2.96E-10;6.47379;1;-2.62E-12;6.47379;;0
-42.5;-3.05E-10;6.650327;0.999999;2.75E-12;6.650327;;1.65831E-06
-42.0001;-2.86E-10;6.826674;0.999999;-2.85E-12;6.826674;;0
-41.5001;-2.75E-10;7.014551;1;8.00E-13;7.014551;;8.94427E-07
-41;-2.77E-10;7.190997;1;4.05E-12;7.190997;;2.01246E-06
-40.5;-2.62E-10;7.399065;1.000001;1.04E-12;7.399065;;1.0198E-06
-40;-2.47E-10;7.57551;1;-2.55E-12;7.57551;;0
-39.5001;-2.45E-10;7.751898;1.000001;3.30E-13;7.751898;;5.74456E-07
-39.0001;-2.31E-10;7.928907;0.999999;1.00E-13;7.928907;;3.16228E-07
-38.5001;-2.05E-10;8.105371;0.999999;-2.71E-12;8.105371;;0
-38.0001;-1.97E-10;8.281834;0.999999;-9.20E-13;8.281834;;0
-37.5001;-1.95E-10;8.459969;0.999999;1.03E-12;8.459969;;1.01489E-06
-37.0001;-1.89E-10;8.636387;0.999999;5.56E-12;8.636387;;2.35797E-06
-36.5001;-1.54E-10;8.812752;1;-7.50E-13;8.812752;;0
-36.0001;-1.43E-10;8.991045;0.999999;2.04E-12;8.991045;;1.42829E-06
-35.5;-1.36E-10;9.167304;0.999999;5.56E-12;9.167304;;2.35797E-06
-35;-1.05E-10;9.365102;0.999999;2.90E-12;9.365102;;1.70294E-06
-34.5;-9.90E-11;9.541547;0.999999;6.52E-12;9.541547;;2.55343E-06
-34;-7.75E-11;9.717982;0.999999;5.32E-12;9.717982;;2.30651E-06
-33.5;-5.71E-11;9.926594;1;4.04E-12;9.926594;;2.00998E-06
-33.0001;-3.62E-11;10.102919;0.999999;7.34E-12;10.102919;;2.70924E-06
-32.5;-6.82E-12;10.279398;0.999999;9.40E-12;10.279398;;3.06594E-06
-32;3.00E-11;10.455674;1;8.90E-12;10.455674;;2.98329E-06
-31.5001;7.36E-11;10.632415;1;8.84E-12;10.632415;;2.97321E-06
-31.0001;1.01E-10;10.808665;1;4.55E-12;10.808665;;2.13307E-06
-30.5;1.61E-10;10.987365;0.999999;6.03E-12;10.987365;;2.45561E-06
-30;1.78E-10;11.163697;0.999999;9.42E-12;11.163697;;3.0692E-06
-29.5001;2.24E-10;11.340109;0.999999;1.22E-11;11.340109;;3.49285E-06
-29.0001;2.12E-10;11.526949;1;1.13E-11;11.526949;;3.36155E-06
-28.5001;2.44E-10;11.703275;1;1.53E-11;11.703275;;3.91152E-06
-28.0001;2.98E-10;11.91147;0.999999;1.61E-11;11.91147;;4.01248E-06
-27.5;3.12E-10;12.087828;1;1.42E-11;12.087828;;3.76829E-06
-27.0001;3.32E-10;12.264392;0.999999;1.72E-11;12.264392;;4.14729E-06
-26.5;4.18E-10;12.441285;1;1.59E-11;12.441285;;3.98748E-06
-26.0001;3.86E-10;12.61767;1;1.94E-11;12.61767;;4.40454E-06
-25.5;4.24E-10;12.793839;1.000001;2.34E-11;12.793839;;4.83735E-06
-25.0001;4.70E-10;12.972471;1;2.34E-11;12.972471;;4.83735E-06
-24.5001;5.10E-10;13.148728;0.999999;2.96E-11;13.148728;;5.44059E-06
-24;5.37E-10;13.324942;1;2.86E-11;13.324942;;5.3479E-06
-23.5;5.79E-10;13.503568;1;3.62E-11;13.503568;;6.01664E-06
-23.0001;6.12E-10;13.679809;1.000001;3.10E-11;13.679809;;5.56776E-06
-22.5001;6.24E-10;13.877619;1.000001;3.88E-11;13.877619;;6.22896E-06
-22;6.71E-10;14.053991;0.999999;4.01E-11;14.053991;;6.33246E-06
-21.5;6.67E-10;14.230302;1.000001;4.61E-11;14.230302;;6.7897E-06
-21;6.85E-10;14.439072;0.999999;5.24E-11;14.439072;;7.23878E-06
-20.5;6.90E-10;14.615395;1;5.31E-11;14.615395;;7.28697E-06
-20.0001;7.00E-10;14.791413;0.999999;5.70E-11;14.791413;;7.54983E-06
-19.5;7.92E-10;14.967639;1;6.74E-11;14.967639;;8.20975E-06
-19.0001;8.62E-10;15.143799;1;7.79E-11;15.143799;;8.8261E-06
-18.5;8.69E-10;15.319985;1;8.89E-11;15.319985;;9.42868E-06
-18.0001;8.77E-10;15.496664;1;9.49E-11;15.496664;;9.74166E-06
-17.5;8.54E-10;15.672775;1;9.12E-11;15.672775;;9.54987E-06
-17;8.02E-10;15.848743;1.000001;9.93E-11;15.848743;;9.96494E-06
-16.5;7.18E-10;16.039182;1;1.08E-10;16.039182;;1.03923E-05
-16;6.65E-10;16.215326;0.999999;1.23E-10;16.215326;;1.10905E-05
-15.5;5.16E-10;16.42438;1;1.37E-10;16.42438;;1.17047E-05
-15;4.93E-10;16.600484;1;1.39E-10;16.600484;;1.17898E-05
