#scan;iMeasureCycle=1;iMux=0;time=0.138;N=482;LocalTime=31/10/2023 13:55:27;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;Idrain^1/2
-60.0001;-3.70E-09;0.298785;1;1.95E-09;0.298785;;4.41588E-05
-59.5001;-3.00E-09;0.475706;1;1.41E-09;0.475706;;3.755E-05
-59.0001;-2.41E-09;0.652214;1;9.53E-10;0.652214;;3.08707E-05
-58.5001;-2.25E-09;0.846468;0.999999;9.19E-10;0.846468;;3.0315E-05
-58.0001;-2.24E-09;1.023094;0.999999;9.92E-10;1.023094;;3.1496E-05
-57.5;-2.17E-09;1.199886;0.999999;9.93E-10;1.199886;;3.15119E-05
-57.0001;-2.10E-09;1.412836;0.999999;1.00E-09;1.412836;;3.16228E-05
-56.5001;-1.95E-09;1.58964;0.999999;8.99E-10;1.58964;;2.99833E-05
-56;-1.81E-09;1.766334;1;8.14E-10;1.766334;;2.85307E-05
-55.5001;-1.85E-09;1.942881;0.999999;8.95E-10;1.942881;;2.99166E-05
-55;-1.71E-09;2.119598;1;7.98E-10;2.119598;;2.82489E-05
-54.5001;-1.62E-09;2.296192;0.999999;7.49E-10;2.296192;;2.73679E-05
-54;-1.58E-09;2.474989;0.999999;7.27E-10;2.474989;;2.69629E-05
-53.5001;-1.51E-09;2.651428;1;6.96E-10;2.651428;;2.63818E-05
-53.0001;-1.42E-09;2.852011;1;6.27E-10;2.852011;;2.504E-05
-52.5;-1.32E-09;3.028523;0.999999;5.72E-10;3.028523;;2.39165E-05
-52;-1.30E-09;3.205212;1;5.70E-10;3.205212;;2.38747E-05
-51.5;-1.29E-09;3.413721;0.999999;5.85E-10;3.413721;;2.41868E-05
-51;-1.25E-09;3.590452;1;5.62E-10;3.590452;;2.37065E-05
-50.5;-1.19E-09;3.767024;1;5.27E-10;3.767024;;2.29565E-05
-50;-1.17E-09;3.94349;1;5.30E-10;3.94349;;2.30217E-05
