#scan	iMeasureCycle=1	iMux=0	time=0.135	N=482	LocalTime=31/10/2023 14:12:58
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-60	-4.99581E-09	0.29557	0.0500004	3.03126E-09	0.29557
-59.5001	-4.16397E-09	0.472542	0.0500006	2.454E-09	0.472542
-59.0001	-3.6326E-09	0.649125	0.0500005	2.08935E-09	0.649125
-58.5001	-3.17257E-09	0.843029	0.0500002	1.77379E-09	0.843029
-58.0001	-2.84116E-09	1.020749	0.0499998	1.54805E-09	1.020749
-57.5	-2.60315E-09	1.197239	0.0500002	1.38885E-09	1.197239
-57.0001	-2.37463E-09	1.411007	0.0500004	1.2363E-09	1.411007
-56.5001	-2.16444E-09	1.587705	0.0499996	1.09775E-09	1.587705
-56.0001	-2.01978E-09	1.764216	0.0500002	1.00681E-09	1.764216
-55.5001	-1.87225E-09	1.943387	0.0499999	9.0995E-10	1.943387
-55	-1.76685E-09	2.120062	0.0500001	8.4109E-10	2.120062
-54.5001	-1.66912E-09	2.296616	0.0499998	7.7897E-10	2.296616
-54.0001	-1.56998E-09	2.475101	0.0500003	7.2136E-10	2.475101
-53.5	-1.47742E-09	2.651942	0.0500002	6.6895E-10	2.651942
-53.0001	-1.39614E-09	2.84853	0.0499998	6.191E-10	2.84853
-52.5	-1.31166E-09	3.025279	0.0499998	5.6595E-10	3.025279
-52	-1.26105E-09	3.201944	0.0499996	5.3882E-10	3.201944
-51.5001	-1.19385E-09	3.414893	0.0500001	4.9389E-10	3.414893
-51.0001	-1.12313E-09	3.591625	0.0500004	4.5672E-10	3.591625
-50.5	-1.07364E-09	3.768183	0.0499997	4.268E-10	3.768183
-50	-1.01285E-09	3.944879	0.05	3.8575E-10	3.944879
-49.5001	-9.5489E-10	4.122285	0.0499999	3.4704E-10	4.122285
-49.0001	-8.7251E-10	4.298849	0.0500001	2.8629E-10	4.298849
-48.5	-7.6702E-10	4.477215	0.0500002	2.0039E-10	4.477215
-48.0001	-6.1297E-10	4.65369	0.0499997	6.173E-11	4.65369
-47.5	-4.9523E-10	4.855127	0.0500002	-3.579E-11	4.855127
-47.0001	-3.1294E-10	5.031668	0.0499999	-1.9823E-10	5.031668
-46.5	-2.7119E-10	5.208111	0.0499995	-2.2858E-10	5.208111
-46.0001	-4.9105E-10	5.421206	0.0499998	2.17E-12	5.421206
-45.5	-5.9875E-10	5.597853	0.0499999	1.2884E-10	5.597853
-45.0001	-6.6876E-10	5.774325	0.05	2.1427E-10	5.774325
-44.5001	-6.782E-10	5.950925	0.0499999	2.3505E-10	5.950925
-44	-6.5626E-10	6.127389	0.0499998	2.2532E-10	6.127389
-43.5001	-6.27E-10	6.304012	0.0500002	2.1129E-10	6.304012
-43.0001	-6.0741E-10	6.48269	0.0499998	2.0209E-10	6.48269
-42.5	-5.922E-10	6.659134	0.0500003	1.97E-10	6.659134
-42.0001	-5.7105E-10	6.859678	0.0500001	1.8754E-10	6.859678
-41.4999	-5.6261E-10	7.036242	0.0499999	1.8824E-10	7.036242
-41.0001	-5.258E-10	7.21255	0.0499996	1.6794E-10	7.21255
-40.5	-5.1043E-10	7.425518	0.0500004	1.629E-10	7.425518
-40	-4.9486E-10	7.601912	0.0500001	1.5677E-10	7.601912
-39.5	-4.7551E-10	7.77832	0.05	1.4916E-10	7.77832
-39.0001	-4.6591E-10	7.954747	0.0500005	1.4699E-10	7.954747
-38.5	-4.4999E-10	8.13108	0.05	1.404E-10	8.13108
-38.0001	-4.2885E-10	8.30749	0.0500003	1.317E-10	8.30749
-37.5	-4.2275E-10	8.484002	0.0499997	1.3025E-10	8.484002
-37	-3.9727E-10	8.660356	0.0500005	1.2015E-10	8.660356
-36.5	-3.8308E-10	8.836774	0.05	1.1395E-10	8.836774
-36.0001	-3.7128E-10	9.021574	0.0499999	1.105E-10	9.021574
-35.5001	-3.5662E-10	9.19778	0.0499997	1.049E-10	9.19778
-35.0001	-3.4878E-10	9.40629	0.0499998	1.0083E-10	9.40629
-34.5	-3.4226E-10	9.582703	0.0499997	1.0182E-10	9.582703
-34.0001	-3.2836E-10	9.759152	0.0499996	9.61E-11	9.759152
-33.5001	-3.128E-10	9.936686	0.0499995	8.835E-11	9.936686
-33.0001	-2.9515E-10	10.112944	0.0499996	8.197E-11	10.112944
-32.5001	-2.8844E-10	10.289332	0.0500002	8.071E-11	10.289332
-32.0001	-2.7914E-10	10.468065	0.0500005	7.719E-11	10.468065
-31.5	-2.673E-10	10.644393	0.05	7.321E-11	10.644393
-31	-2.5895E-10	10.820702	0.0500002	7.032E-11	10.820702
-30.5001	-2.4076E-10	10.998953	0.0499998	6.176E-11	10.998953
-30	-2.3049E-10	11.175334	0.0499998	5.806E-11	11.175334
-29.5001	-2.1939E-10	11.372062	0.0500008	5.331E-11	11.372062
-29.0001	-2.1165E-10	11.548432	0.0500001	5.245E-11	11.548432
-28.5001	-1.937E-10	11.724725	0.0499998	4.258E-11	11.724725
-28.0001	-1.9125E-10	11.934001	0.0500001	4.311E-11	11.934001
-27.5	-1.8844E-10	12.110245	0.0500002	4.402E-11	12.110245
-27.0001	-1.6582E-10	12.286454	0.0499992	3.243E-11	12.286454
-26.5001	-1.5679E-10	12.462814	0.0500003	2.978E-11	12.462814
-26.0001	-1.4885E-10	12.639178	0.0499997	2.726E-11	12.639178
-25.5	-1.4265E-10	12.815346	0.0499999	2.568E-11	12.815346
-25	-1.2089E-10	12.992063	0.05	1.489E-11	12.992063
-24.5001	-1.1714E-10	13.16827	0.0499997	1.439E-11	13.16827
-24.0001	-1.1237E-10	13.344557	0.0499998	1.423E-11	13.344557
-23.5	-1.013E-10	13.5337	0.05	8.56E-12	13.5337
-23.0001	-9.145E-11	13.709985	0.0499998	4.44E-12	13.709985
-22.5001	-8.854E-11	13.914744	0.05	3.01E-12	13.914744
-22	-6.7E-11	14.091069	0.0499999	-7.97E-12	14.091069
-21.5	-6.287E-11	14.267434	0.0500001	-8.63E-12	14.267434
-21.0001	-5.329E-11	14.448419	0.0499995	-1.388E-11	14.448419
-20.5001	-3.433E-11	14.624689	0.05	-2.354E-11	14.624689
-20	-2.274E-11	14.800764	0.0499999	-3.088E-11	14.800764
-19.5001	-1.787E-11	14.97705	0.0500001	-3.41E-11	14.97705
-19.0001	8.6E-13	15.153164	0.0499998	-4.573E-11	15.153164
-18.5	2.213E-11	15.329212	0.0499999	-6.018E-11	15.329212
-18	3.265E-11	15.507288	0.0500002	-6.853E-11	15.507288
-17.5001	6.372E-11	15.683431	0.0500002	-9.041E-11	15.683431
-17	7.43E-11	15.884426	0.0500004	-1.0071E-10	15.884426
-16.5	1.0374E-10	16.060515	0.05	-1.2162E-10	16.060515
-16	1.2306E-10	16.236523	0.0499999	-1.374E-10	16.236523
-15.5	1.4523E-10	16.450495	0.05	-1.5764E-10	16.450495
-15.0001	1.7837E-10	16.626626	0.0499999	-1.8391E-10	16.626626
-14.4999	2.0358E-10	16.80273	0.0500004	-2.0772E-10	16.80273
-14	2.4377E-10	16.978996	0.0500002	-2.4189E-10	16.978996
-13.5	2.8894E-10	17.155066	0.05	-2.7985E-10	17.155066
-13.0001	3.3044E-10	17.331158	0.0499999	-3.1514E-10	17.331158
-12.5	3.7474E-10	17.507856	0.0499997	-3.5621E-10	17.507856
-12.0001	4.3042E-10	17.68401	0.0500003	-4.065E-10	17.68401
-11.5001	4.8519E-10	17.860025	0.05	-4.609E-10	17.860025
