#scan	iMeasureCycle=1	iMux=0	time=0.153	N=482	LocalTime=31/10/2023 14:05:21
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-60	-4.93757E-09	0.313819	1.000001	3.02255E-09	0.313819
-59.5001	-4.09028E-09	0.49074	0.999999	2.41694E-09	0.49074
-59.0001	-3.50452E-09	0.667408	0.999999	1.98712E-09	0.667408
-58.5	-3.07745E-09	0.861399	0.999999	1.69866E-09	0.861399
-58.0001	-2.72169E-09	1.038051	1	1.4327E-09	1.038051
-57.5	-2.43448E-09	1.214729	0.999999	1.2244E-09	1.214729
-57	-2.21093E-09	1.423386	1	1.06908E-09	1.423386
-56.5001	-1.98592E-09	1.600065	1	9.0063E-10	1.600065
-56	-1.83401E-09	1.776531	1	7.949E-10	1.776531
-55.5001	-1.66554E-09	1.953076	0.999999	6.7472E-10	1.953076
-55.0001	-1.54491E-09	2.129656	1	5.9729E-10	2.129656
-54.5001	-1.45884E-09	2.306107	1	5.4623E-10	2.306107
-54	-1.42789E-09	2.48279	1	5.5277E-10	2.48279
-53.5	-1.30681E-09	2.65941	1	4.6948E-10	2.65941
-53.0001	-1.24892E-09	2.835945	0.999999	4.4021E-10	2.835945
-52.5	-1.17321E-09	3.023295	1	3.8864E-10	3.023295
-52	-1.10898E-09	3.199827	1.000001	3.5766E-10	3.199827
-51.5001	-1.08728E-09	3.407615	0.999999	3.6334E-10	3.407615
-51.0001	-1.01191E-09	3.5841	0.999999	3.0994E-10	3.5841
-50.5	-9.7326E-10	3.760643	0.999999	2.9866E-10	3.760643
-50.0001	-9.5558E-10	3.937826	1	3.0165E-10	3.937826
-49.5001	-9.4626E-10	4.114407	1	3.1908E-10	4.114407
-49	-9.5173E-10	4.291013	0.999999	3.3999E-10	4.291013
-48.5	-9.5029E-10	4.469857	0.999999	3.5529E-10	4.469857
-48	-9.1768E-10	4.646437	0.999999	3.4438E-10	4.646437
-47.5	-8.8268E-10	4.822837	0.999999	3.2911E-10	4.822837
-47	-8.5667E-10	5.001617	0.999999	3.1796E-10	5.001617
-46.5	-8.2315E-10	5.17807	1	3.0174E-10	5.17807
-46.0001	-8.0073E-10	5.373737	0.999999	2.9138E-10	5.373737
-45.5	-7.6182E-10	5.550376	1	2.7045E-10	5.550376
-45.0001	-7.3493E-10	5.726811	1	2.5892E-10	5.726811
-44.5001	-7.0582E-10	5.935802	1.000001	2.4556E-10	5.935802
-44.0001	-6.8455E-10	6.112232	1	2.3651E-10	6.112232
-43.5	-6.6597E-10	6.288702	1	2.2949E-10	6.288702
-43.0001	-6.3377E-10	6.465193	0.999999	2.1524E-10	6.465193
-42.4999	-6.1378E-10	6.641807	0.999999	2.094E-10	6.641807
-42	-5.9579E-10	6.818123	1	2.0314E-10	6.818123
-41.5001	-5.7817E-10	6.994917	1	1.9385E-10	6.994917
-41	-5.5546E-10	7.171364	1	1.8594E-10	7.171364
-40.5	-5.3446E-10	7.347809	1	1.739E-10	7.347809
-40.0001	-5.1993E-10	7.536575	0.999999	1.6882E-10	7.536575
-39.5	-5.0569E-10	7.758899	0.999999	1.6253E-10	7.758899
-39	-4.8243E-10	7.94841	1	1.5294E-10	7.94841
-38.5001	-4.6226E-10	8.124764	0.999999	1.4684E-10	8.124764
-38	-4.4255E-10	8.301341	0.999999	1.3862E-10	8.301341
-37.5	-4.2717E-10	8.48004	0.999999	1.3188E-10	8.48004
-37	-4.2156E-10	8.65658	1	1.3219E-10	8.65658
-36.5	-3.9862E-10	8.83281	1	1.2254E-10	8.83281
-36	-3.8273E-10	9.011036	1	1.1551E-10	9.011036
-35.5001	-3.7066E-10	9.187348	0.999999	1.1234E-10	9.187348
-35	-3.5007E-10	9.386041	0.999999	1.0206E-10	9.386041
-34.5001	-3.4676E-10	9.562545	1.000001	1.0242E-10	9.562545
-34	-3.3122E-10	9.738856	1	9.697E-11	9.738856
-33.5	-3.1243E-10	9.951801	1.000001	8.807E-11	9.951801
-33	-2.9827E-10	10.128139	0.999999	8.454E-11	10.128139
-32.5	-2.8455E-10	10.304605	1	7.942E-11	10.304605
-32	-2.7473E-10	10.481006	0.999999	7.673E-11	10.481006
-31.5	-2.6419E-10	10.657341	1.000001	7.388E-11	10.657341
-31.0001	-2.5366E-10	10.833635	1	7.023E-11	10.833635
-30.5	-2.4006E-10	11.010215	0.999999	6.479E-11	11.010215
-30.0001	-2.3286E-10	11.186667	0.999999	6.213E-11	11.186667
-29.5001	-2.119E-10	11.362891	1	5.27E-11	11.362891
-29	-2.0943E-10	11.547934	1	5.358E-11	11.547934
-28.5	-1.9903E-10	11.724135	1	4.963E-11	11.724135
-28	-1.8315E-10	11.928411	1	4.158E-11	11.928411
-27.5001	-1.7085E-10	12.104777	1.000001	3.704E-11	12.104777
-27.0001	-1.6179E-10	12.281014	1	3.53E-11	12.281014
-26.5	-1.4761E-10	12.45818	0.999999	2.932E-11	12.45818
-26.0001	-1.4106E-10	12.634541	1	2.781E-11	12.634541
-25.5	-1.2997E-10	12.810747	1.000001	2.341E-11	12.810747
-25	-1.1615E-10	12.98703	0.999999	1.855E-11	12.98703
-24.5001	-1.0373E-10	13.163227	1.000001	1.197E-11	13.163227
-24	-1.0163E-10	13.339594	1	1.299E-11	13.339594
-23.5001	-9.377E-11	13.516131	0.999999	1.05E-11	13.516131
-23.0001	-8.455E-11	13.692487	0.999999	6.83E-12	13.692487
-22.5001	-7.252E-11	13.868714	1	1.01E-12	13.868714
-22.0001	-5.827E-11	14.054739	0.999999	-6.35E-12	14.054739
-21.5001	-4.357E-11	14.23097	1	-1.364E-11	14.23097
-21	-4.08E-11	14.435357	1	-1.62E-11	14.435357
-20.5001	-1.087E-11	14.611613	1	-3.409E-11	14.611613
-20	-8.7E-13	14.787727	1	-3.955E-11	14.787727
-19.5001	1.741E-11	14.96506	0.999999	-5.182E-11	14.96506
-19.0001	3.449E-11	15.141112	1	-6.357E-11	15.141112
-18.5001	5.122E-11	15.317239	1	-7.571E-11	15.317239
-18	7.414E-11	15.493351	0.999999	-9.269E-11	15.493351
-17.5001	9.443E-11	15.669516	0.999999	-1.0871E-10	15.669516
-17.0001	1.2341E-10	15.845495	1	-1.3091E-10	15.845495
-16.5	1.4942E-10	16.022038	1	-1.5281E-10	16.022038
-16	1.8887E-10	16.198131	1	-1.834E-10	16.198131
-15.5	2.1531E-10	16.374171	1	-2.0691E-10	16.374171
-15.0001	2.5611E-10	16.561564	1.000001	-2.3951E-10	16.561564
-14.4999	3.0355E-10	16.737903	1.000001	-2.7866E-10	16.737903
-14	3.4785E-10	16.946421	1	-3.1483E-10	16.946421
-13.5	4.1376E-10	17.122581	0.999999	-3.6002E-10	17.122581
-13.0001	4.9972E-10	17.298661	1	-4.207E-10	17.298661
-12.5	5.9552E-10	17.476457	1	-4.8268E-10	17.476457
-12	7.0189E-10	17.652569	1	-5.5794E-10	17.652569
-11.5001	8.2502E-10	17.828625	0.999999	-6.3227E-10	17.828625
-11	9.7801E-10	18.004912	1	-7.2494E-10	18.004912
-10.5	1.10031E-09	18.181058	0.999999	-7.9555E-10	18.181058
-10.0001	1.26121E-09	18.357073	0.999999	-9.1013E-10	18.357073
-9.5001	1.43152E-09	18.535151	0.999999	-1.01355E-09	18.535151
-9	1.64505E-09	18.711417	1	-1.12972E-09	18.711417
-8.5001	1.83045E-09	18.912309	1	-1.23804E-09	18.912309
-8.0001	2.06519E-09	19.088542	1	-1.35374E-09	19.088542
-7.5	2.2401E-09	19.264777	1	-1.47689E-09	19.264777
-7.0001	2.44353E-09	19.47395	1.000001	-1.5961E-09	19.47395
-6.5001	2.63422E-09	19.650067	0.999998	-1.71612E-09	19.650067
-6.0001	2.71097E-09	19.826096	1	-1.80518E-09	19.826096
-5.5	2.4858E-09	20.002341	0.999999	-1.88348E-09	20.002341
-5.0001	2.07366E-09	20.178466	1	-1.91805E-09	20.178466
-4.5001	1.97003E-09	20.35452	0.999998	-1.85331E-09	20.35452
-4.0001	1.82965E-09	20.53129	0.999999	-1.72266E-09	20.53129
-3.5001	1.64187E-09	20.707452	0.999999	-1.53745E-09	20.707452
