#scan	iMeasureCycle=1	iMux=0	time=0.139	N=16	LocalTime=31/10/2023 16:05:18
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-60	-9.8235E-10	0.299761	1	1.566E-11	0.299761
-59.5001	-8.5487E-10	0.476692	0.999999	1.329E-11	0.476692
-59.0001	-7.6223E-10	0.653212	1	9.37E-12	0.653212
-58.5001	-6.6618E-10	0.847713	0.999999	3.09E-12	0.847713
-58.0001	-6.3097E-10	1.024533	0.999999	6.77E-12	1.024533
-57.5	-5.8841E-10	1.20112	0.999999	4.13E-12	1.20112
-57	-5.3125E-10	1.41399	1	9.4E-13	1.41399
-56.5001	-5.1115E-10	1.590701	0.999999	3.85E-12	1.590701
-56	-4.8565E-10	1.767206	0.999999	1.04E-12	1.767206
-55.5001	-4.6661E-10	1.943897	0.999999	1.12E-12	1.943897
-55	-4.4826E-10	2.120498	0.999999	2.85E-12	2.120498
-54.5001	-4.1472E-10	2.297022	0.999999	-7.8E-13	2.297022
-54	-4.1139E-10	2.475445	1	-1.9E-13	2.475445
-53.5001	-4.0653E-10	2.652045	0.999999	4.06E-12	2.652045
-53.0001	-3.807E-10	2.853425	0.999999	3.34E-12	2.853425
-52.5001	-3.5731E-10	3.030211	1	-2.38E-12	3.030211
