#scan;iMeasureCycle=1;iMux=0;time=0.141;N=318;LocalTime=31/10/2023 16:06:51
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
-60;-1.03E-09;0.30149;1;2.02E-11;0.30149
-59.5001;-8.79E-10;0.478395;0.999999;1.03E-11;0.478395
-59.0001;-7.84E-10;0.654983;0.999999;1.02E-11;0.654983
-58.5001;-7.04E-10;0.848983;0.999999;1.26E-11;0.848983
-58.0001;-6.28E-10;1.025862;0.999999;3.74E-12;1.025862
-57.5;-5.84E-10;1.202509;1;-1.60E-13;1.202509
-57;-5.47E-10;1.414191;0.999999;4.67E-12;1.414191
-56.5001;-5.05E-10;1.590732;0.999999;1.76E-12;1.590732
-56.0001;-4.72E-10;1.767293;0.999999;9.20E-13;1.767293
-55.5;-4.54E-10;1.94376;1;2.37E-12;1.94376
-55;-4.33E-10;2.120391;0.999999;-8.30E-13;2.120391
-54.5001;-4.13E-10;2.296942;0.999999;2.23E-12;2.296942
-54.0001;-3.79E-10;2.475219;0.999999;-2.10E-13;2.475219
-53.5;-3.65E-10;2.651993;1;1.53E-12;2.651993
-53.0001;-3.64E-10;2.828563;0.999999;4.32E-12;2.828563
-52.5001;-3.34E-10;3.011074;1;-1.12E-12;3.011074
-52;-3.26E-10;3.187571;0.999999;5.00E-13;3.187571
-51.5001;-3.11E-10;3.38964;0.999999;3.36E-12;3.38964
-51;-2.89E-10;3.566239;1;-1.60E-13;3.566239
-50.5;-2.80E-10;3.742757;1;-2.00E-13;3.742757
-50;-2.75E-10;3.924052;1;2.10E-12;3.924052
-49.5;-2.57E-10;4.100605;1;-1.34E-12;4.100605
-49.0001;-2.38E-10;4.277128;0.999999;-3.47E-12;4.277128
-48.5001;-2.34E-10;4.455238;0.999999;-1.38E-12;4.455238
-48;-1.97E-10;4.631816;1;-3.83E-12;4.631816
-47.5001;-2.12E-10;4.808278;0.999999;5.90E-13;4.808278
-47;-2.05E-10;4.986484;1;-1.00E-12;4.986484
-46.5;-1.87E-10;5.162955;1;-1.40E-13;5.162955
-46;-1.92E-10;5.363461;1;2.05E-12;5.363461
-45.5;-1.59E-10;5.540032;0.999999;1.78E-12;5.540032
-45.0001;-1.52E-10;5.716488;0.999999;-2.13E-12;5.716488
-44.5001;-1.53E-10;5.927845;1;-2.11E-12;5.927845
-44;-1.49E-10;6.104298;0.999999;5.20E-13;6.104298
-43.5;-1.50E-10;6.280747;1.000001;5.10E-13;6.280747
-43.0001;-1.43E-10;6.457122;1;7.10E-13;6.457122
-42.5001;-1.27E-10;6.633713;0.999999;-3.86E-12;6.633713
-42.0001;-1.28E-10;6.810115;1;-1.81E-12;6.810115
-41.4999;-1.30E-10;6.988694;0.999999;-2.02E-12;6.988694
-41.0001;-1.24E-10;7.16514;1;-1.15E-12;7.16514
-40.5001;-1.15E-10;7.341591;1;-1.54E-12;7.341591
-40;-1.18E-10;7.525448;1;-8.50E-13;7.525448
-39.5001;-1.16E-10;7.701859;1;-2.19E-12;7.701859
-39;-1.30E-10;7.904124;1;-1.20E-13;7.904124
-38.5;-1.15E-10;8.080402;1;-1.91E-12;8.080402
-38;-1.04E-10;8.256832;0.999999;3.00E-13;8.256832
-37.5;-1.11E-10;8.43867;1;-5.00E-14;8.43867
-37.0001;-8.98E-11;8.615091;0.999999;-2.95E-12;8.615091
-36.5001;-8.21E-11;8.791407;1;-3.00E-12;8.791407
-36;-8.02E-11;8.969769;1;-6.00E-13;8.969769
-35.5;-7.55E-11;9.14613;0.999999;-1.67E-12;9.14613
-35.0001;-7.54E-11;9.322344;1;2.43E-12;9.322344
-34.5;-5.60E-11;9.500398;0.999999;-2.02E-12;9.500398
-34.0001;-5.06E-11;9.676856;0.999999;-2.04E-12;9.676856
-33.5001;-5.96E-11;9.87796;0.999999;-7.90E-13;9.87796
-33;-3.16E-11;10.054429;0.999999;-4.29E-12;10.054429
-32.5;-5.55E-11;10.230885;1;-1.85E-12;10.230885
-32.0001;-4.18E-11;10.442309;0.999999;-1.96E-12;10.442309
-31.5;-3.05E-11;10.618691;1;-2.09E-12;10.618691
-31;-3.61E-11;10.79493;1;-1.92E-12;10.79493
-30.5;-1.87E-11;10.971253;0.999999;6.40E-13;10.971253
-30.0001;-5.64E-12;11.147766;0.999999;-1.72E-12;11.147766
-29.5001;-2.65E-11;11.324067;0.999999;6.90E-13;11.324067
-29.0001;-2.22E-11;11.502684;1;5.60E-13;11.502684
-28.5;-7.43E-12;11.679143;0.999999;-8.30E-13;11.679143
-28.0001;-8.31E-12;11.855331;1;-2.18E-12;11.855331
-27.5;-3.50E-12;12.04003;1;-1.79E-12;12.04003
-27.0001;-1.33E-11;12.216446;1.000001;5.20E-13;12.216446
-26.5;1.00E-14;12.423178;0.999999;-1.30E-12;12.423178
-26.0001;1.75E-12;12.599419;1;-4.30E-13;12.599419
-25.5001;5.13E-12;12.775585;0.999999;1.35E-12;12.775585
-25;7.35E-12;12.953074;1;-5.70E-13;12.953074
-24.5001;9.42E-12;13.129375;0.999999;-8.60E-13;13.129375
-24;1.35E-11;13.305715;1;2.76E-12;13.305715
-23.5;3.04E-11;13.481973;1;-1.01E-12;13.481973
-23.0001;2.73E-11;13.658266;1;2.82E-12;13.658266
-22.5;2.97E-11;13.834423;1;2.17E-12;13.834423
-22.0001;3.49E-11;14.012509;1;6.06E-12;14.012509
-21.5001;3.58E-11;14.188768;1;5.83E-12;14.188768
-21;3.90E-11;14.364775;1;5.24E-12;14.364775
-20.5;4.85E-11;14.547668;1;6.76E-12;14.547668
-20;4.55E-11;14.723868;1;1.01E-11;14.723868
-19.5;5.00E-11;14.926555;0.999999;1.16E-11;14.926555
-19.0001;5.78E-11;15.102791;1;1.41E-11;15.102791
-18.5;5.83E-11;15.278823;1;1.62E-11;15.278823
-18;5.74E-11;15.455801;1;2.14E-11;15.455801
-17.5;6.46E-11;15.631858;1;2.14E-11;15.631858
-17.0001;5.78E-11;15.807927;1;2.77E-11;15.807927
-16.5001;6.15E-11;15.984042;1;3.39E-11;15.984042
-16.0001;6.34E-11;16.160184;0.999999;4.03E-11;16.160184
-15.5001;6.56E-11;16.336309;1;4.51E-11;16.336309
-15.0001;6.95E-11;16.512898;1;5.30E-11;16.512898
-14.4999;7.39E-11;16.689036;0.999999;5.13E-11;16.689036
-14;7.35E-11;16.865153;0.999999;5.74E-11;16.865153
-13.5001;7.26E-11;17.053788;0.999999;6.86E-11;17.053788
-13.0001;7.56E-11;17.229911;1;8.22E-11;17.229911
-12.5001;7.58E-11;17.437555;0.999999;9.41E-11;17.437555
-12;7.67E-11;17.613613;1;1.25E-10;17.613613
-11.5;8.33E-11;17.789657;1;1.28E-10;17.789657
-11.0001;8.27E-11;17.965771;0.999999;1.38E-10;17.965771
-10.5001;8.66E-11;18.141847;1;1.62E-10;18.141847
-10;8.40E-11;18.318031;1;2.25E-10;18.318031
-9.5001;8.94E-11;18.494061;0.999999;2.45E-10;18.494061
-9;1.03E-10;18.670288;0.999999;2.45E-10;18.670288
-8.5001;8.60E-11;18.84629;1;2.29E-10;18.84629
-8;9.12E-11;19.024832;1;2.82E-10;19.024832
-7.5;1.07E-10;19.200911;0.999999;2.97E-10;19.200911
-7;1.19E-10;19.376929;0.999999;3.96E-10;19.376929
-6.5001;1.17E-10;19.561518;1;4.46E-10;19.561518
-6;1.10E-10;19.737707;1;4.64E-10;19.737707
-5.5;1.14E-10;19.945319;1;4.83E-10;19.945319
-5;1.17E-10;20.121357;0.999999;5.79E-10;20.121357
-4.5001;1.15E-10;20.2974;0.999999;6.89E-10;20.2974
-4.0001;1.13E-10;20.475008;0.999999;7.73E-10;20.475008
-3.5001;1.17E-10;20.651046;1;8.41E-10;20.651046
-3.0001;1.26E-10;20.827034;1;9.43E-10;20.827034
-2.5001;1.26E-10;21.003241;1;1.06E-09;21.003241
-2.0001;1.41E-10;21.179453;0.999999;1.09E-09;21.179453
-1.5001;1.42E-10;21.355512;1.000001;1.24E-09;21.355512
-1.0001;1.58E-10;21.533377;1;1.12E-09;21.533377
-0.5;1.60E-10;21.709476;0.999999;1.20E-09;21.709476
0;1.75E-10;21.885468;1.000001;1.42E-09;21.885468
0.5;1.70E-10;22.068531;1.000001;1.54E-09;22.068531
0.9999;1.58E-10;22.244688;1.000001;1.94E-09;22.244688
1.5;1.47E-10;22.44789;1;1.91E-09;22.44789
2;1.51E-10;22.624005;0.999999;2.28E-09;22.624005
2.4999;1.46E-10;22.800057;1;2.36E-09;22.800057
3;1.56E-10;22.981992;1;2.74E-09;22.981992
3.5;1.71E-10;23.158067;1.000001;2.73E-09;23.158067
