#scan	iMeasureCycle=1	iMux=0	time=0.145	N=482	LocalTime=31/10/2023 17:18:56
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-60.0001	-6.6043E-10	0.305856	0.1000002	1.329E-11	0.305856
-59.5	-5.4919E-10	0.482921	0.1	7.28E-12	0.482921
-59.0001	-4.7532E-10	0.659582	0.1000001	8.96E-12	0.659582
-58.5	-4.2343E-10	0.85398	0.0999998	3.59E-12	0.85398
-58.0001	-3.8851E-10	1.034366	0.0999997	3.54E-12	1.034366
-57.5	-3.664E-10	1.210936	0.1000001	5.87E-12	1.210936
-57	-3.4151E-10	1.420779	0.1000003	3.83E-12	1.420779
-56.5	-3.2268E-10	1.597463	0.0999999	9E-13	1.597463
-56.0001	-3.0879E-10	1.773975	0.1000001	2.7E-12	1.773975
-55.5	-2.7237E-10	1.950552	0.1000002	-9.1E-13	1.950552
-55	-2.6672E-10	2.127204	0.0999997	2.39E-12	2.127204
-54.5	-2.5581E-10	2.303753	0.1	1.6E-13	2.303753
-54.0001	-2.5885E-10	2.480483	0.0999998	1.87E-12	2.480483
-53.5001	-2.4003E-10	2.657094	0.0999998	-1.15E-12	2.657094
-53	-2.3281E-10	2.833634	0.0999999	4.17E-12	2.833634
-52.5001	-2.2501E-10	3.016231	0.1000002	1.39E-12	3.016231
-52	-2.1329E-10	3.19269	0.1000001	3.51E-12	3.19269
-51.5001	-1.9537E-10	3.402203	0.0999999	3.8E-13	3.402203
-51	-1.9271E-10	3.578724	0.0999998	-6.7E-13	3.578724
-50.5001	-1.9868E-10	3.755197	0.1	-2.8E-13	3.755197
-50.0001	-1.7849E-10	3.93282	0.0999998	-2.91E-12	3.93282
-49.5001	-1.6823E-10	4.109392	0.1000001	-4.5E-13	4.109392
-49.0001	-1.6471E-10	4.286024	0.0999999	-1.6E-12	4.286024
-48.5	-1.7877E-10	4.463695	0.1000003	6.9E-13	4.463695
-48.0001	-1.6872E-10	4.640382	0.0999998	-6.4E-13	4.640382
-47.5	-1.5246E-10	4.816893	0.1000001	-1.9E-13	4.816893
-47.0001	-1.5192E-10	4.995326	0.1	2E-14	4.995326
-46.5001	-1.545E-10	5.171873	0.1	-9.4E-13	5.171873
-46	-1.5025E-10	5.366831	0.0999999	4.18E-12	5.366831
-45.5	-1.3395E-10	5.543667	0.0999999	2.79E-12	5.543667
-45	-1.3595E-10	5.720216	0.0999999	3.69E-12	5.720216
-44.5	-1.2185E-10	5.934768	0.1000001	2.93E-12	5.934768
-44.0001	-1.1855E-10	6.111228	0.0999998	5.94E-12	6.111228
-43.5	-1.3308E-10	6.28771	0.0999998	1.244E-11	6.28771
-43	-1.2983E-10	6.464237	0.1	1.952E-11	6.464237
-42.5	-1.1732E-10	6.640719	0.0999999	2.513E-11	6.640719
-42	-1.0219E-10	6.817197	0.1000001	3.765E-11	6.817197
-41.4999	-1.1401E-10	6.99621	0.1	5.484E-11	6.99621
-41	-1.1839E-10	7.172635	0.1	7.77E-11	7.172635
-40.5001	-1.1332E-10	7.372538	0.0999998	1.087E-10	7.372538
-40	-9.803E-11	7.549358	0.1000002	1.4748E-10	7.549358
-39.5	-8.978E-11	7.725736	0.1	2.0101E-10	7.725736
-39	-8.26E-11	7.936029	0.1	2.6712E-10	7.936029
-38.5001	-9.101E-11	8.112362	0.1000002	3.3951E-10	8.112362
-38	-9.89E-11	8.28869	0.1000001	4.932E-10	8.28869
-37.5001	-9.267E-11	8.46509	0.0999999	6.4093E-10	8.46509
-37.0001	-7.315E-11	8.641464	0.0999998	7.9699E-10	8.641464
-36.5001	-6.593E-11	8.817844	0.0999998	1.08002E-09	8.817844
-36	-7.949E-11	8.995941	0.0999994	1.41372E-09	8.995941
-35.5001	-8.448E-11	9.172341	0.1000004	1.76366E-09	9.172341
-35	-7.21E-11	9.348723	0.1000008	2.30858E-09	9.348723
-34.5001	-6.009E-11	9.53557	0.0999997	2.86788E-09	9.53557
-34	-6.656E-11	9.711936	0.1000004	3.55542E-09	9.711936
-33.5001	-6.711E-11	9.921065	0.1	4.23782E-09	9.921065
-33	-6.847E-11	10.097516	0.0999999	5.27767E-09	10.097516
-32.5001	-5.654E-11	10.273809	0.099999	6.36776E-09	10.273809
-32	-4.393E-11	10.45103	0.1000009	7.62375E-09	10.45103
-31.5	-5.296E-11	10.621516	0.0999996	9.1001E-09	10.621516
-31	-5.548E-11	10.771528	0.0999998	1.10159E-08	10.771528
-30.5	-4.133E-11	10.926232	0.1000003	1.31182E-08	10.926232
-30.0001	-3.52E-11	11.076212	0.1000006	1.52663E-08	11.076212
-29.5	-3.061E-11	11.226167	0.0999979	1.81083E-08	11.226167
-29.0001	-4.76E-11	11.41517	0.1000002	2.12553E-08	11.41517
-28.5	-3.126E-11	11.565249	0.099998	2.45902E-08	11.565249
-28	-3.121E-11	11.715301	0.0999995	2.8456E-08	11.715301
-27.5	-2.449E-11	11.900405	0.1000011	3.20036E-08	11.900405
-27.0001	-2.239E-11	12.050504	0.0999999	3.59911E-08	12.050504
-26.5	-1.678E-11	12.200561	0.0999979	4.09948E-08	12.200561
-26	-1.641E-11	12.350639	0.0999989	4.68463E-08	12.350639
-25.5001	-1.356E-11	12.516248	0.0999992	5.32082E-08	12.516248
-25.0001	-1.549E-11	12.666274	0.1000026	5.8545E-08	12.666274
-24.5001	-1.747E-11	12.816313	0.1000052	6.55409E-08	12.816313
-24	-9.07E-12	12.966255	0.0999994	7.19117E-08	12.966255
-23.5001	-4.07E-12	13.11729	0.0999997	8.00593E-08	13.11729
-23	-9.04E-12	13.267195	0.1000032	8.76329E-08	13.267195
-22.5001	-6.21E-12	13.432002	0.0999989	9.61593E-08	13.432002
-22	-1.098E-11	13.587882	0.1	1.05362E-07	13.587882
-21.5001	-6.3E-12	13.738042	0.0999999	1.14892E-07	13.738042
-21	-2.67E-12	13.925441	0.0999999	1.25213E-07	13.925441
-20.5	3.52E-12	14.07531	0.1	1.35611E-07	14.07531
-20	1.254E-11	14.22531	0.1	1.46521E-07	14.22531
-19.5001	5.3E-12	14.406768	0.1000001	1.58315E-07	14.406768
-19.0001	5.16E-12	14.556663	0.1	1.7162E-07	14.556663
-18.5	4.75E-12	14.706521	0.0999998	1.84861E-07	14.706521
-18.0001	8.26E-12	14.85626	0.0999998	1.97702E-07	14.85626
-17.5	7.1E-12	15.022516	0.0999999	2.12202E-07	15.022516
-17.0001	7.61E-12	15.172294	0.1	2.27298E-07	15.172294
-16.5	1.463E-11	15.322153	0.0999999	2.42172E-07	15.322153
-16	1.355E-11	15.471989	0.1000002	2.58353E-07	15.471989
-15.4999	1.766E-11	15.622064	0.1000001	2.74587E-07	15.622064
-15.0001	1.199E-11	15.771891	0.1000001	2.91745E-07	15.771891
-14.5001	2.041E-11	15.938162	0.1000001	3.08459E-07	15.938162
-14.0001	2.013E-11	16.087992	0.0999999	3.27428E-07	16.087992
-13.5	2.789E-11	16.237789	0.0999999	3.45772E-07	16.237789
-13.0001	1.955E-11	16.414129	0.1	3.64389E-07	16.414129
-12.5001	2.152E-11	16.564008	0.1000001	3.84315E-07	16.564008
-12	2.685E-11	16.713873	0.1000002	4.03665E-07	16.713873
-11.5	2.719E-11	16.863673	0.1	4.24261E-07	16.863673
-11	3.636E-11	17.027601	0.0999998	4.44421E-07	17.027601
-10.5	3.547E-11	17.177398	0.1	4.65197E-07	17.177398
-10	4.358E-11	17.327249	0.0999999	4.86604E-07	17.327249
-9.5001	4.051E-11	17.477146	0.0999999	5.08387E-07	17.477146
-9	3.424E-11	17.627172	0.0999999	5.30277E-07	17.627172
-8.5	4.612E-11	17.777107	0.0999999	5.53106E-07	17.777107
-8.0001	4.421E-11	17.939328	0.1000001	5.74837E-07	17.939328
-7.5001	4.224E-11	18.089147	0.1000001	5.9777E-07	18.089147
-7.0001	4.857E-11	18.238931	0.1000001	6.20804E-07	18.238931
-6.5001	4.474E-11	18.418978	0.0999997	6.44559E-07	18.418978
-6.0001	4.859E-11	18.568879	0.0999999	6.68105E-07	18.568879
-5.5001	5.583E-11	18.718725	0.0999999	6.91014E-07	18.718725
-5.0001	5.657E-11	18.868437	0.0999999	7.15193E-07	18.868437
-4.5	5.735E-11	19.032659	0.0999999	7.38884E-07	19.032659
-4	6.137E-11	19.182456	0.0999999	7.63293E-07	19.182456
-3.5001	5.811E-11	19.332324	0.1000002	7.88754E-07	19.332324
-3.0001	5.57E-11	19.482227	0.1000002	8.13305E-07	19.482227
-2.5	6.021E-11	19.634549	0.1000001	8.38778E-07	19.634549
-2.0001	6.669E-11	19.784516	0.1000001	8.62681E-07	19.784516
-1.5	6.72E-11	19.949066	0.0999999	8.87739E-07	19.949066
-1	6.101E-11	20.098885	0.1	9.12564E-07	20.098885
-0.5	5.763E-11	20.248726	0.1	9.37558E-07	20.248726
