#scan;iMeasureCycle=1;iMux=0;time=0.137;N=220;LocalTime=27/10/2023 12:17:16
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
-30.0001;-7.92E-09;0.3001;0;3.24E-12;0.3001
-30;-6.73E-09;0.476963;0.1;5.14E-12;0.476963
-30.0001;-6.08E-09;0.653429;0.199999;5.38E-12;0.653429
-30;-5.59E-09;0.848012;0.299999;1.81E-12;0.848012
-30;-5.21E-09;0.996905;0.399999;2.42E-12;0.996905
-30.0001;-5.01E-09;1.145767;0.499999;4.27E-12;1.145767
-30;-4.74E-09;1.294665;0.599999;-1.66E-12;1.294665
-30;-4.50E-09;1.473514;0.7;3.67E-12;1.473514
-30;-4.35E-09;1.622434;0.799999;3.04E-12;1.622434
-30;-4.23E-09;1.771269;0.899999;4.85E-12;1.771269
-30;-4.08E-09;1.920005;0.999999;3.72E-12;1.920005
-30;-4.02E-09;2.041305;0.999999;3.41E-12;2.041305
-30;-3.94E-09;2.189968;0.9;3.36E-12;2.189968
-30;-3.83E-09;2.363003;0.8;2.68E-12;2.363003
-30;-3.74E-09;2.511743;0.699999;1.07E-12;2.511743
-30;-3.68E-09;2.660376;0.599999;1.52E-12;2.660376
-30;-3.58E-09;2.808932;0.499999;1.20E-13;2.808932
-30;-3.50E-09;2.981346;0.4;-3.34E-12;2.981346
-30;-3.47E-09;3.130003;0.299999;-2.40E-13;3.130003
-30;-3.44E-09;3.278602;0.199999;2.40E-12;3.278602
-30;-3.36E-09;3.42724;0.1;1.43E-12;3.42724
-30;-3.32E-09;3.578244;0;2.30E-13;3.578244
-20;-7.57E-10;3.754344;-1.00E-06;-6.17E-12;3.754344
-20;-1.09E-09;3.902987;0.100001;-1.71E-12;3.902987
-20;-1.19E-09;4.051592;0.2;-8.00E-13;4.051592
-20;-1.26E-09;4.20031;0.299999;3.37E-12;4.20031
-20;-1.28E-09;4.382401;0.4;1.61E-12;4.382401
-20;-1.30E-09;4.531096;0.5;2.31E-12;4.531096
-20;-1.31E-09;4.679724;0.6;2.33E-12;4.679724
-20;-1.32E-09;4.82836;0.699999;4.12E-12;4.82836
-20;-1.33E-09;4.986343;0.799999;3.89E-12;4.986343
-20;-1.34E-09;5.135001;0.9;4.56E-12;5.135001
-20;-1.34E-09;5.283595;0.999999;5.56E-12;5.283595
-20;-1.34E-09;5.404773;0.999999;4.29E-12;5.404773
-20;-1.34E-09;5.553498;0.9;2.31E-12;5.553498
-20;-1.34E-09;5.702369;0.8;2.48E-12;5.702369
-20;-1.34E-09;5.881229;0.7;1.20E-12;5.881229
-20;-1.34E-09;6.029923;0.599999;8.90E-13;6.029923
-20;-1.33E-09;6.178576;0.5;-9.60E-13;6.178576
-20;-1.34E-09;6.327303;0.4;3.29E-12;6.327303
-20;-1.33E-09;6.489746;0.299999;-2.50E-13;6.489746
-20;-1.33E-09;6.638483;0.2;-3.00E-14;6.638483
-20;-1.33E-09;6.787092;0.1;2.34E-12;6.787092
-20;-1.33E-09;6.935766;0;-1.48E-12;6.935766
-10;7.04E-10;7.114316;-1.00E-06;-6.13E-12;7.114316
-10;1.73E-10;7.263009;0.099999;8.64E-11;7.263009
-10;2.40E-11;7.411682;0.200001;1.34E-10;7.411682
-10;-5.92E-11;7.560386;0.3;1.72E-10;7.560386
-10;-1.10E-10;7.709057;0.4;1.91E-10;7.709057
-10;-1.53E-10;7.89071;0.5;2.15E-10;7.89071
-10;-1.81E-10;8.039332;0.6;2.30E-10;8.039332
-10;-2.01E-10;8.188101;0.699999;2.45E-10;8.188101
-10;-2.16E-10;8.336819;0.8;2.58E-10;8.336819
-10;-2.30E-10;8.494651;0.899999;2.68E-10;8.494651
-10;-2.42E-10;8.643395;0.999999;2.86E-10;8.643395
-10;-2.50E-10;8.764573;0.999999;2.92E-10;8.764573
