#scan;iMeasureCycle=1;iMux=0;time=0.129;N=220;LocalTime=27/10/2023 15:36:52
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
-30;-1.11E-09;0.292058;0;4.25E-12;0.292058
-30;-1.02E-09;0.413618;0.099999;5.52E-12;0.413618
-30;-9.45E-10;0.534783;0.199999;4.94E-12;0.534783
-30;-8.79E-10;0.656031;0.299999;5.34E-12;0.656031
-30;-8.34E-10;0.777236;0.399999;7.00E-13;0.777236
-30;-7.90E-10;0.898421;0.499999;3.69E-12;0.898421
-30;-7.68E-10;1.019711;0.599999;4.37E-12;1.019711
-30;-7.27E-10;1.140885;0.699999;3.56E-12;1.140885
-30;-7.16E-10;1.262401;0.799999;5.74E-12;1.262401
-30;-6.86E-10;1.383618;0.899999;4.23E-12;1.383618
-30;-6.75E-10;1.504905;0.999999;5.61E-12;1.504905
-30;-6.60E-10;1.626112;0.999999;5.86E-12;1.626112
-30;-6.41E-10;1.747313;0.9;4.42E-12;1.747313
-30;-6.29E-10;1.868527;0.800001;1.50E-13;1.868527
-30;-6.12E-10;1.989762;0.7;3.80E-12;1.989762
-30;-6.00E-10;2.110926;0.6;-3.37E-12;2.110926
-30;-5.78E-10;2.232117;0.5;-2.57E-12;2.232117
-30;-5.88E-10;2.353405;0.4;8.90E-13;2.353405
-30;-5.59E-10;2.474656;0.3;-3.23E-12;2.474656
-30;-5.65E-10;2.595865;0.2;-2.50E-13;2.595865
-30;-5.52E-10;2.717046;0.100001;-1.41E-12;2.717046
-30;-5.48E-10;2.843548;0;-7.30E-13;2.843548
-20;2.91E-11;3.019686;0;-5.78E-12;3.019686
-20;-7.43E-11;3.140845;0.099999;4.31E-12;3.140845
-20;-1.26E-10;3.262075;0.199999;9.59E-12;3.262075
-20;-1.49E-10;3.383285;0.299999;1.39E-11;3.383285
-20;-1.75E-10;3.504579;0.399999;2.00E-11;3.504579
-20;-1.83E-10;3.625774;0.499999;2.18E-11;3.625774
-20;-1.99E-10;3.74695;0.599999;2.65E-11;3.74695
-20;-2.05E-10;3.868152;0.699999;2.73E-11;3.868152
-20;-2.11E-10;3.989414;0.799999;3.10E-11;3.989414
-20;-2.19E-10;4.110575;0.899999;3.19E-11;4.110575
-20;-2.21E-10;4.231761;0.999999;3.62E-11;4.231761
-20;-2.24E-10;4.356983;0.999999;3.49E-11;4.356983
-20;-2.32E-10;4.478266;0.9;3.10E-11;4.478266
-20;-2.29E-10;4.599473;0.8;2.70E-11;4.599473
-20;-2.37E-10;4.72066;0.7;2.47E-11;4.72066
-20;-2.33E-10;4.847509;0.6;2.09E-11;4.847509
-20;-2.37E-10;4.968762;0.5;1.61E-11;4.968762
-20;-2.34E-10;5.089942;0.4;1.44E-11;5.089942
-20;-2.39E-10;5.211141;0.3;9.13E-12;5.211141
-20;-2.37E-10;5.34946;0.2;5.83E-12;5.34946
-20;-2.43E-10;5.47073;0.1;2.45E-12;5.47073
-20;-2.36E-10;5.591981;0;-3.22E-12;5.591981
-10;2.83E-10;5.767983;0;5.76E-11;5.767983
-10;1.47E-10;5.916692;0.1;7.35E-09;5.916692
-10;8.99E-11;6.059346;0.2;1.26E-08;6.059346
-10;6.03E-11;6.181685;0.3;1.56E-08;6.181685
-10;3.90E-11;6.304095;0.399999;1.78E-08;6.304095
-10;2.30E-11;6.426456;0.499998;1.92E-08;6.426456
-10;1.15E-11;6.549308;0.6;2.00E-08;6.549308
-10;1.86E-12;6.671679;0.699998;2.03E-08;6.671679
-10;-7.78E-12;6.794017;0.799997;2.12E-08;6.794017
-10;-1.28E-11;6.916383;0.899999;2.15E-08;6.916383
-10;-1.86E-11;7.038823;0.999999;2.20E-08;7.038823
-10;-2.37E-11;7.161142;0.999998;2.13E-08;7.161142
-10;-2.71E-11;7.283561;0.900001;2.06E-08;7.283561
-10;-3.05E-11;7.405934;0.799999;1.97E-08;7.405934
-10;-3.48E-11;7.528306;0.700002;1.92E-08;7.528306
-10;-3.62E-11;7.650663;0.6;1.78E-08;7.650663
-10;-3.83E-11;7.772998;0.500001;1.63E-08;7.772998
