#scan;iMeasureCycle=1;iMux=0;time=0.136;N=482;LocalTime=31/10/2023 11:19:44
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
-60;-2.27E-09;0.276503;1;5.90E-07;0.276503
-59.5001;-1.89E-09;0.4272;1;8.05E-07;0.4272
-59.0001;-1.65E-09;0.581274;1;1.07E-06;0.581274
-58.5001;-1.48E-09;0.731515;1;1.37E-06;0.731515
-58.0001;-1.34E-09;0.88189;1;1.71E-06;0.88189
-57.5;-1.24E-09;1.032313;1;2.08E-06;1.032313
-57;-1.17E-09;1.182626;1;2.49E-06;1.182626
-56.5;-1.10E-09;1.378854;1;2.92E-06;1.378854
-56.0001;-1.04E-09;1.529165;1;3.37E-06;1.529165
-55.5;-9.94E-10;1.679564;1;3.84E-06;1.679564
-55;-9.47E-10;1.862317;1;4.32E-06;1.862317
-54.5;-8.97E-10;2.012683;1;4.82E-06;2.012683
-54.0001;-8.56E-10;2.163002;1;5.32E-06;2.163002
-53.5001;-8.41E-10;2.337348;1;5.83E-06;2.337348
-53;-7.85E-10;2.487611;1;6.35E-06;2.487611
-52.5001;-7.37E-10;2.637954;1;6.86E-06;2.637954
-52;-7.18E-10;2.788386;1;7.38E-06;2.788386
-51.5;-7.20E-10;2.959388;1;7.89E-06;2.959388
-51;-6.79E-10;3.109654;1;8.42E-06;3.109654
-50.5001;-6.53E-10;3.260059;1;8.92E-06;3.260059
-50;-6.21E-10;3.410401;0.999999;9.44E-06;3.410401
-49.5;-6.52E-10;3.602894;1;1.59E-09;3.602894
-49;-5.70E-10;3.756442;0.999999;4.29E-10;3.756442
-48.5001;-5.17E-10;3.905592;1;1.71E-09;3.905592
-48.0001;-5.74E-10;4.054721;0.999996;1.17E-09;4.054721
-47.5;-4.93E-10;4.203716;1.000001;1.33E-09;4.203716
-47.0001;-4.87E-10;4.373118;1.000001;1.28E-09;4.373118
-46.5001;-5.16E-10;4.522194;0.999997;3.08E-09;4.522194
-46.0001;-4.58E-10;4.671186;0.999999;9.45E-09;4.671186
-45.5001;-6.70E-10;4.847936;0.999981;4.13E-09;4.847936
-45.0001;-4.88E-10;4.996984;0.999997;3.10E-09;4.996984
-44.5001;-4.10E-10;5.145949;1.000008;6.94E-09;5.145949
-44.0001;-4.21E-10;5.294969;0.999998;4.39E-09;5.294969
-43.5;-4.95E-10;5.491791;0.999993;5.29E-09;5.491791
-43.0001;-3.83E-10;5.6408;1;5.37E-09;5.6408
-42.5001;-3.55E-10;5.789731;1;6.98E-09;5.789731
-42.0001;-4.49E-10;5.938873;0.999992;5.79E-09;5.938873
-41.4999;-3.64E-10;6.137685;1;-5.00E-12;6.137685
-41;-3.14E-10;6.29117;0.999999;9.90E-13;6.29117
-40.5001;-2.71E-10;6.440163;0.999999;3.80E-13;6.440163
-40;-2.65E-10;6.589271;0.999999;4.40E-13;6.589271
-39.5;-2.57E-10;6.73821;0.999999;6.10E-13;6.73821
-39;-2.12E-10;6.887075;0.999999;1.90E-13;6.887075
-38.5001;-1.76E-10;7.036018;0.999999;8.00E-14;7.036018
-38.0001;-1.45E-10;7.184808;0.999999;3.20E-13;7.184808
-37.5;-1.62E-10;7.364784;0.999999;5.00E-13;7.364784
-37;-7.09E-11;7.513738;0.999999;3.70E-13;7.513738
-36.5;-1.42E-10;7.662611;0.999999;4.60E-13;7.662611
-36;-1.65E-10;7.811431;0.999999;6.30E-13;7.811431
-35.5;-1.50E-10;7.970546;0.999999;5.10E-13;7.970546
-35;-1.39E-10;8.119329;0.999999;2.00E-13;8.119329
-34.5001;-1.19E-10;8.268205;0.999999;4.60E-13;8.268205
-34;-1.11E-10;8.4171;0.999999;3.80E-13;8.4171
-33.5001;-1.03E-10;8.56592;0.999999;3.70E-13;8.56592
-33;-9.41E-11;8.71475;0.999999;1.70E-13;8.71475
-32.5001;-1.07E-10;8.880045;0.999999;1.20E-13;8.880045
-32;-9.33E-11;9.02891;0.999999;4.60E-13;9.02891
-31.5;-7.89E-11;9.177639;0.999999;1.50E-13;9.177639
-31;-8.63E-11;9.345408;0.999999;1.80E-13;9.345408
