#scan;iMeasureCycle=1;iMux=0;time=0.147;N=482;LocalTime=31/10/2023 11:25:35;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;Idrain^1/2(A^1/2)
-60;-3.48E-09;0.307715;1;4.61E-11;0.307715;;6.7897E-06
-59.5001;-2.70E-09;0.429241;1;-4.50E-11;0.429241;;0
-59.0001;-2.34E-09;0.550474;1;-5.70E-11;0.550474;;0
-58.5001;-2.11E-09;0.671703;1;-6.72E-11;0.671703;;0
-58.0001;-1.88E-09;0.792937;1;-8.81E-11;0.792937;;0
-57.5001;-1.74E-09;0.91416;1;-9.69E-11;0.91416;;0
-57.0001;-1.58E-09;1.035396;1;-9.02E-11;1.035396;;0
-56.5001;-1.46E-09;1.156577;1;-1.01E-10;1.156577;;0
-56.0001;-1.36E-09;1.277848;1;-8.35E-11;1.277848;;0
-55.5001;-1.25E-09;1.39908;1;-9.53E-11;1.39908;;0
-55.0001;-1.18E-09;1.520311;1;-9.40E-11;1.520311;;0
-54.5001;-1.09E-09;1.64158;1;-9.95E-11;1.64158;;0
-54.0001;-1.06E-09;1.762807;1;-9.26E-11;1.762807;;0
-53.5001;-9.85E-10;1.884064;1;-1.02E-10;1.884064;;0
-53.0001;-9.28E-10;2.005372;1;-1.00E-10;2.005372;;0
-52.5001;-8.89E-10;2.126554;1;-9.88E-11;2.126554;;0
-52.0001;-8.48E-10;2.247783;1;-9.60E-11;2.247783;;0
-51.5001;-7.77E-10;2.369012;1;-1.03E-10;2.369012;;0
-51.0001;-7.62E-10;2.490247;1;-1.03E-10;2.490247;;0
-50.5001;-7.29E-10;2.611463;1;-9.71E-11;2.611463;;0
-50.0001;-6.99E-10;2.732665;1;-1.01E-10;2.732665;;0
-49.5001;-7.40E-10;2.85992;1;-8.47E-11;2.85992;;0
-49.0001;-6.30E-10;2.981229;1;-1.06E-10;2.981229;;0
-48.5001;-5.83E-10;3.102407;1;-1.04E-10;3.102407;;0
-48.0001;-5.53E-10;3.223653;1;-1.08E-10;3.223653;;0
-47.5001;-6.43E-10;3.359903;1;-6.68E-11;3.359903;;0
-47.0001;-4.93E-10;3.481166;1;-1.04E-10;3.481166;;0
-46.5001;-4.79E-10;3.60241;1;-1.04E-10;3.60241;;0
-46.0001;-4.51E-10;3.723662;1;-1.07E-10;3.723662;;0
-45.5001;-5.50E-10;3.861901;1;-6.62E-11;3.861901;;0
-45.0001;-4.04E-10;3.983203;1;-1.06E-10;3.983203;;0
-44.5001;-5.63E-10;4.132112;1;-5.15E-11;4.132112;;0
-44.0001;-3.65E-10;4.253336;1;-1.04E-10;4.253336;;0
-43.5001;-5.11E-10;4.402269;1;-5.08E-11;4.402269;;0
-43.0001;-3.20E-10;4.523482;1;-1.08E-10;4.523482;;0
-42.5001;-3.00E-10;4.644838;1;-1.04E-10;4.644838;;0
-42;-4.58E-10;4.793792;1;-4.87E-11;4.793792;;0
-41.5001;-4.45E-10;4.942793;1;-4.92E-11;4.942793;;0
-41.0001;-2.47E-10;5.064048;1;-1.04E-10;5.064048;;0
-40.5;-4.09E-10;5.213038;1;-5.01E-11;5.213038;;0
-40.0001;-2.10E-10;5.33423;1;-1.04E-10;5.33423;;0
-39.5001;-3.69E-10;5.492802;1;-5.06E-11;5.492802;;0
-39.0001;-1.68E-10;5.614046;1;-1.07E-10;5.614046;;0
-38.5001;-1.44E-10;5.735279;1;-1.09E-10;5.735279;;0
-38.0001;-4.10E-10;5.914392;1;-2.56E-11;5.914392;;0
-37.5001;-1.29E-10;6.03561;1;-1.05E-10;6.03561;;0
-37.0001;-2.84E-10;6.1844;1;-5.42E-11;6.1844;;0
-36.5001;-8.80E-11;6.305593;1;-1.10E-10;6.305593;;0
-36.0001;-6.60E-11;6.426794;1;-1.10E-10;6.426794;;0
-35.5001;-4.98E-11;6.548025;1;-1.11E-10;6.548025;;0
-35.0001;-3.72E-11;6.669285;1;-1.09E-10;6.669285;;0
-34.5;-2.05E-10;6.818124;1;-5.33E-11;6.818124;;0
-34.0001;-2.13E-11;6.939351;1;-1.07E-10;6.939351;;0
-33.5001;2.88E-12;7.060579;1;-1.08E-10;7.060579;;0
-33.0001;-1.62E-10;7.209439;1;-5.41E-11;7.209439;;0
-32.5001;1.93E-11;7.330656;1;-1.08E-10;7.330656;;0
-32.0001;-1.43E-10;7.497231;1;-5.34E-11;7.497231;;0
-31.5;-1.26E-10;7.646102;1;-5.27E-11;7.646102;;0
-31;-1.21E-10;7.794917;1;-5.08E-11;7.794917;;0
-30.5001;-9.68E-11;7.943728;1;-5.45E-11;7.943728;;0
-30;-9.62E-11;8.092583;1;-5.19E-11;8.092583;;0
-29.5;-7.98E-11;8.24152;1;-5.47E-11;8.24152;;0
-29.0001;-1.22E-10;8.406675;1;-3.81E-11;8.406675;;0
-28.5001;-5.41E-11;8.555438;1;-5.45E-11;8.555438;;0
-28.0001;-3.89E-11;8.704298;1;-5.51E-11;8.704298;;0
-27.5;-9.67E-11;8.872165;1;-3.42E-11;8.872165;;0
-27.0001;-1.73E-11;9.021102;1;-5.45E-11;9.021102;;0
-26.5;-6.06E-12;9.169893;1;-5.28E-11;9.169893;;0
-26;1.30E-11;9.318765;1;-5.40E-11;9.318765;;0
