#scan;iMeasureCycle=1;iMux=0;time=0.136;N=482;LocalTime=31/10/2023 11:52:45;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2(A^1/2)
-60;-4.19E-09;0.296689;0.999999;4.44E-11;0.296689;;;6.66333E-06
-59.5001;-3.58E-09;0.473579;0.999999;3.44E-11;0.473579;;;5.86515E-06
-59.0001;-2.92E-09;0.650216;1;2.99E-11;0.650216;;;5.46809E-06
-58.5;-2.44E-09;0.844341;1;2.93E-11;0.844341;;;5.41295E-06
-58.0001;-2.15E-09;1.020975;0.999999;2.40E-11;1.020975;;;4.89898E-06
-57.5001;-1.97E-09;1.197577;1;2.26E-11;1.197577;;;4.75395E-06
-57;-1.79E-09;1.406126;1;2.12E-11;1.406126;;;4.60435E-06
-56.5;-1.69E-09;1.582776;0.999999;1.51E-11;1.582776;;;3.88587E-06
-56.0001;-1.59E-09;1.75958;1;1.57E-11;1.75958;;;3.96232E-06
-55.5001;-1.48E-09;1.93611;1;1.56E-11;1.93611;;;3.94968E-06
-55.0001;-1.37E-09;2.1127;1;1.48E-11;2.1127;;;3.84708E-06
-54.5001;-1.31E-09;2.289204;0.999999;1.38E-11;2.289204;;;3.71484E-06
-54;-1.24E-09;2.465734;1;8.06E-12;2.465734;;;2.83901E-06
-53.5;-1.19E-09;2.642272;1;1.08E-11;2.642272;;;3.28634E-06
-53;-1.16E-09;2.81874;1;1.33E-11;2.81874;;;3.64692E-06
-52.5;-1.07E-09;3.006696;1;8.26E-12;3.006696;;;2.87402E-06
-52;-1.04E-09;3.183212;0.999999;9.52E-12;3.183212;;;3.08545E-06
-51.5;-9.71E-10;3.390959;0.999999;5.25E-12;3.390959;;;2.29129E-06
-51;-9.59E-10;3.567499;1;6.44E-12;3.567499;;;2.53772E-06
-50.5001;-9.23E-10;3.74416;0.999999;8.17E-12;3.74416;;;2.85832E-06
-50;-8.70E-10;3.920763;0.999999;9.22E-12;3.920763;;;3.03645E-06
-49.5001;-8.29E-10;4.097297;0.999999;8.80E-12;4.097297;;;2.96648E-06
-49;-8.12E-10;4.273908;0.999999;6.39E-12;4.273908;;;2.52784E-06
-48.5001;-8.10E-10;4.452122;0.999999;7.32E-12;4.452122;;;2.70555E-06
-48.0001;-7.52E-10;4.628828;1;5.21E-12;4.628828;;;2.28254E-06
-47.5001;-7.21E-10;4.805311;0.999999;7.22E-12;4.805311;;;2.68701E-06
-47;-7.28E-10;4.983768;0.999999;7.37E-12;4.983768;;;2.71477E-06
-46.5;-7.04E-10;5.160279;0.999999;6.79E-12;5.160279;;;2.60576E-06
