#scan	iMeasureCycle=1	iMux=0	time=0.145	N=220	LocalTime=31/10/2023 14:56:52
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-30	-1.13287E-07	0.325311	-1E-06	3.075E-10	0.325311
-30	-6.63409E-08	0.484574	0.099999	1.6202E-10	0.484574
-29.9999	-5.01849E-08	0.634308	0.2	1.512E-10	0.634308
-30	-4.39049E-08	0.784008	0.300001	1.164E-10	0.784008
-30	-2.13372E-06	0.968564	0.399999	-4.17E-10	0.968564
-30	-5.426E-08	1.16386	0.5	5.57E-11	1.16386
-30	-1.9542E-07	1.325847	0.6	-1.9E-10	1.325847
-30	-1.54007E-07	1.475488	0.700004	1.1441E-10	1.475488
-30	-6.7937E-07	1.64724	0.799992	-1.583E-10	1.64724
-30	-8.4833E-08	1.788481	0.899999	4.717E-11	1.788481
-30	-1.0584E-07	1.955656	1	3.44E-11	1.955656
-30	-1.14149E-07	2.097078	1	4.864E-11	2.097078
-30	-2.1204E-07	2.26843	0.899999	6E-12	2.26843
-30	-1.56058E-06	2.419127	0.80001	1.793E-10	2.419127
-30	-1.79614E-06	2.586105	0.699972	2.77E-11	2.586105
-30.0001	-2.6177E-06	2.753731	0.599924	4.903E-10	2.753731
-30	-4.9771E-07	2.931243	0.499999	-4.865E-11	2.931243
-30.0001	-2.2873E-06	3.126903	0.4	1.8E-10	3.126903
-30	-4.6557E-07	3.276723	0.299999	1.013E-11	3.276723
-30	-2.19264E-07	3.426501	0.2	2.063E-11	3.426501
-30	-1.77532E-07	3.576362	0.099999	8.89E-12	3.576362
-30	-2.11821E-07	3.726095	-1E-06	1.37E-12	3.726095
-19.99999	-2.76058E-08	3.926311	-1E-06	1.352E-11	3.926311
-20	-2.38533E-08	4.076185	0.099999	3.80078E-09	4.076185
-20.00002	-2.69818E-08	4.225985	0.199999	7.36986E-09	4.225985
-20	-5.806E-08	4.449588	0.3	8.92E-09	4.449588
-20	-4.39013E-08	4.607695	0.399999	1.15726E-08	4.607695
-20	-4.29754E-08	4.731165	0.499999	1.33247E-08	4.731165
-20	-5.1195E-08	4.917975	0.6	1.46405E-08	4.917975
-20.00001	-4.22329E-08	5.08214	0.700001	1.57677E-08	5.08214
-20	-4.55408E-08	5.205697	0.799999	1.70808E-08	5.205697
-20	-3.78203E-08	5.32916	0.899999	1.79641E-08	5.32916
-19.99999	-4.22667E-08	5.452712	0.999998	1.9032E-08	5.452712
-19.99999	-4.17944E-08	5.5763	0.999998	1.89097E-08	5.5763
-20	-4.17006E-08	5.699774	0.9	1.77561E-08	5.699774
-20	-1.4401E-07	5.850864	0.800002	1.67247E-08	5.850864
-20	-1.4245E-07	6.038291	0.7	1.5072E-08	6.038291
-20	-1.72324E-07	6.214904	0.599999	1.37561E-08	6.214904
-20	-2.94562E-07	6.338365	0.5	1.25595E-08	6.338365
-20	-1.19005E-06	6.465276	0.4	1.11158E-08	6.465276
-20.00001	-1.3422E-06	6.592247	0.300016	9.2323E-09	6.592247
-20.00003	-6.5568E-06	6.759047	0.199793	6.7735E-09	6.759047
-20	-1.9289E-06	6.948606	0.099904	2.9077E-09	6.948606
-20	-1.4208E-06	7.139802	2E-06	-2.73E-11	7.139802
-10	-1.665E-07	7.336334	-1E-06	3.4109E-09	7.336334
-10	-2.03226E-07	7.468738	0.1	5.36587E-07	7.468738
-10	-2.73167E-07	7.59233	0.2	1.005382E-06	7.59233
-10.00006	-1.90646E-05	7.767931	0.299998	1.4333E-06	7.767931
-10.00004	-2.4095E-05	7.908137	0.4	1.60161E-06	7.908137
-9.99997	-2.33532E-05	8.031704	0.499999	1.6422E-06	8.031704
-9.99999	-3.14984E-05	8.155179	0.6	1.74705E-06	8.155179
-10	-3.29463E-05	8.278746	0.7	1.78152E-06	8.278746
-10	-2.31796E-05	8.406824	0.8	1.69637E-06	8.406824
-10	-2.22895E-05	8.530472	0.9	1.6939E-06	8.530472
-10	-2.24739E-05	8.653969	1	1.70767E-06	8.653969
-10	-2.21504E-05	8.777475	1	1.70344E-06	8.777475
-10	-2.19717E-05	8.903451	0.9	1.68619E-06	8.903451
-10	-2.17924E-05	9.026987	0.8	1.66278E-06	9.026987
-10	-2.13368E-05	9.150493	0.7	1.63993E-06	9.150493
-10	-2.17936E-05	9.27405	0.6	1.61979E-06	9.27405
-10	-2.39011E-05	9.404425	0.499999	1.59979E-06	9.404425
-10	-2.45509E-05	9.527947	0.4	1.54989E-06	9.527947
-10	-2.41528E-05	9.651559	0.3	1.41082E-06	9.651559
-10.00004	-2.52121E-05	9.775051	0.2	1.09657E-06	9.775051
-9.99999	-2.4534E-05	9.912704	0.099999	5.68164E-07	9.912704
-10	-2.5093E-05	10.059478	1E-06	4.92798E-09	10.059478
0	7.4405E-10	10.218754	-1E-06	1.88837E-08	10.218754
0	5.7935E-10	10.344446	0.1	2.93691E-06	10.344446
2E-07	5.8638E-10	10.494223	0.2	5.73068E-06	10.494223
-1E-07	5.8604E-10	10.644124	0.3	8.05807E-06	10.644124
3E-07	3.6746E-10	10.793955	0.4	9.64988E-06	10.793955
-2E-07	3.2956E-10	10.919668	0.5	1.05122E-05	10.919668
-2E-07	2.6866E-10	11.069443	0.6	1.09377E-05	11.069443
1E-07	2.4868E-10	11.219338	0.7	1.11253E-05	11.219338
-1E-07	2.2947E-10	11.369183	0.8	1.12921E-05	11.369183
1E-07	1.9762E-10	11.528096	0.9	1.14181E-05	11.528096
1E-07	1.7986E-10	11.677963	1	1.15044E-05	11.677963
0	1.7111E-10	11.800325	1	1.15063E-05	11.800325
-1E-07	1.5911E-10	11.950215	0.899999	1.13509E-05	11.950215
0	1.5129E-10	12.100058	0.8	1.12042E-05	12.100058
0	1.4455E-10	12.24982	0.7	1.103E-05	12.24982
-1E-07	1.3293E-10	12.427722	0.6	1.07896E-05	12.427722
-2E-07	1.2515E-10	12.577614	0.5	1.03158E-05	12.577614
1E-07	1.1869E-10	12.727286	0.4	9.4405E-06	12.727286
0	1.0938E-10	12.917494	0.3	7.83676E-06	12.917494
-1E-07	1.0168E-10	13.067263	0.2	5.53449E-06	13.067263
2E-07	9.779E-11	13.217145	0.1	2.81695E-06	13.217145
-1E-07	9.075E-11	13.402949	0	1.76725E-08	13.402949
10	3.44308E-09	13.573221	-1.4E-05	3.83603E-08	13.573221
10	2.8168E-09	13.698874	0.1	5.96047E-06	13.698874
10	2.57975E-09	13.82456	0.2	1.18158E-05	13.82456
10	3.00806E-09	13.974529	0.3	1.74318E-05	13.974529
10	3.13156E-09	14.124392	0.4	2.26238E-05	14.124392
10	2.52492E-09	14.246749	0.5	2.71474E-05	14.246749
10	2.86619E-09	14.41686	0.6	3.07742E-05	14.41686
10	2.34513E-09	14.566852	0.7	3.3418E-05	14.566852
9.99999	2.82002E-09	14.716689	0.8	3.51879E-05	14.716689
10	2.60425E-09	14.866521	0.9	3.62979E-05	14.866521
9.99999	2.31949E-09	15.036697	0.999999	3.70912E-05	15.036697
9.99999	2.74777E-09	15.159132	1	3.70752E-05	15.159132
9.99999	2.4723E-09	15.309044	0.9	3.62064E-05	15.309044
9.99999	2.89311E-09	15.458914	0.8	3.49983E-05	15.458914
9.99999	2.56866E-09	15.608833	0.7	3.31877E-05	15.608833
9.99999	2.34978E-09	15.75857	0.599999	3.0517E-05	15.75857
9.99999	2.56234E-09	15.936883	0.5	2.68566E-05	15.936883
9.99999	2.32875E-09	16.086757	0.4	2.23377E-05	16.086757
10	2.52869E-09	16.236615	0.3	1.71756E-05	16.236615
9.99999	2.2064E-09	16.42404	0.2	1.16205E-05	16.42404
9.99999	2.53381E-09	16.576586	0.1	5.84932E-06	16.576586
10	2.24631E-09	16.743559	-1.1E-05	3.89116E-08	16.743559
19.99999	3.93455E-09	16.944066	-3.8E-05	5.4845E-08	16.944066
19.99999	3.18892E-09	17.07218	0.1	8.74746E-06	17.07218
19.99999	2.9231E-09	17.197878	0.2	1.74004E-05	17.197878
20	2.96664E-09	17.34779	0.3	2.59222E-05	17.34779
20	2.95467E-09	17.470193	0.4	3.42219E-05	17.470193
19.99999	3.05453E-09	17.620131	0.5	4.21488E-05	17.620131
19.99999	3.11156E-09	17.742452	0.6	4.95955E-05	17.742452
20	2.8751E-09	17.927712	0.7	5.6363E-05	17.927712
19.99999	2.96034E-09	18.077564	0.8	6.23027E-05	18.077564
20	2.71322E-09	18.227493	0.899999	6.72773E-05	18.227493
19.99999	2.64785E-09	18.377414	1	7.12463E-05	18.377414
19.99999	2.92676E-09	18.51739	1	7.12128E-05	18.51739
20	2.67589E-09	18.66731	0.9	6.71119E-05	18.66731
