#scan	iMeasureCycle=1	iMux=0	time=0.136	N=220	LocalTime=31/10/2023 12:23:28
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-30	-1.90691E-09	0.298782	-1E-06	1.00685E-09	0.298782
-30.0001	-1.33412E-09	0.475776	0.099999	5.6865E-10	0.475776
-30.0001	-1.06998E-09	0.652019	0.199999	3.9701E-10	0.652019
-30	-9.1768E-10	0.846796	0.299999	3.0831E-10	0.846796
-30.0001	-8.2731E-10	1.023184	0.399999	2.6415E-10	1.023184
-30.0001	-7.8433E-10	1.171847	0.5	2.4584E-10	1.171847
-30.0001	-7.4373E-10	1.320417	0.600001	2.2847E-10	1.320417
-30.0001	-7.1225E-10	1.476694	0.700001	2.1752E-10	1.476694
-30.0001	-6.8054E-10	1.625399	0.8	2.0747E-10	1.625399
-30.0001	-6.4701E-10	1.801704	0.9	1.9225E-10	1.801704
-30.0001	-6.252E-10	1.950319	0.999999	1.8852E-10	1.950319
-30.0001	-5.9762E-10	2.071605	0.999999	1.6525E-10	2.071605
-30.0001	-5.5026E-10	2.220209	0.9	1.2163E-10	2.220209
-30.0001	-4.8982E-10	2.381438	0.8	8.48E-11	2.381438
-30.0001	-4.6493E-10	2.53011	0.699999	6.298E-11	2.53011
-30.0001	-4.4571E-10	2.678785	0.599999	4.791E-11	2.678785
-30.0001	-4.2243E-10	2.851849	0.5	3.549E-11	2.851849
-30.0001	-4.2336E-10	3.000535	0.399999	2.897E-11	3.000535
-30.0001	-4.0319E-10	3.149183	0.299999	2.094E-11	3.149183
-30.0001	-3.9605E-10	3.297855	0.2	1.746E-11	3.297855
-30.0001	-3.8793E-10	3.446744	0.099999	1.209E-11	3.446744
-30.0001	-3.8382E-10	3.595413	-1E-06	9.32E-12	3.595413
-20.00001	1.15296E-09	3.771557	-2E-06	-1.08093E-09	3.771557
-20.00001	3.6712E-10	3.920188	0.1	-4.0802E-10	3.920188
-20.00001	1.5164E-10	4.068869	0.2	-2.3079E-10	4.068869
-20.00001	4.978E-11	4.217507	0.299999	-1.518E-10	4.217507
-20.00001	-1.508E-11	4.391235	0.399999	-1.0455E-10	4.391235
-20.00001	-5.495E-11	4.539928	0.5	-7.514E-11	4.539928
-20.00001	-8.43E-11	4.688682	0.599999	-5.444E-11	4.688682
-20.00001	-1.0583E-10	4.85728	0.699999	-3.791E-11	4.85728
-20.00001	-1.2358E-10	5.005945	0.8	-2.507E-11	5.005945
-20.00001	-1.3858E-10	5.154542	0.899999	-1.504E-11	5.154542
-20.00001	-1.5088E-10	5.303177	1	-8.03E-12	5.303177
-20.00001	-1.4431E-10	5.424573	1	-1.306E-11	5.424573
-20.00001	-1.4632E-10	5.573252	0.899999	-2.534E-11	5.573252
-20.00001	-1.4009E-10	5.721911	0.799999	-3.161E-11	5.721911
-20.00001	-1.4242E-10	5.895106	0.7	-3.459E-11	5.895106
-20.00001	-1.3749E-10	6.043859	0.599999	-4.05E-11	6.043859
-20.00001	-1.2997E-10	6.192574	0.499999	-4.576E-11	6.192574
-20.00001	-1.275E-10	6.360924	0.399999	-5.058E-11	6.360924
-20.00001	-1.2165E-10	6.509607	0.299999	-5.749E-11	6.509607
-20.00001	-1.1067E-10	6.658225	0.2	-6.547E-11	6.658225
-20.00001	-1.0201E-10	6.806931	0.099999	-7.35E-11	6.806931
-20.00001	-9.628E-11	6.955808	-1E-06	-8.018E-11	6.955808
-9.99999	1.12494E-09	7.131819	-2E-06	-8.7895E-10	7.131819
-10	4.9883E-10	7.280482	0.1	-3.6716E-10	7.280482
-10	3.2076E-10	7.429098	0.199999	-2.4025E-10	7.429098
-10	2.2205E-10	7.577854	0.3	-1.7163E-10	7.577854
-10	1.5958E-10	7.726556	0.399999	-1.2739E-10	7.726556
-10	1.1406E-10	7.900176	0.499999	-9.605E-11	7.900176
-10	8.075E-11	8.048837	0.599999	-7.21E-11	8.048837
-10	5.492E-11	8.197583	0.700001	-5.425E-11	8.197583
-10	3.392E-11	8.366004	0.800001	-4.087E-11	8.366004
-10	1.777E-11	8.514687	0.899999	-2.999E-11	8.514687
-10	3.57E-12	8.663341	1	-2.184E-11	8.663341
-10	1.86E-12	8.784616	1	-2.428E-11	8.784616
-10	1.141E-11	8.933339	0.899999	-3.76E-11	8.933339
-10	2.133E-11	9.082064	0.799999	-5.099E-11	9.082064
-10	3.33E-11	9.23083	0.7	-6.537E-11	9.23083
-10	4.075E-11	9.40385	0.599999	-7.783E-11	9.40385
-10	5.082E-11	9.552568	0.499999	-9.161E-11	9.552568
-10	6.219E-11	9.701275	0.399999	-1.045E-10	9.701275
-10	6.85E-11	9.869642	0.3	-1.1345E-10	9.869642
-10	7.84E-11	10.01832	0.2	-1.2458E-10	10.01832
-10	8.725E-11	10.166977	0.099999	-1.3416E-10	10.166977
-10	9.297E-11	10.315561	-1E-06	-1.4111E-10	10.315561
6E-07	1.27057E-09	10.493975	0	-9.1328E-10	10.493975
2E-07	7.6358E-10	10.615168	0.099999	-4.8482E-10	10.615168
0	5.0968E-10	10.763878	0.199999	-2.5915E-10	10.763878
-1E-07	3.9268E-10	10.915471	0.3	-1.4178E-10	10.915471
-1E-07	3.168E-10	11.064094	0.399999	-5.641E-11	11.064094
-1E-07	2.6422E-10	11.212774	0.5	2.625E-11	11.212774
-1E-07	2.2874E-10	11.387577	0.6	7.003E-11	11.387577
0	2.0067E-10	11.53622	0.699999	1.2482E-10	11.53622
0	1.7132E-10	11.684935	0.800001	1.7887E-10	11.684935
1E-07	1.4763E-10	11.833558	0.899999	2.4581E-10	11.833558
2E-07	1.2902E-10	12.003266	0.999999	2.7949E-10	12.003266
-1E-07	1.3132E-10	12.124481	0.999999	2.7563E-10	12.124481
-3E-07	1.5545E-10	12.273076	0.9	1.518E-10	12.273076
0	1.8037E-10	12.421756	0.8	8.978E-11	12.421756
-1E-07	1.984E-10	12.570358	0.7	2.189E-11	12.570358
-1E-07	2.1017E-10	12.719023	0.599999	-3.482E-11	12.719023
-2E-07	2.1181E-10	12.900439	0.5	-7.926E-11	12.900439
0	2.6089E-10	13.049066	0.399999	-1.5484E-10	13.049066
-1E-07	2.6872E-10	13.197738	0.299999	-1.882E-10	13.197738
-2E-07	2.6837E-10	13.346335	0.199999	-2.0681E-10	13.346335
-1E-07	2.6073E-10	13.50697	0.1	-2.154E-10	13.50697
1E-07	2.5707E-10	13.655531	0	-2.2269E-10	13.655531
9.99999	1.84586E-09	13.831597	-1E-06	-1.39982E-09	13.831597
9.99999	1.19184E-09	13.952777	0.099999	-1.1083E-10	13.952777
9.99999	7.394E-10	14.101534	0.2	1.70671E-09	14.101534
9.99999	5.3427E-10	14.250187	0.3	3.84454E-09	14.250187
9.99999	4.1465E-10	14.41713	0.4	6.10419E-09	14.41713
9.99999	3.3924E-10	14.565811	0.500002	7.63733E-09	14.565811
9.99999	2.9E-10	14.70852	0.600001	9.8872E-09	14.70852
9.99999	2.5157E-10	14.830868	0.699999	1.21097E-08	14.830868
9.99999	2.2622E-10	14.953212	0.799998	1.47229E-08	14.953212
9.99999	2.0415E-10	15.075601	0.899999	1.68268E-08	15.075601
9.99999	1.8555E-10	15.198074	0.999998	1.99047E-08	15.198074
9.99999	1.9078E-10	15.32041	1.000003	1.89766E-08	15.32041
9.99999	2.1287E-10	15.442762	0.899999	1.53567E-08	15.442762
9.99999	2.3588E-10	15.56514	0.800002	1.24243E-08	15.56514
9.99999	2.6493E-10	15.687546	0.7	9.6992E-09	15.687546
9.99999	2.8908E-10	15.824949	0.599999	7.32653E-09	15.824949
9.99999	3.1129E-10	15.946139	0.5	5.36883E-09	15.946139
9.99999	3.291E-10	16.067372	0.400001	3.72603E-09	16.067372
9.99999	3.3992E-10	16.188568	0.3	2.28863E-09	16.188568
9.99999	3.4855E-10	16.309807	0.2	1.09731E-09	16.309807
9.99999	3.4972E-10	16.431012	0.1	2.274E-10	16.431012
9.99999	3.4187E-10	16.579553	-1E-06	-2.2787E-10	16.579553
19.99999	2.32742E-09	16.75561	-2E-06	-1.77517E-09	16.75561
19.99999	1.10536E-09	16.92678	0.1	3.41606E-09	16.92678
19.99999	7.4976E-10	17.069417	0.2	1.13806E-08	17.069417
19.99999	5.9475E-10	17.191787	0.299999	2.27699E-08	17.191787
19.99999	5.0191E-10	17.314191	0.400001	3.49522E-08	17.314191
19.99999	4.4731E-10	17.436548	0.499997	4.80131E-08	17.436548
19.99999	4.0454E-10	17.558937	0.600001	6.17584E-08	17.558937
19.99999	3.6718E-10	17.68134	0.699999	7.77314E-08	17.68134
19.99999	3.4257E-10	17.803832	0.799996	9.40842E-08	17.803832
19.99999	3.17E-10	17.932093	0.9	1.12676E-07	17.932093
20	2.9822E-10	18.082047	1	1.26812E-07	18.082047
20	3.0392E-10	18.204527	1	1.25719E-07	18.204527
20	3.3474E-10	18.354407	0.9	1.06913E-07	18.354407
20	3.6129E-10	18.519555	0.8	8.7518E-08	18.519555
19.99999	3.7328E-10	18.686747	0.700001	6.83744E-08	18.686747
19.99999	3.9223E-10	18.809252	0.600003	5.30077E-08	18.809252
19.99999	4.0344E-10	18.931598	0.500004	3.90322E-08	18.931598
19.99999	4.1815E-10	19.053962	0.4	2.73214E-08	19.053962
19.99999	4.2665E-10	19.176361	0.300002	1.73178E-08	19.176361
