#scan;iMeasureCycle=1;iMux=0;time=0.142;N=220;LocalTime=31/10/2023 12:21:34
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
-30.0001;-1.30E-09;0.304867;0;5.46E-10;0.304867
-30.0001;-1.20E-09;0.453836;0.1;5.47E-10;0.453836
-30.0001;-1.13E-09;0.602544;0.2;5.40E-10;0.602544
-30;-1.12E-09;0.778903;0.299999;5.88E-10;0.778903
-30.0001;-9.65E-10;0.955351;0.400001;4.75E-10;0.955351
-30.0001;-7.84E-10;1.131741;0.5;3.24E-10;1.131741
-30.0001;-7.20E-10;1.280369;0.6;2.79E-10;1.280369
-30.0001;-6.70E-10;1.429161;0.700001;2.52E-10;1.429161
-30.0001;-6.68E-10;1.578067;0.799999;2.54E-10;1.578067
-30;-6.38E-10;1.754337;0.9;2.47E-10;1.754337
-30;-6.35E-10;1.902943;1;2.52E-10;1.902943
-30;-5.72E-10;2.024169;1;1.98E-10;2.024169
-30;-4.69E-10;2.172868;0.9;1.03E-10;2.172868
-30;-4.04E-10;2.321535;0.799999;4.69E-11;2.321535
-30;-3.95E-10;2.485337;0.699999;2.32E-11;2.485337
-30;-3.54E-10;2.634077;0.6;8.10E-12;2.634077
-30;-3.43E-10;2.782709;0.499999;2.17E-12;2.782709
-30;-3.28E-10;2.931356;0.4;-4.93E-12;2.931356
-30;-3.18E-10;3.080344;0.3;-9.94E-12;3.080344
-30;-3.16E-10;3.228971;0.199999;-1.17E-11;3.228971
-30;-3.08E-10;3.39476;0.099999;-1.44E-11;3.39476
-30;-2.99E-10;3.543422;-1.00E-06;-1.97E-11;3.543422
-20;6.28E-10;3.719486;0;-5.13E-10;3.719486
-20;2.15E-10;3.900348;0.099999;-2.23E-10;3.900348
-20;9.09E-11;4.049021;0.2;-1.37E-10;4.049021
-20;2.19E-11;4.197589;0.299999;-9.06E-11;4.197589
-20;-2.61E-11;4.361877;0.4;-6.12E-11;4.361877
-20;-5.58E-11;4.510525;0.499999;-4.26E-11;4.510525
-20;-7.66E-11;4.659179;0.599999;-3.02E-11;4.659179
-20;-9.25E-11;4.807762;0.699999;-2.02E-11;4.807762
-20;-1.02E-10;4.956506;0.799999;-1.30E-11;4.956506
-20;-1.12E-10;5.105238;0.899999;-6.17E-12;5.105238
-20;-1.20E-10;5.253914;0.999999;-2.16E-12;5.253914
-20;-1.17E-10;5.375106;0.999999;-1.04E-11;5.375106
-20;-1.03E-10;5.523712;0.899999;-2.52E-11;5.523712
-20;-9.81E-11;5.672379;0.800001;-3.19E-11;5.672379
-20;-9.56E-11;5.820943;0.700001;-3.63E-11;5.820943
-20;-9.79E-11;5.994152;0.6;-3.93E-11;5.994152
-20;-9.57E-11;6.142779;0.5;-4.37E-11;6.142779
-20;-9.14E-11;6.291415;0.4;-4.74E-11;6.291415
-20;-8.83E-11;6.440108;0.299999;-5.05E-11;6.440108
-20;-8.40E-11;6.59014;0.2;-5.46E-11;6.59014
-20;-7.84E-11;6.738722;0.1;-5.93E-11;6.738722
-20;-7.84E-11;6.904011;0;-6.12E-11;6.904011
-10;1.03E-09;7.080117;0;-7.56E-10;7.080117
-10;4.99E-10;7.228667;0.099999;-3.38E-10;7.228667
-10;2.92E-10;7.409911;0.2;-1.90E-10;7.409911
-10;1.97E-10;7.558679;0.299999;-1.21E-10;7.558679
-10;1.41E-10;7.707253;0.4;-8.04E-11;7.707253
-10;1.02E-10;7.880504;0.499999;-5.58E-11;7.880504
-10;7.50E-11;8.029093;0.599999;-3.81E-11;8.029093
-10;5.40E-11;8.17774;0.7;-2.50E-11;8.17774
-10;4.01E-11;8.326384;0.799999;-1.70E-11;8.326384
-10;3.04E-11;8.475114;0.899999;-1.06E-11;8.475114
-10;2.19E-11;8.623819;1;-5.78E-12;8.623819
-10;2.10E-11;8.745058;1;-9.66E-12;8.745058
-10;2.90E-11;8.910041;0.9;-2.44E-11;8.910041
-10;4.11E-11;9.058662;0.799999;-4.14E-11;9.058662
-10;5.85E-11;9.207367;0.7;-6.25E-11;9.207367
-10;7.34E-11;9.375366;0.6;-8.21E-11;9.375366
-10;9.29E-11;9.524028;0.499999;-1.04E-10;9.524028
-10;1.09E-10;9.672723;0.4;-1.22E-10;9.672723
-10;1.21E-10;9.821273;0.3;-1.37E-10;9.821273
-10;1.32E-10;9.971254;0.2;-1.51E-10;9.971254
-10;1.42E-10;10.119954;0.1;-1.64E-10;10.119954
-10;1.52E-10;10.268463;-1.00E-06;-1.76E-10;10.268463
3.00E-07;1.32E-09;10.444537;0;-9.32E-10;10.444537
-1.00E-07;8.52E-10;10.593261;0.099999;-4.12E-10;10.593261
2.00E-07;5.40E-10;10.742004;0.199999;1.69E-10;10.742004
0;3.75E-10;10.92214;0.3;7.14E-10;10.92214
-1.00E-07;2.88E-10;11.070908;0.399999;1.30E-09;11.070908
