#scan;iMeasureCycle=1;iMux=0;time=0.137;N=482;LocalTime=27/10/2023 14:59:41;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (A^1/2)
-60;-3.71E-09;0.297738;1.000001;6.90E-11;0.297738;;;8.30662E-06
-59.5001;-3.34E-09;0.419331;1;5.66E-11;0.419331;;;7.5233E-06
-59.0001;-3.07E-09;0.540513;1.000001;4.40E-11;0.540513;;;6.63325E-06
-58.5001;-2.86E-09;0.661664;1;5.27E-11;0.661664;;;7.25948E-06
-58.0001;-2.69E-09;0.782866;1;4.70E-11;0.782866;;;6.85565E-06
-57.5001;-2.54E-09;0.904075;1;5.43E-11;0.904075;;;7.36885E-06
-57.0001;-2.41E-09;1.025284;1;4.22E-11;1.025284;;;6.49615E-06
-56.5001;-2.30E-09;1.146536;1.000001;5.47E-11;1.146536;;;7.39594E-06
-56.0001;-2.20E-09;1.267735;1;5.17E-11;1.267735;;;7.19027E-06
-55.5001;-2.12E-09;1.389034;1.000001;5.55E-11;1.389034;;;7.44983E-06
-55.0001;-2.04E-09;1.510338;1;6.06E-11;1.510338;;;7.7846E-06
-54.5001;-1.97E-09;1.631503;1;7.85E-11;1.631503;;;8.86002E-06
-54.0001;-1.92E-09;1.752736;1;9.35E-11;1.752736;;;9.66954E-06
-53.5001;-1.86E-09;1.873942;1;9.98E-11;1.873942;;;9.98999E-06
-53.0001;-1.81E-09;1.995205;1;1.15E-10;1.995205;;;1.07238E-05
-52.5001;-1.76E-09;2.116446;1;1.22E-10;2.116446;;;1.10454E-05
-52.0001;-1.72E-09;2.237673;1;1.47E-10;2.237673;;;1.21244E-05
-51.5001;-2.05E-09;2.358875;1;5.82E-10;2.358875;;;2.41247E-05
-51.0001;-2.00E-09;2.48012;1;5.59E-10;2.48012;;;2.36432E-05
-50.5001;-2.37E-09;2.601318;1;9.36E-10;2.601318;;;3.05941E-05
-50.0001;-2.26E-09;2.722491;0.999999;1.06E-09;2.722491;;;3.25576E-05
-49.5001;-2.07E-09;2.84865;1.000001;7.06E-10;2.84865;;;2.65707E-05
-49.0001;-1.84E-09;2.969908;1;5.51E-10;2.969908;;;2.34734E-05
-48.5001;-1.83E-09;3.091256;1.000001;5.68E-10;3.091256;;;2.38328E-05
-48.0001;-1.68E-09;3.212445;1;4.57E-10;3.212445;;;2.13776E-05
-47.5001;-1.68E-09;3.349664;1;4.93E-10;3.349664;;;2.22036E-05
-47.0001;-1.77E-09;3.470922;1;6.51E-10;3.470922;;;2.55147E-05
-46.5001;-1.72E-09;3.592101;1;6.02E-10;3.592101;;;2.45357E-05
-46.0001;-1.68E-09;3.713295;1.000001;5.87E-10;3.713295;;;2.42281E-05
-45.5001;-1.63E-09;3.850661;1;5.63E-10;3.850661;;;2.37276E-05
-45.0001;-1.49E-09;3.971921;1;4.91E-10;3.971921;;;2.21585E-05
-44.5001;-1.38E-09;4.093363;1;3.95E-10;4.093363;;;1.98746E-05
-44.0001;-1.31E-09;4.214559;1;3.66E-10;4.214559;;;1.91311E-05
-43.5001;-1.33E-09;4.351641;1;3.98E-10;4.351641;;;1.99499E-05
-43.0001;-1.24E-09;4.472901;1;3.61E-10;4.472901;;;0.000019
-42.5001;-1.25E-09;4.594068;1;3.85E-10;4.594068;;;1.96214E-05
-42.0001;-1.22E-09;4.715269;1;4.14E-10;4.715269;;;2.0347E-05
-41.5001;-1.24E-09;4.852643;1;4.58E-10;4.852643;;;2.14009E-05
-41.0001;-1.18E-09;4.9739;1;4.18E-10;4.9739;;;2.0445E-05
-40.5001;-1.14E-09;5.095147;1;4.28E-10;5.095147;;;2.06882E-05
-40.0001;-1.09E-09;5.216356;1;4.08E-10;5.216356;;;2.0199E-05
-39.5001;-1.07E-09;5.353604;1.000001;4.14E-10;5.353604;;;2.0347E-05
-39.0001;-9.81E-10;5.474853;1;3.81E-10;5.474853;;;1.95192E-05
-38.5001;-9.62E-10;5.623734;1;4.08E-10;5.623734;;;2.0199E-05
-38;-9.15E-10;5.77263;1.000001;4.11E-10;5.77263;;;2.02731E-05
-37.5001;-8.25E-10;5.921557;1;4.07E-10;5.921557;;;2.01742E-05
-37;-8.11E-10;6.070431;1;4.95E-10;6.070431;;;2.22486E-05
-36.5;-7.91E-10;6.219351;1;6.00E-10;6.219351;;;2.44949E-05
-36.0001;-7.19E-10;6.397759;1;6.64E-10;6.397759;;;2.57682E-05
-35.5001;-6.89E-10;6.546711;1;8.54E-10;6.546711;;;2.92233E-05
-35.0001;-6.42E-10;6.695533;1;1.09E-09;6.695533;;;3.30151E-05
-34.5;-6.28E-10;6.868748;1;1.38E-09;6.868748;;;3.71484E-05
-34.0001;-6.00E-10;7.017651;1;1.83E-09;7.017651;;;4.27785E-05
-33.5;-5.82E-10;7.166486;1.000001;2.42E-09;7.166486;;;4.91935E-05
-33;-5.56E-10;7.315318;1.000001;3.18E-09;7.315318;;;5.63915E-05
-32.5001;-5.27E-10;7.486977;1.000001;4.13E-09;7.486977;;;6.42651E-05
-32;-5.01E-10;7.635701;1.000001;5.47E-09;7.635701;;;7.39594E-05
-31.5001;-4.77E-10;7.784605;1.000001;7.21E-09;7.784605;;;8.49117E-05
-31.0001;-4.65E-10;7.954936;1.000001;9.40E-09;7.954936;;;9.69536E-05
-30.5;-4.44E-10;8.105145;1.000002;1.27E-08;8.105145;;;0.000112694
-30.0001;-4.24E-10;8.255204;1.000002;1.75E-08;8.255204;;;0.000132288
-29.5001;-3.98E-10;8.405524;1.000004;2.39E-08;8.405524;;;0.000154596
-29.0001;-3.76E-10;8.555692;1.000005;3.31E-08;8.555692;;;0.000181934
-28.5;-3.60E-10;8.70568;1.000005;4.58E-08;8.70568;;;0.000214009
-28.0001;-3.51E-10;8.893816;1.000006;5.87E-08;8.893816;;;0.000242281
-27.5001;-3.27E-10;9.043858;1.000008;8.13E-08;9.043858;;;0.000285132
-27;-3.15E-10;9.199834;1;1.06E-07;9.199834;;;0.000325576
-26.5;-2.99E-10;9.383517;1;1.33E-07;9.383517;;;0.000364692
-26.0001;-2.77E-10;9.533579;1;1.68E-07;9.533579;;;0.000409878
-25.5;-2.58E-10;9.683553;1;2.00E-07;9.683553;;;0.000447214
-25.0001;-2.40E-10;9.833759;1;2.39E-07;9.833759;;;0.000488876
-24.5;-2.25E-10;9.994609;1;2.66E-07;9.994609;;;0.000515752
-24.0001;-2.09E-10;10.144706;1;3.00E-07;10.144706;;;0.000547723
-23.5001;-1.92E-10;10.29474;1;3.34E-07;10.29474;;;0.000577927
-23;-1.78E-10;10.444827;1;3.71E-07;10.444827;;;0.000609098
-22.5001;-1.61E-10;10.596562;1;4.06E-07;10.596562;;;0.000637181
-22;-1.47E-10;10.746569;0.999999;4.58E-07;10.746569;;;0.000676757
-21.5;-1.39E-10;10.910481;0.999999;5.29E-07;10.910481;;;0.000727324
-21;-1.21E-10;11.060404;0.999999;5.84E-07;11.060404;;;0.000764199
-20.5;-1.04E-10;11.210301;1;6.33E-07;11.210301;;;0.000795613
-20.0001;-1.06E-10;11.395046;1;6.95E-07;11.395046;;;0.000833667
-19.5001;-8.62E-11;11.544995;0.999999;7.64E-07;11.544995;;;0.000874071
-19;-7.39E-11;11.694831;1.000001;8.67E-07;11.694831;;;0.000931128
-18.5001;-5.91E-11;11.844764;0.999999;9.64E-07;11.844764;;;0.000981835
-18;-5.16E-11;12.002833;1;1.03E-06;12.002833;;;0.001014889
-17.5;-4.03E-11;12.152721;1;1.15E-06;12.152721;;;0.001072381
-17.0001;-2.59E-11;12.302653;1;1.24E-06;12.302653;;;0.001113553
-16.5001;-1.35E-11;12.452619;0.999999;1.37E-06;12.452619;;;0.00117047
-16.0001;-8.69E-12;12.602554;1;1.49E-06;12.602554;;;0.001220656
-15.5001;5.70E-12;12.75245;1;1.63E-06;12.75245;;;0.001276715
-15;1.34E-11;12.911848;1;1.76E-06;12.911848;;;0.00132665
-14.4999;2.17E-11;13.061754;1;1.95E-06;13.061754;;;0.001396424
-14;2.84E-11;13.211773;1;2.10E-06;13.211773;;;0.001449138
-13.5;3.31E-11;13.386551;0.999999;2.28E-06;13.386551;;;0.001509967
-13.0001;4.41E-11;13.536447;1;2.54E-06;13.536447;;;0.001593738
-12.5;6.13E-11;13.686221;0.999999;2.77E-06;13.686221;;;0.001664332
-12;6.39E-11;13.836071;1;2.99E-06;13.836071;;;0.001729162
-11.5001;7.52E-11;14.004537;1;3.28E-06;14.004537;;;0.001811077
-11.0001;8.26E-11;14.154384;1;3.53E-06;14.154384;;;0.001878829
-10.5;9.35E-11;14.304284;0.999999;3.87E-06;14.304284;;;0.001967232
-10;1.06E-10;14.454275;1;4.19E-06;14.454275;;;0.002046949
-9.5;1.15E-10;14.606482;1;4.51E-06;14.606482;;;0.002123676
-9;1.24E-10;14.75636;1;4.87E-06;14.75636;;;0.002206808
-8.5001;1.31E-10;14.921294;0.999999;5.31E-06;14.921294;;;0.002304344
-8;1.42E-10;15.071109;0.999999;5.71E-06;15.071109;;;0.002389561
-7.5001;1.58E-10;15.220979;0.999999;6.27E-06;15.220979;;;0.002503997
-7.0001;1.58E-10;15.40547;1;6.68E-06;15.40547;;;0.00258457
-6.5001;1.76E-10;15.555384;0.999999;7.21E-06;15.555384;;;0.002685144
-6;1.89E-10;15.705152;0.999999;7.79E-06;15.705152;;;0.002791057
-5.5;2.03E-10;15.855232;0.999999;8.34E-06;15.855232;;;0.002887906
-5;2.09E-10;16.010334;1;9.01E-06;16.010334;;;0.003001666
-4.5001;2.22E-10;16.160274;0.999999;9.65E-06;16.160274;;;0.003106445
-4.0001;2.34E-10;16.310216;1;1.02E-05;16.310216;;;0.003193744
-3.5;2.43E-10;16.463592;1;1.10E-05;16.463592;;;0.003316625
-3;2.55E-10;16.613511;0.999999;1.17E-05;16.613511;;;0.003420526
-2.5;2.68E-10;16.76339;1.000001;1.26E-05;16.76339;;;0.003549648
-2;2.75E-10;16.926561;1;1.35E-05;16.926561;;;0.003674235
-1.5;2.88E-10;17.076516;1;1.44E-05;17.076516;;;0.003794733
-1;3.02E-10;17.226407;0.999999;1.54E-05;17.226407;;;0.003924283
-0.5001;2.99E-10;17.415671;1;1.63E-05;17.415671;;;0.004037326
-0.0001;3.15E-10;17.565452;1;1.74E-05;17.565452;;;0.004171331
0.4999;3.28E-10;17.715233;0.999999;1.85E-05;17.715233;;;0.004301163
1;3.30E-10;17.896446;0.999998;1.97E-05;17.896446;;;0.004438468
1.4999;3.44E-10;18.046397;1;2.10E-05;18.046397;;;0.004582576
2;3.56E-10;18.1963;0.999999;2.24E-05;18.1963;;;0.004732864
2.4999;3.68E-10;18.346168;0.999999;2.36E-05;18.346168;;;0.004857983
2.9999;3.77E-10;18.515901;1;2.52E-05;18.515901;;;0.00501996
3.4999;3.88E-10;18.665669;1;2.64E-05;18.665669;;;0.005138093
4;4.00E-10;18.8156;1;2.79E-05;18.8156;;;0.005282045
4.5;4.14E-10;18.965419;1.000001;2.96E-05;18.965419;;;0.005440588
5;4.27E-10;19.115446;1;3.08E-05;19.115446;;;0.005549775
5.4999;4.34E-10;19.265361;0.999999;3.28E-05;19.265361;;;0.005727128
6;4.39E-10;19.432069;1;3.45E-05;19.432069;;;0.00587367
6.5;4.53E-10;19.582154;1;3.65E-05;19.582154;;;0.006041523
7;4.68E-10;19.732014;1;3.83E-05;19.732014;;;0.006188699
7.4999;4.67E-10;19.91708;0.999999;4.03E-05;19.91708;;;0.006348228
7.9999;4.82E-10;20.067065;0.999999;4.22E-05;20.067065;;;0.006496153
8.5;4.94E-10;20.21692;0.999999;4.43E-05;20.21692;;;0.006655825
8.9999;5.00E-10;20.391546;0.999999;4.64E-05;20.391546;;;0.006811755
9.5;5.17E-10;20.541467;1;4.85E-05;20.541467;;;0.006964194
10;5.27E-10;20.691271;0.999997;5.06E-05;20.691271;;;0.007113368
10.4999;5.41E-10;20.841146;1;5.29E-05;20.841146;;;0.007273239
10.9999;5.48E-10;20.990969;1;5.54E-05;20.990969;;;0.007443118
11.5;5.61E-10;21.141014;1;5.75E-05;21.141014;;;0.007582875
12;5.71E-10;21.290876;0.999999;5.99E-05;21.290876;;;0.007739509
12.5;5.86E-10;21.440861;0.999999;6.23E-05;21.440861;;;0.007893035
12.9999;5.95E-10;21.590795;1;6.50E-05;21.590795;;;0.008062258
13.4999;6.05E-10;21.740556;1;6.77E-05;21.740556;;;0.008228001
13.9999;6.04E-10;21.927989;1;7.01E-05;21.927989;;;0.008372574
14.5;6.23E-10;22.077924;1;7.27E-05;22.077924;;;0.008526429
14.9999;6.32E-10;22.227759;1;7.56E-05;22.227759;;;0.008694826
15.5;6.32E-10;22.408505;0.999999;7.81E-05;22.408505;;;0.00883742
15.9999;6.50E-10;22.558395;1;8.11E-05;22.558395;;;0.009005554
16.5;6.66E-10;22.708202;1;8.35E-05;22.708202;;;0.009137833
17;6.73E-10;22.858032;1;8.62E-05;22.858032;;;0.009284396
17.4999;6.89E-10;23.027255;1;8.90E-05;23.027255;;;0.009433981
18;6.99E-10;23.177055;0.999999;9.20E-05;23.177055;;;0.009591663
18.5;7.08E-10;23.326903;1.000001;9.48E-05;23.326903;;;0.009736529
19;7.17E-10;23.476872;1;9.78E-05;23.476872;;;0.009889388
19.5;7.35E-10;23.626843;1.000001;0.000100621;23.626843;;;0.010031002
20;7.46E-10;23.776678;0.999999;0.0001034;23.776678;;;0.010168579
20.4999;7.47E-10;23.944187;0.999999;0.000106177;23.944187;;;0.010304222
21;7.61E-10;24.094049;1;0.000109113;24.094049;;;0.010445717
21.5;7.71E-10;24.244042;1;0.000111976;24.244042;;;0.010581871
21.9999;7.65E-10;24.436774;1;0.000114718;24.436774;;;0.010710649
22.5;7.86E-10;24.586846;1;0.000117705;24.586846;;;0.010849194
23;7.97E-10;24.736815;1;0.000120344;24.736815;;;0.010970141
23.5;8.05E-10;24.914448;1;0.000123432;24.914448;;;0.011109995
24;8.20E-10;25.064499;1;0.000126425;25.064499;;;0.011243887
24.4999;8.32E-10;25.214507;1;0.000129186;25.214507;;;0.011366002
25;8.47E-10;25.364522;1;0.000132066;25.364522;;;0.011491997
25.5;8.55E-10;25.534857;1;0.000134837;25.534857;;;0.011611934
26;8.63E-10;25.684849;1;0.000137602;25.684849;;;0.011730388
26.5;8.82E-10;25.834916;1;0.000140458;25.834916;;;0.011851498
26.9999;8.92E-10;25.985025;1;0.000143346;25.985025;;;0.011972719
27.5;9.02E-10;26.135729;1;0.000145978;26.135729;;;0.012082136
27.9999;9.11E-10;26.285767;1;0.000148758;26.285767;;;0.012196639
28.4999;9.12E-10;26.44685;1;0.000151529;26.44685;;;0.012309712
29;9.28E-10;26.596905;1;0.000154124;26.596905;;;0.012414669
29.4999;9.43E-10;26.746935;1;0.000156889;26.746935;;;0.012525534
30;9.44E-10;26.921318;1;0.000159322;26.921318;;;0.012622282
30.4999;9.58E-10;27.071344;0.999999;0.000161871;27.071344;;;0.012722853
30.9999;9.75E-10;27.221319;0.999999;0.000164542;27.221319;;;0.012827393
31.5;9.83E-10;27.371382;1;0.000166943;27.371382;;;0.012920642
32;9.91E-10;27.539587;1;0.000169681;27.539587;;;0.013026166
32.5;1.00E-09;27.689557;1;0.000172159;27.689557;;;0.013120937
33;1.01E-09;27.839607;1;0.000174463;27.839607;;;0.013208444
33.4999;1.02E-09;27.989627;1;0.000176959;27.989627;;;0.013302594
33.9999;1.04E-09;28.141748;1;0.000179513;28.141748;;;0.013398246
34.4999;1.05E-09;28.29184;1;0.000181783;28.29184;;;0.013482693
34.9999;1.05E-09;28.45216;1;0.000184215;28.45216;;;0.013572583
35.5;1.07E-09;28.602319;1;0.000186506;28.602319;;;0.01365672
36;1.08E-09;28.752344;1;0.000188937;28.752344;;;0.013745436
36.5;1.08E-09;28.92659;1;0.000191173;28.92659;;;0.013826532
37;1.09E-09;29.07688;1;0.000193456;29.07688;;;0.013908846
37.4999;1.11E-09;29.226927;1;0.000195686;29.226927;;;0.013988781
38;1.12E-09;29.376991;1;0.000197982;29.376991;;;0.014070608
38.4999;1.13E-09;29.544614;0.999999;0.000200287;29.544614;;;0.014152279
39;1.14E-09;29.694763;1;0.000202359;29.694763;;;0.014225294
39.5001;1.15E-09;29.845144;0.999999;0.000204488;29.845144;;;0.01429993
40;1.17E-09;29.995344;1;0.000206752;29.995344;;;0.014378873
40.4999;1.17E-09;30.146911;1;0.00020904;30.146911;;;0.014458216
40.9999;1.19E-09;30.297178;1;0.000211146;30.297178;;;0.014530864
41.5;1.19E-09;30.461704;1;0.000213225;30.461704;;;0.014602226
41.9999;1.20E-09;30.611946;1;0.000215517;30.611946;;;0.014680497
42.4999;1.21E-09;30.761958;1;0.000217557;30.761958;;;0.014749814
42.9999;1.21E-09;30.946009;1;0.000219602;30.946009;;;0.014818974
43.4999;1.24E-09;31.096236;1;0.000221699;31.096236;;;0.01488956
43.9999;1.24E-09;31.246395;1;0.000223809;31.246395;;;0.014960247
44.4999;1.25E-09;31.431069;1;0.000225778;31.431069;;;0.015025911
45;1.26E-09;31.581336;1;0.000227876;31.581336;;;0.015095562
45.4999;1.27E-09;31.731484;1;0.000229876;31.731484;;;0.015161662
46;1.29E-09;31.881692;0.999999;0.000231966;31.881692;;;0.01523043
46.4999;1.30E-09;32.043038;1;0.0002339;32.043038;;;0.01529379
46.9999;1.31E-09;32.193472;1;0.000235944;32.193472;;;0.015360469
47.5;1.32E-09;32.343714;1;0.000237925;32.343714;;;0.015424818
48;1.33E-09;32.494306;1;0.000239907;32.494306;;;0.015488932
48.5;1.34E-09;32.644591;0.999999;0.000241791;32.644591;;;0.01554963
48.9999;1.36E-09;32.794846;0.999999;0.000243877;32.794846;;;0.015616562
49.5;1.36E-09;32.967988;1;0.00024575;32.967988;;;0.015676415
50;1.37E-09;33.118326;1;0.000247643;33.118326;;;0.015736677
50.4999;1.39E-09;33.268536;1;0.000249615;33.268536;;;0.015799209
51;1.39E-09;33.457114;1;0.000251391;33.457114;;;0.015855315
51.4999;1.41E-09;33.607452;1;0.000253314;33.607452;;;0.015915841
52;1.41E-09;33.75763;0.999999;0.000255243;33.75763;;;0.015976326
52.5;1.42E-09;33.943014;1;0.000257029;33.943014;;;0.016032124
52.9999;1.43E-09;34.093329;0.999999;0.000258886;34.093329;;;0.016089935
53.4999;1.45E-09;34.243769;1;0.000260695;34.243769;;;0.016146052
54;1.46E-09;34.393986;1;0.000262694;34.393986;;;0.016207838
54.4999;1.47E-09;34.557767;1;0.000264438;34.557767;;;0.01626155
54.9999;1.48E-09;34.708057;1;0.000266337;34.708057;;;0.016319835
55.4999;1.49E-09;34.858426;0.999999;0.000268177;34.858426;;;0.016376111
55.9999;1.51E-09;35.00866;1;0.000269889;35.00866;;;0.016428299
56.4999;1.51E-09;35.159974;1;0.000271866;35.159974;;;0.01648836
57;1.53E-09;35.310318;1;0.000273622;35.310318;;;0.016541524
57.5;1.54E-09;35.474825;0.999999;0.000275512;35.474825;;;0.016598554
57.9999;1.54E-09;35.625366;1;0.00027737;35.625366;;;0.016654429
58.4999;1.56E-09;35.775649;1;0.000279207;35.775649;;;0.016709488
58.9999;1.56E-09;35.959674;1;0.000280886;35.959674;;;0.016759654
59.4999;1.57E-09;36.11;0.999999;0.000282837;36.11;;;0.016817758
60;1.59E-09;36.260458;1;0.000284547;36.260458;;;0.016868521
60;1.55E-09;36.382885;1;0.000284499;36.382885;;;0.016867098
59.5;1.46E-09;36.505284;1;0.000282491;36.505284;;;0.016807469
59;1.40E-09;36.627648;1;0.000280374;36.627648;;;0.016744372
58.5;1.35E-09;36.749957;1;0.000278448;36.749957;;;0.016686761
58;1.30E-09;36.872311;1;0.000276399;36.872311;;;0.016625252
57.5;1.25E-09;36.994666;0.999999;0.000274145;36.994666;;;0.016557325
57;1.22E-09;37.117028;1;0.00027215;37.117028;;;0.016496969
56.5;1.18E-09;37.239383;1;0.000270046;37.239383;;;0.016433076
56;1.14E-09;37.361712;0.999999;0.000267892;37.361712;;;0.016367407
55.5;1.11E-09;37.484064;1;0.00026582;37.484064;;;0.016303987
55;1.07E-09;37.606507;1;0.000263721;37.606507;;;0.016239489
54.5;1.04E-09;37.728826;1;0.000261554;37.728826;;;0.016172631
54;1.01E-09;37.851223;1;0.000259528;37.851223;;;0.016109873
53.5;9.77E-10;37.973578;1;0.000257248;37.973578;;;0.016038953
53;9.42E-10;38.096005;1;0.000255108;38.096005;;;0.015972101
52.5;9.12E-10;38.218382;1;0.000253122;38.218382;;;0.015909808
