File Name: 00_Sample10_device3_trfSat_dark_hor.dat
File Data: 16/11/2023	11:52:32
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	5.2690E-13	-5.0000E+1	-2.0039E-11
1.0000E+3	1.0000E+0	-9.3579E-13	-4.9500E+1	-5.4121E-13
1.5000E+3	1.0000E+0	-7.9513E-13	-4.9000E+1	-7.1049E-13
2.0000E+3	1.0000E+0	-9.8944E-13	-4.8500E+1	-6.3896E-13
2.5000E+3	1.0000E+0	-1.1838E-12	-4.8000E+1	-5.9843E-13
3.0000E+3	1.0000E+0	-1.2112E-12	-4.7500E+1	-2.8491E-13
3.5000E+3	1.0000E+0	-1.2612E-12	-4.7000E+1	-4.0889E-13
4.0000E+3	1.0000E+0	-1.2505E-12	-4.6500E+1	-4.3392E-13
4.5000E+3	1.0000E+0	-1.2243E-12	-4.6000E+1	-6.0678E-13
5.0000E+3	1.0000E+0	-1.2994E-12	-4.5500E+1	-4.4704E-13
5.5000E+3	1.0000E+0	-1.3077E-12	-4.5000E+1	-4.0293E-13
6.0000E+3	1.0000E+0	-1.2755E-12	-4.4500E+1	-3.2544E-13
6.5000E+3	1.0000E+0	-1.3948E-12	-4.4000E+1	-4.7445E-13
7.0000E+3	1.0000E+0	-1.2660E-12	-4.3500E+1	-2.5868E-13
7.5000E+3	1.0000E+0	-1.4234E-12	-4.3000E+1	-3.9697E-13
8.0000E+3	1.0000E+0	-1.4305E-12	-4.2500E+1	-4.1127E-13
8.5000E+3	1.0000E+0	-1.4532E-12	-4.2000E+1	-4.1008E-13
9.0000E+3	1.0000E+0	-1.5342E-12	-4.1500E+1	-3.1948E-13
9.5000E+3	1.0000E+0	-1.4627E-12	-4.1000E+1	-4.9114E-13
1.0000E+4	1.0000E+0	-1.3280E-12	-4.0500E+1	-3.4213E-13
1.0500E+4	1.0000E+0	-1.3840E-12	-4.0000E+1	-3.8981E-13
1.1000E+4	1.0000E+0	-1.4806E-12	-3.9500E+1	-5.6148E-13
1.1500E+4	1.0000E+0	-1.3828E-12	-3.9000E+1	-2.4915E-13
1.2000E+4	1.0000E+0	-1.4842E-12	-3.8500E+1	-9.3460E-13
1.2500E+4	1.0000E+0	-1.4114E-12	-3.8000E+1	-6.3181E-13
1.3000E+4	1.0000E+0	-1.4067E-12	-3.7500E+1	-3.8743E-13
1.3500E+4	1.0000E+0	-1.3840E-12	-3.7000E+1	-3.2187E-13
1.4000E+4	1.0000E+0	-1.4281E-12	-3.6500E+1	-3.5882E-13
1.4500E+4	1.0000E+0	-1.4246E-12	-3.6000E+1	-6.2108E-13
1.5000E+4	1.0000E+0	-1.5557E-12	-3.5500E+1	-4.7088E-13
1.5500E+4	1.0000E+0	-1.7178E-12	-3.5000E+1	-3.2902E-13
1.6000E+4	1.0000E+0	-1.6785E-12	-3.4500E+1	-4.9949E-13
1.6500E+4	1.0000E+0	-1.5831E-12	-3.4000E+1	-4.6015E-13
1.7000E+4	1.0000E+0	-1.5974E-12	-3.3500E+1	-7.2479E-13
1.7500E+4	1.0000E+0	-1.5557E-12	-3.3000E+1	-8.2016E-13
1.8000E+4	1.0000E+0	-1.6963E-12	-3.2500E+1	-7.9870E-13
1.8500E+4	1.0000E+0	-1.6546E-12	-3.2000E+1	-5.1379E-13
1.9000E+4	1.0000E+0	-1.5759E-12	-3.1500E+1	-4.9949E-13
