File Name: prova_7_noRad.dat
File Data: 10/11/2023	12:03:30
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	7.6766E-10	-5.0000E+1	-2.2382E-8
7.0000E+2	1.0000E+0	5.9355E-10	-4.9500E+1	-1.9262E-8
1.2000E+3	1.0000E+0	4.7960E-10	-4.9000E+1	-1.8511E-8
1.7000E+3	1.0000E+0	3.7741E-10	-4.8500E+1	-1.8053E-8
2.2000E+3	1.0000E+0	3.0677E-10	-4.8000E+1	-1.7648E-8
2.7000E+3	1.0000E+0	2.5908E-10	-4.7500E+1	-1.7399E-8
3.2000E+3	1.0000E+0	2.2494E-10	-4.7000E+1	-1.7133E-8
3.7000E+3	1.0000E+0	1.6399E-10	-4.6500E+1	-1.6636E-8
4.2000E+3	1.0000E+0	1.1553E-10	-4.6000E+1	-1.6253E-8
4.7000E+3	1.0000E+0	9.5000E-11	-4.5500E+1	-1.5747E-8
5.2000E+3	1.0000E+0	7.2026E-11	-4.5000E+1	-1.5675E-8
5.7000E+3	1.0000E+0	5.4442E-11	-4.4500E+1	-1.5230E-8
6.2000E+3	1.0000E+0	4.2551E-11	-4.4000E+1	-1.5228E-8
6.7000E+3	1.0000E+0	3.1071E-11	-4.3500E+1	-1.5053E-8
7.2000E+3	1.0000E+0	2.1310E-11	-4.3000E+1	-1.4764E-8
7.7000E+3	1.0000E+0	1.4141E-11	-4.2500E+1	-1.4424E-8
8.2000E+3	1.0000E+0	6.6280E-12	-4.2000E+1	-1.4097E-8
8.7000E+3	1.0000E+0	1.2910E-12	-4.1500E+1	-1.3874E-8
9.2000E+3	1.0000E+0	-5.8377E-12	-4.1000E+1	-1.3633E-8
9.7000E+3	1.0000E+0	-1.1601E-11	-4.0500E+1	-1.3402E-8
1.0200E+4	1.0000E+0	-1.6190E-11	-4.0000E+1	-1.3244E-8
1.0700E+4	1.0000E+0	-1.7960E-11	-3.9500E+1	-1.2986E-8
1.1200E+4	1.0000E+0	-1.9647E-11	-3.9000E+1	-1.2735E-8
1.1700E+4	1.0000E+0	-2.1073E-11	-3.8500E+1	-1.2622E-8
1.2200E+4	1.0000E+0	-2.2402E-11	-3.8000E+1	-1.2339E-8
1.2700E+4	1.0000E+0	-2.3467E-11	-3.7500E+1	-1.2109E-8
1.3200E+4	1.0000E+0	-2.4550E-11	-3.7000E+1	-1.1977E-8
1.3700E+4	1.0000E+0	-2.5359E-11	-3.6500E+1	-1.1771E-8
1.4200E+4	1.0000E+0	-2.6232E-11	-3.6000E+1	-1.1513E-8
1.4700E+4	1.0000E+0	-2.7935E-11	-3.5500E+1	-1.1432E-8
1.5200E+4	1.0000E+0	-2.1061E-11	-3.5000E+1	-1.1094E-8
1.5700E+4	1.0000E+0	-4.4236E-11	-3.4500E+1	-1.0836E-8
1.6200E+4	1.0000E+0	-2.7733E-11	-3.4000E+1	-1.0800E-8
1.6700E+4	1.0000E+0	-3.1242E-11	-3.3500E+1	-1.0676E-8
1.7200E+4	1.0000E+0	-3.2530E-11	-3.3000E+1	-1.0484E-8
1.7700E+4	1.0000E+0	-4.0902E-11	-3.2500E+1	-1.0311E-8
1.8200E+4	1.0000E+0	-3.9990E-11	-3.2000E+1	-1.0117E-8
1.8700E+4	1.0000E+0	-4.1127E-11	-3.1500E+1	-9.9299E-9
1.9200E+4	1.0000E+0	-3.9532E-11	-3.1000E+1	-9.7776E-9
1.9700E+4	1.0000E+0	-3.9370E-11	-3.0500E+1	-9.5212E-9
2.0200E+4	1.0000E+0	-4.0762E-11	-3.0000E+1	-9.2970E-9
2.0700E+4	1.0000E+0	-4.1431E-11	-2.9500E+1	-9.0995E-9
2.1200E+4	1.0000E+0	-4.2136E-11	-2.9000E+1	-9.0181E-9
2.1700E+4	1.0000E+0	-4.2684E-11	-2.8500E+1	-8.8508E-9
2.2200E+4	1.0000E+0	-4.3195E-11	-2.8000E+1	-8.6102E-9
2.2700E+4	1.0000E+0	-4.3783E-11	-2.7500E+1	-8.4621E-9
2.3200E+4	1.0000E+0	-4.4432E-11	-2.7000E+1	-8.3891E-9
2.3700E+4	1.0000E+0	-4.4985E-11	-2.6500E+1	-8.2130E-9
