File Name: prova_8_changed_SMU_noRad.dat
File Data: 10/11/2023	12:30:33
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	2.0000E+0	1.4322E-9	-5.0000E+1	-2.3046E-8
1.0000E+3	2.0000E+0	4.6391E-10	-4.9000E+1	-2.1888E-8
1.5000E+3	2.0000E+0	1.6092E-10	-4.8000E+1	-1.7893E-8
2.0000E+3	2.0000E+0	4.6011E-11	-4.7000E+1	-1.6971E-8
2.5000E+3	2.0000E+0	1.2177E-11	-4.6000E+1	-1.6241E-8
3.0000E+3	2.0000E+0	-6.9070E-12	-4.5000E+1	-1.5737E-8
3.5000E+3	2.0000E+0	-1.8858E-11	-4.4000E+1	-1.5101E-8
4.0000E+3	2.0000E+0	-2.6083E-11	-4.3000E+1	-1.4401E-8
4.5000E+3	2.0000E+0	-3.7777E-11	-4.2000E+1	-1.3902E-8
5.0000E+3	2.0000E+0	-5.1841E-11	-4.1000E+1	-1.3493E-8
5.5000E+3	2.0000E+0	-7.3308E-11	-4.0000E+1	-1.3013E-8
6.0000E+3	2.0000E+0	-7.9937E-11	-3.9000E+1	-1.2558E-8
6.5000E+3	2.0000E+0	-9.1640E-11	-3.8000E+1	-1.2068E-8
7.0000E+3	2.0000E+0	-8.2860E-11	-3.7000E+1	-1.1562E-8
7.5000E+3	2.0000E+0	-7.9318E-11	-3.6000E+1	-1.1176E-8
8.0000E+3	2.0000E+0	-8.5022E-11	-3.5000E+1	-1.0835E-8
8.5000E+3	2.0000E+0	-8.0270E-11	-3.4000E+1	-1.0539E-8
9.0000E+3	2.0000E+0	-8.3433E-11	-3.3000E+1	-1.0141E-8
9.5000E+3	2.0000E+0	-8.4636E-11	-3.2000E+1	-9.7655E-9
1.0000E+4	2.0000E+0	-8.5741E-11	-3.1000E+1	-9.3447E-9
1.0500E+4	2.0000E+0	-9.3909E-11	-3.0000E+1	-9.0335E-9
1.1000E+4	2.0000E+0	-9.4378E-11	-2.9000E+1	-8.6779E-9
1.1500E+4	2.0000E+0	-9.7264E-11	-2.8000E+1	-8.3086E-9
1.2000E+4	2.0000E+0	-9.6172E-11	-2.7000E+1	-7.9747E-9
1.2500E+4	2.0000E+0	-1.0079E-10	-2.6000E+1	-7.6649E-9
1.3000E+4	2.0000E+0	-1.0154E-10	-2.5000E+1	-7.3320E-9
1.3500E+4	2.0000E+0	-1.0368E-10	-2.4000E+1	-6.9744E-9
1.4000E+4	2.0000E+0	-1.0505E-10	-2.3000E+1	-6.6228E-9
1.4500E+4	2.0000E+0	-1.0757E-10	-2.2000E+1	-6.2886E-9
1.5000E+4	2.0000E+0	-9.9976E-11	-2.1000E+1	-6.0081E-9
1.5500E+4	2.0000E+0	-1.2372E-10	-2.0000E+1	-5.1392E-9
1.6000E+4	2.0000E+0	-1.0967E-10	-1.9000E+1	-5.3701E-9
1.6500E+4	2.0000E+0	-1.1508E-10	-1.8000E+1	-5.1274E-9
1.7000E+4	2.0000E+0	-1.1619E-10	-1.7000E+1	-4.8591E-9
1.7500E+4	2.0000E+0	-1.1746E-10	-1.6000E+1	-4.5893E-9
1.8000E+4	2.0000E+0	-1.1893E-10	-1.5000E+1	-4.3095E-9
1.8500E+4	2.0000E+0	-1.2581E-10	-1.4000E+1	-4.0430E-9
1.9000E+4	2.0000E+0	-1.2934E-10	-1.3000E+1	-3.7890E-9
1.9500E+4	2.0000E+0	-1.3074E-10	-1.2000E+1	-3.5186E-9
2.0000E+4	2.0000E+0	-1.2338E-10	-1.1000E+1	-3.2564E-9
2.0500E+4	2.0000E+0	-1.2335E-10	-1.0000E+1	-2.9320E-9
2.1000E+4	2.0000E+0	-1.2213E-10	-9.0000E+0	-2.6174E-9
2.1500E+4	2.0000E+0	-1.2053E-10	-8.0000E+0	-2.3250E-9
2.2000E+4	2.0000E+0	-1.2005E-10	-7.0000E+0	-2.0112E-9
2.2500E+4	2.0000E+0	-1.1928E-10	-6.0000E+0	-1.6768E-9
2.3000E+4	2.0000E+0	-1.2235E-10	-5.0000E+0	-1.3278E-9
2.3500E+4	2.0000E+0	-1.2213E-10	-4.0000E+0	-9.6075E-10
2.4000E+4	2.0000E+0	-1.2190E-10	-3.0000E+0	-6.0320E-10
2.4500E+4	2.0000E+0	-1.2157E-10	-2.0000E+0	-2.8198E-10
2.5000E+4	2.0000E+0	-1.1986E-10	-1.0000E+0	-3.8636E-11
2.5500E+4	2.0000E+0	-1.1927E-10	0.0000E+0	2.1283E-10
2.6000E+4	2.0000E+0	-1.1839E-10	1.0000E+0	5.3512E-10
2.6500E+4	2.0000E+0	-1.2051E-10	2.0000E+0	9.1556E-10
2.7000E+4	2.0000E+0	-1.2231E-10	3.0000E+0	1.3064E-9
2.7500E+4	2.0000E+0	-1.1949E-10	4.0000E+0	1.6978E-9
2.8000E+4	2.0000E+0	-1.1862E-10	5.0000E+0	2.0922E-9
2.8500E+4	2.0000E+0	-1.2374E-10	6.0000E+0	2.4737E-9
2.9000E+4	2.0000E+0	-1.1832E-10	7.0000E+0	2.8543E-9
2.9500E+4	2.0000E+0	-1.2015E-10	8.0000E+0	3.2598E-9
3.0000E+4	2.0000E+0	-1.1459E-10	9.0000E+0	3.6638E-9
3.0500E+4	2.0000E+0	-1.2399E-10	1.0000E+1	4.0978E-9
3.1000E+4	2.0000E+0	-1.2742E-10	1.1000E+1	4.4998E-9
3.1500E+4	2.0000E+0	-1.2271E-10	1.2000E+1	4.9066E-9
3.2000E+4	2.0000E+0	-1.2299E-10	1.3000E+1	5.3440E-9
3.2500E+4	2.0000E+0	-1.2394E-10	1.4000E+1	5.7812E-9
3.3000E+4	2.0000E+0	-1.2544E-10	1.5000E+1	6.2588E-9
3.3500E+4	2.0000E+0	-1.2473E-10	1.6000E+1	6.7252E-9
3.4000E+4	2.0000E+0	-1.2421E-10	1.7000E+1	7.1065E-9
3.4500E+4	2.0000E+0	-1.2582E-10	1.8000E+1	7.6718E-9
3.5000E+4	2.0000E+0	-1.2598E-10	1.9000E+1	8.1219E-9
3.5500E+4	2.0000E+0	-1.2618E-10	2.0000E+1	8.4423E-9
3.6000E+4	2.0000E+0	-1.2523E-10	2.1000E+1	8.8840E-9
3.6500E+4	2.0000E+0	-1.2332E-10	2.2000E+1	9.4905E-9
3.7000E+4	2.0000E+0	-1.2795E-10	2.3000E+1	9.9033E-9
3.7500E+4	2.0000E+0	-1.2741E-10	2.4000E+1	1.0325E-8
3.8000E+4	2.0000E+0	-1.2826E-10	2.5000E+1	1.0815E-8
3.8500E+4	2.0000E+0	-1.2824E-10	2.6000E+1	1.1136E-8
3.9000E+4	2.0000E+0	-1.2882E-10	2.7000E+1	1.1688E-8
3.9500E+4	2.0000E+0	-1.2912E-10	2.8000E+1	1.2133E-8
4.0000E+4	2.0000E+0	-1.2936E-10	2.9000E+1	1.2517E-8
4.0500E+4	2.0000E+0	-1.2913E-10	3.0000E+1	1.2816E-8
4.1000E+4	2.0000E+0	-1.2785E-10	3.1000E+1	1.3270E-8
4.1500E+4	2.0000E+0	-1.2911E-10	3.2000E+1	1.3492E-8
4.2000E+4	2.0000E+0	-1.3100E-10	3.3000E+1	1.3860E-8
4.2500E+4	2.0000E+0	-1.3022E-10	3.4000E+1	1.4268E-8
4.3000E+4	2.0000E+0	-1.3073E-10	3.5000E+1	1.4756E-8
4.3500E+4	2.0000E+0	-1.3150E-10	3.6000E+1	1.4914E-8
4.4000E+4	2.0000E+0	-1.3130E-10	3.7000E+1	1.5311E-8
4.4500E+4	2.0000E+0	-1.3140E-10	3.8000E+1	1.5440E-8
4.5000E+4	2.0000E+0	-1.3561E-10	3.9000E+1	1.5780E-8
4.5500E+4	2.0000E+0	-1.2882E-10	4.0000E+1	1.6337E-8
4.6000E+4	2.0000E+0	-1.4856E-10	4.1000E+1	1.6940E-8
4.6500E+4	2.0000E+0	-1.3593E-10	4.2000E+1	1.7279E-8
