File Name: 06_Sample14_device4_It_150kV_VDrain1V_VGate5V.dat
File Data: 15/11/2023	12:26:32
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	6.5595E-6	5.0000E+0	2.9588E-10
1.0000E+3	1.0000E+0	6.6901E-6	5.0000E+0	1.4015E-10
1.5000E+3	1.0000E+0	6.7425E-6	5.0000E+0	9.2335E-11
2.0000E+3	1.0000E+0	6.7639E-6	5.0000E+0	4.0467E-11
2.5000E+3	1.0000E+0	6.7486E-6	5.0000E+0	2.2194E-11
3.0000E+3	1.0000E+0	6.7483E-6	5.0000E+0	1.7210E-11
3.5000E+3	1.0000E+0	6.7365E-6	5.0000E+0	1.7228E-11
4.0000E+3	1.0000E+0	6.7395E-6	5.0000E+0	1.7386E-11
4.5000E+3	1.0000E+0	6.7339E-6	5.0000E+0	1.7040E-11
5.0000E+3	1.0000E+0	6.7233E-6	5.0000E+0	1.3510E-11
5.5000E+3	1.0000E+0	6.7157E-6	5.0000E+0	1.3018E-11
6.0000E+3	1.0000E+0	6.7175E-6	5.0000E+0	1.2984E-11
6.5000E+3	1.0000E+0	6.7023E-6	5.0000E+0	1.2674E-11
7.0000E+3	1.0000E+0	6.6998E-6	5.0000E+0	1.2752E-11
7.5000E+3	1.0000E+0	6.6995E-6	5.0000E+0	1.2531E-11
8.0000E+3	1.0000E+0	6.7008E-6	5.0000E+0	1.2621E-11
8.5000E+3	1.0000E+0	6.6991E-6	5.0000E+0	1.2504E-11
9.0000E+3	1.0000E+0	6.6833E-6	5.0000E+0	1.2443E-11
9.5000E+3	1.0000E+0	6.6772E-6	5.0000E+0	1.2467E-11
1.0000E+4	1.0000E+0	6.6805E-6	5.0000E+0	1.2450E-11
1.0500E+4	1.0000E+0	6.6831E-6	5.0000E+0	1.2225E-11
1.1000E+4	1.0000E+0	6.6622E-6	5.0000E+0	1.2277E-11
1.1500E+4	1.0000E+0	6.6662E-6	5.0000E+0	1.1386E-11
1.2000E+4	1.0000E+0	6.6662E-6	5.0000E+0	1.1385E-11
1.2500E+4	1.0000E+0	6.6607E-6	5.0000E+0	1.1374E-11
1.3000E+4	1.0000E+0	6.6603E-6	5.0000E+0	1.1173E-11
1.3500E+4	1.0000E+0	6.6594E-6	5.0000E+0	1.1200E-11
1.4000E+4	1.0000E+0	6.6598E-6	5.0000E+0	1.1224E-11
1.4500E+4	1.0000E+0	6.6475E-6	5.0000E+0	1.1007E-11
1.5000E+4	1.0000E+0	6.6458E-6	5.0000E+0	1.0974E-11
1.5500E+4	1.0000E+0	6.6418E-6	5.0000E+0	1.0899E-11
1.6000E+4	1.0000E+0	6.6445E-6	5.0000E+0	1.0639E-11
1.6500E+4	1.0000E+0	6.6375E-6	5.0000E+0	1.0538E-11
1.7000E+4	1.0000E+0	6.6379E-6	5.0000E+0	1.0575E-11
1.7500E+4	1.0000E+0	6.6388E-6	5.0000E+0	1.0558E-11
1.8000E+4	1.0000E+0	6.6455E-6	5.0000E+0	1.0354E-11
1.8500E+4	1.0000E+0	6.6411E-6	5.0000E+0	1.0272E-11
1.9000E+4	1.0000E+0	6.6342E-6	5.0000E+0	1.0347E-11
1.9500E+4	1.0000E+0	6.6411E-6	5.0000E+0	1.0351E-11
2.0000E+4	1.0000E+0	6.6418E-6	5.0000E+0	1.0046E-11
2.0500E+4	1.0000E+0	6.6430E-6	5.0000E+0	1.0085E-11
2.1000E+4	1.0000E+0	6.6381E-6	5.0000E+0	1.0199E-11
2.1500E+4	1.0000E+0	6.6352E-6	5.0000E+0	1.0045E-11
2.2000E+4	1.0000E+0	6.6350E-6	5.0000E+0	1.0063E-11
2.2500E+4	1.0000E+0	6.6320E-6	5.0000E+0	9.9886E-12
2.3000E+4	1.0000E+0	6.6328E-6	5.0000E+0	1.0023E-11
2.3500E+4	1.0000E+0	6.6316E-6	5.0000E+0	1.0002E-11
2.4000E+4	1.0000E+0	6.6144E-6	5.0000E+0	9.8491E-12
2.4500E+4	1.0000E+0	6.6235E-6	5.0000E+0	1.0035E-11
2.5000E+4	1.0000E+0	6.6184E-6	5.0000E+0	9.8669E-12
2.5500E+4	1.0000E+0	6.6209E-6	5.0000E+0	1.0096E-11
2.6000E+4	1.0000E+0	6.6090E-6	5.0000E+0	1.0133E-11
2.6500E+4	1.0000E+0	6.6261E-6	5.0000E+0	9.9945E-12
2.7000E+4	1.0000E+0	6.6314E-6	5.0000E+0	9.8455E-12
2.7500E+4	1.0000E+0	6.6272E-6	5.0000E+0	1.0155E-11
2.8000E+4	1.0000E+0	6.6272E-6	5.0000E+0	1.0179E-11
2.8500E+4	1.0000E+0	6.6201E-6	5.0000E+0	1.0171E-11
2.9000E+4	1.0000E+0	6.6109E-6	5.0000E+0	1.0681E-11
2.9500E+4	1.0000E+0	6.6118E-6	5.0000E+0	1.0588E-11
3.0000E+4	1.0000E+0	6.6079E-6	5.0000E+0	1.0343E-11
3.0500E+4	1.0000E+0	6.6165E-6	5.0000E+0	1.0101E-11
3.1000E+4	1.0000E+0	6.6122E-6	5.0000E+0	1.0447E-11
3.1500E+4	1.0000E+0	6.6090E-6	5.0000E+0	1.0226E-11
3.2000E+4	1.0000E+0	6.6178E-6	5.0000E+0	9.9981E-12
3.2500E+4	1.0000E+0	6.6049E-6	5.0000E+0	1.0303E-11
3.3000E+4	1.0000E+0	6.6100E-6	5.0000E+0	1.0153E-11
3.3500E+4	1.0000E+0	6.6025E-6	5.0000E+0	1.0846E-11
3.4000E+4	1.0000E+0	6.6061E-6	5.0000E+0	1.0613E-11
3.4500E+4	1.0000E+0	6.6071E-6	5.0000E+0	1.0599E-11
3.5000E+4	1.0000E+0	6.6034E-6	5.0000E+0	1.0848E-11
3.5500E+4	1.0000E+0	6.6079E-6	5.0000E+0	1.0869E-11
3.6000E+4	1.0000E+0	6.6052E-6	5.0000E+0	1.0332E-11
3.6500E+4	1.0000E+0	6.6132E-6	5.0000E+0	1.0177E-11
3.7000E+4	1.0000E+0	6.6052E-6	5.0000E+0	9.8014E-12
3.7500E+4	1.0000E+0	6.6094E-6	5.0000E+0	9.8252E-12
3.8000E+4	1.0000E+0	6.6057E-6	5.0000E+0	9.9242E-12
3.8500E+4	1.0000E+0	6.5979E-6	5.0000E+0	9.7561E-12
3.9000E+4	1.0000E+0	6.6025E-6	5.0000E+0	9.6166E-12
3.9500E+4	1.0000E+0	6.6069E-6	5.0000E+0	9.7692E-12
4.0000E+4	1.0000E+0	6.6048E-6	5.0000E+0	9.6822E-12
4.0500E+4	1.0000E+0	6.6007E-6	5.0000E+0	9.7406E-12
4.1000E+4	1.0000E+0	6.5993E-6	5.0000E+0	9.7442E-12
4.1500E+4	1.0000E+0	6.5988E-6	5.0000E+0	1.0140E-11
4.2000E+4	1.0000E+0	6.5988E-6	5.0000E+0	1.0001E-11
