File Name: 07_Sample14_device4_trfsat_dark_final.dat
File Data: 15/11/2023	13:00:03
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.7388E-9	-5.0000E+1	-1.1244E-9
1.0000E+3	1.0000E+0	2.8922E-9	-4.9500E+1	-6.3016E-11
1.5000E+3	1.0000E+0	3.8743E-9	-4.9000E+1	1.7513E-10
2.0000E+3	1.0000E+0	5.7910E-9	-4.8500E+1	2.1169E-10
2.5000E+3	1.0000E+0	8.2352E-9	-4.8000E+1	2.1880E-10
3.0000E+3	1.0000E+0	1.1335E-8	-4.7500E+1	2.3005E-10
3.5000E+3	1.0000E+0	1.4407E-8	-4.7000E+1	2.3693E-10
4.0000E+3	1.0000E+0	1.7914E-8	-4.6500E+1	2.3877E-10
4.5000E+3	1.0000E+0	2.1374E-8	-4.6000E+1	2.4349E-10
5.0000E+3	1.0000E+0	2.4877E-8	-4.5500E+1	2.5334E-10
5.5000E+3	1.0000E+0	2.8072E-8	-4.5000E+1	2.5045E-10
6.0000E+3	1.0000E+0	3.2194E-8	-4.4500E+1	2.5304E-10
6.5000E+3	1.0000E+0	3.7021E-8	-4.4000E+1	2.5688E-10
7.0000E+3	1.0000E+0	4.1319E-8	-4.3500E+1	2.6064E-10
7.5000E+3	1.0000E+0	4.6433E-8	-4.3000E+1	2.6340E-10
8.0000E+3	1.0000E+0	5.1727E-8	-4.2500E+1	2.6878E-10
8.5000E+3	1.0000E+0	5.8008E-8	-4.2000E+1	2.6944E-10
9.0000E+3	1.0000E+0	6.5706E-8	-4.1500E+1	2.7209E-10
9.5000E+3	1.0000E+0	7.4427E-8	-4.1000E+1	2.7252E-10
1.0000E+4	1.0000E+0	8.3362E-8	-4.0500E+1	2.7829E-10
1.0500E+4	1.0000E+0	9.1271E-8	-4.0000E+1	2.7824E-10
1.1000E+4	1.0000E+0	1.0467E-7	-3.9500E+1	2.7560E-10
1.1500E+4	1.0000E+0	1.1539E-7	-3.9000E+1	3.1500E-10
1.2000E+4	1.0000E+0	1.2768E-7	-3.8500E+1	2.7997E-10
1.2500E+4	1.0000E+0	1.4341E-7	-3.8000E+1	2.8016E-10
1.3000E+4	1.0000E+0	1.5904E-7	-3.7500E+1	2.7882E-10
1.3500E+4	1.0000E+0	1.7363E-7	-3.7000E+1	2.8198E-10
1.4000E+4	1.0000E+0	1.9857E-7	-3.6500E+1	2.7884E-10
1.4500E+4	1.0000E+0	2.1701E-7	-3.6000E+1	2.7842E-10
1.5000E+4	1.0000E+0	2.3965E-7	-3.5500E+1	2.6476E-10
1.5500E+4	1.0000E+0	2.6646E-7	-3.5000E+1	5.2725E-10
1.6000E+4	1.0000E+0	2.8985E-7	-3.4500E+1	2.9460E-10
1.6500E+4	1.0000E+0	3.2280E-7	-3.4000E+1	2.8829E-10
1.7000E+4	1.0000E+0	3.5604E-7	-3.3500E+1	2.8737E-10
1.7500E+4	1.0000E+0	3.9232E-7	-3.3000E+1	2.8372E-10
1.8000E+4	1.0000E+0	4.2744E-7	-3.2500E+1	2.8563E-10
1.8500E+4	1.0000E+0	4.7499E-7	-3.2000E+1	2.8493E-10
1.9000E+4	1.0000E+0	5.1751E-7	-3.1500E+1	2.8185E-10
1.9500E+4	1.0000E+0	5.7041E-7	-3.1000E+1	2.8129E-10
2.0000E+4	1.0000E+0	6.2088E-7	-3.0500E+1	2.8791E-10
2.0500E+4	1.0000E+0	6.6964E-7	-3.0000E+1	2.8814E-10
2.1000E+4	1.0000E+0	7.2245E-7	-2.9500E+1	2.8365E-10
2.1500E+4	1.0000E+0	7.9145E-7	-2.9000E+1	2.8086E-10
2.2000E+4	1.0000E+0	8.5813E-7	-2.8500E+1	2.8345E-10
2.2500E+4	1.0000E+0	9.1870E-7	-2.8000E+1	2.8202E-10
2.3000E+4	1.0000E+0	9.9204E-7	-2.7500E+1	2.8674E-10
2.3500E+4	1.0000E+0	1.0637E-6	-2.7000E+1	2.8708E-10
2.4000E+4	1.0000E+0	1.1422E-6	-2.6500E+1	3.2281E-10
2.4500E+4	1.0000E+0	1.2322E-6	-2.6000E+1	2.8846E-10
