File Name: 1611_00_Sample14_device4_trfSat_dark_hor.dat
File Data: 16/11/2023	12:38:35
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	6.7830E-13	-5.0000E+1	-1.1322E-11
1.0000E+3	1.0000E+0	-1.5020E-13	-4.9500E+1	-9.5010E-13
1.5000E+3	1.0000E+0	-5.5194E-13	-4.9000E+1	-9.3222E-13
2.0000E+3	1.0000E+0	-5.4359E-13	-4.8500E+1	-9.9063E-13
2.5000E+3	1.0000E+0	-6.8307E-13	-4.8000E+1	-1.0288E-12
3.0000E+3	1.0000E+0	-6.0201E-13	-4.7500E+1	-7.4625E-13
3.5000E+3	1.0000E+0	-1.1480E-12	-4.7000E+1	-6.8665E-13
4.0000E+3	1.0000E+0	-6.9022E-13	-4.6500E+1	-8.1182E-13
4.5000E+3	1.0000E+0	-1.2088E-12	-4.6000E+1	-8.1539E-13
5.0000E+3	1.0000E+0	-1.1742E-12	-4.5500E+1	-5.3048E-13
5.5000E+3	1.0000E+0	-1.1051E-12	-4.5000E+1	-5.9605E-13
6.0000E+3	1.0000E+0	-1.1075E-12	-4.4500E+1	-8.2374E-13
6.5000E+3	1.0000E+0	-1.0538E-12	-4.4000E+1	-5.8770E-13
7.0000E+3	1.0000E+0	-1.2231E-12	-4.3500E+1	-5.2094E-13
7.5000E+3	1.0000E+0	-1.0872E-12	-4.3000E+1	-8.1897E-13
8.0000E+3	1.0000E+0	-1.1039E-12	-4.2500E+1	-6.5208E-13
8.5000E+3	1.0000E+0	-1.2231E-12	-4.2000E+1	-5.4717E-13
9.0000E+3	1.0000E+0	-1.3018E-12	-4.1500E+1	-7.3075E-13
9.5000E+3	1.0000E+0	-1.1587E-12	-4.1000E+1	-4.7803E-13
1.0000E+4	1.0000E+0	-1.3339E-12	-4.0500E+1	-4.3631E-13
1.0500E+4	1.0000E+0	-1.0943E-12	-4.0000E+1	-6.2704E-13
1.1000E+4	1.0000E+0	-1.0514E-12	-3.9500E+1	-8.2135E-13
1.1500E+4	1.0000E+0	-1.1086E-12	-3.9000E+1	-5.4955E-13
1.2000E+4	1.0000E+0	-1.2815E-12	-3.8500E+1	-7.1883E-13
1.2500E+4	1.0000E+0	-1.1134E-12	-3.8000E+1	-5.9843E-13
1.3000E+4	1.0000E+0	-1.2052E-12	-3.7500E+1	-6.9141E-13
1.3500E+4	1.0000E+0	-1.2898E-12	-3.7000E+1	-5.3644E-13
1.4000E+4	1.0000E+0	-1.3733E-12	-3.6500E+1	-5.3048E-13
1.4500E+4	1.0000E+0	-1.3399E-12	-3.6000E+1	-5.7340E-13
1.5000E+4	1.0000E+0	-1.2255E-12	-3.5500E+1	-6.9141E-13
1.5500E+4	1.0000E+0	-1.5521E-12	-3.5000E+1	-6.4969E-13
1.6000E+4	1.0000E+0	-1.5080E-12	-3.4500E+1	-5.5194E-13
1.6500E+4	1.0000E+0	-1.6034E-12	-3.4000E+1	-9.5010E-13
1.7000E+4	1.0000E+0	-1.5330E-12	-3.3500E+1	-8.3685E-13
1.7500E+4	1.0000E+0	-1.6773E-12	-3.3000E+1	-7.8201E-13
1.8000E+4	1.0000E+0	-1.5747E-12	-3.2500E+1	-5.7340E-13
1.8500E+4	1.0000E+0	-1.5235E-12	-3.2000E+1	-7.2360E-13
1.9000E+4	1.0000E+0	-1.5497E-12	-3.1500E+1	-6.7353E-13
1.9500E+4	1.0000E+0	-1.6868E-12	-3.1000E+1	-9.1791E-13
2.0000E+4	1.0000E+0	-1.7762E-12	-3.0500E+1	-5.1260E-13
2.0500E+4	1.0000E+0	-1.6129E-12	-3.0000E+1	-6.0916E-13
2.1000E+4	1.0000E+0	-1.6356E-12	-2.9500E+1	-7.5579E-13
2.1500E+4	1.0000E+0	-1.6475E-12	-2.9000E+1	-7.9036E-13
2.2000E+4	1.0000E+0	-1.6689E-12	-2.8500E+1	-5.0545E-13
2.2500E+4	1.0000E+0	-1.7166E-12	-2.8000E+1	-6.9261E-13
2.3000E+4	1.0000E+0	-1.7273E-12	-2.7500E+1	-5.1618E-13
2.3500E+4	1.0000E+0	-1.7226E-12	-2.7000E+1	-6.1512E-13
2.4000E+4	1.0000E+0	-1.6391E-12	-2.6500E+1	-4.6969E-13
2.4500E+4	1.0000E+0	-1.7512E-12	-2.6000E+1	-4.7445E-13
2.5000E+4	1.0000E+0	-1.6487E-12	-2.5500E+1	-8.2016E-13
2.5500E+4	1.0000E+0	-1.6975E-12	-2.5000E+1	-4.2558E-13
2.6000E+4	1.0000E+0	-1.7667E-12	-2.4500E+1	-6.2227E-13
2.6500E+4	1.0000E+0	-1.5891E-12	-2.4000E+1	-4.7207E-13
2.7000E+4	1.0000E+0	-1.7011E-12	-2.3500E+1	-6.4611E-13
2.7500E+4	1.0000E+0	-1.6129E-12	-2.3000E+1	-6.5446E-13
2.8000E+4	1.0000E+0	-1.5593E-12	-2.2500E+1	-7.7248E-13
2.8500E+4	1.0000E+0	-1.7548E-12	-2.2000E+1	-8.1539E-13
2.9000E+4	1.0000E+0	-1.9741E-12	-2.1500E+1	-5.2333E-13
2.9500E+4	1.0000E+0	-1.9169E-12	-2.1000E+1	-5.7459E-13
3.0000E+4	1.0000E+0	-1.8191E-12	-2.0500E+1	-3.5167E-13
3.0500E+4	1.0000E+0	-1.5223E-12	-2.0000E+1	-1.9216E-12
3.1000E+4	1.0000E+0	-1.5807E-12	-1.9500E+1	-4.5896E-13
3.1500E+4	1.0000E+0	-1.6451E-12	-1.9000E+1	-3.8862E-13
3.2000E+4	1.0000E+0	-1.7011E-12	-1.8500E+1	-4.4227E-13
3.2500E+4	1.0000E+0	-1.4985E-12	-1.8000E+1	-6.1393E-13
3.3000E+4	1.0000E+0	-1.6582E-12	-1.7500E+1	-3.3736E-13
3.3500E+4	1.0000E+0	-1.7524E-12	-1.7000E+1	-4.1723E-13
3.4000E+4	1.0000E+0	-1.6594E-12	-1.6500E+1	-4.3273E-13
3.4500E+4	1.0000E+0	-1.8072E-12	-1.6000E+1	-4.8280E-13
3.5000E+4	1.0000E+0	-1.8370E-12	-1.5500E+1	-3.8981E-13
3.5500E+4	1.0000E+0	-1.6820E-12	-1.5000E+1	-3.6240E-13
3.6000E+4	1.0000E+0	-1.7357E-12	-1.4500E+1	-4.6134E-13
3.6500E+4	1.0000E+0	-1.6892E-12	-1.4000E+1	-4.6611E-13
3.7000E+4	1.0000E+0	-1.7381E-12	-1.3500E+1	-4.6730E-13
3.7500E+4	1.0000E+0	-1.7512E-12	-1.3000E+1	-3.6716E-13
3.8000E+4	1.0000E+0	-1.7536E-12	-1.2500E+1	-3.9816E-13
3.8500E+4	1.0000E+0	-1.7631E-12	-1.2000E+1	-5.2214E-13
3.9000E+4	1.0000E+0	-1.7667E-12	-1.1500E+1	-5.1618E-13
3.9500E+4	1.0000E+0	-1.7023E-12	-1.1000E+1	-3.3259E-13
4.0000E+4	1.0000E+0	-1.7571E-12	-1.0500E+1	-4.1723E-13
4.0500E+4	1.0000E+0	-1.7166E-12	-1.0000E+1	-4.2677E-13
4.1000E+4	1.0000E+0	-1.8418E-12	-9.5000E+0	-4.2319E-13
4.1500E+4	1.0000E+0	-1.7488E-12	-9.0000E+0	-4.5776E-13
