File Name: 01_Sample1_device1_It_sweep_150kV_100uA_VDrain1V_VGateCHanging.dat
File Data: 07/11/2023	16:31:37
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.1337E-12	3.0000E+0	1.2496E-10
1.0000E+3	1.0000E+0	3.6955E-13	3.0000E+0	1.0498E-10
1.5000E+3	1.0000E+0	1.1206E-13	3.0000E+0	9.6347E-11
2.0000E+3	1.0000E+0	2.7418E-14	3.0000E+0	8.9934E-11
2.5000E+3	1.0000E+0	-6.5565E-14	3.0000E+0	8.5304E-11
3.0000E+3	1.0000E+0	-2.7299E-13	3.0000E+0	7.9447E-11
3.5000E+3	1.0000E+0	-2.6703E-13	3.0000E+0	7.2142E-11
4.0000E+3	1.0000E+0	9.6172E-11	3.0000E+0	2.4255E-10
4.5000E+3	1.0000E+0	1.1306E-10	3.0000E+0	6.9824E-10
5.0000E+3	1.0000E+0	1.1141E-10	3.0000E+0	6.8838E-10
5.5000E+3	1.0000E+0	1.1043E-10	3.0000E+0	6.8060E-10
6.0000E+3	1.0000E+0	1.0962E-10	3.0000E+0	6.7401E-10
6.5000E+3	1.0000E+0	1.0928E-10	3.0000E+0	6.6945E-10
7.0000E+3	1.0000E+0	1.0887E-10	3.0000E+0	6.6501E-10
7.5000E+3	1.0000E+0	1.0867E-10	3.0000E+0	6.6198E-10
8.0000E+3	1.0000E+0	1.0857E-10	3.0000E+0	6.5819E-10
8.5000E+3	1.0000E+0	1.0819E-10	3.0000E+0	6.5603E-10
9.0000E+3	1.0000E+0	1.0817E-10	3.0000E+0	6.5374E-10
9.5000E+3	1.0000E+0	1.0816E-10	3.0000E+0	6.4931E-10
1.0000E+4	1.0000E+0	1.0803E-10	3.0000E+0	6.4699E-10
1.0500E+4	1.0000E+0	1.0781E-10	3.0000E+0	6.4538E-10
1.1000E+4	1.0000E+0	1.0768E-10	3.0000E+0	6.4391E-10
1.1500E+4	1.0000E+0	1.0767E-10	3.0000E+0	6.4293E-10
1.2000E+4	1.0000E+0	1.0772E-10	3.0000E+0	6.4046E-10
1.2500E+4	1.0000E+0	1.0756E-10	3.0000E+0	6.3785E-10
1.3000E+4	1.0000E+0	1.0756E-10	3.0000E+0	6.3700E-10
1.3500E+4	1.0000E+0	1.0757E-10	3.0000E+0	6.3626E-10
1.4000E+4	1.0000E+0	4.4277E-11	3.0000E+0	6.1832E-10
1.4500E+4	1.0000E+0	2.1601E-12	3.0000E+0	4.4066E-11
1.5000E+4	1.0000E+0	-6.2466E-13	3.0000E+0	2.3353E-11
