File Name: 02_Sampple1_device3_trfSat_dark_hor.dat
File Data: 16/11/2023	13:59:48
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.2957E-5	-5.0000E+1	-1.3212E-10
1.0000E+3	1.0000E+0	1.2958E-5	-4.9500E+1	-1.8047E-11
1.5000E+3	1.0000E+0	1.2954E-5	-4.9000E+1	-5.7721E-12
2.0000E+3	1.0000E+0	1.2946E-5	-4.8500E+1	-2.0421E-12
2.5000E+3	1.0000E+0	1.2957E-5	-4.8000E+1	-9.5010E-13
3.0000E+3	1.0000E+0	1.2958E-5	-4.7500E+1	-1.9312E-13
3.5000E+3	1.0000E+0	1.2945E-5	-4.7000E+1	-3.2425E-13
4.0000E+3	1.0000E+0	1.2972E-5	-4.6500E+1	-2.3365E-13
4.5000E+3	1.0000E+0	1.2939E-5	-4.6000E+1	-3.7909E-13
5.0000E+3	1.0000E+0	1.2950E-5	-4.5500E+1	1.1921E-15
5.5000E+3	1.0000E+0	1.2914E-5	-4.5000E+1	-2.9325E-13
6.0000E+3	1.0000E+0	1.2951E-5	-4.4500E+1	-3.8266E-13
6.5000E+3	1.0000E+0	1.2943E-5	-4.4000E+1	-2.8491E-13
7.0000E+3	1.0000E+0	1.2939E-5	-4.3500E+1	-1.8120E-13
7.5000E+3	1.0000E+0	1.2918E-5	-4.3000E+1	-4.2796E-13
8.0000E+3	1.0000E+0	1.2926E-5	-4.2500E+1	-4.9591E-13
8.5000E+3	1.0000E+0	1.2932E-5	-4.2000E+1	-5.2333E-13
9.0000E+3	1.0000E+0	1.2936E-5	-4.1500E+1	-1.4067E-13
9.5000E+3	1.0000E+0	1.2946E-5	-4.1000E+1	-4.6849E-13
1.0000E+4	1.0000E+0	1.2948E-5	-4.0500E+1	-2.0027E-13
1.0500E+4	1.0000E+0	1.2932E-5	-4.0000E+1	-3.3498E-13
1.1000E+4	1.0000E+0	1.2931E-5	-3.9500E+1	-3.3379E-14
1.1500E+4	1.0000E+0	1.2918E-5	-3.9000E+1	-2.0385E-13
1.2000E+4	1.0000E+0	1.2921E-5	-3.8500E+1	2.2650E-14
1.2500E+4	1.0000E+0	1.2913E-5	-3.8000E+1	-2.0504E-13
1.3000E+4	1.0000E+0	1.2934E-5	-3.7500E+1	-9.0599E-14
1.3500E+4	1.0000E+0	1.2905E-5	-3.7000E+1	-3.4809E-13
1.4000E+4	1.0000E+0	1.2932E-5	-3.6500E+1	-5.0306E-13
1.4500E+4	1.0000E+0	1.2944E-5	-3.6000E+1	-5.3644E-14
1.5000E+4	1.0000E+0	1.2941E-5	-3.5500E+1	-5.1975E-13
1.5500E+4	1.0000E+0	1.2973E-5	-3.5000E+1	-4.4584E-13
1.6000E+4	1.0000E+0	1.2954E-5	-3.4500E+1	-4.5896E-13
1.6500E+4	1.0000E+0	1.2984E-5	-3.4000E+1	-6.1154E-13
1.7000E+4	1.0000E+0	1.2998E-5	-3.3500E+1	-4.4107E-13
1.7500E+4	1.0000E+0	1.2942E-5	-3.3000E+1	-4.4227E-13
1.8000E+4	1.0000E+0	1.2964E-5	-3.2500E+1	-6.3181E-14
1.8500E+4	1.0000E+0	1.2971E-5	-3.2000E+1	-4.9114E-13
1.9000E+4	1.0000E+0	1.2990E-5	-3.1500E+1	-2.7537E-13
1.9500E+4	1.0000E+0	1.2959E-5	-3.1000E+1	-3.1352E-13
2.0000E+4	1.0000E+0	1.2934E-5	-3.0500E+1	-3.0756E-13
2.0500E+4	1.0000E+0	1.2933E-5	-3.0000E+1	-7.1645E-13
2.1000E+4	1.0000E+0	1.2942E-5	-2.9500E+1	-5.9009E-13
2.1500E+4	1.0000E+0	1.2933E-5	-2.9000E+1	-2.8729E-13
2.2000E+4	1.0000E+0	1.2945E-5	-2.8500E+1	-2.8372E-13
2.2500E+4	1.0000E+0	1.2952E-5	-2.8000E+1	-4.3988E-13
2.3000E+4	1.0000E+0	1.2982E-5	-2.7500E+1	-5.0425E-13
2.3500E+4	1.0000E+0	1.2980E-5	-2.7000E+1	-4.0531E-13
2.4000E+4	1.0000E+0	1.2993E-5	-2.6500E+1	-6.0201E-13
2.4500E+4	1.0000E+0	1.2991E-5	-2.6000E+1	-5.9605E-13
2.5000E+4	1.0000E+0	1.2999E-5	-2.5500E+1	-5.1618E-13
2.5500E+4	1.0000E+0	1.2983E-5	-2.5000E+1	-6.8545E-13
2.6000E+4	1.0000E+0	1.3002E-5	-2.4500E+1	-4.9114E-13
