File Name: 13_Sample1_device3_trfSat_dark_vert_foil.dat
File Data: 17/11/2023	11:08:29
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	2.1331E-10	-5.0000E+1	-7.4263E-10
1.0000E+3	1.0000E+0	1.6129E-10	-4.9500E+1	-4.9521E-10
1.5000E+3	1.0000E+0	1.3275E-10	-4.9000E+1	-2.6997E-10
2.0000E+3	1.0000E+0	1.1102E-10	-4.8500E+1	-2.2625E-10
2.5000E+3	1.0000E+0	9.6369E-11	-4.8000E+1	-1.9516E-10
3.0000E+3	1.0000E+0	8.1274E-11	-4.7500E+1	-1.6750E-10
3.5000E+3	1.0000E+0	7.2968E-11	-4.7000E+1	-1.4434E-10
4.0000E+3	1.0000E+0	6.6804E-11	-4.6500E+1	-1.2799E-10
4.5000E+3	1.0000E+0	6.5759E-11	-4.6000E+1	-1.1525E-10
5.0000E+3	1.0000E+0	6.0259E-11	-4.5500E+1	-1.0335E-10
5.5000E+3	1.0000E+0	5.3987E-11	-4.5000E+1	-9.1199E-11
6.0000E+3	1.0000E+0	4.6017E-11	-4.4500E+1	-8.1155E-11
6.5000E+3	1.0000E+0	4.6381E-11	-4.4000E+1	-7.3302E-11
7.0000E+3	1.0000E+0	4.8664E-11	-4.3500E+1	-6.5575E-11
7.5000E+3	1.0000E+0	5.3627E-11	-4.3000E+1	-5.8177E-11
8.0000E+3	1.0000E+0	6.8265E-11	-4.2500E+1	-5.1813E-11
8.5000E+3	1.0000E+0	8.5481E-11	-4.2000E+1	-4.4742E-11
9.0000E+3	1.0000E+0	1.0779E-10	-4.1500E+1	-3.9153E-11
9.5000E+3	1.0000E+0	1.3912E-10	-4.1000E+1	-3.3546E-11
1.0000E+4	1.0000E+0	1.7202E-10	-4.0500E+1	-2.7255E-11
1.0500E+4	1.0000E+0	2.2246E-10	-4.0000E+1	-2.2924E-11
1.1000E+4	1.0000E+0	2.7996E-10	-3.9500E+1	-1.7993E-11
1.1500E+4	1.0000E+0	3.5067E-10	-3.9000E+1	-1.2895E-11
1.2000E+4	1.0000E+0	4.3533E-10	-3.8500E+1	-8.6296E-12
1.2500E+4	1.0000E+0	5.5362E-10	-3.8000E+1	-5.2691E-12
1.3000E+4	1.0000E+0	7.2370E-10	-3.7500E+1	-1.8334E-12
1.3500E+4	1.0000E+0	9.2261E-10	-3.7000E+1	1.6069E-12
1.4000E+4	1.0000E+0	1.1774E-9	-3.6500E+1	5.4419E-12
1.4500E+4	1.0000E+0	1.5064E-9	-3.6000E+1	9.1159E-12
1.5000E+4	1.0000E+0	1.8953E-9	-3.5500E+1	5.6779E-12
1.5500E+4	1.0000E+0	2.4351E-9	-3.5000E+1	1.5024E-10
1.6000E+4	1.0000E+0	3.0923E-9	-3.4500E+1	1.4961E-11
1.6500E+4	1.0000E+0	3.9631E-9	-3.4000E+1	1.7166E-11
1.7000E+4	1.0000E+0	5.0822E-9	-3.3500E+1	2.1175E-11
1.7500E+4	1.0000E+0	6.5466E-9	-3.3000E+1	2.5210E-11
1.8000E+4	1.0000E+0	8.5308E-9	-3.2500E+1	2.7667E-11
1.8500E+4	1.0000E+0	1.1018E-8	-3.2000E+1	3.0621E-11
1.9000E+4	1.0000E+0	1.4239E-8	-3.1500E+1	3.3191E-11
1.9500E+4	1.0000E+0	1.8446E-8	-3.1000E+1	3.5698E-11
2.0000E+4	1.0000E+0	2.3939E-8	-3.0500E+1	3.7442E-11
2.0500E+4	1.0000E+0	3.0745E-8	-3.0000E+1	3.9335E-11
2.1000E+4	1.0000E+0	3.9762E-8	-2.9500E+1	4.0927E-11
2.1500E+4	1.0000E+0	5.0283E-8	-2.9000E+1	4.2406E-11
2.2000E+4	1.0000E+0	6.3128E-8	-2.8500E+1	4.3176E-11
2.2500E+4	1.0000E+0	7.9182E-8	-2.8000E+1	4.5192E-11
2.3000E+4	1.0000E+0	9.8780E-8	-2.7500E+1	4.6028E-11
2.3500E+4	1.0000E+0	1.2240E-7	-2.7000E+1	4.6149E-11
2.4000E+4	1.0000E+0	1.5063E-7	-2.6500E+1	5.5772E-11
2.4500E+4	1.0000E+0	1.8163E-7	-2.6000E+1	4.7290E-11
2.5000E+4	1.0000E+0	2.1821E-7	-2.5500E+1	4.8616E-11
2.5500E+4	1.0000E+0	2.5972E-7	-2.5000E+1	4.9421E-11
2.6000E+4	1.0000E+0	3.0539E-7	-2.4500E+1	5.0371E-11
2.6500E+4	1.0000E+0	3.5538E-7	-2.4000E+1	5.1862E-11
2.7000E+4	1.0000E+0	4.1247E-7	-2.3500E+1	5.2607E-11
2.7500E+4	1.0000E+0	4.7511E-7	-2.3000E+1	5.3085E-11
2.8000E+4	1.0000E+0	5.4247E-7	-2.2500E+1	5.3431E-11
2.8500E+4	1.0000E+0	6.1392E-7	-2.2000E+1	5.4894E-11
2.9000E+4	1.0000E+0	6.8990E-7	-2.1500E+1	5.6237E-11
2.9500E+4	1.0000E+0	7.7908E-7	-2.1000E+1	5.7061E-11
3.0000E+4	1.0000E+0	8.6782E-7	-2.0500E+1	5.6915E-11
3.0500E+4	1.0000E+0	9.6034E-7	-2.0000E+1	8.0961E-11
3.1000E+4	1.0000E+0	1.0627E-6	-1.9500E+1	8.1151E-11
3.1500E+4	1.0000E+0	1.1717E-6	-1.9000E+1	6.9722E-11
3.2000E+4	1.0000E+0	1.2788E-6	-1.8500E+1	6.1603E-11
3.2500E+4	1.0000E+0	1.4033E-6	-1.8000E+1	6.2431E-11
3.3000E+4	1.0000E+0	1.5251E-6	-1.7500E+1	6.3072E-11
3.3500E+4	1.0000E+0	1.6544E-6	-1.7000E+1	6.4217E-11
3.4000E+4	1.0000E+0	1.7943E-6	-1.6500E+1	6.5186E-11
3.4500E+4	1.0000E+0	1.9361E-6	-1.6000E+1	6.6267E-11
3.5000E+4	1.0000E+0	2.0835E-6	-1.5500E+1	6.6956E-11
3.5500E+4	1.0000E+0	2.2401E-6	-1.5000E+1	6.8276E-11
3.6000E+4	1.0000E+0	2.4046E-6	-1.4500E+1	6.9880E-11
3.6500E+4	1.0000E+0	2.5734E-6	-1.4000E+1	7.1499E-11
3.7000E+4	1.0000E+0	2.7568E-6	-1.3500E+1	7.3321E-11
3.7500E+4	1.0000E+0	2.9371E-6	-1.3000E+1	7.5924E-11
3.8000E+4	1.0000E+0	3.1268E-6	-1.2500E+1	7.8522E-11
3.8500E+4	1.0000E+0	3.3361E-6	-1.2000E+1	8.1868E-11
3.9000E+4	1.0000E+0	3.5496E-6	-1.1500E+1	8.5651E-11
3.9500E+4	1.0000E+0	3.7630E-6	-1.1000E+1	8.9985E-11
4.0000E+4	1.0000E+0	3.9811E-6	-1.0500E+1	9.5164E-11
4.0500E+4	1.0000E+0	4.2178E-6	-1.0000E+1	1.0054E-10
4.1000E+4	1.0000E+0	4.4545E-6	-9.5000E+0	1.0649E-10
4.1500E+4	1.0000E+0	4.7056E-6	-9.0000E+0	1.1398E-10
4.2000E+4	1.0000E+0	4.9661E-6	-8.5000E+0	1.2240E-10
4.2500E+4	1.0000E+0	5.2354E-6	-8.0000E+0	1.3164E-10
4.3000E+4	1.0000E+0	5.5081E-6	-7.5000E+0	1.4242E-10
4.3500E+4	1.0000E+0	5.7822E-6	-7.0000E+0	1.5510E-10
4.4000E+4	1.0000E+0	6.0819E-6	-6.5000E+0	1.6934E-10
4.4500E+4	1.0000E+0	6.3845E-6	-6.0000E+0	1.8535E-10
4.5000E+4	1.0000E+0	6.6971E-6	-5.5000E+0	2.0442E-10
4.5500E+4	1.0000E+0	7.0250E-6	-5.0000E+0	2.2133E-10
4.6000E+4	1.0000E+0	7.3590E-6	-4.5000E+0	3.7633E-10
4.6500E+4	1.0000E+0	7.6925E-6	-4.0000E+0	2.7857E-10
4.7000E+4	1.0000E+0	8.0435E-6	-3.5000E+0	3.0909E-10
4.7500E+4	1.0000E+0	8.3962E-6	-3.0000E+0	3.4393E-10
4.8000E+4	1.0000E+0	8.7616E-6	-2.5000E+0	3.7902E-10
4.8500E+4	1.0000E+0	9.1378E-6	-2.0000E+0	4.2052E-10
4.9000E+4	1.0000E+0	9.5208E-6	-1.5000E+0	4.5981E-10
4.9500E+4	1.0000E+0	9.9309E-6	-1.0000E+0	4.9912E-10
5.0000E+4	1.0000E+0	1.0343E-5	-5.0000E-1	5.2372E-10
5.0500E+4	1.0000E+0	1.0754E-5	0.0000E+0	5.4029E-10
5.1000E+4	1.0000E+0	1.1197E-5	5.0000E-1	5.2766E-10
5.1500E+4	1.0000E+0	1.1625E-5	1.0000E+0	4.9302E-10
5.2000E+4	1.0000E+0	1.2051E-5	1.5000E+0	4.3869E-10
5.2500E+4	1.0000E+0	1.2539E-5	2.0000E+0	3.8125E-10
5.3000E+4	1.0000E+0	1.2996E-5	2.5000E+0	3.3517E-10
5.3500E+4	1.0000E+0	1.3475E-5	3.0000E+0	3.0542E-10
5.4000E+4	1.0000E+0	1.3954E-5	3.5000E+0	2.9011E-10
5.4500E+4	1.0000E+0	1.4459E-5	4.0000E+0	2.8158E-10
5.5000E+4	1.0000E+0	1.5002E-5	4.5000E+0	2.7672E-10
5.5500E+4	1.0000E+0	1.5500E-5	5.0000E+0	2.7439E-10
5.6000E+4	1.0000E+0	1.6028E-5	5.5000E+0	2.7075E-10
5.6500E+4	1.0000E+0	1.6526E-5	6.0000E+0	2.6702E-10
5.7000E+4	1.0000E+0	1.7091E-5	6.5000E+0	2.6019E-10
5.7500E+4	1.0000E+0	1.7645E-5	7.0000E+0	2.5051E-10
5.8000E+4	1.0000E+0	1.8220E-5	7.5000E+0	2.3868E-10
5.8500E+4	1.0000E+0	1.8763E-5	8.0000E+0	2.2536E-10
5.9000E+4	1.0000E+0	1.9390E-5	8.5000E+0	2.1061E-10
5.9500E+4	1.0000E+0	1.9991E-5	9.0000E+0	1.9511E-10
6.0000E+4	1.0000E+0	2.0577E-5	9.5000E+0	1.7794E-10
6.0500E+4	1.0000E+0	2.1152E-5	1.0000E+1	1.5089E-10
6.1000E+4	1.0000E+0	2.1818E-5	1.0500E+1	5.4980E-10
6.1500E+4	1.0000E+0	2.2470E-5	1.1000E+1	1.3338E-10
6.2000E+4	1.0000E+0	2.3081E-5	1.1500E+1	1.2348E-10
6.2500E+4	1.0000E+0	2.3736E-5	1.2000E+1	1.1455E-10
6.3000E+4	1.0000E+0	2.4417E-5	1.2500E+1	1.0841E-10
6.3500E+4	1.0000E+0	2.5059E-5	1.3000E+1	1.0139E-10
6.4000E+4	1.0000E+0	2.5740E-5	1.3500E+1	9.7773E-11
6.4500E+4	1.0000E+0	2.6448E-5	1.4000E+1	9.3490E-11
6.5000E+4	1.0000E+0	2.7077E-5	1.4500E+1	9.0461E-11
6.5500E+4	1.0000E+0	2.7756E-5	1.5000E+1	8.8896E-11
6.6000E+4	1.0000E+0	2.8491E-5	1.5500E+1	8.7423E-11
6.6500E+4	1.0000E+0	2.9163E-5	1.6000E+1	8.4895E-11
6.7000E+4	1.0000E+0	2.9953E-5	1.6500E+1	8.4016E-11
6.7500E+4	1.0000E+0	3.0705E-5	1.7000E+1	8.2700E-11
6.8000E+4	1.0000E+0	3.1381E-5	1.7500E+1	8.1877E-11
6.8500E+4	1.0000E+0	3.2119E-5	1.8000E+1	8.1276E-11
6.9000E+4	1.0000E+0	3.2853E-5	1.8500E+1	8.0832E-11
6.9500E+4	1.0000E+0	3.3602E-5	1.9000E+1	8.0363E-11
7.0000E+4	1.0000E+0	3.4360E-5	1.9500E+1	7.9749E-11
7.0500E+4	1.0000E+0	3.5077E-5	2.0000E+1	7.9911E-11
7.1000E+4	1.0000E+0	3.5865E-5	2.0500E+1	8.1580E-11
7.1500E+4	1.0000E+0	3.6701E-5	2.1000E+1	7.9875E-11
7.2000E+4	1.0000E+0	3.7416E-5	2.1500E+1	7.9269E-11
7.2500E+4	1.0000E+0	3.8203E-5	2.2000E+1	7.9169E-11
7.3000E+4	1.0000E+0	3.9049E-5	2.2500E+1	7.9088E-11
7.3500E+4	1.0000E+0	3.9839E-5	2.3000E+1	7.9418E-11
7.4000E+4	1.0000E+0	4.0651E-5	2.3500E+1	7.9083E-11
7.4500E+4	1.0000E+0	4.1470E-5	2.4000E+1	7.8886E-11
7.5000E+4	1.0000E+0	4.2250E-5	2.4500E+1	7.9336E-11
7.5500E+4	1.0000E+0	4.3160E-5	2.5000E+1	7.8859E-11
7.6000E+4	1.0000E+0	4.3979E-5	2.5500E+1	2.8237E-10
7.6500E+4	1.0000E+0	4.4763E-5	2.6000E+1	7.9573E-11
7.7000E+4	1.0000E+0	4.5640E-5	2.6500E+1	7.9350E-11
7.7500E+4	1.0000E+0	4.6407E-5	2.7000E+1	7.9842E-11
7.8000E+4	1.0000E+0	4.7294E-5	2.7500E+1	7.9811E-11
7.8500E+4	1.0000E+0	4.8101E-5	2.8000E+1	7.9548E-11
7.9000E+4	1.0000E+0	4.8974E-5	2.8500E+1	7.9510E-11
7.9500E+4	1.0000E+0	4.9804E-5	2.9000E+1	7.9739E-11
8.0000E+4	1.0000E+0	5.0695E-5	2.9500E+1	8.0126E-11
8.0500E+4	1.0000E+0	5.1579E-5	3.0000E+1	7.9931E-11
8.1000E+4	1.0000E+0	5.2442E-5	3.0500E+1	7.9821E-11
8.1500E+4	1.0000E+0	5.3196E-5	3.1000E+1	8.0111E-11
8.2000E+4	1.0000E+0	5.4108E-5	3.1500E+1	8.1066E-11
8.2500E+4	1.0000E+0	5.4932E-5	3.2000E+1	8.0479E-11
8.3000E+4	1.0000E+0	5.5807E-5	3.2500E+1	8.1806E-11
8.3500E+4	1.0000E+0	5.6734E-5	3.3000E+1	8.1160E-11
8.4000E+4	1.0000E+0	5.7553E-5	3.3500E+1	8.1702E-11
8.4500E+4	1.0000E+0	5.8480E-5	3.4000E+1	8.4268E-11
8.5000E+4	1.0000E+0	5.9296E-5	3.4500E+1	8.6441E-11
8.5500E+4	1.0000E+0	6.0169E-5	3.5000E+1	8.7867E-11
8.6000E+4	1.0000E+0	6.1059E-5	3.5500E+1	8.9175E-11
8.6500E+4	1.0000E+0	6.1944E-5	3.6000E+1	8.9924E-11
8.7000E+4	1.0000E+0	6.2813E-5	3.6500E+1	9.0661E-11
8.7500E+4	1.0000E+0	6.3707E-5	3.7000E+1	9.1631E-11
8.8000E+4	1.0000E+0	6.4567E-5	3.7500E+1	9.2633E-11
8.8500E+4	1.0000E+0	6.5450E-5	3.8000E+1	9.3635E-11
8.9000E+4	1.0000E+0	6.6314E-5	3.8500E+1	9.5333E-11
8.9500E+4	1.0000E+0	6.7265E-5	3.9000E+1	9.5332E-11
9.0000E+4	1.0000E+0	6.8112E-5	3.9500E+1	9.5810E-11
9.0500E+4	1.0000E+0	6.8952E-5	4.0000E+1	9.5862E-11
9.1000E+4	1.0000E+0	6.9870E-5	4.0500E+1	8.5899E-11
9.1500E+4	1.0000E+0	7.0799E-5	4.1000E+1	2.7252E-10
9.2000E+4	1.0000E+0	7.1697E-5	4.1500E+1	9.8562E-11
9.2500E+4	1.0000E+0	7.2555E-5	4.2000E+1	9.8628E-11
9.3000E+4	1.0000E+0	7.3423E-5	4.2500E+1	9.9249E-11
9.3500E+4	1.0000E+0	7.4270E-5	4.3000E+1	9.8683E-11
9.4000E+4	1.0000E+0	7.5145E-5	4.3500E+1	1.0006E-10
9.4500E+4	1.0000E+0	7.6057E-5	4.4000E+1	9.9957E-11
9.5000E+4	1.0000E+0	7.6914E-5	4.4500E+1	1.0048E-10
9.5500E+4	1.0000E+0	7.7728E-5	4.5000E+1	1.0054E-10
9.6000E+4	1.0000E+0	7.8627E-5	4.5500E+1	1.0100E-10
9.6500E+4	1.0000E+0	7.9484E-5	4.6000E+1	1.0105E-10
9.7000E+4	1.0000E+0	8.0312E-5	4.6500E+1	1.0203E-10
9.7500E+4	1.0000E+0	8.1246E-5	4.7000E+1	1.0215E-10
9.8000E+4	1.0000E+0	8.2116E-5	4.7500E+1	1.0244E-10
9.8500E+4	1.0000E+0	8.2940E-5	4.8000E+1	1.0278E-10
9.9000E+4	1.0000E+0	8.3822E-5	4.8500E+1	1.0288E-10
9.9500E+4	1.0000E+0	8.4729E-5	4.9000E+1	1.0346E-10
1.0000E+5	1.0000E+0	8.5509E-5	4.9500E+1	1.0397E-10
1.0050E+5	1.0000E+0	8.6374E-5	5.0000E+1	1.0435E-10
1.0100E+5	1.0000E+0	8.7180E-5	5.0500E+1	1.0424E-10
1.0150E+5	1.0000E+0	8.6313E-5	5.0000E+1	-7.5731E-11
1.0200E+5	1.0000E+0	8.5372E-5	4.9500E+1	-8.3268E-11
1.0250E+5	1.0000E+0	8.4548E-5	4.9000E+1	-8.6892E-11
1.0300E+5	1.0000E+0	8.3631E-5	4.8500E+1	-8.8227E-11
1.0350E+5	1.0000E+0	8.2714E-5	4.8000E+1	-8.9725E-11
1.0400E+5	1.0000E+0	8.1815E-5	4.7500E+1	-9.0570E-11
1.0450E+5	1.0000E+0	8.0926E-5	4.7000E+1	-9.1885E-11
1.0500E+5	1.0000E+0	8.0083E-5	4.6500E+1	-9.2112E-11
1.0550E+5	1.0000E+0	7.9156E-5	4.6000E+1	-9.3017E-11
1.0600E+5	1.0000E+0	7.8257E-5	4.5500E+1	-8.5948E-11
