File Name: 20_Sample1_device3_trfSat_dark.dat
File Data: 17/11/2023	12:40:13
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	7.4271E-10	-5.0000E+1	-1.1367E-9
1.0000E+3	1.0000E+0	5.8309E-10	-4.9500E+1	-6.0251E-10
1.5000E+3	1.0000E+0	4.5029E-10	-4.9000E+1	-3.2656E-10
2.0000E+3	1.0000E+0	4.2620E-10	-4.8500E+1	-2.6565E-10
2.5000E+3	1.0000E+0	3.5183E-10	-4.8000E+1	-2.2419E-10
3.0000E+3	1.0000E+0	2.5888E-10	-4.7500E+1	-1.9003E-10
3.5000E+3	1.0000E+0	2.0324E-10	-4.7000E+1	-1.6446E-10
4.0000E+3	1.0000E+0	1.5703E-10	-4.6500E+1	-1.4043E-10
4.5000E+3	1.0000E+0	1.2013E-10	-4.6000E+1	-1.1993E-10
5.0000E+3	1.0000E+0	1.0012E-10	-4.5500E+1	-1.0394E-10
5.5000E+3	1.0000E+0	7.8262E-11	-4.5000E+1	-9.0767E-11
6.0000E+3	1.0000E+0	6.9312E-11	-4.4500E+1	-7.7739E-11
6.5000E+3	1.0000E+0	6.2536E-11	-4.4000E+1	-6.8384E-11
7.0000E+3	1.0000E+0	5.7021E-11	-4.3500E+1	-5.9174E-11
7.5000E+3	1.0000E+0	6.2575E-11	-4.3000E+1	-5.1355E-11
8.0000E+3	1.0000E+0	7.6052E-11	-4.2500E+1	-4.4817E-11
8.5000E+3	1.0000E+0	9.2658E-11	-4.2000E+1	-3.7991E-11
9.0000E+3	1.0000E+0	1.2145E-10	-4.1500E+1	-3.2819E-11
9.5000E+3	1.0000E+0	1.5291E-10	-4.1000E+1	-2.7900E-11
1.0000E+4	1.0000E+0	2.0765E-10	-4.0500E+1	-2.3771E-11
1.0500E+4	1.0000E+0	2.5818E-10	-4.0000E+1	-1.9410E-11
1.1000E+4	1.0000E+0	3.1522E-10	-3.9500E+1	-1.5949E-11
1.1500E+4	1.0000E+0	4.0156E-10	-3.9000E+1	-1.2468E-11
1.2000E+4	1.0000E+0	4.9646E-10	-3.8500E+1	-9.4879E-12
1.2500E+4	1.0000E+0	6.5167E-10	-3.8000E+1	-6.8462E-12
1.3000E+4	1.0000E+0	8.0596E-10	-3.7500E+1	-4.5812E-12
1.3500E+4	1.0000E+0	1.0179E-9	-3.7000E+1	-2.4176E-12
1.4000E+4	1.0000E+0	1.2577E-9	-3.6500E+1	-6.0916E-13
1.4500E+4	1.0000E+0	1.5737E-9	-3.6000E+1	2.7120E-12
1.5000E+4	1.0000E+0	2.0245E-9	-3.5500E+1	1.4436E-12
1.5500E+4	1.0000E+0	2.5924E-9	-3.5000E+1	1.4564E-10
1.6000E+4	1.0000E+0	3.3566E-9	-3.4500E+1	1.6533E-11
1.6500E+4	1.0000E+0	4.2365E-9	-3.4000E+1	2.1597E-11
1.7000E+4	1.0000E+0	5.2326E-9	-3.3500E+1	2.6275E-11
1.7500E+4	1.0000E+0	6.9911E-9	-3.3000E+1	2.9979E-11
1.8000E+4	1.0000E+0	8.7921E-9	-3.2500E+1	3.4136E-11
1.8500E+4	1.0000E+0	1.1398E-8	-3.2000E+1	3.5143E-11
1.9000E+4	1.0000E+0	1.4441E-8	-3.1500E+1	3.5690E-11
1.9500E+4	1.0000E+0	1.8505E-8	-3.1000E+1	3.8068E-11
2.0000E+4	1.0000E+0	2.3652E-8	-3.0500E+1	4.0203E-11
2.0500E+4	1.0000E+0	3.0099E-8	-3.0000E+1	4.0605E-11
2.1000E+4	1.0000E+0	3.8826E-8	-2.9500E+1	4.1462E-11
2.1500E+4	1.0000E+0	4.8041E-8	-2.9000E+1	4.2295E-11
2.2000E+4	1.0000E+0	5.9928E-8	-2.8500E+1	4.3184E-11
2.2500E+4	1.0000E+0	7.3570E-8	-2.8000E+1	4.4241E-11
2.3000E+4	1.0000E+0	9.0207E-8	-2.7500E+1	4.5139E-11
2.3500E+4	1.0000E+0	1.1024E-7	-2.7000E+1	4.6430E-11
2.4000E+4	1.0000E+0	1.3247E-7	-2.6500E+1	5.6677E-11
2.4500E+4	1.0000E+0	1.5821E-7	-2.6000E+1	4.8402E-11
2.5000E+4	1.0000E+0	1.8827E-7	-2.5500E+1	4.9642E-11
2.5500E+4	1.0000E+0	2.2155E-7	-2.5000E+1	5.0702E-11
2.6000E+4	1.0000E+0	2.5823E-7	-2.4500E+1	5.1686E-11
2.6500E+4	1.0000E+0	2.9866E-7	-2.4000E+1	5.2604E-11
2.7000E+4	1.0000E+0	3.4307E-7	-2.3500E+1	5.3515E-11
2.7500E+4	1.0000E+0	3.9087E-7	-2.3000E+1	5.4116E-11
2.8000E+4	1.0000E+0	4.4535E-7	-2.2500E+1	5.5631E-11
2.8500E+4	1.0000E+0	5.0256E-7	-2.2000E+1	5.6614E-11
2.9000E+4	1.0000E+0	5.6279E-7	-2.1500E+1	5.7437E-11
2.9500E+4	1.0000E+0	6.2743E-7	-2.1000E+1	5.9116E-11
3.0000E+4	1.0000E+0	6.9666E-7	-2.0500E+1	5.9041E-11
3.0500E+4	1.0000E+0	7.7075E-7	-2.0000E+1	8.1764E-11
3.1000E+4	1.0000E+0	8.5075E-7	-1.9500E+1	8.2867E-11
3.1500E+4	1.0000E+0	9.3346E-7	-1.9000E+1	6.2740E-11
3.2000E+4	1.0000E+0	1.0203E-6	-1.8500E+1	6.3562E-11
3.2500E+4	1.0000E+0	1.1104E-6	-1.8000E+1	7.3072E-11
3.3000E+4	1.0000E+0	1.2063E-6	-1.7500E+1	6.5082E-11
3.3500E+4	1.0000E+0	1.3118E-6	-1.7000E+1	6.6224E-11
3.4000E+4	1.0000E+0	1.4189E-6	-1.6500E+1	6.7290E-11
3.4500E+4	1.0000E+0	1.5308E-6	-1.6000E+1	6.7655E-11
3.5000E+4	1.0000E+0	1.6514E-6	-1.5500E+1	6.8910E-11
3.5500E+4	1.0000E+0	1.7758E-6	-1.5000E+1	7.0159E-11
3.6000E+4	1.0000E+0	1.9055E-6	-1.4500E+1	7.1987E-11
3.6500E+4	1.0000E+0	2.0404E-6	-1.4000E+1	7.4311E-11
3.7000E+4	1.0000E+0	2.1840E-6	-1.3500E+1	7.6460E-11
3.7500E+4	1.0000E+0	2.3324E-6	-1.3000E+1	7.8901E-11
3.8000E+4	1.0000E+0	2.4850E-6	-1.2500E+1	8.2138E-11
3.8500E+4	1.0000E+0	2.6453E-6	-1.2000E+1	8.5550E-11
3.9000E+4	1.0000E+0	2.8168E-6	-1.1500E+1	8.8803E-11
3.9500E+4	1.0000E+0	2.9905E-6	-1.1000E+1	9.3336E-11
4.0000E+4	1.0000E+0	3.1767E-6	-1.0500E+1	9.8938E-11
4.0500E+4	1.0000E+0	3.3625E-6	-1.0000E+1	1.0498E-10
4.1000E+4	1.0000E+0	3.5573E-6	-9.5000E+0	1.1243E-10
4.1500E+4	1.0000E+0	3.7676E-6	-9.0000E+0	1.2044E-10
4.2000E+4	1.0000E+0	3.9787E-6	-8.5000E+0	1.2914E-10
4.2500E+4	1.0000E+0	4.1916E-6	-8.0000E+0	1.4018E-10
4.3000E+4	1.0000E+0	4.4234E-6	-7.5000E+0	1.5243E-10
4.3500E+4	1.0000E+0	4.6570E-6	-7.0000E+0	1.6547E-10
4.4000E+4	1.0000E+0	4.9034E-6	-6.5000E+0	1.8189E-10
4.4500E+4	1.0000E+0	5.1598E-6	-6.0000E+0	2.0056E-10
4.5000E+4	1.0000E+0	5.4248E-6	-5.5000E+0	2.2124E-10
4.5500E+4	1.0000E+0	5.6987E-6	-5.0000E+0	2.4002E-10
4.6000E+4	1.0000E+0	5.9793E-6	-4.5000E+0	4.0404E-10
4.6500E+4	1.0000E+0	6.2620E-6	-4.0000E+0	3.0086E-10
4.7000E+4	1.0000E+0	6.5665E-6	-3.5000E+0	3.3460E-10
4.7500E+4	1.0000E+0	6.8780E-6	-3.0000E+0	3.7315E-10
4.8000E+4	1.0000E+0	7.1904E-6	-2.5000E+0	4.1185E-10
4.8500E+4	1.0000E+0	7.5107E-6	-2.0000E+0	4.5203E-10
4.9000E+4	1.0000E+0	7.8398E-6	-1.5000E+0	4.9047E-10
4.9500E+4	1.0000E+0	8.1888E-6	-1.0000E+0	5.1712E-10
5.0000E+4	1.0000E+0	8.5413E-6	-5.0000E-1	5.3142E-10
5.0500E+4	1.0000E+0	8.9122E-6	0.0000E+0	5.2980E-10
5.1000E+4	1.0000E+0	9.2853E-6	5.0000E-1	5.0827E-10
5.1500E+4	1.0000E+0	9.6772E-6	1.0000E+0	4.5949E-10
5.2000E+4	1.0000E+0	1.0083E-5	1.5000E+0	4.0286E-10
5.2500E+4	1.0000E+0	1.0481E-5	2.0000E+0	3.5974E-10
5.3000E+4	1.0000E+0	1.0905E-5	2.5000E+0	3.1605E-10
5.3500E+4	1.0000E+0	1.1322E-5	3.0000E+0	2.9475E-10
5.4000E+4	1.0000E+0	1.1757E-5	3.5000E+0	2.8459E-10
5.4500E+4	1.0000E+0	1.2195E-5	4.0000E+0	2.7992E-10
5.5000E+4	1.0000E+0	1.2648E-5	4.5000E+0	2.7791E-10
5.5500E+4	1.0000E+0	1.3115E-5	5.0000E+0	2.7339E-10
5.6000E+4	1.0000E+0	1.3581E-5	5.5000E+0	2.7019E-10
5.6500E+4	1.0000E+0	1.4071E-5	6.0000E+0	2.6466E-10
5.7000E+4	1.0000E+0	1.4559E-5	6.5000E+0	2.5649E-10
