File Name: 24_Sample1_device3_It_150kV_300uA_VDrain1V_VGate-15V.dat
File Data: 17/11/2023	13:04:16
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.1933E-6	-1.5000E+1	-4.3457E-10
1.0000E+3	1.0000E+0	1.1903E-6	-1.5000E+1	-3.4049E-10
1.5000E+3	1.0000E+0	1.1882E-6	-1.5000E+1	-2.8808E-10
2.0000E+3	1.0000E+0	1.1888E-6	-1.5000E+1	-2.5280E-10
2.5000E+3	1.0000E+0	1.1879E-6	-1.5000E+1	-2.2496E-10
3.0000E+3	1.0000E+0	1.1884E-6	-1.5000E+1	-2.0340E-10
3.5000E+3	1.0000E+0	1.1874E-6	-1.5000E+1	-1.8618E-10
4.0000E+3	1.0000E+0	1.1881E-6	-1.5000E+1	-1.7216E-10
4.5000E+3	1.0000E+0	1.1894E-6	-1.5000E+1	-1.6080E-10
5.0000E+3	1.0000E+0	1.1872E-6	-1.5000E+1	-1.5135E-10
5.5000E+3	1.0000E+0	1.1895E-6	-1.5000E+1	-1.4282E-10
6.0000E+3	1.0000E+0	1.1880E-6	-1.5000E+1	-1.3677E-10
6.5000E+3	1.0000E+0	1.1899E-6	-1.5000E+1	-1.3001E-10
7.0000E+3	1.0000E+0	1.1880E-6	-1.5000E+1	-1.2518E-10
7.5000E+3	1.0000E+0	1.1905E-6	-1.5000E+1	-1.1997E-10
8.0000E+3	1.0000E+0	1.1899E-6	-1.5000E+1	-1.1554E-10
8.5000E+3	1.0000E+0	1.1887E-6	-1.5000E+1	-1.1232E-10
9.0000E+3	1.0000E+0	1.1900E-6	-1.5000E+1	-1.0873E-10
9.5000E+3	1.0000E+0	1.1917E-6	-1.5000E+1	-1.0556E-10
1.0000E+4	1.0000E+0	1.1897E-6	-1.5000E+1	-1.0292E-10
1.0500E+4	1.0000E+0	1.1908E-6	-1.5000E+1	-9.9832E-11
1.1000E+4	1.0000E+0	1.1913E-6	-1.5000E+1	-9.7268E-11
1.1500E+4	1.0000E+0	1.1900E-6	-1.5000E+1	-9.4723E-11
1.2000E+4	1.0000E+0	1.1893E-6	-1.5000E+1	-9.2606E-11
1.2500E+4	1.0000E+0	1.1907E-6	-1.5000E+1	-9.0721E-11
1.3000E+4	1.0000E+0	1.1900E-6	-1.5000E+1	-8.8385E-11
1.3500E+4	1.0000E+0	1.1891E-6	-1.5000E+1	-8.7284E-11
1.4000E+4	1.0000E+0	1.1899E-6	-1.5000E+1	-8.5344E-11
1.4500E+4	1.0000E+0	1.1886E-6	-1.5000E+1	-8.4153E-11
1.5000E+4	1.0000E+0	1.1905E-6	-1.5000E+1	-8.2252E-11
1.5500E+4	1.0000E+0	1.1883E-6	-1.5000E+1	-8.0892E-11
1.6000E+4	1.0000E+0	1.1907E-6	-1.5000E+1	-7.8676E-11
1.6500E+4	1.0000E+0	1.1876E-6	-1.5000E+1	-7.8032E-11
1.7000E+4	1.0000E+0	1.1887E-6	-1.5000E+1	-7.7009E-11
1.7500E+4	1.0000E+0	1.1887E-6	-1.5000E+1	-7.5992E-11
1.8000E+4	1.0000E+0	1.1874E-6	-1.5000E+1	-7.4551E-11
1.8500E+4	1.0000E+0	1.1910E-6	-1.5000E+1	-7.4009E-11
1.9000E+4	1.0000E+0	1.1901E-6	-1.5000E+1	-7.3168E-11
1.9500E+4	1.0000E+0	1.1886E-6	-1.5000E+1	-7.2084E-11
2.0000E+4	1.0000E+0	1.1898E-6	-1.5000E+1	-7.0981E-11
2.0500E+4	1.0000E+0	1.1898E-6	-1.5000E+1	-7.0527E-11
2.1000E+4	1.0000E+0	1.1876E-6	-1.5000E+1	-7.0118E-11
2.1500E+4	1.0000E+0	1.1882E-6	-1.5000E+1	-6.8704E-11
2.2000E+4	1.0000E+0	1.1892E-6	-1.5000E+1	-6.8355E-11
2.2500E+4	1.0000E+0	1.1887E-6	-1.5000E+1	-6.8064E-11
