File Name: 01_Samplòe4_device1_trfSat_dark_hor.dat
File Data: 16/11/2023	14:16:07
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.3321E-5	-5.0000E+1	-4.1961E-11
1.0000E+3	1.0000E+0	1.3358E-5	-4.9500E+1	-5.6028E-13
1.5000E+3	1.0000E+0	1.3358E-5	-4.9000E+1	-5.2690E-13
2.0000E+3	1.0000E+0	1.3355E-5	-4.8500E+1	-6.2704E-13
2.5000E+3	1.0000E+0	1.3372E-5	-4.8000E+1	-3.7909E-13
3.0000E+3	1.0000E+0	1.3362E-5	-4.7500E+1	-3.7789E-13
3.5000E+3	1.0000E+0	1.3362E-5	-4.7000E+1	-8.4043E-13
4.0000E+3	1.0000E+0	1.3363E-5	-4.6500E+1	-5.9485E-13
4.5000E+3	1.0000E+0	1.3346E-5	-4.6000E+1	-4.2677E-13
5.0000E+3	1.0000E+0	1.3371E-5	-4.5500E+1	-3.0041E-13
5.5000E+3	1.0000E+0	1.3369E-5	-4.5000E+1	-7.4863E-13
6.0000E+3	1.0000E+0	1.3356E-5	-4.4500E+1	-4.7684E-13
6.5000E+3	1.0000E+0	1.3361E-5	-4.4000E+1	-5.6863E-13
7.0000E+3	1.0000E+0	1.3351E-5	-4.3500E+1	-3.2663E-13
7.5000E+3	1.0000E+0	1.3350E-5	-4.3000E+1	-2.7299E-13
8.0000E+3	1.0000E+0	1.3361E-5	-4.2500E+1	-5.7101E-13
8.5000E+3	1.0000E+0	1.3382E-5	-4.2000E+1	-2.4319E-13
9.0000E+3	1.0000E+0	1.3380E-5	-4.1500E+1	-2.8491E-13
9.5000E+3	1.0000E+0	1.3386E-5	-4.1000E+1	-3.0518E-13
1.0000E+4	1.0000E+0	1.3361E-5	-4.0500E+1	-2.4080E-13
1.0500E+4	1.0000E+0	1.3390E-5	-4.0000E+1	-5.7340E-13
1.1000E+4	1.0000E+0	1.3377E-5	-3.9500E+1	-2.8491E-13
1.1500E+4	1.0000E+0	1.3414E-5	-3.9000E+1	-1.6809E-13
1.2000E+4	1.0000E+0	1.3412E-5	-3.8500E+1	-7.1645E-13
1.2500E+4	1.0000E+0	1.3413E-5	-3.8000E+1	-2.1339E-13
1.3000E+4	1.0000E+0	1.3391E-5	-3.7500E+1	-7.1287E-13
1.3500E+4	1.0000E+0	1.3392E-5	-3.7000E+1	-3.1591E-13
1.4000E+4	1.0000E+0	1.3412E-5	-3.6500E+1	-7.6294E-14
1.4500E+4	1.0000E+0	1.3407E-5	-3.6000E+1	-7.0810E-13
1.5000E+4	1.0000E+0	1.3408E-5	-3.5500E+1	-6.7234E-13
1.5500E+4	1.0000E+0	1.3404E-5	-3.5000E+1	-6.1989E-13
1.6000E+4	1.0000E+0	1.3396E-5	-3.4500E+1	-7.3552E-13
1.6500E+4	1.0000E+0	1.3388E-5	-3.4000E+1	-5.1975E-13
1.7000E+4	1.0000E+0	1.3378E-5	-3.3500E+1	-8.6904E-13
1.7500E+4	1.0000E+0	1.3373E-5	-3.3000E+1	-3.6597E-13
1.8000E+4	1.0000E+0	1.3402E-5	-3.2500E+1	-7.3314E-13
1.8500E+4	1.0000E+0	1.3389E-5	-3.2000E+1	-6.6042E-13
1.9000E+4	1.0000E+0	1.3393E-5	-3.1500E+1	-6.1989E-13
1.9500E+4	1.0000E+0	1.3413E-5	-3.1000E+1	-4.5657E-13
2.0000E+4	1.0000E+0	1.3412E-5	-3.0500E+1	-8.5235E-13
2.0500E+4	1.0000E+0	1.3393E-5	-3.0000E+1	-6.0797E-13
2.1000E+4	1.0000E+0	1.3403E-5	-2.9500E+1	-5.5194E-13
2.1500E+4	1.0000E+0	1.3400E-5	-2.9000E+1	-6.0797E-13
