File Name: 15_Sample6_device1_It_150kV_200uA_VDrain1V_VGate2V.dat
File Data: 17/11/2023	14:08:25
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	8.1606E-7	2.0000E+0	1.2405E-11
1.0000E+3	1.0000E+0	8.1223E-7	2.0000E+0	1.2631E-11
1.5000E+3	1.0000E+0	8.0569E-7	2.0000E+0	1.2114E-11
2.0000E+3	1.0000E+0	8.0361E-7	2.0000E+0	1.1374E-11
2.5000E+3	1.0000E+0	8.0026E-7	2.0000E+0	1.0823E-11
3.0000E+3	1.0000E+0	7.9922E-7	2.0000E+0	1.0498E-11
3.5000E+3	1.0000E+0	7.9857E-7	2.0000E+0	1.0239E-11
4.0000E+3	1.0000E+0	7.9687E-7	2.0000E+0	1.0210E-11
4.5000E+3	1.0000E+0	7.9529E-7	2.0000E+0	9.8181E-12
5.0000E+3	1.0000E+0	7.9370E-7	2.0000E+0	9.7251E-12
5.5000E+3	1.0000E+0	7.9325E-7	2.0000E+0	9.3245E-12
6.0000E+3	1.0000E+0	7.9185E-7	2.0000E+0	9.3150E-12
6.5000E+3	1.0000E+0	7.8850E-7	2.0000E+0	9.2340E-12
7.0000E+3	1.0000E+0	7.8663E-7	2.0000E+0	9.3627E-12
7.5000E+3	1.0000E+0	7.8720E-7	2.0000E+0	9.1267E-12
8.0000E+3	1.0000E+0	7.8676E-7	2.0000E+0	8.8847E-12
8.5000E+3	1.0000E+0	7.8513E-7	2.0000E+0	8.8394E-12
9.0000E+3	1.0000E+0	7.8401E-7	2.0000E+0	8.8501E-12
9.5000E+3	1.0000E+0	7.8291E-7	2.0000E+0	8.7595E-12
1.0000E+4	1.0000E+0	7.8319E-7	2.0000E+0	8.7011E-12
1.0500E+4	1.0000E+0	7.8264E-7	2.0000E+0	8.5592E-12
1.1000E+4	1.0000E+0	7.8113E-7	2.0000E+0	8.5795E-12
1.1500E+4	1.0000E+0	7.8190E-7	2.0000E+0	8.4579E-12
1.2000E+4	1.0000E+0	7.8221E-7	2.0000E+0	8.5986E-12
1.2500E+4	1.0000E+0	7.7850E-7	2.0000E+0	8.5008E-12
1.3000E+4	1.0000E+0	7.7848E-7	2.0000E+0	8.1611E-12
1.3500E+4	1.0000E+0	7.7862E-7	2.0000E+0	8.2946E-12
1.4000E+4	1.0000E+0	7.7840E-7	2.0000E+0	8.3470E-12
1.4500E+4	1.0000E+0	7.7705E-7	2.0000E+0	8.0621E-12
1.5000E+4	1.0000E+0	7.7577E-7	2.0000E+0	8.0252E-12
1.5500E+4	1.0000E+0	7.7577E-7	2.0000E+0	8.0550E-12
1.6000E+4	1.0000E+0	7.7643E-7	2.0000E+0	7.8332E-12
1.6500E+4	1.0000E+0	7.7630E-7	2.0000E+0	8.0919E-12
1.7000E+4	1.0000E+0	7.7398E-7	2.0000E+0	7.9203E-12
1.7500E+4	1.0000E+0	7.7369E-7	2.0000E+0	8.1551E-12
1.8000E+4	1.0000E+0	7.7154E-7	2.0000E+0	8.0335E-12
1.8500E+4	1.0000E+0	7.7252E-7	2.0000E+0	7.9668E-12
1.9000E+4	1.0000E+0	7.7089E-7	2.0000E+0	8.0001E-12
1.9500E+4	1.0000E+0	7.7092E-7	2.0000E+0	7.7653E-12
2.0000E+4	1.0000E+0	7.7103E-7	2.0000E+0	7.9393E-12
2.0500E+4	1.0000E+0	7.7016E-7	2.0000E+0	8.0001E-12
2.1000E+4	1.0000E+0	7.7032E-7	2.0000E+0	7.8058E-12
2.1500E+4	1.0000E+0	7.6795E-7	2.0000E+0	7.8297E-12
2.2000E+4	1.0000E+0	7.6760E-7	2.0000E+0	7.6854E-12
2.2500E+4	1.0000E+0	7.6927E-7	2.0000E+0	7.9298E-12
2.3000E+4	1.0000E+0	7.6900E-7	2.0000E+0	7.9942E-12
2.3500E+4	1.0000E+0	7.6936E-7	2.0000E+0	7.8440E-12
2.4000E+4	1.0000E+0	7.6948E-7	2.0000E+0	7.9048E-12
2.4500E+4	1.0000E+0	7.6940E-7	2.0000E+0	7.9751E-12
2.5000E+4	1.0000E+0	7.6752E-7	2.0000E+0	7.6222E-12
2.5500E+4	1.0000E+0	7.6597E-7	2.0000E+0	7.6282E-12
2.6000E+4	1.0000E+0	7.6542E-7	2.0000E+0	7.6199E-12
2.6500E+4	1.0000E+0	7.6437E-7	2.0000E+0	7.9954E-12
2.7000E+4	1.0000E+0	7.6360E-7	2.0000E+0	7.7903E-12
2.7500E+4	1.0000E+0	7.6306E-7	2.0000E+0	7.7295E-12
