File Name: 18_Sample6_device1_trfSat_dark_final.dat
File Data: 17/11/2023	14:17:12
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	9.9968E-11	-5.0000E+1	-2.0849E-10
1.0000E+3	1.0000E+0	8.0179E-11	-4.9500E+1	-1.7209E-10
1.5000E+3	1.0000E+0	3.4515E-11	-4.9000E+1	-7.5159E-11
2.0000E+3	1.0000E+0	2.3968E-11	-4.8500E+1	-6.6959E-11
2.5000E+3	1.0000E+0	1.8040E-11	-4.8000E+1	-6.3673E-11
3.0000E+3	1.0000E+0	1.5408E-10	-4.7500E+1	-1.9288E-9
3.5000E+3	1.0000E+0	1.3067E-11	-4.7000E+1	-6.5548E-11
4.0000E+3	1.0000E+0	8.2076E-12	-4.6500E+1	-6.4397E-11
4.5000E+3	1.0000E+0	4.7875E-12	-4.6000E+1	-6.0506E-11
5.0000E+3	1.0000E+0	1.3030E-12	-4.5500E+1	-5.4917E-11
5.5000E+3	1.0000E+0	-1.4913E-12	-4.5000E+1	-4.9975E-11
6.0000E+3	1.0000E+0	-4.0436E-12	-4.4500E+1	-4.5098E-11
6.5000E+3	1.0000E+0	-6.1524E-12	-4.4000E+1	-4.2417E-11
7.0000E+3	1.0000E+0	-8.0311E-12	-4.3500E+1	-4.0209E-11
7.5000E+3	1.0000E+0	-9.6786E-12	-4.3000E+1	-3.7568E-11
8.0000E+3	1.0000E+0	-1.1226E-11	-4.2500E+1	-3.4814E-11
8.5000E+3	1.0000E+0	-1.2666E-11	-4.2000E+1	-3.3082E-11
9.0000E+3	1.0000E+0	-1.3797E-11	-4.1500E+1	-3.0836E-11
9.5000E+3	1.0000E+0	-1.4994E-11	-4.1000E+1	-2.8229E-11
1.0000E+4	1.0000E+0	-1.5911E-11	-4.0500E+1	-2.5008E-11
1.0500E+4	1.0000E+0	-1.6667E-11	-4.0000E+1	-2.2160E-11
1.1000E+4	1.0000E+0	-1.7364E-11	-3.9500E+1	-1.9989E-11
1.1500E+4	1.0000E+0	-1.7800E-11	-3.9000E+1	-1.7762E-11
1.2000E+4	1.0000E+0	-1.8386E-11	-3.8500E+1	-1.5651E-11
1.2500E+4	1.0000E+0	-1.8781E-11	-3.8000E+1	-1.3052E-11
1.3000E+4	1.0000E+0	-1.9040E-11	-3.7500E+1	-1.0586E-11
1.3500E+4	1.0000E+0	-1.9274E-11	-3.7000E+1	-7.9966E-12
1.4000E+4	1.0000E+0	-1.9506E-11	-3.6500E+1	-5.9652E-12
1.4500E+4	1.0000E+0	-1.9660E-11	-3.6000E+1	-3.2520E-12
1.5000E+4	1.0000E+0	-1.4181E-11	-3.5500E+1	-6.0451E-12
1.5500E+4	1.0000E+0	-3.4368E-11	-3.5000E+1	1.4643E-10
1.6000E+4	1.0000E+0	-1.9070E-11	-3.4500E+1	2.9933E-12
1.6500E+4	1.0000E+0	-1.8319E-11	-3.4000E+1	4.7159E-12
1.7000E+4	1.0000E+0	-1.7283E-11	-3.3500E+1	6.6745E-12
1.7500E+4	1.0000E+0	-1.5814E-11	-3.3000E+1	8.9419E-12
1.8000E+4	1.0000E+0	-1.3447E-11	-3.2500E+1	1.0929E-11
1.8500E+4	1.0000E+0	-1.0804E-11	-3.2000E+1	1.1944E-11
1.9000E+4	1.0000E+0	-7.1442E-12	-3.1500E+1	1.3056E-11
1.9500E+4	1.0000E+0	-2.6381E-12	-3.1000E+1	1.4974E-11
2.0000E+4	1.0000E+0	2.9957E-12	-3.0500E+1	1.6630E-11
2.0500E+4	1.0000E+0	1.0418E-11	-3.0000E+1	1.8418E-11
2.1000E+4	1.0000E+0	1.9141E-11	-2.9500E+1	2.0201E-11
2.1500E+4	1.0000E+0	2.9624E-11	-2.9000E+1	2.1790E-11
2.2000E+4	1.0000E+0	4.3309E-11	-2.8500E+1	2.3022E-11
2.2500E+4	1.0000E+0	5.9047E-11	-2.8000E+1	2.4071E-11
