File Name: 07_Sample12_device3_It_150kV_VDrain1V_VGate50V.dat
File Data: 22/11/2023	09:25:40
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	3.0735E-6	5.0000E+1	1.0526E-9
1.0000E+3	1.0000E+0	2.9163E-6	5.0000E+1	7.9300E-10
1.5000E+3	1.0000E+0	2.8523E-6	5.0000E+1	7.1259E-10
2.0000E+3	1.0000E+0	2.8024E-6	5.0000E+1	6.5927E-10
2.5000E+3	1.0000E+0	2.7741E-6	5.0000E+1	6.1249E-10
3.0000E+3	1.0000E+0	2.6996E-6	5.0000E+1	5.7611E-10
3.5000E+3	1.0000E+0	2.6690E-6	5.0000E+1	5.4504E-10
4.0000E+3	1.0000E+0	2.6449E-6	5.0000E+1	5.2010E-10
4.5000E+3	1.0000E+0	2.6076E-6	5.0000E+1	4.9961E-10
5.0000E+3	1.0000E+0	2.5707E-6	5.0000E+1	4.8183E-10
5.5000E+3	1.0000E+0	2.5434E-6	5.0000E+1	4.6591E-10
6.0000E+3	1.0000E+0	2.5155E-6	5.0000E+1	4.5072E-10
6.5000E+3	1.0000E+0	2.5005E-6	5.0000E+1	4.3893E-10
7.0000E+3	1.0000E+0	2.4648E-6	5.0000E+1	4.3136E-10
7.5000E+3	1.0000E+0	2.4268E-6	5.0000E+1	4.2187E-10
8.0000E+3	1.0000E+0	2.4013E-6	5.0000E+1	4.1207E-10
8.5000E+3	1.0000E+0	2.3798E-6	5.0000E+1	4.0380E-10
9.0000E+3	1.0000E+0	2.3583E-6	5.0000E+1	3.9571E-10
9.5000E+3	1.0000E+0	2.3282E-6	5.0000E+1	3.8787E-10
1.0000E+4	1.0000E+0	2.3162E-6	5.0000E+1	3.8212E-10
1.0500E+4	1.0000E+0	2.2933E-6	5.0000E+1	3.7597E-10
1.1000E+4	1.0000E+0	2.2578E-6	5.0000E+1	3.7228E-10
1.1500E+4	1.0000E+0	2.2508E-6	5.0000E+1	3.6763E-10
1.2000E+4	1.0000E+0	2.2287E-6	5.0000E+1	3.6220E-10
1.2500E+4	1.0000E+0	2.2104E-6	5.0000E+1	3.5756E-10
1.3000E+4	1.0000E+0	2.1985E-6	5.0000E+1	3.5172E-10
1.3500E+4	1.0000E+0	2.1791E-6	5.0000E+1	3.4814E-10
1.4000E+4	1.0000E+0	2.1561E-6	5.0000E+1	3.4526E-10
1.4500E+4	1.0000E+0	2.1417E-6	5.0000E+1	3.4064E-10
1.5000E+4	1.0000E+0	2.1214E-6	5.0000E+1	3.3627E-10
1.5500E+4	1.0000E+0	2.1098E-6	5.0000E+1	3.3364E-10
1.6000E+4	1.0000E+0	2.1073E-6	5.0000E+1	3.2982E-10
1.6500E+4	1.0000E+0	2.0865E-6	5.0000E+1	3.2495E-10
1.7000E+4	1.0000E+0	2.0646E-6	5.0000E+1	3.2102E-10
1.7500E+4	1.0000E+0	2.0443E-6	5.0000E+1	3.1745E-10
1.8000E+4	1.0000E+0	2.0288E-6	5.0000E+1	3.1394E-10
1.8500E+4	1.0000E+0	2.0205E-6	5.0000E+1	3.1175E-10
1.9000E+4	1.0000E+0	2.0089E-6	5.0000E+1	3.0792E-10
1.9500E+4	1.0000E+0	1.9883E-6	5.0000E+1	3.0574E-10
2.0000E+4	1.0000E+0	1.9782E-6	5.0000E+1	3.0291E-10
2.0500E+4	1.0000E+0	1.9638E-6	5.0000E+1	2.9985E-10
2.1000E+4	1.0000E+0	1.9518E-6	5.0000E+1	2.9718E-10
2.1500E+4	1.0000E+0	1.9392E-6	5.0000E+1	2.9513E-10
2.2000E+4	1.0000E+0	1.9212E-6	5.0000E+1	2.9218E-10
2.2500E+4	1.0000E+0	1.9044E-6	5.0000E+1	2.8936E-10
2.3000E+4	1.0000E+0	1.8919E-6	5.0000E+1	2.8668E-10
