File Name: 00_Sample12_Device4_trfSat_dark_begin.dat
File Data: 22/11/2023	09:55:38
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	2.0554E-10	-5.0000E+1	-5.0485E-9
1.0000E+3	1.0000E+0	1.7013E-10	-4.9500E+1	-4.9171E-9
1.5000E+3	1.0000E+0	1.4599E-10	-4.9000E+1	-4.9112E-9
2.0000E+3	1.0000E+0	1.8652E-10	-4.8500E+1	-4.5572E-9
2.5000E+3	1.0000E+0	1.6797E-10	-4.8000E+1	-4.2844E-9
3.0000E+3	1.0000E+0	1.5690E-10	-4.7500E+1	-4.0270E-9
3.5000E+3	1.0000E+0	1.3784E-10	-4.7000E+1	-4.0825E-9
4.0000E+3	1.0000E+0	1.4453E-10	-4.6500E+1	-3.7355E-9
4.5000E+3	1.0000E+0	1.6026E-10	-4.6000E+1	-3.6710E-9
5.0000E+3	1.0000E+0	1.5788E-10	-4.5500E+1	-3.6900E-9
5.5000E+3	1.0000E+0	1.7222E-10	-4.5000E+1	-3.4975E-9
6.0000E+3	1.0000E+0	1.5825E-10	-4.4500E+1	-3.2891E-9
6.5000E+3	1.0000E+0	1.3206E-10	-4.4000E+1	-3.1316E-9
7.0000E+3	1.0000E+0	1.1922E-10	-4.3500E+1	-3.1425E-9
7.5000E+3	1.0000E+0	1.2637E-10	-4.3000E+1	-3.0227E-9
8.0000E+3	1.0000E+0	1.5112E-10	-4.2500E+1	-2.9372E-9
8.5000E+3	1.0000E+0	1.3521E-10	-4.2000E+1	-2.7704E-9
9.0000E+3	1.0000E+0	1.4746E-10	-4.1500E+1	-2.6774E-9
9.5000E+3	1.0000E+0	1.3601E-10	-4.1000E+1	-2.5543E-9
1.0000E+4	1.0000E+0	1.3778E-10	-4.0500E+1	-2.4604E-9
1.0500E+4	1.0000E+0	1.2747E-10	-4.0000E+1	-2.3197E-9
1.1000E+4	1.0000E+0	1.2693E-10	-3.9500E+1	-2.2257E-9
1.1500E+4	1.0000E+0	1.3159E-10	-3.9000E+1	-2.1641E-9
1.2000E+4	1.0000E+0	1.2478E-10	-3.8500E+1	-2.0373E-9
1.2500E+4	1.0000E+0	1.2549E-10	-3.8000E+1	-1.9748E-9
1.3000E+4	1.0000E+0	1.1782E-10	-3.7500E+1	-1.8776E-9
1.3500E+4	1.0000E+0	1.1606E-10	-3.7000E+1	-1.8009E-9
1.4000E+4	1.0000E+0	1.1837E-10	-3.6500E+1	-1.7378E-9
1.4500E+4	1.0000E+0	1.2048E-10	-3.6000E+1	-1.6466E-9
1.5000E+4	1.0000E+0	1.1856E-10	-3.5500E+1	-1.5698E-9
1.5500E+4	1.0000E+0	8.1981E-11	-3.5000E+1	-1.0238E-9
1.6000E+4	1.0000E+0	1.0798E-10	-3.4500E+1	-1.3549E-9
1.6500E+4	1.0000E+0	1.1074E-10	-3.4000E+1	-1.2730E-9
1.7000E+4	1.0000E+0	9.9844E-11	-3.3500E+1	-1.1758E-9
1.7500E+4	1.0000E+0	1.0387E-10	-3.3000E+1	-1.1113E-9
1.8000E+4	1.0000E+0	9.4488E-11	-3.2500E+1	-1.0252E-9
1.8500E+4	1.0000E+0	1.0286E-10	-3.2000E+1	-9.5125E-10
1.9000E+4	1.0000E+0	9.4691E-11	-3.1500E+1	-8.6356E-10
1.9500E+4	1.0000E+0	9.9919E-11	-3.1000E+1	-8.1435E-10
2.0000E+4	1.0000E+0	9.3670E-11	-3.0500E+1	-7.4451E-10
2.0500E+4	1.0000E+0	9.1188E-11	-3.0000E+1	-6.9078E-10
2.1000E+4	1.0000E+0	8.7142E-11	-2.9500E+1	-6.3109E-10
2.1500E+4	1.0000E+0	8.5232E-11	-2.9000E+1	-5.5724E-10
2.2000E+4	1.0000E+0	8.6633E-11	-2.8500E+1	-5.2301E-10
2.2500E+4	1.0000E+0	8.4599E-11	-2.8000E+1	-4.6698E-10
2.3000E+4	1.0000E+0	8.3652E-11	-2.7500E+1	-4.2968E-10
2.3500E+4	1.0000E+0	7.7709E-11	-2.7000E+1	-3.8968E-10
2.4000E+4	1.0000E+0	7.7511E-11	-2.6500E+1	-3.5208E-10
2.4500E+4	1.0000E+0	7.6861E-11	-2.6000E+1	-3.1958E-10
2.5000E+4	1.0000E+0	7.4041E-11	-2.5500E+1	-3.0720E-10
2.5500E+4	1.0000E+0	7.5117E-11	-2.5000E+1	-2.9129E-10
2.6000E+4	1.0000E+0	7.3855E-11	-2.4500E+1	-2.7422E-10
2.6500E+4	1.0000E+0	7.8239E-11	-2.4000E+1	-2.5427E-10
2.7000E+4	1.0000E+0	7.8591E-11	-2.3500E+1	-2.2760E-10
2.7500E+4	1.0000E+0	7.6575E-11	-2.3000E+1	-1.9579E-10
2.8000E+4	1.0000E+0	7.4698E-11	-2.2500E+1	-1.6862E-10
2.8500E+4	1.0000E+0	7.5833E-11	-2.2000E+1	-1.4812E-10
2.9000E+4	1.0000E+0	7.6383E-11	-2.1500E+1	-1.2476E-10
2.9500E+4	1.0000E+0	7.8970E-11	-2.1000E+1	-1.0112E-10
3.0000E+4	1.0000E+0	9.0492E-11	-2.0500E+1	-8.3935E-11
3.0500E+4	1.0000E+0	8.7895E-11	-2.0000E+1	-3.2301E-11
3.1000E+4	1.0000E+0	8.3262E-11	-1.9500E+1	-8.6355E-12
3.1500E+4	1.0000E+0	8.8476E-11	-1.9000E+1	-1.7899E-11
3.2000E+4	1.0000E+0	9.2738E-11	-1.8500E+1	-6.1047E-12
3.2500E+4	1.0000E+0	1.0328E-10	-1.8000E+1	4.9722E-12
3.3000E+4	1.0000E+0	1.1134E-10	-1.7500E+1	1.6694E-11
3.3500E+4	1.0000E+0	1.1916E-10	-1.7000E+1	2.4903E-11
3.4000E+4	1.0000E+0	1.3648E-10	-1.6500E+1	3.2169E-11
3.4500E+4	1.0000E+0	1.5256E-10	-1.6000E+1	3.8550E-11
3.5000E+4	1.0000E+0	1.7406E-10	-1.5500E+1	4.3025E-11
3.5500E+4	1.0000E+0	2.0743E-10	-1.5000E+1	4.7127E-11
3.6000E+4	1.0000E+0	2.2394E-10	-1.4500E+1	5.0883E-11
3.6500E+4	1.0000E+0	2.5536E-10	-1.4000E+1	6.1445E-11
3.7000E+4	1.0000E+0	3.1334E-10	-1.3500E+1	8.1704E-11
3.7500E+4	1.0000E+0	3.1460E-10	-1.3000E+1	1.0312E-10
3.8000E+4	1.0000E+0	3.4723E-10	-1.2500E+1	1.2239E-10
3.8500E+4	1.0000E+0	3.9496E-10	-1.2000E+1	1.4076E-10
3.9000E+4	1.0000E+0	4.5767E-10	-1.1500E+1	1.5721E-10
3.9500E+4	1.0000E+0	5.5380E-10	-1.1000E+1	1.7846E-10
4.0000E+4	1.0000E+0	6.3551E-10	-1.0500E+1	1.8749E-10
4.0500E+4	1.0000E+0	7.5364E-10	-1.0000E+1	1.9946E-10
4.1000E+4	1.0000E+0	8.2907E-10	-9.5000E+0	2.1195E-10
4.1500E+4	1.0000E+0	9.2123E-10	-9.0000E+0	2.1082E-10
4.2000E+4	1.0000E+0	1.1039E-9	-8.5000E+0	2.2685E-10
4.2500E+4	1.0000E+0	1.3145E-9	-8.0000E+0	2.6328E-10
4.3000E+4	1.0000E+0	1.4418E-9	-7.5000E+0	2.4535E-10
4.3500E+4	1.0000E+0	1.6768E-9	-7.0000E+0	2.7625E-10
4.4000E+4	1.0000E+0	2.2196E-9	-6.5000E+0	2.9985E-10
4.4500E+4	1.0000E+0	2.5365E-9	-6.0000E+0	2.7098E-10
4.5000E+4	1.0000E+0	2.9621E-9	-5.5000E+0	2.8250E-10
4.5500E+4	1.0000E+0	3.3328E-9	-5.0000E+0	2.7825E-10
4.6000E+4	1.0000E+0	3.5546E-9	-4.5000E+0	3.7368E-10
4.6500E+4	1.0000E+0	4.2982E-9	-4.0000E+0	3.1307E-10
4.7000E+4	1.0000E+0	4.7353E-9	-3.5000E+0	3.1335E-10
4.7500E+4	1.0000E+0	5.3532E-9	-3.0000E+0	3.2425E-10
4.8000E+4	1.0000E+0	6.3096E-9	-2.5000E+0	3.3852E-10
4.8500E+4	1.0000E+0	6.9671E-9	-2.0000E+0	3.4349E-10
4.9000E+4	1.0000E+0	8.2845E-9	-1.5000E+0	3.6430E-10
4.9500E+4	1.0000E+0	8.2944E-9	-1.0000E+0	4.5199E-10
5.0000E+4	1.0000E+0	8.6779E-9	-5.0000E-1	3.9380E-10
5.0500E+4	1.0000E+0	9.8809E-9	0.0000E+0	4.1060E-10
5.1000E+4	1.0000E+0	1.1958E-8	5.0000E-1	4.3840E-10
5.1500E+4	1.0000E+0	1.2780E-8	1.0000E+0	4.5221E-10
5.2000E+4	1.0000E+0	1.3690E-8	1.5000E+0	4.7367E-10
5.2500E+4	1.0000E+0	1.5662E-8	2.0000E+0	4.5968E-10
5.3000E+4	1.0000E+0	1.6684E-8	2.5000E+0	4.2402E-10
