File Name: 13_Sample14_device2_trfSat_dark_final.dat
File Data: 22/11/2023	12:46:02
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	8.7402E-11	-5.0000E+1	-8.4941E-11
1.0000E+3	1.0000E+0	7.6693E-11	-4.9500E+1	-3.8069E-11
1.5000E+3	1.0000E+0	5.3573E-11	-4.9000E+1	1.7349E-11
2.0000E+3	1.0000E+0	5.1838E-11	-4.8500E+1	2.0260E-11
2.5000E+3	1.0000E+0	4.9438E-11	-4.8000E+1	2.1693E-11
3.0000E+3	1.0000E+0	4.7815E-11	-4.7500E+1	2.4014E-11
3.5000E+3	1.0000E+0	4.6175E-11	-4.7000E+1	2.5473E-11
4.0000E+3	1.0000E+0	4.4167E-11	-4.6500E+1	2.6832E-11
4.5000E+3	1.0000E+0	4.2740E-11	-4.6000E+1	2.7941E-11
5.0000E+3	1.0000E+0	4.1561E-11	-4.5500E+1	2.9270E-11
5.5000E+3	1.0000E+0	4.1168E-11	-4.5000E+1	3.0026E-11
6.0000E+3	1.0000E+0	4.0500E-11	-4.4500E+1	3.0593E-11
6.5000E+3	1.0000E+0	3.9943E-11	-4.4000E+1	3.1555E-11
7.0000E+3	1.0000E+0	3.9562E-11	-4.3500E+1	3.1951E-11
7.5000E+3	1.0000E+0	3.9005E-11	-4.3000E+1	3.2859E-11
8.0000E+3	1.0000E+0	3.8360E-11	-4.2500E+1	3.3985E-11
8.5000E+3	1.0000E+0	3.8313E-11	-4.2000E+1	3.4217E-11
9.0000E+3	1.0000E+0	3.9135E-11	-4.1500E+1	3.4119E-11
9.5000E+3	1.0000E+0	3.8571E-11	-4.1000E+1	3.4423E-11
1.0000E+4	1.0000E+0	3.8717E-11	-4.0500E+1	3.4584E-11
1.0500E+4	1.0000E+0	3.8079E-11	-4.0000E+1	3.5381E-11
1.1000E+4	1.0000E+0	3.9804E-11	-3.9500E+1	3.5827E-11
1.1500E+4	1.0000E+0	4.0596E-11	-3.9000E+1	3.5051E-11
1.2000E+4	1.0000E+0	3.9736E-11	-3.8500E+1	3.5838E-11
1.2500E+4	1.0000E+0	4.0302E-11	-3.8000E+1	3.7446E-11
1.3000E+4	1.0000E+0	4.1294E-11	-3.7500E+1	3.7946E-11
1.3500E+4	1.0000E+0	4.3314E-11	-3.7000E+1	3.7857E-11
1.4000E+4	1.0000E+0	4.6127E-11	-3.6500E+1	3.7733E-11
1.4500E+4	1.0000E+0	4.6538E-11	-3.6000E+1	3.8437E-11
1.5000E+4	1.0000E+0	5.4591E-11	-3.5500E+1	3.6335E-11
1.5500E+4	1.0000E+0	3.6391E-11	-3.5000E+1	1.7927E-10
1.6000E+4	1.0000E+0	5.7836E-11	-3.4500E+1	4.1267E-11
1.6500E+4	1.0000E+0	6.4268E-11	-3.4000E+1	4.2416E-11
1.7000E+4	1.0000E+0	7.3017E-11	-3.3500E+1	4.2522E-11
1.7500E+4	1.0000E+0	8.4703E-11	-3.3000E+1	4.3216E-11
1.8000E+4	1.0000E+0	9.9646E-11	-3.2500E+1	4.3563E-11
1.8500E+4	1.0000E+0	1.2135E-10	-3.2000E+1	4.4240E-11
1.9000E+4	1.0000E+0	1.4934E-10	-3.1500E+1	4.4818E-11
1.9500E+4	1.0000E+0	1.8462E-10	-3.1000E+1	4.5329E-11
2.0000E+4	1.0000E+0	2.3054E-10	-3.0500E+1	4.6221E-11
2.0500E+4	1.0000E+0	2.8874E-10	-3.0000E+1	4.5863E-11
2.1000E+4	1.0000E+0	3.5583E-10	-2.9500E+1	4.6589E-11
2.1500E+4	1.0000E+0	4.1358E-10	-2.9000E+1	4.6562E-11
2.2000E+4	1.0000E+0	5.2345E-10	-2.8500E+1	4.7205E-11
2.2500E+4	1.0000E+0	6.3717E-10	-2.8000E+1	4.7625E-11
2.3000E+4	1.0000E+0	8.0535E-10	-2.7500E+1	4.7582E-11
2.3500E+4	1.0000E+0	9.5446E-10	-2.7000E+1	4.8102E-11
2.4000E+4	1.0000E+0	1.1646E-9	-2.6500E+1	4.8433E-11
2.4500E+4	1.0000E+0	1.4742E-9	-2.6000E+1	4.7956E-11
2.5000E+4	1.0000E+0	1.7574E-9	-2.5500E+1	4.8671E-11
2.5500E+4	1.0000E+0	2.1369E-9	-2.5000E+1	4.8562E-11
2.6000E+4	1.0000E+0	2.6208E-9	-2.4500E+1	4.8994E-11
2.6500E+4	1.0000E+0	3.1940E-9	-2.4000E+1	4.9300E-11
2.7000E+4	1.0000E+0	4.0660E-9	-2.3500E+1	4.9498E-11
2.7500E+4	1.0000E+0	4.7717E-9	-2.3000E+1	4.9661E-11
2.8000E+4	1.0000E+0	5.8113E-9	-2.2500E+1	4.9829E-11
2.8500E+4	1.0000E+0	7.1010E-9	-2.2000E+1	5.0175E-11
2.9000E+4	1.0000E+0	8.4259E-9	-2.1500E+1	5.0283E-11
2.9500E+4	1.0000E+0	1.0297E-8	-2.1000E+1	5.0592E-11
3.0000E+4	1.0000E+0	1.2330E-8	-2.0500E+1	5.0116E-11
3.0500E+4	1.0000E+0	1.4701E-8	-2.0000E+1	7.1673E-11
3.1000E+4	1.0000E+0	1.7805E-8	-1.9500E+1	7.2432E-11
3.1500E+4	1.0000E+0	2.0781E-8	-1.9000E+1	5.1067E-11
3.2000E+4	1.0000E+0	2.4101E-8	-1.8500E+1	5.1261E-11
3.2500E+4	1.0000E+0	2.8220E-8	-1.8000E+1	5.1410E-11
3.3000E+4	1.0000E+0	3.2923E-8	-1.7500E+1	5.1663E-11
3.3500E+4	1.0000E+0	3.8356E-8	-1.7000E+1	5.1688E-11
3.4000E+4	1.0000E+0	4.4840E-8	-1.6500E+1	5.1847E-11
3.4500E+4	1.0000E+0	5.0979E-8	-1.6000E+1	5.2080E-11
3.5000E+4	1.0000E+0	5.9082E-8	-1.5500E+1	5.2310E-11
3.5500E+4	1.0000E+0	6.7042E-8	-1.5000E+1	5.2479E-11
3.6000E+4	1.0000E+0	7.6508E-8	-1.4500E+1	5.2398E-11
3.6500E+4	1.0000E+0	8.7411E-8	-1.4000E+1	5.2644E-11
3.7000E+4	1.0000E+0	9.8340E-8	-1.3500E+1	5.2724E-11
3.7500E+4	1.0000E+0	1.1141E-7	-1.3000E+1	5.3130E-11
3.8000E+4	1.0000E+0	1.2458E-7	-1.2500E+1	6.2088E-11
3.8500E+4	1.0000E+0	1.4071E-7	-1.2000E+1	5.3047E-11
3.9000E+4	1.0000E+0	1.5662E-7	-1.1500E+1	5.3177E-11
3.9500E+4	1.0000E+0	1.7420E-7	-1.1000E+1	5.3283E-11
4.0000E+4	1.0000E+0	1.9339E-7	-1.0500E+1	5.3482E-11
4.0500E+4	1.0000E+0	2.1583E-7	-1.0000E+1	5.3420E-11
4.1000E+4	1.0000E+0	2.4031E-7	-9.5000E+0	5.3774E-11
4.1500E+4	1.0000E+0	2.6526E-7	-9.0000E+0	5.3638E-11
4.2000E+4	1.0000E+0	2.9331E-7	-8.5000E+0	5.3899E-11
4.2500E+4	1.0000E+0	3.2137E-7	-8.0000E+0	5.3952E-11
4.3000E+4	1.0000E+0	3.5283E-7	-7.5000E+0	5.4061E-11
4.3500E+4	1.0000E+0	3.8653E-7	-7.0000E+0	5.4190E-11
4.4000E+4	1.0000E+0	4.2353E-7	-6.5000E+0	5.4201E-11
4.4500E+4	1.0000E+0	4.6127E-7	-6.0000E+0	5.4234E-11
4.5000E+4	1.0000E+0	5.0258E-7	-5.5000E+0	5.4505E-11
4.5500E+4	1.0000E+0	5.4649E-7	-5.0000E+0	4.4385E-11
4.6000E+4	1.0000E+0	5.9300E-7	-4.5000E+0	1.8921E-10
4.6500E+4	1.0000E+0	6.3954E-7	-4.0000E+0	5.4613E-11
4.7000E+4	1.0000E+0	6.9138E-7	-3.5000E+0	5.5066E-11
4.7500E+4	1.0000E+0	7.5075E-7	-3.0000E+0	5.4969E-11
4.8000E+4	1.0000E+0	8.0934E-7	-2.5000E+0	5.5111E-11
4.8500E+4	1.0000E+0	8.7167E-7	-2.0000E+0	5.5189E-11
4.9000E+4	1.0000E+0	9.3840E-7	-1.5000E+0	5.5324E-11
4.9500E+4	1.0000E+0	1.0049E-6	-1.0000E+0	5.5350E-11
