File Name: 10_Sample14_device3_trfSat_dark_beginl.dat
File Data: 22/11/2023	13:15:21
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	2.1039E-10	-5.0000E+1	-1.1892E-10
1.0000E+3	1.0000E+0	1.9440E-10	-4.9500E+1	-3.1898E-11
1.5000E+3	1.0000E+0	1.7453E-10	-4.9000E+1	2.4115E-11
2.0000E+3	1.0000E+0	1.6951E-10	-4.8500E+1	2.7573E-11
2.5000E+3	1.0000E+0	1.6440E-10	-4.8000E+1	3.0316E-11
3.0000E+3	1.0000E+0	1.5977E-10	-4.7500E+1	3.2376E-11
3.5000E+3	1.0000E+0	1.5766E-10	-4.7000E+1	3.4360E-11
4.0000E+3	1.0000E+0	1.5414E-10	-4.6500E+1	3.5297E-11
4.5000E+3	1.0000E+0	1.5134E-10	-4.6000E+1	3.6353E-11
5.0000E+3	1.0000E+0	1.4981E-10	-4.5500E+1	3.7419E-11
5.5000E+3	1.0000E+0	1.4830E-10	-4.5000E+1	3.8181E-11
6.0000E+3	1.0000E+0	1.4493E-10	-4.4500E+1	3.9157E-11
6.5000E+3	1.0000E+0	1.4391E-10	-4.4000E+1	3.9725E-11
7.0000E+3	1.0000E+0	1.4233E-10	-4.3500E+1	4.0256E-11
7.5000E+3	1.0000E+0	1.4040E-10	-4.3000E+1	4.1085E-11
8.0000E+3	1.0000E+0	1.3793E-10	-4.2500E+1	4.1720E-11
8.5010E+3	1.0000E+0	1.3646E-10	-4.2000E+1	4.2262E-11
9.0000E+3	1.0000E+0	1.3541E-10	-4.1500E+1	4.2753E-11
9.5000E+3	1.0000E+0	1.3350E-10	-4.1000E+1	4.3343E-11
1.0000E+4	1.0000E+0	1.3226E-10	-4.0500E+1	4.3440E-11
1.0500E+4	1.0000E+0	1.3165E-10	-4.0000E+1	4.4031E-11
1.1000E+4	1.0000E+0	1.3105E-10	-3.9500E+1	4.4534E-11
1.1500E+4	1.0000E+0	1.3001E-10	-3.9000E+1	4.4667E-11
