File Name: 12_Sample14_device3_It_150kV_VDrain1V_VGate50V.dat;;;;;;;;;;;;;;;;;
File Data: 22/11/2023;13:29:38;;;;;;;;;;;;;;;;
Start V: 0;;;;;;;;;;;;;;;;;
Step V: 0;;;;;;;;;;;;;;;;;
Stop V: 0;;;;;;;;;;;;;;;;;
Range V: 200;;;;;;;;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;;;;;;;;
Auorange: yes;;;;;;;;;;;;;;;;;
Sweep type: log;;;;;;;;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;Time (s);IDrain (A);;Time_500uA (s);IDrain_dark (A);;Time_500uA (s);IDrain_raw (A);Fit (A);dI (A)
0.00E+00;1.00E+00;1.56E-06;5.00E+01;2.37E-10;;;;0.00;1.56E-06;;300;2.1854E-09;;300;2.1854E-09;2.20E-09;-1.174E-11
1.00E+03;1.00E+00;1.45E-06;5.00E+01;2.03E-10;;;;1.00;1.45E-06;;300.5;2.1596E-09;;300.5;2.1596E-09;2.19E-09;-2.753E-11
1.50E+03;1.00E+00;1.39E-06;5.00E+01;1.95E-10;;;;1.50;1.39E-06;;301;2.1419E-09;;301;2.1419E-09;2.18E-09;-3.526E-11
2.00E+03;1.00E+00;1.36E-06;5.00E+01;1.89E-10;;;;2.00;1.36E-06;;301.5;2.1292E-09;;301.5;2.1292E-09;2.17E-09;-3.804E-11
2.50E+03;1.00E+00;1.33E-06;5.00E+01;1.85E-10;;;;2.50;1.33E-06;;302;2.1395E-09;;302;2.1395E-09;2.16E-09;-1.786E-11
3.00E+03;1.00E+00;1.32E-06;5.00E+01;1.80E-10;;;;3.00;1.32E-06;;302.5;2.1349E-09;;302.5;2.1349E-09;2.15E-09;-1.263E-11
3.50E+03;1.00E+00;1.30E-06;5.00E+01;1.77E-10;;;;3.50;1.30E-06;;303;2.1121E-09;;303;2.1121E-09;2.14E-09;-2.563E-11
4.00E+03;1.00E+00;1.28E-06;5.00E+01;1.73E-10;;;;4.00;1.28E-06;;303.5;2.1181E-09;;303.5;2.1181E-09;2.13E-09;-9.89E-12
4.50E+03;1.00E+00;1.25E-06;5.00E+01;1.70E-10;;;;4.50;1.25E-06;;304;2.1313E-09;;304;2.1313E-09;2.12E-09;1.302E-11
5.00E+03;1.00E+00;1.24E-06;5.00E+01;1.67E-10;;;;5.00;1.24E-06;;304.5;2.1141E-09;;304.5;2.1141E-09;2.11E-09;5.48E-12
5.50E+03;1.00E+00;1.23E-06;5.00E+01;1.64E-10;;;;5.50;1.23E-06;;305;2.107E-09;;305;2.107E-09;2.10E-09;8E-12
6.00E+03;1.00E+00;1.22E-06;5.00E+01;1.64E-10;;;;6.00;1.22E-06;;305.5;2.1005E-09;;305.5;2.1005E-09;2.09E-09;1.108E-11
6.50E+03;1.00E+00;1.20E-06;5.00E+01;1.62E-10;;;;6.50;1.20E-06;;306;2.0933E-09;;306;2.0933E-09;2.08E-09;1.341E-11
7.00E+03;1.00E+00;1.18E-06;5.00E+01;1.60E-10;;;;7.00;1.18E-06;;306.5;2.0828E-09;;306.5;2.0828E-09;2.07E-09;1.24E-11
7.50E+03;1.00E+00;1.18E-06;5.00E+01;1.60E-10;;;;7.50;1.18E-06;;307;2.053E-09;;307;2.053E-09;2.06E-09;-7.95E-12
2.65E+04;1.00E+00;8.50E-07;5.00E+01;1.43E-10;;;;26.50;8.50E-07;;326;1.8161E-09;;307.5;2.0143E-09;2.05E-09;-3.725E-11
2.70E+04;1.00E+00;8.56E-07;5.00E+01;1.46E-10;;;;27.00;8.56E-07;;326.5;1.8034E-09;;308;2.0151E-09;2.04E-09;-2.709E-11
2.75E+04;1.00E+00;8.52E-07;5.00E+01;1.46E-10;;;;27.50;8.52E-07;;327;1.7928E-09;;308.5;2.0103E-09;2.03E-09;-2.257E-11
2.80E+04;1.00E+00;8.37E-07;5.00E+01;1.46E-10;;;;28.00;8.37E-07;;327.5;1.7952E-09;;309;2.0296E-09;2.02E-09;6E-12
2.85E+04;1.00E+00;8.36E-07;5.00E+01;1.44E-10;;;;28.50;8.36E-07;;328;1.7908E-09;;309.5;1.9953E-09;2.01E-09;-1.907E-11
2.90E+04;1.00E+00;8.29E-07;5.00E+01;1.45E-10;;;;29.00;8.29E-07;;328.5;1.8026E-09;;310;4.0684E-09;2.01E-09;2.06322E-09
2.95E+04;1.00E+00;8.14E-07;5.00E+01;1.45E-10;;;;29.50;8.14E-07;;329;1.7533E-09;;310.5;4.0413E-09;2.00E-09;2.04526E-09
