File Name: 01_Sample14_device3_dark_trfSat_VDrain1V.dat
File Data: 10/11/2023	15:05:21
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	8.2254E-12	-5.0000E+1	-1.9063E-8
7.0000E+2	1.0000E+0	-2.8161E-11	-4.9500E+1	-1.7106E-8
1.2000E+3	1.0000E+0	-2.1716E-11	-4.9000E+1	-1.6356E-8
1.7000E+3	1.0000E+0	-2.2383E-11	-4.8500E+1	-1.6345E-8
2.2000E+3	1.0000E+0	-2.2579E-11	-4.8000E+1	-1.5205E-8
2.7000E+3	1.0000E+0	-2.3030E-11	-4.7500E+1	-1.4903E-8
3.2000E+3	1.0000E+0	-2.3339E-11	-4.7000E+1	-1.4784E-8
3.7000E+3	1.0000E+0	-2.3475E-11	-4.6500E+1	-1.4313E-8
4.2000E+3	1.0000E+0	-2.3618E-11	-4.6000E+1	-1.3955E-8
4.7000E+3	1.0000E+0	-2.3726E-11	-4.5500E+1	-1.3702E-8
5.2000E+3	1.0000E+0	-2.3737E-11	-4.5000E+1	-1.3411E-8
5.7000E+3	1.0000E+0	-2.3850E-11	-4.4500E+1	-1.3162E-8
6.2000E+3	1.0000E+0	-2.3919E-11	-4.4000E+1	-1.2805E-8
6.7000E+3	1.0000E+0	-2.3951E-11	-4.3500E+1	-1.2562E-8
7.2000E+3	1.0000E+0	-2.4165E-11	-4.3000E+1	-1.2450E-8
7.7000E+3	1.0000E+0	-2.4310E-11	-4.2500E+1	-1.2298E-8
8.2000E+3	1.0000E+0	-2.4236E-11	-4.2000E+1	-1.2051E-8
8.7000E+3	1.0000E+0	-2.4265E-11	-4.1500E+1	-1.2202E-8
9.2000E+3	1.0000E+0	-2.4313E-11	-4.1000E+1	-1.1507E-8
9.7000E+3	1.0000E+0	-2.4409E-11	-4.0500E+1	-1.1023E-8
1.0200E+4	1.0000E+0	-2.4419E-11	-4.0000E+1	-1.0681E-8
1.0700E+4	1.0000E+0	-2.4324E-11	-3.9500E+1	-1.0486E-8
1.1200E+4	1.0000E+0	-2.4468E-11	-3.9000E+1	-1.0191E-8
1.1700E+4	1.0000E+0	-2.4557E-11	-3.8500E+1	-1.0085E-8
1.2200E+4	1.0000E+0	-2.4674E-11	-3.8000E+1	-9.8250E-9
1.2700E+4	1.0000E+0	-2.4564E-11	-3.7500E+1	-9.8218E-9
1.3200E+4	1.0000E+0	-2.4515E-11	-3.7000E+1	-9.5679E-9
1.3700E+4	1.0000E+0	-2.4614E-11	-3.6500E+1	-9.3222E-9
1.4200E+4	1.0000E+0	-2.4763E-11	-3.6000E+1	-9.2349E-9
1.4700E+4	1.0000E+0	-2.4772E-11	-3.5500E+1	-8.9105E-9
1.5200E+4	1.0000E+0	-1.6699E-11	-3.5000E+1	-8.7669E-9
1.5700E+4	1.0000E+0	-3.9057E-11	-3.4500E+1	-8.3148E-9
1.6200E+4	1.0000E+0	-2.5055E-11	-3.4000E+1	-8.3753E-9
1.6700E+4	1.0000E+0	-2.4832E-11	-3.3500E+1	-8.1859E-9
1.7200E+4	1.0000E+0	-2.4831E-11	-3.3000E+1	-8.0453E-9
1.7700E+4	1.0000E+0	-2.4902E-11	-3.2500E+1	-7.8103E-9
1.8200E+4	1.0000E+0	-2.5076E-11	-3.2000E+1	-7.6672E-9
1.8700E+4	1.0000E+0	-2.4947E-11	-3.1500E+1	-7.5193E-9
1.9200E+4	1.0000E+0	-2.4953E-11	-3.1000E+1	-7.3998E-9
1.9700E+4	1.0000E+0	-2.4910E-11	-3.0500E+1	-7.2610E-9
2.0200E+4	1.0000E+0	-2.4891E-11	-3.0000E+1	-7.1395E-9
2.0700E+4	1.0000E+0	-2.4918E-11	-2.9500E+1	-6.9137E-9
2.1200E+4	1.0000E+0	-2.4912E-11	-2.9000E+1	-6.7316E-9
2.1700E+4	1.0000E+0	-2.5060E-11	-2.8500E+1	-6.5025E-9
2.2200E+4	1.0000E+0	-2.4968E-11	-2.8000E+1	-6.3504E-9
2.2700E+4	1.0000E+0	-2.4978E-11	-2.7500E+1	-6.2043E-9
2.3200E+4	1.0000E+0	-2.5069E-11	-2.7000E+1	-5.9913E-9
2.3700E+4	1.0000E+0	-2.4908E-11	-2.6500E+1	-5.8861E-9
2.4200E+4	1.0000E+0	-2.5029E-11	-2.6000E+1	-5.7389E-9
2.4700E+4	1.0000E+0	-2.4958E-11	-2.5500E+1	-5.4882E-9
