File Name: 03_Sample14_device3_dark_trfSat.dat
File Data: 10/11/2023	15:37:29
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	7.6833E-11	-5.0000E+1	-2.9544E-8
7.0000E+2	1.0000E+0	-2.5908E-11	-4.9500E+1	-2.8057E-8
1.2000E+3	1.0000E+0	-2.1118E-11	-4.9000E+1	-2.7076E-8
1.7000E+3	1.0000E+0	-2.1765E-11	-4.8500E+1	-2.6278E-8
2.2000E+3	1.0000E+0	-2.2254E-11	-4.8000E+1	-2.5475E-8
2.7000E+3	1.0000E+0	-2.2600E-11	-4.7500E+1	-2.4932E-8
3.2000E+3	1.0000E+0	-2.2969E-11	-4.7000E+1	-2.3483E-8
3.7000E+3	1.0000E+0	-2.3013E-11	-4.6500E+1	-2.3238E-8
4.2000E+3	1.0000E+0	-2.3111E-11	-4.6000E+1	-2.3155E-8
4.7000E+3	1.0000E+0	-2.3483E-11	-4.5500E+1	-2.2084E-8
5.2000E+3	1.0000E+0	-2.3434E-11	-4.5000E+1	-2.1724E-8
5.7000E+3	1.0000E+0	-2.3590E-11	-4.4500E+1	-2.1360E-8
6.2000E+3	1.0000E+0	-2.3676E-11	-4.4000E+1	-2.0977E-8
6.7000E+3	1.0000E+0	-2.3661E-11	-4.3500E+1	-2.0218E-8
7.2000E+3	1.0000E+0	-2.3804E-11	-4.3000E+1	-2.0130E-8
7.7000E+3	1.0000E+0	-2.4000E-11	-4.2500E+1	-1.9676E-8
8.2000E+3	1.0000E+0	-2.3830E-11	-4.2000E+1	-1.9671E-8
8.7000E+3	1.0000E+0	-2.4157E-11	-4.1500E+1	-1.9155E-8
9.2000E+3	1.0000E+0	-2.3997E-11	-4.1000E+1	-1.8825E-8
9.7000E+3	1.0000E+0	-2.3931E-11	-4.0500E+1	-1.8412E-8
1.0200E+4	1.0000E+0	-2.4160E-11	-4.0000E+1	-1.8194E-8
1.0700E+4	1.0000E+0	-2.4003E-11	-3.9500E+1	-1.7850E-8
1.1200E+4	1.0000E+0	-2.4190E-11	-3.9000E+1	-1.7410E-8
1.1700E+4	1.0000E+0	-2.4269E-11	-3.8500E+1	-1.6922E-8
1.2200E+4	1.0000E+0	-2.4222E-11	-3.8000E+1	-1.6269E-8
1.2700E+4	1.0000E+0	-2.4202E-11	-3.7500E+1	-1.5835E-8
1.3200E+4	1.0000E+0	-2.4389E-11	-3.7000E+1	-1.4973E-8
1.3700E+4	1.0000E+0	-2.4351E-11	-3.6500E+1	-1.5264E-8
1.4200E+4	1.0000E+0	-2.4286E-11	-3.6000E+1	-1.5092E-8
1.4700E+4	1.0000E+0	-2.4455E-11	-3.5500E+1	-1.4517E-8
1.5200E+4	1.0000E+0	-1.6277E-11	-3.5000E+1	-1.3690E-8
1.5700E+4	1.0000E+0	-3.8853E-11	-3.4500E+1	-1.3223E-8
1.6200E+4	1.0000E+0	-2.4794E-11	-3.4000E+1	-1.3148E-8
1.6700E+4	1.0000E+0	-2.4693E-11	-3.3500E+1	-1.2520E-8
1.7200E+4	1.0000E+0	-2.4641E-11	-3.3000E+1	-1.1990E-8
1.7700E+4	1.0000E+0	-2.4642E-11	-3.2500E+1	-1.1931E-8
1.8200E+4	1.0000E+0	-2.4742E-11	-3.2000E+1	-1.1507E-8
1.8700E+4	1.0000E+0	-2.4794E-11	-3.1500E+1	-1.1219E-8
1.9200E+4	1.0000E+0	-2.4663E-11	-3.1000E+1	-1.0951E-8
1.9700E+4	1.0000E+0	-2.4732E-11	-3.0500E+1	-1.0730E-8
2.0200E+4	1.0000E+0	-2.4753E-11	-3.0000E+1	-1.0542E-8
2.0700E+4	1.0000E+0	-2.4733E-11	-2.9500E+1	-1.0265E-8
2.1200E+4	1.0000E+0	-2.4958E-11	-2.9000E+1	-1.0100E-8
2.1700E+4	1.0000E+0	-2.4790E-11	-2.8500E+1	-9.9458E-9
2.2200E+4	1.0000E+0	-2.5013E-11	-2.8000E+1	-9.8055E-9
2.2700E+4	1.0000E+0	-2.4978E-11	-2.7500E+1	-9.5350E-9
2.3200E+4	1.0000E+0	-2.4955E-11	-2.7000E+1	-9.2920E-9
2.3700E+4	1.0000E+0	-2.5066E-11	-2.6500E+1	-9.0577E-9
2.4200E+4	1.0000E+0	-2.4892E-11	-2.6000E+1	-8.8170E-9
2.4700E+4	1.0000E+0	-2.4970E-11	-2.5500E+1	-8.5764E-9
2.5200E+4	1.0000E+0	-2.4902E-11	-2.5000E+1	-8.4017E-9
2.5700E+4	1.0000E+0	-2.4918E-11	-2.4500E+1	-8.1722E-9
2.6200E+4	1.0000E+0	-2.4897E-11	-2.4000E+1	-7.9747E-9
2.6700E+4	1.0000E+0	-2.4995E-11	-2.3500E+1	-7.8202E-9
2.7200E+4	1.0000E+0	-2.4992E-11	-2.3000E+1	-7.6631E-9
2.7700E+4	1.0000E+0	-2.5037E-11	-2.2500E+1	-7.5135E-9
2.8200E+4	1.0000E+0	-2.5014E-11	-2.2000E+1	-7.3815E-9
2.8700E+4	1.0000E+0	-2.4992E-11	-2.1500E+1	-7.1795E-9
2.9200E+4	1.0000E+0	-2.5072E-11	-2.1000E+1	-7.0411E-9
2.9700E+4	1.0000E+0	-2.5060E-11	-2.0500E+1	-6.8882E-9
3.0200E+4	1.0000E+0	-1.8756E-11	-2.0000E+1	-6.7107E-9
3.0700E+4	1.0000E+0	-3.9350E-11	-1.9500E+1	-6.1920E-9
3.1200E+4	1.0000E+0	-2.5301E-11	-1.9000E+1	-6.3505E-9
3.1700E+4	1.0000E+0	-2.4936E-11	-1.8500E+1	-6.1834E-9
3.2200E+4	1.0000E+0	-2.4986E-11	-1.8000E+1	-6.0183E-9
3.2700E+4	1.0000E+0	-2.5080E-11	-1.7500E+1	-5.8465E-9
3.3200E+4	1.0000E+0	-2.4961E-11	-1.7000E+1	-5.6818E-9
3.3700E+4	1.0000E+0	-2.5005E-11	-1.6500E+1	-5.5083E-9
3.4200E+4	1.0000E+0	-2.4662E-11	-1.6000E+1	-5.3203E-9
3.4700E+4	1.0000E+0	-2.4761E-11	-1.5500E+1	-5.1650E-9
3.5200E+4	1.0000E+0	-2.4286E-11	-1.5000E+1	-5.0108E-9
3.5700E+4	1.0000E+0	-2.3979E-11	-1.4500E+1	-4.8465E-9
3.6200E+4	1.0000E+0	-2.3249E-11	-1.4000E+1	-4.6701E-9
3.6700E+4	1.0000E+0	-2.2209E-11	-1.3500E+1	-4.5190E-9
3.7200E+4	1.0000E+0	-2.0418E-11	-1.3000E+1	-4.3613E-9
3.7700E+4	1.0000E+0	-1.7475E-11	-1.2500E+1	-4.1889E-9
3.8200E+4	1.0000E+0	-1.2475E-11	-1.2000E+1	-4.0189E-9
3.8700E+4	1.0000E+0	-4.0722E-12	-1.1500E+1	-3.8584E-9
3.9200E+4	1.0000E+0	1.0440E-11	-1.1000E+1	-3.6899E-9
3.9700E+4	1.0000E+0	3.4913E-11	-1.0500E+1	-3.5271E-9
4.0200E+4	1.0000E+0	7.4409E-11	-1.0000E+1	-3.3738E-9
4.0700E+4	1.0000E+0	1.4565E-10	-9.5000E+0	-3.2079E-9
4.1200E+4	1.0000E+0	2.6753E-10	-9.0000E+0	-3.0573E-9
4.1700E+4	1.0000E+0	4.5957E-10	-8.5000E+0	-2.9089E-9
4.2200E+4	1.0000E+0	7.5486E-10	-8.0000E+0	-2.7444E-9
4.2700E+4	1.0000E+0	1.1988E-9	-7.5000E+0	-2.6050E-9
4.3200E+4	1.0000E+0	1.8974E-9	-7.0000E+0	-2.4568E-9
4.3700E+4	1.0000E+0	2.9013E-9	-6.5000E+0	-2.3011E-9
4.4200E+4	1.0000E+0	4.2395E-9	-6.0000E+0	-2.1135E-9
4.4700E+4	1.0000E+0	5.7856E-9	-5.5000E+0	-1.9376E-9
4.5200E+4	1.0000E+0	7.4200E-9	-5.0000E+0	-1.7640E-9
4.5700E+4	1.0000E+0	9.4551E-9	-4.5000E+0	-1.1853E-9
4.6200E+4	1.0000E+0	1.1028E-8	-4.0000E+0	-1.3787E-9
4.6700E+4	1.0000E+0	1.3172E-8	-3.5000E+0	-1.1812E-9
4.7200E+4	1.0000E+0	1.5108E-8	-3.0000E+0	-9.8501E-10
4.7700E+4	1.0000E+0	1.7376E-8	-2.5000E+0	-7.8380E-10
4.8200E+4	1.0000E+0	1.9963E-8	-2.0000E+0	-5.8097E-10
4.8700E+4	1.0000E+0	2.2148E-8	-1.5000E+0	-3.8223E-10
4.9200E+4	1.0000E+0	2.4976E-8	-1.0000E+0	-2.1836E-10
4.9700E+4	1.0000E+0	2.8040E-8	-5.0000E-1	-7.2374E-11
5.0200E+4	1.0000E+0	3.2263E-8	0.0000E+0	7.4636E-11
5.0700E+4	1.0000E+0	3.3812E-8	5.0000E-1	2.3845E-10
5.1200E+4	1.0000E+0	3.8336E-8	1.0000E+0	4.3034E-10
5.1700E+4	1.0000E+0	4.3529E-8	1.5000E+0	6.3716E-10
5.2200E+4	1.0000E+0	4.5766E-8	2.0000E+0	8.5605E-10
5.2700E+4	1.0000E+0	4.8789E-8	2.5000E+0	1.0826E-9
5.3200E+4	1.0000E+0	5.2150E-8	3.0000E+0	1.3133E-9
5.3700E+4	1.0000E+0	5.7930E-8	3.5000E+0	1.5616E-9
5.4200E+4	1.0000E+0	6.4091E-8	4.0000E+0	1.7992E-9
5.4700E+4	1.0000E+0	7.3366E-8	4.5000E+0	2.0497E-9
5.5200E+4	1.0000E+0	7.6492E-8	5.0000E+0	2.2924E-9
5.5700E+4	1.0000E+0	8.4333E-8	5.5000E+0	2.5448E-9
5.6200E+4	1.0000E+0	8.9273E-8	6.0000E+0	2.7940E-9
5.6700E+4	1.0000E+0	9.5498E-8	6.5000E+0	3.0417E-9
5.7200E+4	1.0000E+0	1.0239E-7	7.0000E+0	3.2929E-9
5.7700E+4	1.0000E+0	1.1306E-7	7.5000E+0	3.5305E-9
5.8200E+4	1.0000E+0	1.2170E-7	8.0000E+0	3.7707E-9
5.8700E+4	1.0000E+0	1.3166E-7	8.5000E+0	4.0148E-9
5.9200E+4	1.0000E+0	1.4574E-7	9.0000E+0	4.2518E-9
5.9700E+4	1.0000E+0	1.5456E-7	9.5000E+0	4.4889E-9
6.0200E+4	1.0000E+0	1.6686E-7	1.0000E+1	4.7127E-9
6.0700E+4	1.0000E+0	1.7566E-7	1.0500E+1	4.9585E-9
6.1200E+4	1.0000E+0	1.7912E-7	1.1000E+1	5.2397E-9
6.1700E+4	1.0000E+0	1.8899E-7	1.1500E+1	5.3704E-9
6.2200E+4	1.0000E+0	2.0369E-7	1.2000E+1	5.6045E-9
6.2700E+4	1.0000E+0	2.1414E-7	1.2500E+1	5.8337E-9
6.3200E+4	1.0000E+0	2.2440E-7	1.3000E+1	6.0617E-9
6.3700E+4	1.0000E+0	2.3389E-7	1.3500E+1	6.2708E-9
6.4200E+4	1.0000E+0	2.5764E-7	1.4000E+1	6.4567E-9
6.4700E+4	1.0000E+0	2.8488E-7	1.4500E+1	6.6614E-9
6.5200E+4	1.0000E+0	2.9733E-7	1.5000E+1	6.8605E-9
6.5700E+4	1.0000E+0	3.2069E-7	1.5500E+1	7.0219E-9
6.6200E+4	1.0000E+0	3.1962E-7	1.6000E+1	7.2657E-9
6.6700E+4	1.0000E+0	3.3829E-7	1.6500E+1	7.4821E-9
6.7200E+4	1.0000E+0	3.3624E-7	1.7000E+1	7.6643E-9
6.7700E+4	1.0000E+0	3.6820E-7	1.7500E+1	7.9095E-9
6.8200E+4	1.0000E+0	3.9218E-7	1.8000E+1	8.0887E-9
6.8700E+4	1.0000E+0	4.1160E-7	1.8500E+1	8.2772E-9
6.9200E+4	1.0000E+0	4.3004E-7	1.9000E+1	8.4997E-9
6.9700E+4	1.0000E+0	4.5444E-7	1.9500E+1	8.7139E-9
7.0200E+4	1.0000E+0	4.6253E-7	2.0000E+1	8.9149E-9
7.0700E+4	1.0000E+0	4.7331E-7	2.0500E+1	9.1566E-9
7.1200E+4	1.0000E+0	5.1415E-7	2.1000E+1	9.4102E-9
7.1700E+4	1.0000E+0	5.2382E-7	2.1500E+1	9.6651E-9
7.2200E+4	1.0000E+0	5.5014E-7	2.2000E+1	1.0128E-8
7.2700E+4	1.0000E+0	6.0120E-7	2.2500E+1	1.0123E-8
7.3200E+4	1.0000E+0	6.1219E-7	2.3000E+1	1.0329E-8
7.3700E+4	1.0000E+0	6.3939E-7	2.3500E+1	1.0418E-8
7.4200E+4	1.0000E+0	6.8077E-7	2.4000E+1	1.0803E-8
7.4700E+4	1.0000E+0	7.2143E-7	2.4500E+1	1.0842E-8
7.5200E+4	1.0000E+0	7.4632E-7	2.5000E+1	1.1016E-8
7.5700E+4	1.0000E+0	7.8331E-7	2.5500E+1	1.1329E-8
7.6200E+4	1.0000E+0	8.1304E-7	2.6000E+1	1.1404E-8
7.6700E+4	1.0000E+0	8.2611E-7	2.6500E+1	1.1762E-8
7.7200E+4	1.0000E+0	8.5397E-7	2.7000E+1	1.2639E-8
7.7700E+4	1.0000E+0	9.0655E-7	2.7500E+1	1.2814E-8
7.8200E+4	1.0000E+0	9.5095E-7	2.8000E+1	1.3027E-8
7.8700E+4	1.0000E+0	9.6819E-7	2.8500E+1	1.3922E-8
7.9200E+4	1.0000E+0	9.8047E-7	2.9000E+1	1.3952E-8
7.9700E+4	1.0000E+0	1.0245E-6	2.9500E+1	1.4211E-8
8.0200E+4	1.0000E+0	1.0749E-6	3.0000E+1	1.4674E-8
8.0700E+4	1.0000E+0	1.1333E-6	3.0500E+1	1.5029E-8
8.1200E+4	1.0000E+0	1.1600E-6	3.1000E+1	1.5302E-8
8.1700E+4	1.0000E+0	1.2379E-6	3.1500E+1	1.5452E-8
8.2200E+4	1.0000E+0	1.2659E-6	3.2000E+1	1.5600E-8
8.2700E+4	1.0000E+0	1.3203E-6	3.2500E+1	1.5675E-8
8.3200E+4	1.0000E+0	1.3732E-6	3.3000E+1	1.5795E-8
8.3700E+4	1.0000E+0	1.4011E-6	3.3500E+1	1.5996E-8
8.4200E+4	1.0000E+0	1.4460E-6	3.4000E+1	1.6226E-8
8.4700E+4	1.0000E+0	1.5269E-6	3.4500E+1	1.6381E-8
8.5200E+4	1.0000E+0	1.5386E-6	3.5000E+1	1.6747E-8
8.5700E+4	1.0000E+0	1.6577E-6	3.5500E+1	1.6989E-8
8.6200E+4	1.0000E+0	1.6577E-6	3.6000E+1	1.7116E-8
8.6700E+4	1.0000E+0	1.7732E-6	3.6500E+1	1.7508E-8
8.7200E+4	1.0000E+0	1.8190E-6	3.7000E+1	1.7620E-8
8.7800E+4	1.0000E+0	1.8233E-6	3.7500E+1	1.7568E-8
8.8300E+4	1.0000E+0	1.8652E-6	3.8000E+1	1.7154E-8
8.8800E+4	1.0000E+0	1.9859E-6	3.8500E+1	1.7944E-8
8.9300E+4	1.0000E+0	2.0879E-6	3.9000E+1	1.8353E-8
8.9800E+4	1.0000E+0	2.1654E-6	3.9500E+1	1.8683E-8
9.0300E+4	1.0000E+0	2.2061E-6	4.0000E+1	1.8881E-8
9.0800E+4	1.0000E+0	2.2912E-6	4.0500E+1	1.8969E-8
9.1300E+4	1.0000E+0	2.3576E-6	4.1000E+1	1.9164E-8
9.1800E+4	1.0000E+0	2.3788E-6	4.1500E+1	1.9306E-8
9.2300E+4	1.0000E+0	2.4503E-6	4.2000E+1	1.9730E-8
9.2800E+4	1.0000E+0	2.5057E-6	4.2500E+1	1.9973E-8
9.3300E+4	1.0000E+0	2.5810E-6	4.3000E+1	2.0142E-8
9.3800E+4	1.0000E+0	2.6665E-6	4.3500E+1	2.0403E-8
9.4300E+4	1.0000E+0	2.7621E-6	4.4000E+1	2.0560E-8
9.4800E+4	1.0000E+0	2.8231E-6	4.4500E+1	2.0784E-8
9.5300E+4	1.0000E+0	2.9022E-6	4.5000E+1	2.0969E-8
9.5800E+4	1.0000E+0	3.0185E-6	4.5500E+1	2.1303E-8
9.6300E+4	1.0000E+0	3.0471E-6	4.6000E+1	2.1371E-8
9.6800E+4	1.0000E+0	3.1771E-6	4.6500E+1	2.1784E-8
9.7300E+4	1.0000E+0	3.2198E-6	4.7000E+1	2.1951E-8
9.7800E+4	1.0000E+0	3.3036E-6	4.7500E+1	2.2066E-8
9.8300E+4	1.0000E+0	3.4203E-6	4.8000E+1	2.2191E-8
9.8800E+4	1.0000E+0	3.4868E-6	4.8500E+1	2.2467E-8
9.9300E+4	1.0000E+0	3.5467E-6	4.9000E+1	2.2513E-8
9.9800E+4	1.0000E+0	3.6056E-6	4.9500E+1	2.2686E-8
1.0030E+5	1.0000E+0	3.8236E-6	5.0000E+1	2.2703E-8
1.0080E+5	1.0000E+0	3.9192E-6	5.0500E+1	2.2739E-8
1.0130E+5	1.0000E+0	3.7445E-6	5.0000E+1	2.2558E-8
1.0180E+5	1.0000E+0	3.5263E-6	4.9500E+1	2.2225E-8
1.0230E+5	1.0000E+0	3.2999E-6	4.9000E+1	2.2060E-8
1.0280E+5	1.0000E+0	3.1372E-6	4.8500E+1	2.1706E-8
1.0330E+5	1.0000E+0	2.9702E-6	4.8000E+1	2.1462E-8
1.0380E+5	1.0000E+0	2.8449E-6	4.7500E+1	2.1043E-8
1.0430E+5	1.0000E+0	2.6848E-6	4.7000E+1	2.1018E-8
1.0480E+5	1.0000E+0	2.5607E-6	4.6500E+1	2.0725E-8
1.0530E+5	1.0000E+0	2.3793E-6	4.6000E+1	2.0278E-8
1.0580E+5	1.0000E+0	2.2067E-6	4.5500E+1	1.9974E-8
1.0630E+5	1.0000E+0	2.0565E-6	4.5000E+1	1.9807E-8
1.0680E+5	1.0000E+0	1.9192E-6	4.4500E+1	1.9640E-8
1.0730E+5	1.0000E+0	1.7756E-6	4.4000E+1	1.9500E-8
1.0780E+5	1.0000E+0	1.6576E-6	4.3500E+1	1.9450E-8
1.0830E+5	1.0000E+0	1.5325E-6	4.3000E+1	1.9380E-8
1.0880E+5	1.0000E+0	1.4280E-6	4.2500E+1	1.8976E-8
1.0930E+5	1.0000E+0	1.3109E-6	4.2000E+1	1.8881E-8
1.0980E+5	1.0000E+0	1.1970E-6	4.1500E+1	1.8508E-8
1.1030E+5	1.0000E+0	1.0866E-6	4.1000E+1	1.8181E-8
1.1080E+5	1.0000E+0	9.9472E-7	4.0500E+1	1.7833E-8
1.1130E+5	1.0000E+0	8.9195E-7	4.0000E+1	1.7383E-8
1.1180E+5	1.0000E+0	7.9615E-7	3.9500E+1	1.7331E-8
1.1230E+5	1.0000E+0	7.0646E-7	3.9000E+1	1.7220E-8
1.1280E+5	1.0000E+0	6.1884E-7	3.8500E+1	1.7160E-8
1.1330E+5	1.0000E+0	5.3775E-7	3.8000E+1	1.6959E-8
1.1380E+5	1.0000E+0	4.6022E-7	3.7500E+1	1.6634E-8
1.1430E+5	1.0000E+0	3.9283E-7	3.7000E+1	1.6389E-8
1.1480E+5	1.0000E+0	3.2754E-7	3.6500E+1	1.6229E-8
1.1530E+5	1.0000E+0	2.6840E-7	3.6000E+1	1.6001E-8
1.1580E+5	1.0000E+0	2.1556E-7	3.5500E+1	1.5770E-8
1.1630E+5	1.0000E+0	1.6864E-7	3.5000E+1	1.5545E-8
1.1680E+5	1.0000E+0	1.2887E-7	3.4500E+1	1.5227E-8
1.1730E+5	1.0000E+0	9.6316E-8	3.4000E+1	1.5018E-8
1.1780E+5	1.0000E+0	6.9809E-8	3.3500E+1	1.4656E-8
1.1830E+5	1.0000E+0	4.9448E-8	3.3000E+1	1.4563E-8
1.1880E+5	1.0000E+0	3.3326E-8	3.2500E+1	1.4269E-8
1.1930E+5	1.0000E+0	2.1758E-8	3.2000E+1	1.4169E-8
1.1980E+5	1.0000E+0	1.3449E-8	3.1500E+1	1.4081E-8
1.2030E+5	1.0000E+0	7.9416E-9	3.1000E+1	1.3895E-8
1.2080E+5	1.0000E+0	4.2836E-9	3.0500E+1	1.3631E-8
1.2130E+5	1.0000E+0	2.2819E-9	3.0000E+1	1.3432E-8
1.2180E+5	1.0000E+0	1.0826E-9	2.9500E+1	1.3097E-8
1.2230E+5	1.0000E+0	4.7941E-10	2.9000E+1	1.2991E-8
