File Name: 00_Sample14_device4_trfSat_dark_horizontal.dat
File Data: 15/11/2023	09:54:50
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	8.0903E-8	-5.0000E+1	-1.8154E-9
1.0000E+3	1.0000E+0	6.0565E-8	-4.9500E+1	-6.0270E-10
1.5000E+3	1.0000E+0	5.3347E-8	-4.9000E+1	-3.0090E-10
2.0000E+3	1.0000E+0	4.8378E-8	-4.8500E+1	-1.8868E-10
2.5000E+3	1.0000E+0	4.4948E-8	-4.8000E+1	-1.4103E-10
3.0000E+3	1.0000E+0	4.2452E-8	-4.7500E+1	-1.1272E-10
3.5000E+3	1.0000E+0	4.1237E-8	-4.7000E+1	-7.2036E-11
4.0000E+3	1.0000E+0	4.0049E-8	-4.6500E+1	-5.2249E-11
4.5000E+3	1.0000E+0	3.8884E-8	-4.6000E+1	-3.1729E-11
5.0000E+3	1.0000E+0	3.8633E-8	-4.5500E+1	-1.6637E-11
5.5000E+3	1.0000E+0	3.8084E-8	-4.5000E+1	-6.9141E-13
6.0000E+3	1.0000E+0	3.8325E-8	-4.4500E+1	9.4700E-12
6.5000E+3	1.0000E+0	3.8006E-8	-4.4000E+1	1.8060E-11
7.0000E+3	1.0000E+0	3.7997E-8	-4.3500E+1	2.7388E-11
7.5000E+3	1.0000E+0	3.8286E-8	-4.3000E+1	3.3289E-11
8.0000E+3	1.0000E+0	3.8859E-8	-4.2500E+1	3.6440E-11
8.5000E+3	1.0000E+0	3.9324E-8	-4.2000E+1	3.7827E-11
9.0000E+3	1.0000E+0	3.9056E-8	-4.1500E+1	3.8534E-11
9.5000E+3	1.0000E+0	3.9918E-8	-4.1000E+1	3.9020E-11
1.0000E+4	1.0000E+0	4.0243E-8	-4.0500E+1	4.0441E-11
1.0500E+4	1.0000E+0	4.0977E-8	-4.0000E+1	4.4213E-11
1.1000E+4	1.0000E+0	4.1535E-8	-3.9500E+1	4.9893E-11
1.1500E+4	1.0000E+0	4.2322E-8	-3.9000E+1	6.8904E-11
1.2000E+4	1.0000E+0	4.3500E-8	-3.8500E+1	9.3232E-11
1.2500E+4	1.0000E+0	4.5810E-8	-3.8000E+1	1.0970E-10
1.3000E+4	1.0000E+0	4.7336E-8	-3.7500E+1	1.0304E-10
1.3500E+4	1.0000E+0	4.9581E-8	-3.7000E+1	1.3127E-10
