File Name: 01_Sample14_device4_trfSat_dark_vertical.dat
File Data: 15/11/2023	10:08:28
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.5032E-9	-5.0000E+1	-9.7244E-10
1.0000E+3	1.0000E+0	1.7619E-9	-4.9500E+1	-3.1459E-11
1.5000E+3	1.0000E+0	1.9855E-9	-4.9000E+1	1.8963E-10
2.0000E+3	1.0000E+0	2.6510E-9	-4.8500E+1	2.4529E-10
2.5000E+3	1.0000E+0	3.4688E-9	-4.8000E+1	2.6249E-10
3.0000E+3	1.0000E+0	4.9583E-9	-4.7500E+1	2.7355E-10
3.5000E+3	1.0000E+0	6.9144E-9	-4.7000E+1	2.7317E-10
4.0000E+3	1.0000E+0	9.5611E-9	-4.6500E+1	2.7681E-10
4.5000E+3	1.0000E+0	1.2674E-8	-4.6000E+1	2.8035E-10
5.0000E+3	1.0000E+0	1.5548E-8	-4.5500E+1	2.8435E-10
5.5000E+3	1.0000E+0	1.8571E-8	-4.5000E+1	2.8818E-10
6.0000E+3	1.0000E+0	2.1580E-8	-4.4500E+1	2.9201E-10
6.5000E+3	1.0000E+0	2.4648E-8	-4.4000E+1	2.9295E-10
7.0000E+3	1.0000E+0	2.8090E-8	-4.3500E+1	2.9550E-10
7.5000E+3	1.0000E+0	3.1538E-8	-4.3000E+1	2.9905E-10
8.0000E+3	1.0000E+0	3.5414E-8	-4.2500E+1	3.0104E-10
8.5000E+3	1.0000E+0	3.9884E-8	-4.2000E+1	3.0535E-10
9.0000E+3	1.0000E+0	4.4319E-8	-4.1500E+1	3.0458E-10
9.5000E+3	1.0000E+0	4.9277E-8	-4.1000E+1	3.0592E-10
1.0000E+4	1.0000E+0	5.4858E-8	-4.0500E+1	3.0641E-10
1.0500E+4	1.0000E+0	6.1154E-8	-4.0000E+1	3.0722E-10
1.1000E+4	1.0000E+0	6.7960E-8	-3.9500E+1	3.0594E-10
1.1500E+4	1.0000E+0	7.4003E-8	-3.9000E+1	3.0617E-10
1.2000E+4	1.0000E+0	8.2559E-8	-3.8500E+1	3.0867E-10
1.2500E+4	1.0000E+0	9.0230E-8	-3.8000E+1	3.0953E-10
1.3000E+4	1.0000E+0	1.0097E-7	-3.7500E+1	3.1053E-10
1.3500E+4	1.0000E+0	1.1061E-7	-3.7000E+1	3.3623E-10
1.4000E+4	1.0000E+0	1.2266E-7	-3.6500E+1	3.1356E-10
1.4500E+4	1.0000E+0	1.3294E-7	-3.6000E+1	3.1445E-10
1.5000E+4	1.0000E+0	1.4812E-7	-3.5500E+1	2.9631E-10
1.5500E+4	1.0000E+0	1.6110E-7	-3.5000E+1	4.8518E-10
1.6000E+4	1.0000E+0	1.7943E-7	-3.4500E+1	3.2421E-10
1.6500E+4	1.0000E+0	1.9780E-7	-3.4000E+1	3.1440E-10
1.7000E+4	1.0000E+0	2.1692E-7	-3.3500E+1	3.1456E-10
1.7500E+4	1.0000E+0	2.4092E-7	-3.3000E+1	3.1413E-10
1.8000E+4	1.0000E+0	2.6590E-7	-3.2500E+1	3.1626E-10
1.8500E+4	1.0000E+0	2.9445E-7	-3.2000E+1	3.1393E-10
1.9000E+4	1.0000E+0	3.2317E-7	-3.1500E+1	3.1490E-10
1.9500E+4	1.0000E+0	3.5456E-7	-3.1000E+1	3.1644E-10
2.0000E+4	1.0000E+0	3.8820E-7	-3.0500E+1	3.1622E-10
2.0500E+4	1.0000E+0	4.2002E-7	-3.0000E+1	3.1550E-10
2.1000E+4	1.0000E+0	4.5891E-7	-2.9500E+1	3.1379E-10
2.1500E+4	1.0000E+0	5.0425E-7	-2.9000E+1	3.1552E-10
2.2000E+4	1.0000E+0	5.4445E-7	-2.8500E+1	3.1582E-10
2.2500E+4	1.0000E+0	5.9698E-7	-2.8000E+1	3.1658E-10
2.3000E+4	1.0000E+0	6.4994E-7	-2.7500E+1	3.1543E-10
2.3500E+4	1.0000E+0	7.0943E-7	-2.7000E+1	3.1777E-10
2.4000E+4	1.0000E+0	7.6231E-7	-2.6500E+1	3.1999E-10
2.4500E+4	1.0000E+0	8.2418E-7	-2.6000E+1	3.1905E-10
2.5000E+4	1.0000E+0	8.9371E-7	-2.5500E+1	3.2158E-10
2.5500E+4	1.0000E+0	9.5799E-7	-2.5000E+1	3.2092E-10
2.6000E+4	1.0000E+0	1.0315E-6	-2.4500E+1	3.2103E-10
2.6500E+4	1.0000E+0	1.1034E-6	-2.4000E+1	3.4737E-10
2.7000E+4	1.0000E+0	1.1844E-6	-2.3500E+1	3.2456E-10
2.7500E+4	1.0000E+0	1.2700E-6	-2.3000E+1	3.2267E-10
2.8000E+4	1.0000E+0	1.3530E-6	-2.2500E+1	3.2036E-10
2.8500E+4	1.0000E+0	1.4455E-6	-2.2000E+1	3.2108E-10
2.9000E+4	1.0000E+0	1.5421E-6	-2.1500E+1	3.2262E-10
2.9500E+4	1.0000E+0	1.6321E-6	-2.1000E+1	3.2431E-10
3.0000E+4	1.0000E+0	1.7438E-6	-2.0500E+1	3.1874E-10
3.0500E+4	1.0000E+0	1.8509E-6	-2.0000E+1	3.8106E-10
3.1000E+4	1.0000E+0	1.9660E-6	-1.9500E+1	3.8714E-10
3.1500E+4	1.0000E+0	2.0805E-6	-1.9000E+1	3.3056E-10
3.2000E+4	1.0000E+0	2.1889E-6	-1.8500E+1	3.2298E-10
3.2500E+4	1.0000E+0	2.3067E-6	-1.8000E+1	3.2493E-10
3.3000E+4	1.0000E+0	2.4358E-6	-1.7500E+1	3.2298E-10
3.3500E+4	1.0000E+0	2.5667E-6	-1.7000E+1	3.2374E-10
3.4000E+4	1.0000E+0	2.7085E-6	-1.6500E+1	3.2509E-10
3.4500E+4	1.0000E+0	2.8385E-6	-1.6000E+1	3.2265E-10
3.5000E+4	1.0000E+0	2.9852E-6	-1.5500E+1	3.2327E-10
3.5500E+4	1.0000E+0	3.1243E-6	-1.5000E+1	3.2246E-10
3.6000E+4	1.0000E+0	3.2951E-6	-1.4500E+1	3.2567E-10
3.6500E+4	1.0000E+0	3.4426E-6	-1.4000E+1	3.2556E-10
3.7000E+4	1.0000E+0	3.6158E-6	-1.3500E+1	3.2456E-10
3.7500E+4	1.0000E+0	3.7877E-6	-1.3000E+1	3.2497E-10
3.8000E+4	1.0000E+0	3.9461E-6	-1.2500E+1	3.2554E-10
3.8500E+4	1.0000E+0	4.1152E-6	-1.2000E+1	3.2532E-10
3.9000E+4	1.0000E+0	4.3106E-6	-1.1500E+1	3.2499E-10
3.9500E+4	1.0000E+0	4.5033E-6	-1.1000E+1	3.2534E-10
4.0000E+4	1.0000E+0	4.6689E-6	-1.0500E+1	3.2631E-10
4.0500E+4	1.0000E+0	4.8670E-6	-1.0000E+1	3.2680E-10
4.1000E+4	1.0000E+0	5.0525E-6	-9.5000E+0	3.2835E-10
4.1500E+4	1.0000E+0	5.2510E-6	-9.0000E+0	3.2726E-10
4.2000E+4	1.0000E+0	5.4673E-6	-8.5000E+0	3.2854E-10
4.2500E+4	1.0000E+0	5.6608E-6	-8.0000E+0	3.2441E-10
4.3000E+4	1.0000E+0	5.8808E-6	-7.5000E+0	3.2914E-10
4.3500E+4	1.0000E+0	6.0975E-6	-7.0000E+0	3.2753E-10
4.4000E+4	1.0000E+0	6.3302E-6	-6.5000E+0	3.2920E-10
4.4500E+4	1.0000E+0	6.5489E-6	-6.0000E+0	3.2590E-10
4.5000E+4	1.0000E+0	6.8173E-6	-5.5000E+0	3.2769E-10
4.5500E+4	1.0000E+0	7.0536E-6	-5.0000E+0	2.8573E-10
4.6000E+4	1.0000E+0	7.2415E-6	-4.5000E+0	4.9367E-10
4.6500E+4	1.0000E+0	7.5010E-6	-4.0000E+0	3.3953E-10
4.7000E+4	1.0000E+0	7.7641E-6	-3.5000E+0	3.2789E-10
4.7500E+4	1.0000E+0	8.0216E-6	-3.0000E+0	3.2676E-10
4.8000E+4	1.0000E+0	8.2902E-6	-2.5000E+0	3.2953E-10
4.8500E+4	1.0000E+0	8.5531E-6	-2.0000E+0	3.2807E-10
4.9000E+4	1.0000E+0	8.7947E-6	-1.5000E+0	3.2997E-10
4.9500E+4	1.0000E+0	9.0962E-6	-1.0000E+0	3.2859E-10
5.0000E+4	1.0000E+0	9.3842E-6	-5.0000E-1	3.2836E-10
5.0500E+4	1.0000E+0	9.6310E-6	0.0000E+0	3.2680E-10
5.1000E+4	1.0000E+0	9.9456E-6	5.0000E-1	3.2430E-10
5.1500E+4	1.0000E+0	1.0192E-5	1.0000E+0	3.2675E-10
5.2000E+4	1.0000E+0	1.0451E-5	1.5000E+0	3.5390E-10
5.2500E+4	1.0000E+0	1.0759E-5	2.0000E+0	3.3016E-10
5.3000E+4	1.0000E+0	1.1062E-5	2.5000E+0	3.2951E-10
5.3500E+4	1.0000E+0	1.1374E-5	3.0000E+0	3.2905E-10
5.4000E+4	1.0000E+0	1.1682E-5	3.5000E+0	3.3162E-10
5.4500E+4	1.0000E+0	1.1960E-5	4.0000E+0	3.2721E-10
5.5000E+4	1.0000E+0	1.2261E-5	4.5000E+0	3.2743E-10
5.5500E+4	1.0000E+0	1.2567E-5	5.0000E+0	3.2916E-10
5.6000E+4	1.0000E+0	1.2866E-5	5.5000E+0	3.2768E-10
5.6500E+4	1.0000E+0	1.3168E-5	6.0000E+0	3.2961E-10
5.7000E+4	1.0000E+0	1.3475E-5	6.5000E+0	3.2765E-10
5.7500E+4	1.0000E+0	1.3784E-5	7.0000E+0	3.2640E-10
5.8000E+4	1.0000E+0	1.4093E-5	7.5000E+0	3.2952E-10
5.8500E+4	1.0000E+0	1.4432E-5	8.0000E+0	3.2653E-10
5.9000E+4	1.0000E+0	1.4730E-5	8.5000E+0	3.2701E-10
5.9500E+4	1.0000E+0	1.5093E-5	9.0000E+0	3.2991E-10
6.0000E+4	1.0000E+0	1.5393E-5	9.5000E+0	3.2704E-10
6.0500E+4	1.0000E+0	1.5710E-5	1.0000E+1	3.1033E-10
6.1000E+4	1.0000E+0	1.5983E-5	1.0500E+1	4.9856E-10
6.1500E+4	1.0000E+0	1.6326E-5	1.1000E+1	3.4053E-10
6.2000E+4	1.0000E+0	1.6669E-5	1.1500E+1	3.2911E-10
6.2500E+4	1.0000E+0	1.6978E-5	1.2000E+1	3.2693E-10
6.3000E+4	1.0000E+0	1.7332E-5	1.2500E+1	3.2794E-10
6.3500E+4	1.0000E+0	1.7636E-5	1.3000E+1	3.2452E-10
6.4000E+4	1.0000E+0	1.7953E-5	1.3500E+1	3.2754E-10
6.4500E+4	1.0000E+0	1.8297E-5	1.4000E+1	3.2828E-10
6.5000E+4	1.0000E+0	1.8600E-5	1.4500E+1	3.2724E-10
6.5500E+4	1.0000E+0	1.8947E-5	1.5000E+1	3.2556E-10
6.6000E+4	1.0000E+0	1.9282E-5	1.5500E+1	3.2821E-10
6.6500E+4	1.0000E+0	1.9634E-5	1.6000E+1	3.2816E-10
6.7000E+4	1.0000E+0	1.9981E-5	1.6500E+1	3.2420E-10
6.7500E+4	1.0000E+0	2.0293E-5	1.7000E+1	3.3004E-10
6.8000E+4	1.0000E+0	2.0621E-5	1.7500E+1	3.2768E-10
6.8500E+4	1.0000E+0	2.0951E-5	1.8000E+1	3.2584E-10
6.9000E+4	1.0000E+0	2.1312E-5	1.8500E+1	3.2749E-10
6.9500E+4	1.0000E+0	2.1647E-5	1.9000E+1	3.2659E-10
7.0000E+4	1.0000E+0	2.1981E-5	1.9500E+1	3.2828E-10
7.0500E+4	1.0000E+0	2.2315E-5	2.0000E+1	3.2780E-10
7.1000E+4	1.0000E+0	2.2676E-5	2.0500E+1	3.3472E-10
7.1500E+4	1.0000E+0	2.3014E-5	2.1000E+1	3.2936E-10
7.2000E+4	1.0000E+0	2.3370E-5	2.1500E+1	3.2898E-10
7.2500E+4	1.0000E+0	2.3693E-5	2.2000E+1	3.2826E-10
7.3000E+4	1.0000E+0	2.4031E-5	2.2500E+1	3.2855E-10
7.3500E+4	1.0000E+0	2.4427E-5	2.3000E+1	3.2897E-10
7.4000E+4	1.0000E+0	2.4773E-5	2.3500E+1	3.2943E-10
7.4500E+4	1.0000E+0	2.5104E-5	2.4000E+1	3.2994E-10
7.5000E+4	1.0000E+0	2.5447E-5	2.4500E+1	3.3081E-10
7.5500E+4	1.0000E+0	2.5794E-5	2.5000E+1	3.2582E-10
7.6000E+4	1.0000E+0	2.6153E-5	2.5500E+1	3.8549E-10
7.6500E+4	1.0000E+0	2.6476E-5	2.6000E+1	3.8993E-10
7.7000E+4	1.0000E+0	2.6837E-5	2.6500E+1	3.3509E-10
7.7500E+4	1.0000E+0	2.7169E-5	2.7000E+1	3.2994E-10
7.8000E+4	1.0000E+0	2.7551E-5	2.7500E+1	3.2842E-10
7.8500E+4	1.0000E+0	2.7910E-5	2.8000E+1	3.2847E-10
7.9000E+4	1.0000E+0	2.8261E-5	2.8500E+1	3.3245E-10
7.9500E+4	1.0000E+0	2.8594E-5	2.9000E+1	3.2998E-10
8.0000E+4	1.0000E+0	2.8955E-5	2.9500E+1	3.3064E-10
8.0500E+4	1.0000E+0	2.9283E-5	3.0000E+1	3.3050E-10
8.1000E+4	1.0000E+0	2.9642E-5	3.0500E+1	3.3073E-10
8.1500E+4	1.0000E+0	3.0045E-5	3.1000E+1	3.3106E-10
8.2000E+4	1.0000E+0	3.0406E-5	3.1500E+1	3.3413E-10
8.2500E+4	1.0000E+0	3.0766E-5	3.2000E+1	3.3145E-10
8.3000E+4	1.0000E+0	3.1131E-5	3.2500E+1	3.3336E-10
8.3500E+4	1.0000E+0	3.1438E-5	3.3000E+1	3.3560E-10
8.4000E+4	1.0000E+0	3.1805E-5	3.3500E+1	3.3627E-10
8.4500E+4	1.0000E+0	3.2210E-5	3.4000E+1	3.3654E-10
8.5000E+4	1.0000E+0	3.2571E-5	3.4500E+1	3.3888E-10
8.5500E+4	1.0000E+0	3.2946E-5	3.5000E+1	3.3766E-10
8.6000E+4	1.0000E+0	3.3301E-5	3.5500E+1	3.3719E-10
8.6500E+4	1.0000E+0	3.3666E-5	3.6000E+1	3.3835E-10
8.7000E+4	1.0000E+0	3.4041E-5	3.6500E+1	3.3791E-10
8.7500E+4	1.0000E+0	3.4420E-5	3.7000E+1	3.3641E-10
8.8000E+4	1.0000E+0	3.4782E-5	3.7500E+1	3.3956E-10
8.8500E+4	1.0000E+0	3.5163E-5	3.8000E+1	3.3837E-10
8.9000E+4	1.0000E+0	3.5577E-5	3.8500E+1	3.3799E-10
