File Name: 02_Sample14_device4_Itsweep_150kV_100uA_VDrain1V.dat
File Data: 15/11/2023	10:19:45
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	9.3706E-6	1.0000E+0	1.2116E-10
1.0000E+3	1.0000E+0	9.3040E-6	1.0000E+0	4.1498E-11
1.5000E+3	1.0000E+0	9.2949E-6	1.0000E+0	3.8406E-11
2.0000E+3	1.0000E+0	9.2725E-6	1.0000E+0	3.7851E-11
2.5000E+3	1.0000E+0	9.2601E-6	1.0000E+0	3.7581E-11
3.0000E+3	1.0000E+0	9.2235E-6	1.0000E+0	3.7470E-11
3.5000E+3	1.0000E+0	9.2203E-6	1.0000E+0	3.7178E-11
4.0000E+3	1.0000E+0	9.2035E-6	1.0000E+0	3.7158E-11
4.5000E+3	1.0000E+0	9.1516E-6	1.0000E+0	1.6617E-10
5.0000E+3	1.0000E+0	9.1573E-6	1.0000E+0	2.2258E-10
5.5000E+3	1.0000E+0	9.1639E-6	1.0000E+0	2.2507E-10
6.0000E+3	1.0000E+0	9.1349E-6	1.0000E+0	2.2434E-10
6.5000E+3	1.0000E+0	9.1333E-6	1.0000E+0	2.2385E-10
7.0000E+3	1.0000E+0	9.1132E-6	1.0000E+0	2.2315E-10
7.5000E+3	1.0000E+0	9.1173E-6	1.0000E+0	2.2407E-10
8.0000E+3	1.0000E+0	9.1095E-6	1.0000E+0	2.2385E-10
8.5000E+3	1.0000E+0	9.0961E-6	1.0000E+0	2.2325E-10
9.0000E+3	1.0000E+0	9.0776E-6	1.0000E+0	2.2300E-10
9.5000E+3	1.0000E+0	9.0611E-6	1.0000E+0	2.2329E-10
1.0000E+4	1.0000E+0	9.0861E-6	1.0000E+0	2.2299E-10
1.0500E+4	1.0000E+0	9.0655E-6	1.0000E+0	2.2322E-10
1.1000E+4	1.0000E+0	9.0606E-6	1.0000E+0	2.2247E-10
1.1500E+4	1.0000E+0	9.0546E-6	1.0000E+0	2.2299E-10
1.2000E+4	1.0000E+0	9.0500E-6	1.0000E+0	2.2314E-10
1.2500E+4	1.0000E+0	9.0213E-6	1.0000E+0	2.2269E-10
1.3000E+4	1.0000E+0	9.0340E-6	1.0000E+0	2.2134E-10
1.3500E+4	1.0000E+0	9.0438E-6	1.0000E+0	2.2210E-10
1.4000E+4	1.0000E+0	9.0349E-6	1.0000E+0	2.2219E-10
1.4500E+4	1.0000E+0	9.0572E-6	1.0000E+0	1.0827E-10
1.5000E+4	1.0000E+0	9.0653E-6	1.0000E+0	4.3064E-11
1.5500E+4	1.0000E+0	9.0541E-6	1.0000E+0	3.6011E-11
1.6000E+4	1.0000E+0	9.0388E-6	1.0000E+0	3.5089E-11
1.6500E+4	1.0000E+0	9.0339E-6	1.0000E+0	3.4982E-11
1.7000E+4	1.0000E+0	9.0174E-6	1.0000E+0	3.5214E-11
1.7500E+4	1.0000E+0	9.0207E-6	1.0000E+0	3.5058E-11
1.8000E+4	1.0000E+0	9.0065E-6	1.0000E+0	3.4941E-11
1.8500E+4	1.0000E+0	9.0150E-6	1.0000E+0	3.4918E-11
1.9000E+4	1.0000E+0	9.0019E-6	1.0000E+0	3.4729E-11
1.9500E+4	1.0000E+0	9.0095E-6	1.0000E+0	3.4743E-11
2.0000E+4	1.0000E+0	8.9971E-6	1.0000E+0	3.4984E-11
2.0500E+4	1.0000E+0	9.0052E-6	1.0000E+0	3.5193E-11
2.1000E+4	1.0000E+0	8.9908E-6	1.0000E+0	3.5045E-11
2.1500E+4	1.0000E+0	9.0073E-6	1.0000E+0	3.4915E-11
2.2000E+4	1.0000E+0	9.0167E-6	1.0000E+0	3.4903E-11
2.2500E+4	1.0000E+0	8.9934E-6	1.0000E+0	3.4751E-11
2.3000E+4	1.0000E+0	9.0006E-6	1.0000E+0	3.4862E-11
2.3500E+4	1.0000E+0	8.9932E-6	1.0000E+0	3.4651E-11
2.4000E+4	1.0000E+0	9.0137E-6	1.0000E+0	3.4924E-11
2.4500E+4	1.0000E+0	8.9692E-6	1.0000E+0	1.4799E-10
2.5000E+4	1.0000E+0	8.9666E-6	1.0000E+0	2.1488E-10
2.5500E+4	1.0000E+0	8.9383E-6	1.0000E+0	2.2008E-10
2.6000E+4	1.0000E+0	8.9661E-6	1.0000E+0	2.1955E-10
2.6500E+4	1.0000E+0	8.9544E-6	1.0000E+0	2.1958E-10
2.7000E+4	1.0000E+0	8.9523E-6	1.0000E+0	2.1966E-10
2.7500E+4	1.0000E+0	8.9621E-6	1.0000E+0	2.1964E-10
2.8000E+4	1.0000E+0	8.9350E-6	1.0000E+0	2.1935E-10
2.8500E+4	1.0000E+0	8.9551E-6	1.0000E+0	2.1968E-10
2.9000E+4	1.0000E+0	8.9446E-6	1.0000E+0	2.1877E-10
2.9500E+4	1.0000E+0	8.9315E-6	1.0000E+0	2.1885E-10
3.0000E+4	1.0000E+0	8.9283E-6	1.0000E+0	2.1842E-10
3.0500E+4	1.0000E+0	8.9156E-6	1.0000E+0	2.1820E-10
3.1000E+4	1.0000E+0	8.8953E-6	1.0000E+0	2.1882E-10
3.1500E+4	1.0000E+0	8.8989E-6	1.0000E+0	2.1861E-10
3.2000E+4	1.0000E+0	8.9167E-6	1.0000E+0	2.1695E-10
3.2500E+4	1.0000E+0	8.8989E-6	1.0000E+0	2.1790E-10
