File Name: 03_Sample14_device4_It_150kV_100_200_300_400_500uA_VDrain1V_VGate1V.dat
File Data: 15/11/2023	11:16:32
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	6.7910E-6	1.0000E+0	4.8872E-11
1.0000E+3	1.0000E+0	6.7755E-6	1.0000E+0	4.6480E-12
1.5000E+3	1.0000E+0	6.7519E-6	1.0000E+0	3.2246E-12
2.0000E+3	1.0000E+0	6.7362E-6	1.0000E+0	3.0386E-12
2.5000E+3	1.0000E+0	6.7357E-6	1.0000E+0	2.8181E-12
3.0000E+3	1.0000E+0	6.7242E-6	1.0000E+0	2.7406E-12
3.5000E+3	1.0000E+0	6.7194E-6	1.0000E+0	2.6512E-12
4.0000E+3	1.0000E+0	6.7075E-6	1.0000E+0	2.6918E-12
4.5000E+3	1.0000E+0	6.7240E-6	1.0000E+0	2.4688E-12
5.0000E+3	1.0000E+0	6.7128E-6	1.0000E+0	2.3723E-12
5.5000E+3	1.0000E+0	6.7034E-6	1.0000E+0	2.3747E-12
6.0000E+3	1.0000E+0	6.7125E-6	1.0000E+0	2.3949E-12
6.5000E+3	1.0000E+0	6.7036E-6	1.0000E+0	2.3079E-12
7.0000E+3	1.0000E+0	6.7012E-6	1.0000E+0	2.2721E-12
7.5000E+3	1.0000E+0	6.6904E-6	1.0000E+0	2.2042E-12
8.0000E+3	1.0000E+0	6.6913E-6	1.0000E+0	2.1946E-12
8.5000E+3	1.0000E+0	6.6898E-6	1.0000E+0	2.1887E-12
9.0000E+3	1.0000E+0	6.6900E-6	1.0000E+0	2.1720E-12
9.5000E+3	1.0000E+0	6.6941E-6	1.0000E+0	2.1875E-12
1.0000E+4	1.0000E+0	6.6882E-6	1.0000E+0	2.1517E-12
1.0500E+4	1.0000E+0	6.6790E-6	1.0000E+0	2.0266E-12
1.1000E+4	1.0000E+0	6.6700E-6	1.0000E+0	1.9801E-12
1.1500E+4	1.0000E+0	6.6734E-6	1.0000E+0	2.1505E-12
1.2000E+4	1.0000E+0	6.6802E-6	1.0000E+0	2.0289E-12
1.2500E+4	1.0000E+0	6.6609E-6	1.0000E+0	2.0552E-12
1.3000E+4	1.0000E+0	6.6673E-6	1.0000E+0	2.0254E-12
1.3500E+4	1.0000E+0	6.6719E-6	1.0000E+0	2.0051E-12
1.4000E+4	1.0000E+0	6.6728E-6	1.0000E+0	1.9431E-12
1.4500E+4	1.0000E+0	6.6580E-6	1.0000E+0	1.9181E-12
1.5000E+4	1.0000E+0	6.6729E-6	1.0000E+0	1.9312E-12
1.5500E+4	1.0000E+0	6.6713E-6	1.0000E+0	1.8215E-12
1.6000E+4	1.0000E+0	6.6691E-6	1.0000E+0	1.8024E-12
1.6500E+4	1.0000E+0	6.6658E-6	1.0000E+0	1.6713E-12
1.7000E+4	1.0000E+0	6.6642E-6	1.0000E+0	1.7881E-12
1.7500E+4	1.0000E+0	6.6666E-6	1.0000E+0	1.8942E-12
1.8000E+4	1.0000E+0	6.6629E-6	1.0000E+0	1.6666E-12
1.8500E+4	1.0000E+0	6.6623E-6	1.0000E+0	1.6916E-12
1.9000E+4	1.0000E+0	6.6619E-6	1.0000E+0	1.6940E-12
1.9500E+4	1.0000E+0	6.6593E-6	1.0000E+0	1.7679E-12
2.0000E+4	1.0000E+0	6.6631E-6	1.0000E+0	1.6189E-12
2.0500E+4	1.0000E+0	6.6546E-6	1.0000E+0	1.5962E-12
2.1000E+4	1.0000E+0	6.6674E-6	1.0000E+0	1.7250E-12
2.1500E+4	1.0000E+0	6.6595E-6	1.0000E+0	1.7822E-12
2.2000E+4	1.0000E+0	6.6583E-6	1.0000E+0	1.7631E-12
2.2500E+4	1.0000E+0	6.6688E-6	1.0000E+0	1.7357E-12
2.3000E+4	1.0000E+0	6.6511E-6	1.0000E+0	1.6785E-12
2.3500E+4	1.0000E+0	6.6581E-6	1.0000E+0	1.8036E-12
2.4000E+4	1.0000E+0	6.6513E-6	1.0000E+0	1.7083E-12
2.4500E+4	1.0000E+0	6.6515E-6	1.0000E+0	1.6904E-12
2.5000E+4	1.0000E+0	6.6673E-6	1.0000E+0	1.6308E-12
2.5500E+4	1.0000E+0	6.6554E-6	1.0000E+0	1.6475E-12
2.6000E+4	1.0000E+0	6.6658E-6	1.0000E+0	1.7238E-12
2.6500E+4	1.0000E+0	6.6635E-6	1.0000E+0	1.6141E-12
2.7000E+4	1.0000E+0	6.6608E-6	1.0000E+0	1.6487E-12
2.7500E+4	1.0000E+0	6.6603E-6	1.0000E+0	1.5521E-12
2.8000E+4	1.0000E+0	6.6573E-6	1.0000E+0	1.5116E-12
2.8500E+4	1.0000E+0	6.6619E-6	1.0000E+0	1.4198E-12
2.9000E+4	1.0000E+0	6.6669E-6	1.0000E+0	1.5020E-12
2.9500E+4	1.0000E+0	6.6489E-6	1.0000E+0	1.6582E-12
3.0000E+4	1.0000E+0	6.6506E-6	1.0000E+0	1.5056E-12
3.0500E+4	1.0000E+0	6.6550E-6	1.0000E+0	1.4222E-12
3.1000E+4	1.0000E+0	6.6672E-6	1.0000E+0	1.5306E-12
3.1500E+4	1.0000E+0	6.6639E-6	1.0000E+0	1.5330E-12
3.2000E+4	1.0000E+0	6.6568E-6	1.0000E+0	1.4257E-12
3.2500E+4	1.0000E+0	6.6597E-6	1.0000E+0	1.6487E-12
3.3000E+4	1.0000E+0	6.6600E-6	1.0000E+0	1.3876E-12
3.3500E+4	1.0000E+0	6.6511E-6	1.0000E+0	1.3495E-12
3.4000E+4	1.0000E+0	6.6489E-6	1.0000E+0	1.4675E-12
