File Name: 11_Sample14_device4_It_150kV_VDrain1V_VGate-20.dat
File Data: 22/11/2023	14:04:16
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	9.8960E-7	-2.0000E+1	-3.5905E-10
1.0000E+3	1.0000E+0	9.8606E-7	-2.0000E+1	-1.3946E-10
1.5000E+3	1.0000E+0	9.8785E-7	-2.0000E+1	-1.1956E-10
2.0000E+3	1.0000E+0	9.8995E-7	-2.0000E+1	-1.0941E-10
2.5000E+3	1.0000E+0	9.8819E-7	-2.0000E+1	-1.0181E-10
3.0000E+3	1.0000E+0	9.8843E-7	-2.0000E+1	-9.5622E-11
3.5000E+3	1.0000E+0	9.8643E-7	-2.0000E+1	-9.1296E-11
4.0000E+3	1.0000E+0	9.8711E-7	-2.0000E+1	-8.8449E-11
4.5000E+3	1.0000E+0	9.8909E-7	-2.0000E+1	-8.5598E-11
5.0000E+3	1.0000E+0	9.8633E-7	-2.0000E+1	-8.5404E-11
5.5000E+3	1.0000E+0	9.8893E-7	-2.0000E+1	-8.3754E-11
6.0000E+3	1.0000E+0	9.8704E-7	-2.0000E+1	-8.2314E-11
6.5000E+3	1.0000E+0	9.8544E-7	-2.0000E+1	-8.0999E-11
7.0000E+3	1.0000E+0	9.8596E-7	-2.0000E+1	-8.0890E-11
7.5000E+3	1.0000E+0	9.8534E-7	-2.0000E+1	-7.9387E-11
8.0000E+3	1.0000E+0	9.8530E-7	-2.0000E+1	-7.9304E-11
8.5000E+3	1.0000E+0	9.8412E-7	-2.0000E+1	-7.8832E-11
9.0000E+3	1.0000E+0	9.8385E-7	-2.0000E+1	-7.7972E-11
9.5000E+3	1.0000E+0	9.8331E-7	-2.0000E+1	-7.6712E-11
1.0000E+4	1.0000E+0	9.8301E-7	-2.0000E+1	-7.7237E-11
1.0500E+4	1.0000E+0	9.8423E-7	-2.0000E+1	-7.6408E-11
