File Name: 11_Sample1_device1_trfSat_dark_vert_foil.dat
File Data: 17/11/2023	13:31:45
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	3.2333E-10	-5.0000E+1	-6.3044E-10
1.0000E+3	1.0000E+0	2.7048E-10	-4.9500E+1	-3.5229E-10
1.5000E+3	1.0000E+0	2.1449E-10	-4.9000E+1	-1.4287E-10
2.0000E+3	1.0000E+0	1.9871E-10	-4.8500E+1	-1.2333E-10
2.5000E+3	1.0000E+0	1.7927E-10	-4.8000E+1	-1.0340E-10
3.0000E+3	1.0000E+0	1.7626E-10	-4.7500E+1	-9.8122E-11
3.5000E+3	1.0000E+0	1.6414E-10	-4.7000E+1	-8.5128E-11
4.0000E+3	1.0000E+0	1.4937E-10	-4.6500E+1	-7.3072E-11
4.5000E+3	1.0000E+0	1.1813E-10	-4.6000E+1	-5.2955E-11
5.0000E+3	1.0000E+0	1.1979E-10	-4.5500E+1	-4.6262E-11
5.5000E+3	1.0000E+0	1.1409E-10	-4.5000E+1	-4.3633E-11
6.0000E+3	1.0000E+0	1.0716E-10	-4.4500E+1	-3.5278E-11
6.5000E+3	1.0000E+0	1.0124E-10	-4.4000E+1	-2.9600E-11
7.0000E+3	1.0000E+0	9.5768E-11	-4.3500E+1	-3.1646E-11
7.5000E+3	1.0000E+0	8.7147E-11	-4.3000E+1	-2.5122E-11
8.0000E+3	1.0000E+0	7.8886E-11	-4.2500E+1	-1.5697E-11
8.5000E+3	1.0000E+0	7.4421E-11	-4.2000E+1	-9.8801E-12
9.0000E+3	1.0000E+0	6.7743E-11	-4.1500E+1	1.5545E-12
9.5000E+3	1.0000E+0	6.4475E-11	-4.1000E+1	4.7994E-12
1.0000E+4	1.0000E+0	5.8014E-11	-4.0500E+1	1.1548E-11
1.0500E+4	1.0000E+0	5.8500E-11	-4.0000E+1	1.0898E-11
1.1000E+4	1.0000E+0	5.4150E-11	-3.9500E+1	1.6479E-11
1.1500E+4	1.0000E+0	5.0552E-11	-3.9000E+1	2.0374E-11
1.2000E+4	1.0000E+0	4.4842E-11	-3.8500E+1	2.6473E-11
1.2500E+4	1.0000E+0	4.2045E-11	-3.8000E+1	2.8396E-11
1.3000E+4	1.0000E+0	3.8877E-11	-3.7500E+1	2.8102E-11
1.3500E+4	1.0000E+0	2.9644E-11	-3.7000E+1	3.4050E-11
1.4000E+4	1.0000E+0	2.1928E-11	-3.6500E+1	3.8627E-11
1.4500E+4	1.0000E+0	1.0496E-11	-3.6000E+1	4.9597E-11
1.5000E+4	1.0000E+0	1.3423E-11	-3.5500E+1	4.8950E-11
1.5500E+4	1.0000E+0	-1.6057E-11	-3.5000E+1	5.1264E-10
1.6000E+4	1.0000E+0	1.6893E-11	-3.4500E+1	5.7669E-11
1.6500E+4	1.0000E+0	2.4389E-11	-3.4000E+1	4.9591E-11
1.7000E+4	1.0000E+0	2.4598E-11	-3.3500E+1	5.0433E-11
1.7500E+4	1.0000E+0	2.3736E-11	-3.3000E+1	6.1408E-11
1.8000E+4	1.0000E+0	2.3037E-11	-3.2500E+1	6.0447E-11
1.8500E+4	1.0000E+0	1.8405E-11	-3.2000E+1	6.2602E-11
1.9000E+4	1.0000E+0	1.9997E-11	-3.1500E+1	6.3695E-11
1.9500E+4	1.0000E+0	2.0559E-11	-3.1000E+1	4.9367E-11
2.0000E+4	1.0000E+0	1.5867E-11	-3.0500E+1	6.3835E-11
2.0500E+4	1.0000E+0	1.3074E-11	-3.0000E+1	6.5477E-11
2.1000E+4	1.0000E+0	1.2490E-11	-2.9500E+1	6.5128E-11
2.1500E+4	1.0000E+0	1.1729E-11	-2.9000E+1	6.1312E-11
2.2000E+4	1.0000E+0	1.0359E-11	-2.8500E+1	6.1554E-11
2.2500E+4	1.0000E+0	8.9848E-12	-2.8000E+1	6.5838E-11
2.3000E+4	1.0000E+0	6.6972E-12	-2.7500E+1	6.5837E-11
2.3500E+4	1.0000E+0	5.2094E-12	-2.7000E+1	6.8932E-11
2.4000E+4	1.0000E+0	4.2736E-12	-2.6500E+1	7.2802E-11
2.4500E+4	1.0000E+0	1.8144E-12	-2.6000E+1	7.7058E-11
2.5000E+4	1.0000E+0	-3.0518E-13	-2.5500E+1	7.9753E-11
2.5500E+4	1.0000E+0	-2.8968E-13	-2.5000E+1	7.3776E-11
2.6000E+4	1.0000E+0	-9.7275E-13	-2.4500E+1	7.5851E-11
2.6500E+4	1.0000E+0	-2.0421E-12	-2.4000E+1	7.2062E-11
2.7000E+4	1.0000E+0	-3.2055E-12	-2.3500E+1	7.1537E-11
2.7500E+4	1.0000E+0	-4.7529E-12	-2.3000E+1	7.4099E-11
2.8000E+4	1.0000E+0	-6.2025E-12	-2.2500E+1	7.6910E-11
2.8500E+4	1.0000E+0	-6.0737E-12	-2.2000E+1	7.8725E-11
2.9000E+4	1.0000E+0	-8.0597E-12	-2.1500E+1	8.0814E-11
2.9500E+4	1.0000E+0	-8.9645E-12	-2.1000E+1	8.1960E-11
3.0000E+4	1.0000E+0	-1.8621E-12	-2.0500E+1	8.0653E-11
3.0500E+4	1.0000E+0	-1.3170E-11	-2.0000E+1	1.7139E-10
3.1000E+4	1.0000E+0	-2.3335E-11	-1.9500E+1	1.8416E-10
3.1500E+4	1.0000E+0	-1.4777E-11	-1.9000E+1	8.9765E-11
3.2000E+4	1.0000E+0	-1.7424E-11	-1.8500E+1	9.4816E-11
3.2500E+4	1.0000E+0	-1.8816E-11	-1.8000E+1	9.7246E-11
3.3000E+4	1.0000E+0	-2.0266E-11	-1.7500E+1	9.8777E-11
3.3500E+4	1.0000E+0	-2.1874E-11	-1.7000E+1	1.0184E-10
3.4000E+4	1.0000E+0	-2.2331E-11	-1.6500E+1	1.0352E-10
3.4500E+4	1.0000E+0	-2.3673E-11	-1.6000E+1	1.0242E-10
3.5000E+4	1.0000E+0	-2.5229E-11	-1.5500E+1	1.0215E-10
3.5500E+4	1.0000E+0	-2.6774E-11	-1.5000E+1	1.0312E-10
3.6000E+4	1.0000E+0	-2.8081E-11	-1.4500E+1	1.0439E-10
3.6500E+4	1.0000E+0	-2.9186E-11	-1.4000E+1	1.0479E-10
3.7000E+4	1.0000E+0	-3.0310E-11	-1.3500E+1	1.0650E-10
3.7500E+4	1.0000E+0	-3.0923E-11	-1.3000E+1	1.0682E-10
3.8000E+4	1.0000E+0	-3.0792E-11	-1.2500E+1	1.0747E-10
3.8500E+4	1.0000E+0	-3.1295E-11	-1.2000E+1	1.0593E-10
3.9000E+4	1.0000E+0	-3.2616E-11	-1.1500E+1	1.0816E-10
3.9500E+4	1.0000E+0	-3.4794E-11	-1.1000E+1	1.1255E-10
4.0000E+4	1.0000E+0	-3.5123E-11	-1.0500E+1	1.0896E-10
4.0500E+4	1.0000E+0	-3.5911E-11	-1.0000E+1	1.0780E-10
4.1000E+4	1.0000E+0	-3.8004E-11	-9.5000E+0	1.1076E-10
4.1500E+4	1.0000E+0	-4.0863E-11	-9.0000E+0	1.1319E-10
4.2000E+4	1.0000E+0	-4.5180E-11	-8.5000E+0	1.1805E-10
4.2500E+4	1.0000E+0	-5.1664E-11	-8.0000E+0	1.2490E-10
4.3000E+4	1.0000E+0	-5.9544E-11	-7.5000E+0	1.3266E-10
4.3500E+4	1.0000E+0	-6.9331E-11	-7.0000E+0	1.4118E-10
4.4000E+4	1.0000E+0	-8.0993E-11	-6.5000E+0	1.5391E-10
4.4500E+4	1.0000E+0	-9.6170E-11	-6.0000E+0	1.6307E-10
4.5000E+4	1.0000E+0	-1.1187E-10	-5.5000E+0	1.7483E-10
4.5500E+4	1.0000E+0	-1.2174E-10	-5.0000E+0	1.7583E-10
4.6000E+4	1.0000E+0	-1.6761E-10	-4.5000E+0	7.0515E-10
4.6500E+4	1.0000E+0	-1.7754E-10	-4.0000E+0	2.4381E-10
4.7000E+4	1.0000E+0	-1.9979E-10	-3.5000E+0	2.5336E-10
4.7500E+4	1.0000E+0	-2.2772E-10	-3.0000E+0	2.8534E-10
4.8000E+4	1.0000E+0	-2.4898E-10	-2.5000E+0	3.0914E-10
4.8500E+4	1.0000E+0	-2.7400E-10	-2.0000E+0	3.3516E-10
4.9000E+4	1.0000E+0	-3.0220E-10	-1.5000E+0	3.6364E-10
4.9500E+4	1.0000E+0	-3.2634E-10	-1.0000E+0	3.9251E-10
5.0000E+4	1.0000E+0	-3.6409E-10	-5.0000E-1	4.2250E-10
5.0500E+4	1.0000E+0	-4.0142E-10	0.0000E+0	4.6420E-10
5.1000E+4	1.0000E+0	-4.4641E-10	5.0000E-1	5.1153E-10
5.1500E+4	1.0000E+0	-4.8128E-10	1.0000E+0	5.5809E-10
5.2000E+4	1.0000E+0	-5.2610E-10	1.5000E+0	5.9900E-10
5.2500E+4	1.0000E+0	-5.6427E-10	2.0000E+0	6.4506E-10
5.3000E+4	1.0000E+0	-5.7148E-10	2.5000E+0	6.8615E-10
5.3500E+4	1.0000E+0	-5.4743E-10	3.0000E+0	6.7852E-10
5.4000E+4	1.0000E+0	-4.9486E-10	3.5000E+0	6.5182E-10
5.4500E+4	1.0000E+0	-4.2106E-10	4.0000E+0	5.8405E-10
5.5000E+4	1.0000E+0	-3.6288E-10	4.5000E+0	5.3059E-10
5.5500E+4	1.0000E+0	-3.1663E-10	5.0000E+0	4.8613E-10
5.6000E+4	1.0000E+0	-2.8572E-10	5.5000E+0	4.5834E-10
5.6500E+4	1.0000E+0	-2.6451E-10	6.0000E+0	4.4670E-10
5.7000E+4	1.0000E+0	-2.4813E-10	6.5000E+0	4.4467E-10
5.7500E+4	1.0000E+0	-2.3268E-10	7.0000E+0	4.4253E-10
5.8000E+4	1.0000E+0	-2.2042E-10	7.5000E+0	4.4392E-10
5.8500E+4	1.0000E+0	-2.0827E-10	8.0000E+0	4.4382E-10
5.9000E+4	1.0000E+0	-1.9591E-10	8.5000E+0	4.4619E-10
5.9500E+4	1.0000E+0	-1.8756E-10	9.0000E+0	4.5302E-10
6.0000E+4	1.0000E+0	-1.7738E-10	9.5000E+0	4.5815E-10
6.0500E+4	1.0000E+0	-1.3589E-10	1.0000E+1	4.2198E-10
6.1000E+4	1.0000E+0	-2.2356E-10	1.0500E+1	1.0140E-9
6.1500E+4	1.0000E+0	-1.4814E-10	1.1000E+1	4.5720E-10
6.2000E+4	1.0000E+0	-1.3850E-10	1.1500E+1	4.5101E-10
6.2500E+4	1.0000E+0	-1.2921E-10	1.2000E+1	4.4513E-10
6.3000E+4	1.0000E+0	-1.2333E-10	1.2500E+1	4.4075E-10
6.3500E+4	1.0000E+0	-1.2335E-10	1.3000E+1	4.4485E-10
6.4000E+4	1.0000E+0	-1.1670E-10	1.3500E+1	4.3830E-10
6.4500E+4	1.0000E+0	-1.1443E-10	1.4000E+1	4.3699E-10
6.5000E+4	1.0000E+0	-1.1009E-10	1.4500E+1	4.3546E-10
6.5500E+4	1.0000E+0	-1.0509E-10	1.5000E+1	4.2452E-10
6.6000E+4	1.0000E+0	-1.0167E-10	1.5500E+1	4.1865E-10
6.6500E+4	1.0000E+0	-9.8283E-11	1.6000E+1	4.0839E-10
6.7000E+4	1.0000E+0	-9.8135E-11	1.6500E+1	4.0813E-10
6.7500E+4	1.0000E+0	-9.5793E-11	1.7000E+1	4.0073E-10
6.8000E+4	1.0000E+0	-9.3960E-11	1.7500E+1	3.9397E-10
6.8500E+4	1.0000E+0	-9.2190E-11	1.8000E+1	3.8834E-10
6.9000E+4	1.0000E+0	-8.9817E-11	1.8500E+1	3.8449E-10
6.9500E+4	1.0000E+0	-8.9011E-11	1.9000E+1	3.7789E-10
7.0000E+4	1.0000E+0	-8.6713E-11	1.9500E+1	3.6563E-10
7.0500E+4	1.0000E+0	-8.7849E-11	2.0000E+1	3.7256E-10
7.1000E+4	1.0000E+0	-8.7870E-11	2.0500E+1	3.8728E-10
7.1500E+4	1.0000E+0	-8.6702E-11	2.1000E+1	3.7110E-10
7.2000E+4	1.0000E+0	-8.8412E-11	2.1500E+1	3.7750E-10
7.2500E+4	1.0000E+0	-8.7130E-11	2.2000E+1	3.6787E-10
7.3000E+4	1.0000E+0	-8.5978E-11	2.2500E+1	3.6624E-10
7.3500E+4	1.0000E+0	-8.5582E-11	2.3000E+1	3.5997E-10
7.4000E+4	1.0000E+0	-8.5335E-11	2.3500E+1	3.5636E-10
7.4500E+4	1.0000E+0	-8.4593E-11	2.4000E+1	3.5369E-10
7.5000E+4	1.0000E+0	-8.4581E-11	2.4500E+1	3.5053E-10
7.5500E+4	1.0000E+0	-6.9408E-11	2.5000E+1	3.4975E-10
7.6000E+4	1.0000E+0	-8.5037E-11	2.5500E+1	5.8801E-10
