File Name: 26_Sample1_device3_It_150kV_100uA_VDrain1V_VGate-15V.dat
File Data: 17/11/2023	13:12:41
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.0463E-6	-1.5000E+1	-4.2836E-10
1.0000E+3	1.0000E+0	1.0469E-6	-1.5000E+1	-3.5964E-10
1.5000E+3	1.0000E+0	1.0478E-6	-1.5000E+1	-3.0329E-10
2.0000E+3	1.0000E+0	1.0468E-6	-1.5000E+1	-2.5636E-10
2.5000E+3	1.0000E+0	1.0479E-6	-1.5000E+1	-2.1922E-10
3.0000E+3	1.0000E+0	1.0491E-6	-1.5000E+1	-1.9317E-10
3.5000E+3	1.0000E+0	1.0492E-6	-1.5000E+1	-1.7295E-10
4.0000E+3	1.0000E+0	1.0511E-6	-1.5000E+1	-1.5707E-10
4.5000E+3	1.0000E+0	1.0512E-6	-1.5000E+1	-1.4312E-10
5.0000E+3	1.0000E+0	1.0511E-6	-1.5000E+1	-1.3244E-10
5.5000E+3	1.0000E+0	1.0503E-6	-1.5000E+1	-1.2304E-10
6.0000E+3	1.0000E+0	1.0513E-6	-1.5000E+1	-1.1533E-10
6.5000E+3	1.0000E+0	1.0521E-6	-1.5000E+1	-1.0855E-10
7.0000E+3	1.0000E+0	1.0519E-6	-1.5000E+1	-1.0307E-10
7.5000E+3	1.0000E+0	1.0514E-6	-1.5000E+1	-9.7502E-11
8.0000E+3	1.0000E+0	1.0513E-6	-1.5000E+1	-9.3162E-11
8.5000E+3	1.0000E+0	1.0526E-6	-1.5000E+1	-8.8871E-11
9.0000E+3	1.0000E+0	1.0526E-6	-1.5000E+1	-8.4562E-11
9.5000E+3	1.0000E+0	1.0526E-6	-1.5000E+1	-8.0845E-11
1.0000E+4	1.0000E+0	1.0501E-6	-1.5000E+1	-7.7825E-11
1.0500E+4	1.0000E+0	1.0485E-6	-1.5000E+1	-7.5339E-11
1.1000E+4	1.0000E+0	1.0514E-6	-1.5000E+1	-7.3094E-11
1.1500E+4	1.0000E+0	1.0507E-6	-1.5000E+1	-7.0639E-11
