File Name: 01_Sample6_device1_trfSat_dark_hor.dat
File Data: 16/11/2023	10:28:14
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.7960E-7	-5.0000E+1	-2.7382E-11
1.0000E+3	1.0000E+0	1.7921E-7	-4.9500E+1	-4.9472E-13
1.5000E+3	1.0000E+0	1.7932E-7	-4.9000E+1	-5.0425E-13
2.0000E+3	1.0000E+0	1.7973E-7	-4.8500E+1	-2.4200E-13
2.5000E+3	1.0000E+0	1.7980E-7	-4.8000E+1	-5.7697E-13
3.0000E+3	1.0000E+0	1.8012E-7	-4.7500E+1	-1.4305E-13
3.5000E+3	1.0000E+0	1.8045E-7	-4.7000E+1	-4.3988E-13
4.0000E+3	1.0000E+0	1.8027E-7	-4.6500E+1	-1.5974E-13
4.5000E+3	1.0000E+0	1.8067E-7	-4.6000E+1	-2.2888E-13
5.0000E+3	1.0000E+0	1.8060E-7	-4.5500E+1	-1.6928E-13
5.5000E+3	1.0000E+0	1.8062E-7	-4.5000E+1	-3.7432E-13
6.0000E+3	1.0000E+0	1.8050E-7	-4.4500E+1	-6.6042E-13
6.5000E+3	1.0000E+0	1.8043E-7	-4.4000E+1	-3.1114E-13
7.0000E+3	1.0000E+0	1.8031E-7	-4.3500E+1	-2.4557E-13
7.5000E+3	1.0000E+0	1.8097E-7	-4.3000E+1	-1.6332E-13
8.0000E+3	1.0000E+0	1.8040E-7	-4.2500E+1	-1.9073E-14
8.5000E+3	1.0000E+0	1.7999E-7	-4.2000E+1	-4.1008E-13
9.0000E+3	1.0000E+0	1.8044E-7	-4.1500E+1	-3.2663E-13
9.5000E+3	1.0000E+0	1.8018E-7	-4.1000E+1	-3.0518E-13
1.0000E+4	1.0000E+0	1.8039E-7	-4.0500E+1	-5.2452E-13
1.0500E+4	1.0000E+0	1.8020E-7	-4.0000E+1	-2.3723E-13
1.1000E+4	1.0000E+0	1.8045E-7	-3.9500E+1	-3.1948E-13
1.1500E+4	1.0000E+0	1.8049E-7	-3.9000E+1	-1.4305E-13
1.2000E+4	1.0000E+0	1.8024E-7	-3.8500E+1	-3.7909E-13
1.2500E+4	1.0000E+0	1.8088E-7	-3.8000E+1	-3.9816E-13
1.3000E+4	1.0000E+0	1.8070E-7	-3.7500E+1	-2.4080E-13
1.3500E+4	1.0000E+0	1.8039E-7	-3.7000E+1	-3.8862E-13
1.4000E+4	1.0000E+0	1.8017E-7	-3.6500E+1	-2.0623E-13
1.4500E+4	1.0000E+0	1.8061E-7	-3.6000E+1	-2.9564E-13
1.5000E+4	1.0000E+0	1.8074E-7	-3.5500E+1	-5.1379E-13
1.5500E+4	1.0000E+0	1.8097E-7	-3.5000E+1	-4.6730E-13
1.6000E+4	1.0000E+0	1.8047E-7	-3.4500E+1	-4.6492E-13
1.6500E+4	1.0000E+0	1.8043E-7	-3.4000E+1	-5.8889E-13
1.7000E+4	1.0000E+0	1.8035E-7	-3.3500E+1	-1.6689E-14
