File Name: 30_Sample6_device1_trfSat_dark.dat
File Data: 21/11/2023	10:36:04
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	3.6757E-10	-5.0000E+1	-2.1373E-10
1.0000E+3	1.0000E+0	2.3598E-10	-4.9500E+1	-3.7741E-10
1.5000E+3	1.0000E+0	1.5210E-10	-4.9000E+1	-1.2201E-10
2.0000E+3	1.0000E+0	1.1939E-10	-4.8500E+1	-9.5941E-11
2.5000E+3	1.0000E+0	9.1524E-11	-4.8000E+1	-7.2948E-11
3.0000E+3	1.0000E+0	9.1736E-11	-4.7500E+1	-6.5426E-11
3.5000E+3	1.0000E+0	7.3897E-11	-4.7000E+1	-5.9067E-11
4.0000E+3	1.0000E+0	5.6195E-11	-4.6500E+1	-4.6433E-11
4.5000E+3	1.0000E+0	4.4002E-11	-4.6000E+1	-3.8835E-11
5.0000E+3	1.0000E+0	2.5790E-11	-4.5500E+1	-2.4012E-11
5.5000E+3	1.0000E+0	1.9014E-11	-4.5000E+1	-1.8210E-11
6.0000E+3	1.0000E+0	1.4071E-11	-4.4500E+1	-1.4323E-11
6.5000E+3	1.0000E+0	9.4533E-12	-4.4000E+1	-1.2648E-11
7.0000E+3	1.0000E+0	6.4981E-12	-4.3500E+1	-9.3746E-12
7.5000E+3	1.0000E+0	4.3738E-12	-4.3000E+1	-7.9215E-12
8.0000E+3	1.0000E+0	2.4295E-12	-4.2500E+1	-6.0046E-12
8.5000E+3	1.0000E+0	9.0480E-13	-4.2000E+1	-4.5669E-12
9.0000E+3	1.0000E+0	-1.7762E-13	-4.1500E+1	-3.3843E-12
9.5000E+3	1.0000E+0	-1.3602E-12	-4.1000E+1	-1.3185E-12
1.0000E+4	1.0000E+0	-3.7920E-12	-4.0500E+1	2.7776E-13
1.0500E+4	1.0000E+0	-3.8397E-12	-4.0000E+1	1.0192E-12
1.1000E+4	1.0000E+0	-4.2498E-12	-3.9500E+1	2.8110E-12
1.1500E+4	1.0000E+0	-5.6446E-12	-3.9000E+1	4.3535E-12
1.2000E+4	1.0000E+0	-6.7854E-12	-3.8500E+1	6.4325E-12
1.2500E+4	1.0000E+0	-6.8116E-12	-3.8000E+1	6.8462E-12
1.3000E+4	1.0000E+0	-7.8511E-12	-3.7500E+1	8.4031E-12
1.3500E+4	1.0000E+0	-8.5401E-12	-3.7000E+1	1.0636E-11
1.4000E+4	1.0000E+0	-8.2207E-12	-3.6500E+1	1.2727E-11
1.4500E+4	1.0000E+0	-8.8167E-12	-3.6000E+1	1.4191E-11
1.5000E+4	1.0000E+0	-3.7348E-12	-3.5500E+1	8.9920E-12
1.5500E+4	1.0000E+0	-2.3413E-11	-3.5000E+1	1.6326E-10
1.6000E+4	1.0000E+0	-7.3922E-12	-3.4500E+1	1.7967E-11
1.6500E+4	1.0000E+0	-6.2442E-12	-3.4000E+1	1.9212E-11
1.7000E+4	1.0000E+0	-5.2118E-12	-3.3500E+1	2.0045E-11
1.7500E+4	1.0000E+0	-3.8552E-12	-3.3000E+1	2.0887E-11
1.8000E+4	1.0000E+0	-1.5342E-12	-3.2500E+1	2.2557E-11
1.8500E+4	1.0000E+0	2.1362E-12	-3.2000E+1	2.3640E-11
1.9000E+4	1.0000E+0	6.2847E-12	-3.1500E+1	2.4066E-11
1.9500E+4	1.0000E+0	1.0611E-11	-3.1000E+1	2.5415E-11
2.0000E+4	1.0000E+0	1.6004E-11	-3.0500E+1	2.6280E-11
2.0500E+4	1.0000E+0	2.3409E-11	-3.0000E+1	2.7666E-11
2.1000E+4	1.0000E+0	3.2728E-11	-2.9500E+1	2.8937E-11
2.1500E+4	1.0000E+0	4.3023E-11	-2.9000E+1	2.9200E-11
2.2000E+4	1.0000E+0	5.6248E-11	-2.8500E+1	3.0599E-11
2.2500E+4	1.0000E+0	7.2366E-11	-2.8000E+1	3.1699E-11
2.3000E+4	1.0000E+0	9.0367E-11	-2.7500E+1	3.2868E-11
2.3500E+4	1.0000E+0	1.1362E-10	-2.7000E+1	3.3753E-11
2.4000E+4	1.0000E+0	1.4245E-10	-2.6500E+1	3.4823E-11
2.4500E+4	1.0000E+0	1.7808E-10	-2.6000E+1	3.5479E-11
2.5000E+4	1.0000E+0	2.1509E-10	-2.5500E+1	3.6968E-11
2.5500E+4	1.0000E+0	2.6301E-10	-2.5000E+1	3.7373E-11
2.6000E+4	1.0000E+0	3.1336E-10	-2.4500E+1	3.8612E-11
2.6500E+4	1.0000E+0	3.7263E-10	-2.4000E+1	3.9125E-11
2.7000E+4	1.0000E+0	4.3681E-10	-2.3500E+1	4.0729E-11
2.7500E+4	1.0000E+0	5.1164E-10	-2.3000E+1	4.1807E-11
2.8000E+4	1.0000E+0	5.9499E-10	-2.2500E+1	4.2294E-11
2.8500E+4	1.0000E+0	7.2168E-10	-2.2000E+1	4.3335E-11
2.9000E+4	1.0000E+0	8.4734E-10	-2.1500E+1	4.4038E-11
2.9500E+4	1.0000E+0	9.8693E-10	-2.1000E+1	4.4889E-11
3.0000E+4	1.0000E+0	1.1414E-9	-2.0500E+1	4.4671E-11
3.0500E+4	1.0000E+0	1.3301E-9	-2.0000E+1	6.8792E-11
3.1000E+4	1.0000E+0	1.5447E-9	-1.9500E+1	7.0172E-11
3.1500E+4	1.0000E+0	1.8086E-9	-1.9000E+1	4.8771E-11
3.2000E+4	1.0000E+0	2.1102E-9	-1.8500E+1	4.9638E-11
3.2500E+4	1.0000E+0	2.4550E-9	-1.8000E+1	5.0528E-11
3.3000E+4	1.0000E+0	2.8398E-9	-1.7500E+1	5.1529E-11
3.3500E+4	1.0000E+0	3.3334E-9	-1.7000E+1	5.2265E-11
3.4000E+4	1.0000E+0	3.8905E-9	-1.6500E+1	5.3783E-11
3.4500E+4	1.0000E+0	4.5086E-9	-1.6000E+1	5.4115E-11
3.5000E+4	1.0000E+0	5.2734E-9	-1.5500E+1	5.4834E-11
3.5500E+4	1.0000E+0	6.1936E-9	-1.5000E+1	5.5604E-11
3.6000E+4	1.0000E+0	7.2407E-9	-1.4500E+1	5.6394E-11
3.6500E+4	1.0000E+0	8.4506E-9	-1.4000E+1	5.7176E-11
3.7000E+4	1.0000E+0	9.9525E-9	-1.3500E+1	5.8250E-11
3.7500E+4	1.0000E+0	1.1726E-8	-1.3000E+1	5.9007E-11
3.8000E+4	1.0000E+0	1.3886E-8	-1.2500E+1	5.9884E-11
3.8500E+4	1.0000E+0	1.6350E-8	-1.2000E+1	6.0722E-11
3.9000E+4	1.0000E+0	1.9452E-8	-1.1500E+1	6.1553E-11
3.9500E+4	1.0000E+0	2.3072E-8	-1.1000E+1	6.2281E-11
4.0000E+4	1.0000E+0	2.7532E-8	-1.0500E+1	6.2737E-11
4.0500E+4	1.0000E+0	3.2863E-8	-1.0000E+1	6.3626E-11
4.1000E+4	1.0000E+0	3.9423E-8	-9.5000E+0	6.4513E-11
4.1500E+4	1.0000E+0	4.7274E-8	-9.0000E+0	6.4931E-11
4.2000E+4	1.0000E+0	5.6609E-8	-8.5000E+0	6.5633E-11
4.2500E+4	1.0000E+0	6.7933E-8	-8.0000E+0	6.6189E-11
4.3000E+4	1.0000E+0	8.1403E-8	-7.5000E+0	6.6735E-11
4.3500E+4	1.0000E+0	9.6806E-8	-7.0000E+0	6.7322E-11
4.4000E+4	1.0000E+0	1.1576E-7	-6.5000E+0	6.7955E-11
4.4500E+4	1.0000E+0	1.3881E-7	-6.0000E+0	7.7665E-11
4.5000E+4	1.0000E+0	1.6587E-7	-5.5000E+0	6.9283E-11
4.5500E+4	1.0000E+0	1.9775E-7	-5.0000E+0	5.9986E-11
4.6000E+4	1.0000E+0	2.3615E-7	-4.5000E+0	2.1659E-10
4.6500E+4	1.0000E+0	2.7997E-7	-4.0000E+0	7.0770E-11
4.7000E+4	1.0000E+0	3.3212E-7	-3.5000E+0	7.1481E-11
4.7500E+4	1.0000E+0	3.9204E-7	-3.0000E+0	7.1873E-11
4.8000E+4	1.0000E+0	4.6108E-7	-2.5000E+0	7.2330E-11
4.8500E+4	1.0000E+0	5.3891E-7	-2.0000E+0	7.2603E-11
4.9000E+4	1.0000E+0	6.2699E-7	-1.5000E+0	7.3146E-11
4.9500E+4	1.0000E+0	7.2981E-7	-1.0000E+0	7.3634E-11
5.0000E+4	1.0000E+0	8.4609E-7	-5.0000E-1	7.3924E-11
5.0500E+4	1.0000E+0	9.7704E-7	0.0000E+0	7.4201E-11
5.1000E+4	1.0000E+0	1.1231E-6	5.0000E-1	7.4793E-11
5.1500E+4	1.0000E+0	1.2824E-6	1.0000E+0	8.4190E-11
5.2000E+4	1.0000E+0	1.4623E-6	1.5000E+0	7.5352E-11
5.2500E+4	1.0000E+0	1.6570E-6	2.0000E+0	7.5532E-11
5.3000E+4	1.0000E+0	1.8737E-6	2.5000E+0	7.6108E-11
5.3500E+4	1.0000E+0	2.1113E-6	3.0000E+0	7.6164E-11
5.4000E+4	1.0000E+0	2.3731E-6	3.5000E+0	7.6082E-11
5.4500E+4	1.0000E+0	2.6550E-6	4.0000E+0	7.6568E-11
5.5000E+4	1.0000E+0	2.9601E-6	4.5000E+0	7.6901E-11
5.5500E+4	1.0000E+0	3.2905E-6	5.0000E+0	7.7409E-11
5.6000E+4	1.0000E+0	3.6492E-6	5.5000E+0	7.7647E-11
5.6500E+4	1.0000E+0	4.0245E-6	6.0000E+0	7.7951E-11
5.7000E+4	1.0000E+0	4.4359E-6	6.5000E+0	7.8256E-11
5.7500E+4	1.0000E+0	4.8595E-6	7.0000E+0	7.8862E-11
