File Name: 36_Sample6_device1_trfSat_dark_finish.dat
File Data: 21/11/2023	11:07:10
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.6313E-10	-5.0000E+1	-3.7494E-10
1.0000E+3	1.0000E+0	9.1766E-11	-4.9500E+1	-2.6461E-10
1.5000E+3	1.0000E+0	4.6979E-11	-4.9000E+1	-1.7584E-10
2.0000E+3	1.0000E+0	3.2448E-11	-4.8500E+1	-2.3954E-10
2.5000E+3	1.0000E+0	2.2147E-11	-4.8000E+1	-3.1023E-10
3.0000E+3	1.0000E+0	1.5608E-11	-4.7500E+1	-3.1781E-10
3.5000E+3	1.0000E+0	9.5689E-12	-4.7000E+1	-3.1825E-10
4.0000E+3	1.0000E+0	5.6040E-12	-4.6500E+1	-3.1997E-10
4.5000E+3	1.0000E+0	1.7619E-12	-4.6000E+1	-3.2366E-10
5.0000E+3	1.0000E+0	4.3559E-12	-4.5500E+1	-2.8098E-10
5.5000E+3	1.0000E+0	-1.9267E-11	-4.5000E+1	-1.1509E-10
6.0000E+3	1.0000E+0	-6.3217E-12	-4.4500E+1	-2.7324E-10
6.5000E+3	1.0000E+0	-8.0752E-12	-4.4000E+1	-2.5895E-10
7.0000E+3	1.0000E+0	-9.3854E-12	-4.3500E+1	-2.4615E-10
7.5000E+3	1.0000E+0	-1.1137E-11	-4.3000E+1	-2.1788E-10
8.0000E+3	1.0000E+0	-1.2127E-11	-4.2500E+1	-2.1501E-10
8.5000E+3	1.0000E+0	-1.3307E-11	-4.2000E+1	-2.1386E-10
9.0000E+3	1.0000E+0	-1.4541E-11	-4.1500E+1	-2.0543E-10
9.5000E+3	1.0000E+0	-1.5191E-11	-4.1000E+1	-1.9096E-10
