File Name: 00_Sample7_device1_trfSat_dark_begin.dat
File Data: 21/11/2023	12:26:14
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	1.6617E-10	-5.0000E+1	-1.3965E-10
1.0000E+3	1.0000E+0	1.0884E-10	-4.9500E+1	-8.4858E-11
1.5000E+3	1.0000E+0	7.2930E-11	-4.9000E+1	-2.2554E-12
2.0000E+3	1.0000E+0	6.8500E-11	-4.8500E+1	1.0676E-11
2.5000E+3	1.0000E+0	6.4719E-11	-4.8000E+1	1.5444E-11
3.0000E+3	1.0000E+0	6.3350E-11	-4.7500E+1	2.1858E-11
3.5000E+3	1.0000E+0	5.9360E-11	-4.7000E+1	2.5765E-11
4.0000E+3	1.0000E+0	5.7418E-11	-4.6500E+1	2.9447E-11
4.5000E+3	1.0000E+0	5.5503E-11	-4.6000E+1	3.2299E-11
5.0000E+3	1.0000E+0	5.4946E-11	-4.5500E+1	3.4168E-11
5.5000E+3	1.0000E+0	5.2553E-11	-4.5000E+1	3.6091E-11
6.0000E+3	1.0000E+0	5.1302E-11	-4.4500E+1	3.8288E-11
6.5000E+3	1.0000E+0	5.0459E-11	-4.4000E+1	3.9383E-11
7.0000E+3	1.0000E+0	4.9710E-11	-4.3500E+1	4.0911E-11
7.5000E+3	1.0000E+0	4.9334E-11	-4.3000E+1	4.1897E-11
8.0000E+3	1.0000E+0	4.8305E-11	-4.2500E+1	4.2994E-11
8.5000E+3	1.0000E+0	4.7698E-11	-4.2000E+1	4.3632E-11
9.0000E+3	1.0000E+0	4.7222E-11	-4.1500E+1	4.4792E-11
9.5000E+3	1.0000E+0	4.6257E-11	-4.1000E+1	4.5425E-11
1.0000E+4	1.0000E+0	4.5987E-11	-4.0500E+1	4.6206E-11
1.0500E+4	1.0000E+0	4.5377E-11	-4.0000E+1	4.6709E-11
1.1000E+4	1.0000E+0	4.5067E-11	-3.9500E+1	4.7528E-11
1.1500E+4	1.0000E+0	4.5011E-11	-3.9000E+1	4.7940E-11
1.2000E+4	1.0000E+0	4.4707E-11	-3.8500E+1	4.8553E-11
1.2500E+4	1.0000E+0	4.4659E-11	-3.8000E+1	4.9175E-11
