File Name: 01_Sample8_device1_It_150kV_500uA_VDrain1V_VGate22V.dat
File Data: 21/11/2023	12:53:39
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	8.7219E-7	2.2000E+1	3.7718E-10
1.0000E+3	1.0000E+0	8.6754E-7	2.2000E+1	2.7351E-10
1.5000E+3	1.0000E+0	8.7107E-7	2.2000E+1	2.4885E-10
2.0000E+3	1.0000E+0	8.5195E-7	2.2000E+1	2.3687E-10
2.5000E+3	1.0000E+0	8.3849E-7	2.2000E+1	2.1839E-10
3.0000E+3	1.0000E+0	8.2962E-7	2.2000E+1	2.1304E-10
3.5000E+3	1.0000E+0	8.3709E-7	2.2000E+1	2.0354E-10
4.0000E+3	1.0000E+0	8.2759E-7	2.2000E+1	1.9495E-10
4.5000E+3	1.0000E+0	7.7156E-7	2.2000E+1	1.7539E-10
5.0000E+3	1.0000E+0	8.0736E-7	2.2000E+1	1.4753E-10
5.5000E+3	1.0000E+0	7.9537E-7	2.2000E+1	1.4019E-10
6.0000E+3	1.0000E+0	7.9461E-7	2.2000E+1	1.3683E-10
6.5000E+3	1.0000E+0	7.6865E-7	2.2000E+1	1.3479E-10
7.0000E+3	1.0000E+0	7.7296E-7	2.2000E+1	1.3097E-10
7.5000E+3	1.0000E+0	7.7671E-7	2.2000E+1	1.2732E-10
8.0000E+3	1.0000E+0	7.6252E-7	2.2000E+1	1.2734E-10
8.5000E+3	1.0000E+0	7.4917E-7	2.2000E+1	1.2632E-10
9.0000E+3	1.0000E+0	7.5620E-7	2.2000E+1	1.2489E-10
9.5000E+3	1.0000E+0	7.5105E-7	2.2000E+1	1.2272E-10
1.0000E+4	1.0000E+0	7.5015E-7	2.2000E+1	1.2029E-10
1.0500E+4	1.0000E+0	7.4301E-7	2.2000E+1	1.1978E-10
1.1000E+4	1.0000E+0	7.3750E-7	2.2000E+1	1.1967E-10
1.1500E+4	1.0000E+0	7.0432E-7	2.2000E+1	1.1759E-10
1.2000E+4	1.0000E+0	6.9624E-7	2.2000E+1	1.1766E-10
1.2500E+4	1.0000E+0	7.0946E-7	2.2000E+1	1.1592E-10
1.3000E+4	1.0000E+0	7.2275E-7	2.2000E+1	1.1443E-10
1.3500E+4	1.0000E+0	7.1961E-7	2.2000E+1	1.1454E-10
1.4000E+4	1.0000E+0	7.1922E-7	2.2000E+1	1.1356E-10
1.4500E+4	1.0000E+0	7.1100E-7	2.2000E+1	1.1402E-10
1.5000E+4	1.0000E+0	7.0269E-7	2.2000E+1	1.1273E-10
1.5500E+4	1.0000E+0	6.8576E-7	2.2000E+1	1.1135E-10
1.6000E+4	1.0000E+0	6.9464E-7	2.2000E+1	1.1100E-10
1.6500E+4	1.0000E+0	7.0041E-7	2.2000E+1	1.1116E-10
1.7000E+4	1.0000E+0	6.9828E-7	2.2000E+1	1.0920E-10
1.7500E+4	1.0000E+0	6.8868E-7	2.2000E+1	1.0973E-10
1.8000E+4	1.0000E+0	6.8411E-7	2.2000E+1	1.1038E-10
1.8500E+4	1.0000E+0	6.8807E-7	2.2000E+1	1.0887E-10
1.9000E+4	1.0000E+0	6.9461E-7	2.2000E+1	1.0871E-10
1.9500E+4	1.0000E+0	6.8988E-7	2.2000E+1	1.0883E-10
2.0000E+4	1.0000E+0	6.8075E-7	2.2000E+1	1.0799E-10
2.0500E+4	1.0000E+0	6.7812E-7	2.2000E+1	1.0695E-10
2.1000E+4	1.0000E+0	6.8795E-7	2.2000E+1	1.0892E-10
2.1500E+4	1.0000E+0	6.8685E-7	2.2000E+1	1.0652E-10
2.2000E+4	1.0000E+0	6.8479E-7	2.2000E+1	1.0551E-10
2.2500E+4	1.0000E+0	6.7908E-7	2.2000E+1	1.0601E-10
2.3000E+4	1.0000E+0	6.7267E-7	2.2000E+1	1.0590E-10
2.3500E+4	1.0000E+0	6.7642E-7	2.2000E+1	1.0519E-10
2.4000E+4	1.0000E+0	6.9569E-7	2.2000E+1	1.0590E-10
2.4500E+4	1.0000E+0	6.7349E-7	2.2000E+1	1.0472E-10
2.5000E+4	1.0000E+0	6.7771E-7	2.2000E+1	1.0463E-10
2.5500E+4	1.0000E+0	6.7662E-7	2.2000E+1	1.0341E-10
2.6000E+4	1.0000E+0	6.8103E-7	2.2000E+1	1.0317E-10
2.6500E+4	1.0000E+0	6.6024E-7	2.2000E+1	1.0229E-10
