Time (s)	|IDrain| (A)	|IGate| (A)	Vdrain(V)	Vgate(V)	Photocurrent
0.0	1.7078e-05	1.6047e-11	-10.0	-2.5	-5.713332465277765e-07
1.0	1.7086e-05	1.9124e-10	-10.0	-2.5	-5.647154861111133e-07
1.5	1.7091e-05	2.0206e-10	-10.0	-2.5	-5.604062282986104e-07
2.0	1.7097e-05	2.068e-10	-10.0	-2.5	-5.550967187500004e-07
2.5	1.7098e-05	2.1016e-10	-10.0	-2.5	-5.547869574652762e-07
3.0	1.7104e-05	2.1151e-10	-10.0	-2.5	-5.494769444444431e-07
3.5	1.7107e-05	2.1235e-10	-10.0	-2.5	-5.471666796874981e-07
4.0	1.7111e-05	2.1342e-10	-10.0	-2.5	-5.438561631944461e-07
4.5	1.7114e-05	2.1363e-10	-10.0	-2.5	-5.415453949652778e-07
5.0	1.7116e-05	2.1366e-10	-10.0	-2.5	-5.402343750000002e-07
5.5	1.7122e-05	2.1368e-10	-10.0	-2.5	-5.349231032986124e-07
6.0	1.7123e-05	2.1358e-10	-10.0	-2.5	-5.346115798611137e-07
6.5	1.7128e-05	2.1383e-10	-10.0	-2.5	-5.302998046875014e-07
7.0	1.7131e-05	2.1447e-10	-10.0	-2.5	-5.279877777777786e-07
7.5	1.7133e-05	2.1446e-10	-10.0	-2.5	-5.266754991319429e-07
8.0	1.7136e-05	2.1411e-10	-10.0	-2.5	-5.243629687500002e-07
8.5	1.7138e-05	2.1366e-10	-10.0	-2.5	-5.230501866319447e-07
9.0	1.7142e-05	2.1417e-10	-10.0	-2.5	-5.197371527777765e-07
9.5	1.7146e-05	2.1414e-10	-10.0	-2.5	-5.164238671874968e-07
10.0	1.715e-05	2.1406e-10	-10.0	-2.5	-5.131103298611122e-07
10.5	1.7152e-05	2.1416e-10	-10.0	-2.5	-5.117965407986103e-07
11.0	1.7157e-05	2.1516e-10	-10.0	-2.5	-5.074825000000003e-07
11.5	1.716e-05	2.1443e-10	-10.0	-2.5	-5.051682074652797e-07
12.0	1.7161e-05	2.1502e-10	-10.0	-2.5	-5.048536631944451e-07
12.5	1.7164e-05	2.1415e-10	-10.0	-2.5	-5.025388671874979e-07
13.0	1.7168e-05	2.1444e-10	-10.0	-2.5	-4.992238194444436e-07
13.5	1.717e-05	2.1443e-10	-10.0	-2.5	-4.979085199652788e-07
14.0	1.7175e-05	2.1458e-10	-10.0	-2.5	-4.935929687499991e-07
14.5	1.718e-05	2.1544e-10	-10.0	-2.5	-4.892771657986078e-07
15.0	1.718e-05	2.1443e-10	-10.0	-2.5	-4.899611111111092e-07
15.501	1.7183e-05	2.1496e-10	-10.0	-2.5	-4.876461718224098e-07
16.0	1.7185e-05	2.1564e-10	-10.0	-2.5	-4.863282465277795e-07
16.5	1.7186e-05	2.1488e-10	-10.0	-2.5	-4.860114366319438e-07
17.0	1.7189e-05	2.1508e-10	-10.0	-2.5	-4.836943749999989e-07
17.5	1.7194e-05	2.1549e-10	-10.0	-2.5	-4.793770616319447e-07
18.0	1.7194e-05	2.1502e-10	-10.0	-2.5	-4.800594965277798e-07
18.5	1.7201e-05	2.1555e-10	-10.0	-2.5	-4.73741679687498e-07
19.0	1.7204e-05	2.1529e-10	-10.0	-2.5	-4.7142361111111e-07
19.5	1.7206e-05	2.1517e-10	-10.0	-2.5	-4.701052907986092e-07
20.0	1.7209e-05	2.1526e-10	-10.0	-2.5	-4.67786718749998e-07
20.5	1.7211e-05	2.1617e-10	-10.0	-2.5	-4.664678949652774e-07
21.0	1.7215e-05	2.1567e-10	-10.0	-2.5	-4.6314881944444414e-07
21.5	1.7219e-05	2.1548e-10	-10.0	-2.5	-4.598294921874993e-07
22.0	1.722e-05	2.154e-10	-10.0	-2.5	-4.595099131944426e-07
22.5	1.7222e-05	2.1548e-10	-10.0	-2.5	-4.5819008246527894e-07
23.0	1.7226e-05	2.1596e-10	-10.0	-2.5	-4.5486999999999925e-07
23.5	1.7228e-05	2.1577e-10	-10.0	-2.5	-4.5354966579861235e-07
24.0	1.7226e-05	2.1594e-10	-10.0	-2.5	-4.5622907986110904e-07
24.5	1.7231e-05	2.1553e-10	-10.0	-2.5	-4.519082421874957e-07
25.0	1.7233e-05	2.1555e-10	-10.0	-2.5	-4.5058715277777737e-07
25.5	1.7239e-05	2.1576e-10	-10.0	-2.5	-4.452658116319454e-07
26.0	1.7241e-05	2.1581e-10	-10.0	-2.5	-4.4394421875000044e-07
26.5	1.7243e-05	2.1562e-10	-10.0	-2.5	-4.4262237413194387e-07
27.0	1.7246e-05	2.1539e-10	-10.0	-2.5	-4.403002777777769e-07
27.5	1.7252e-05	2.1561e-10	-10.0	-2.5	-4.3497792968749847e-07
28.0	1.7253e-05	2.1583e-10	-10.0	-2.5	-4.3465532986110926e-07
