Time (s)	|IDrain| (A)	|IGate| (A)	Vdrain(V)	Vgate(V)	Photocurrent
100.0	2.8062e-05	1.0709e-11	-10.0	-2.5	-1.6352414930553372e-07
100.5	2.8063e-05	1.037e-11	-10.0	-2.5	-1.6289322482636846e-07
101.0	2.807e-05	1.0163e-11	-10.0	-2.5	-1.5626187499997668e-07
101.5	2.8069e-05	1.0089e-11	-10.0	-2.5	-1.5763009982636874e-07
102.0	2.8073e-05	1.0527e-11	-10.0	-2.5	-1.5399789930553307e-07
102.5	2.8076e-05	1.026e-11	-10.0	-2.5	-1.5136527343747607e-07
103.0	2.808e-05	1.0638e-11	-10.0	-2.5	-1.4773222222220012e-07
103.5	2.8086e-05	1.0476e-11	-10.0	-2.5	-1.4209874565970302e-07
104.0	2.808e-05	1.0552e-11	-10.0	-2.5	-1.484648437499782e-07
104.5	2.808e-05	9.8395e-12	-10.0	-2.5	-1.4883051649303364e-07
105.0	2.8083e-05	1.0297e-11	-10.0	-2.5	-1.4619576388886913e-07
105.5	2.8083e-05	1.0292e-11	-10.0	-2.5	-1.465605859374809e-07
106.0	2.8086e-05	1.025e-11	-10.0	-2.5	-1.439249826388693e-07
106.5	2.8091e-05	1.0271e-11	-10.0	-2.5	-1.392889539930332e-07
107.0	2.8092e-05	1.0381e-11	-10.0	-2.5	-1.3865249999997555e-07
107.5	2.8094e-05	1.071e-11	-10.0	-2.5	-1.3701562065970233e-07
108.0	2.809e-05	1.0153e-11	-10.0	-2.5	-1.413783159722018e-07
108.5	2.8093e-05	9.3722e-12	-10.0	-2.5	-1.3874058593747933e-07
109.0	2.8093e-05	1.0905e-11	-10.0	-2.5	-1.3910243055553312e-07
109.5	2.8094e-05	1.0124e-11	-10.0	-2.5	-1.3846384982636796e-07
110.0	2.8097e-05	1.0426e-11	-10.0	-2.5	-1.3582484374998166e-07
110.5	2.81e-05	1.0409e-11	-10.0	-2.5	-1.3318541232636844e-07
111.0	2.8107e-05	9.8622e-12	-10.0	-2.5	-1.2654555555553307e-07
111.5	2.8106e-05	9.7764e-12	-10.0	-2.5	-1.2790527343747816e-07
112.0	2.81e-05	1.0575e-11	-10.0	-2.5	-1.342645659722039e-07
112.5	2.8106e-05	9.8574e-12	-10.0	-2.5	-1.2862343315970013e-07
113.0	2.811e-05	1.0617e-11	-10.0	-2.5	-1.249818749999806e-07
113.5	2.8112e-05	1.0377e-11	-10.0	-2.5	-1.2333989149303513e-07
114.0	2.8111e-05	1.0686e-11	-10.0	-2.5	-1.2469748263886933e-07
114.5	2.8117e-05	1.0248e-11	-10.0	-2.5	-1.1905464843748158e-07
115.0	2.8118e-05	1.0101e-11	-10.0	-2.5	-1.1841138888886771e-07
115.5	2.812e-05	1.008e-11	-10.0	-2.5	-1.1676770399303828e-07
116.0	2.8125e-05	1.0933e-11	-10.0	-2.5	-1.1212359374997873e-07
116.5	2.8123e-05	1.0331e-11	-10.0	-2.5	-1.1447905815970084e-07
117.0	2.8124e-05	1.0302e-11	-10.0	-2.5	-1.13834097222203e-07
117.5	2.8126e-05	1.0439e-11	-10.0	-2.5	-1.1218871093747942e-07
118.0	2.8129e-05	9.7108e-12	-10.0	-2.5	-1.0954289930553351e-07
118.5	2.8125e-05	1.0514e-11	-10.0	-2.5	-1.1389666232636925e-07
119.0	2.8134e-05	1.0203e-11	-10.0	-2.5	-1.0524999999998006e-07
119.5	2.8133e-05	1.0358e-11	-10.0	-2.5	-1.0660291232636893e-07
120.0	2.8135e-05	6.0556e-11	-10.0	-2.5	-1.0495539930553447e-07
120.5	2.8138e-05	6.9627e-11	-10.0	-2.5	-1.0230746093748105e-07
121.0	2.8135e-05	7.0164e-11	-10.0	-2.5	-1.0565909722220031e-07
121.5	2.8141e-05	7.0739e-11	-10.0	-2.5	-1.0001030815970342e-07
122.0	2.8146e-05	6.9922e-11	-10.0	-2.5	-9.53610937499784e-08
122.5	2.8146e-05	7.0194e-11	-10.0	-2.5	-9.571145399303404e-08
123.0	2.8147e-05	6.9332e-11	-10.0	-2.5	-9.506138888887072e-08
123.5	2.815e-05	6.9028e-11	-10.0	-2.5	-9.241089843747949e-08
124.0	2.8149e-05	6.8556e-11	-10.0	-2.5	-9.375998263886671e-08
124.5	2.8151e-05	6.7939e-11	-10.0	-2.5	-9.210864149303738e-08
125.0	2.815e-05	6.7526e-11	-10.0	-2.5	-9.345687499998093e-08
125.5	2.8158e-05	6.7332e-11	-10.0	-2.5	-8.580468315970153e-08
126.0	2.8156e-05	6.7606e-11	-10.0	-2.5	-8.815206597220359e-08
126.5	2.816e-05	6.7393e-11	-10.0	-2.5	-8.449902343747912e-08
127.0	2.8163e-05	6.6291e-11	-10.0	-2.5	-8.18455555555367e-08
127.5	2.8165e-05	6.67e-11	-10.0	-2.5	-8.019166232636955e-08
128.0	2.817e-05	6.6707e-11	-10.0	-2.5	-7.553734374998245e-08
128.5	2.8176e-05	6.6035e-11	-10.0	-2.5	-6.988259982636962e-08
129.0	2.8184e-05	6.6814e-11	-10.0	-2.5	-6.222743055553565e-08
129.5	2.8181e-05	6.6437e-11	-10.0	-2.5	-6.557183593748194e-08
130.0	2.818e-05	6.6134e-11	-10.0	-2.5	-6.69158159722037e-08
130.5	2.818e-05	6.5981e-11	-10.0	-2.5	-6.725937065970311e-08
131.0	2.8183e-05	6.6745e-11	-10.0	-2.5	-6.46024999999792e-08
131.5	2.8183e-05	6.592e-11	-10.0	-2.5	-6.494520399303493e-08
132.0	2.8186e-05	6.592e-11	-10.0	-2.5	-6.228748263887072e-08
132.5	2.8184e-05	6.5741e-11	-10.0	-2.5	-6.462933593748038e-08
133.0	2.8185e-05	6.5669e-11	-10.0	-2.5	-6.39707638888701e-08
133.5	2.8188e-05	6.5632e-11	-10.0	-2.5	-6.131176649303867e-08
134.0	2.819e-05	6.5637e-11	-10.0	-2.5	-5.965234374998252e-08
134.5	2.8194e-05	6.5303e-11	-10.0	-2.5	-5.599249565970183e-08
135.0	2.8194e-05	6.5571e-11	-10.0	-2.5	-5.633222222220299e-08
