Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	8.1168e-10	1.5479e-08	-10.0	5.0
1.0	7.5838e-10	1.523e-08	-10.0	4.9
1.5	7.2648e-10	1.5153e-08	-10.0	4.8
2.0	7.0415e-10	1.5105e-08	-10.0	4.7
2.5	6.9074e-10	1.5052e-08	-10.0	4.6
3.0	6.8447e-10	1.5025e-08	-10.0	4.5
3.5	6.9079e-10	1.4927e-08	-10.0	4.4
4.0	7.0376e-10	1.4926e-08	-10.0	4.3
4.5	7.3013e-10	1.4912e-08	-10.0	4.2
5.0	7.656e-10	1.4897e-08	-10.0	4.1
5.5	8.1833e-10	1.4881e-08	-10.0	4.0
6.0	8.9045e-10	1.4852e-08	-10.0	3.9
6.5	9.9607e-10	1.4828e-08	-10.0	3.8
7.0	1.1208e-09	1.4803e-08	-10.0	3.7
7.5	1.2923e-09	1.48e-08	-10.0	3.6
8.0	1.497e-09	1.4784e-08	-10.0	3.5
8.5	1.7743e-09	1.4776e-08	-10.0	3.4
9.0	2.132e-09	1.4781e-08	-10.0	3.3
9.5	2.587e-09	1.4741e-08	-10.0	3.2
10.0	3.1711e-09	1.474e-08	-10.0	3.1
10.5	3.9271e-09	1.4713e-08	-10.0	3.0
11.0	4.8654e-09	1.472e-08	-10.0	2.9
11.5	6.0634e-09	1.4714e-08	-10.0	2.8
12.0	7.5397e-09	1.4706e-08	-10.0	2.7
12.5	9.3306e-09	1.4687e-08	-10.0	2.6
13.0	1.1443e-08	1.4686e-08	-10.0	2.5
13.5	1.3881e-08	1.4687e-08	-10.0	2.4
14.0	1.6771e-08	1.4656e-08	-10.0	2.3
14.5	2.0429e-08	1.464e-08	-10.0	2.2
15.0	2.5107e-08	1.4637e-08	-10.0	2.1
15.5	3.1615e-08	1.4612e-08	-10.0	2.0
16.0	4.0764e-08	1.4575e-08	-10.0	1.9
16.5	5.3881e-08	1.4546e-08	-10.0	1.8
17.0	7.281e-08	1.4515e-08	-10.0	1.7
17.5	1.0073e-07	1.4484e-08	-10.0	1.6
18.0	1.4396e-07	1.4439e-08	-10.0	1.5
18.5	2.0948e-07	1.4367e-08	-10.0	1.4
19.0	3.0423e-07	1.4295e-08	-10.0	1.3
19.5	4.289e-07	1.4248e-08	-10.0	1.2
20.0	5.8145e-07	1.4033e-08	-10.0	1.1
20.5	7.589e-07	1.367e-08	-10.0	1.0
21.0	9.5821e-07	1.3129e-08	-10.0	0.9
21.5	1.1777e-06	1.2382e-08	-10.0	0.8
22.0	1.4163e-06	1.1436e-08	-10.0	0.7
22.5	1.6735e-06	1.0325e-08	-10.0	0.6
23.0	1.9473e-06	9.0156e-09	-10.0	0.5
23.5	2.2376e-06	7.5298e-09	-10.0	0.4
24.0	2.5429e-06	5.8788e-09	-10.0	0.3
24.5	2.8634e-06	4.0726e-09	-10.0	0.2
25.0	3.1975e-06	2.111e-09	-10.0	0.1
25.5	3.5451e-06	8.409e-11	-10.0	1.027e-15
26.0	3.9059e-06	2.2467e-09	-10.0	-0.1
26.5	4.2781e-06	4.6366e-09	-10.0	-0.2
27.0	4.6621e-06	7.1693e-09	-10.0	-0.3
27.5	5.0559e-06	9.8413e-09	-10.0	-0.4
28.0	5.4612e-06	1.263e-08	-10.0	-0.5
28.5	5.876e-06	1.5563e-08	-10.0	-0.6
29.0	6.3e-06	1.8605e-08	-10.0	-0.7
29.5	6.7326e-06	2.1793e-08	-10.0	-0.8
30.0	7.1741e-06	2.5104e-08	-10.0	-0.9
30.5	7.6245e-06	2.8542e-08	-10.0	-1.0
31.0	8.0822e-06	3.2072e-08	-10.0	-1.1
31.5	8.5473e-06	3.5748e-08	-10.0	-1.2
32.0	9.0192e-06	3.9512e-08	-10.0	-1.3
32.5	9.4986e-06	4.3381e-08	-10.0	-1.4
33.0	9.9849e-06	4.7383e-08	-10.0	-1.5
33.5	1.0474e-05	5.1463e-08	-10.0	-1.6
34.5	1.0973e-05	5.5543e-08	-10.0	-1.7
35.0	1.1477e-05	5.9879e-08	-10.0	-1.8
35.5	1.1984e-05	6.43e-08	-10.0	-1.9
36.0	1.2499e-05	6.877e-08	-10.0	-2.0
36.5	1.3022e-05	7.3426e-08	-10.0	-2.1
37.0	1.3542e-05	7.81e-08	-10.0	-2.2
37.5	1.407e-05	8.2879e-08	-10.0	-2.3
38.0	1.46e-05	8.771e-08	-10.0	-2.4
38.5	1.5136e-05	9.2668e-08	-10.0	-2.5
39.0	1.5676e-05	9.7692e-08	-10.0	-2.6
39.5	1.6221e-05	1.0167e-07	-10.0	-2.7
40.0	1.6766e-05	1.0709e-07	-10.0	-2.8
40.5	1.7317e-05	1.1234e-07	-10.0	-2.9
41.0	1.7874e-05	1.1764e-07	-10.0	-3.0
41.5	1.8429e-05	1.2306e-07	-10.0	-3.1
42.0	1.8989e-05	1.2854e-07	-10.0	-3.2
42.5	1.955e-05	1.3406e-07	-10.0	-3.3
43.0	2.0115e-05	1.3968e-07	-10.0	-3.4
43.5	2.0685e-05	1.4542e-07	-10.0	-3.5
44.0	2.1256e-05	1.5108e-07	-10.0	-3.6
44.5	2.1829e-05	1.5693e-07	-10.0	-3.7
45.0	2.2404e-05	1.6279e-07	-10.0	-3.8
45.5	2.2979e-05	1.6863e-07	-10.0	-3.9
46.0	2.3559e-05	1.7465e-07	-10.0	-4.0
46.5	2.4136e-05	1.8059e-07	-10.0	-4.1
47.0	2.4717e-05	1.8669e-07	-10.0	-4.2
47.5	2.5304e-05	1.9278e-07	-10.0	-4.3
48.0	2.589e-05	1.9899e-07	-10.0	-4.4
48.5	2.6474e-05	2.0525e-07	-10.0	-4.5
49.0	2.7064e-05	2.1153e-07	-10.0	-4.6
49.5	2.7651e-05	2.1789e-07	-10.0	-4.7
50.0	2.8241e-05	2.2424e-07	-10.0	-4.8
50.5	2.8833e-05	2.3071e-07	-10.0	-4.9
51.0	2.9423e-05	2.3722e-07	-10.0	-5.0
51.5	2.9423e-05	2.3704e-07	-10.0	-5.0
52.0	3.0016e-05	2.4366e-07	-10.0	-5.1
52.5	2.9423e-05	2.3689e-07	-10.0	-5.0
53.0	2.8827e-05	2.3018e-07	-10.0	-4.9
53.5	2.8238e-05	2.2357e-07	-10.0	-4.8
54.0	2.7647e-05	2.1707e-07	-10.0	-4.7
54.5	2.7063e-05	2.1053e-07	-10.0	-4.6
55.0	2.6475e-05	2.0412e-07	-10.0	-4.5
55.5	2.589e-05	1.9777e-07	-10.0	-4.4
56.0	2.5307e-05	1.9148e-07	-10.0	-4.3
56.5	2.4724e-05	1.8516e-07	-10.0	-4.2
57.0	2.4144e-05	1.7899e-07	-10.0	-4.1
57.5	2.3568e-05	1.7294e-07	-10.0	-4.0
58.0	2.2987e-05	1.669e-07	-10.0	-3.9
58.5	2.2414e-05	1.6091e-07	-10.0	-3.8
59.0	2.1841e-05	1.5492e-07	-10.0	-3.7
59.5	2.1267e-05	1.4909e-07	-10.0	-3.6
60.0	2.0704e-05	1.4334e-07	-10.0	-3.5
60.5	2.0138e-05	1.3762e-07	-10.0	-3.4
61.0	1.9572e-05	1.3198e-07	-10.0	-3.3
61.5	1.901e-05	1.264e-07	-10.0	-3.2
62.0	1.845e-05	1.2093e-07	-10.0	-3.1
62.5	1.7896e-05	1.1556e-07	-10.0	-3.0
63.0	1.7346e-05	1.1018e-07	-10.0	-2.9
63.5	1.6795e-05	1.0492e-07	-10.0	-2.8
64.0	1.6252e-05	9.7126e-08	-10.0	-2.7
65.5	1.5711e-05	9.5437e-08	-10.0	-2.6
66.0	1.5172e-05	9.0422e-08	-10.0	-2.5
66.5	1.4638e-05	8.5511e-08	-10.0	-2.4
67.0	1.4108e-05	8.068e-08	-10.0	-2.3
67.5	1.3579e-05	7.5954e-08	-10.0	-2.2
68.0	1.3055e-05	7.128e-08	-10.0	-2.1
68.5	1.2536e-05	6.6641e-08	-10.0	-2.0
69.0	1.2024e-05	6.2163e-08	-10.0	-1.9
69.5	1.1514e-05	5.7765e-08	-10.0	-1.8
70.0	1.1012e-05	5.346e-08	-10.0	-1.7
70.5	1.0516e-05	4.93e-08	-10.0	-1.6
71.0	1.0025e-05	4.5268e-08	-10.0	-1.5
71.5	9.5397e-06	4.1339e-08	-10.0	-1.4
72.0	9.0611e-06	3.7511e-08	-10.0	-1.3
72.5	8.5873e-06	3.3781e-08	-10.0	-1.2
73.0	8.122e-06	3.0178e-08	-10.0	-1.1
73.5	7.6635e-06	2.6708e-08	-10.0	-1.0
74.0	7.2141e-06	2.334e-08	-10.0	-0.9
74.5	6.7711e-06	2.0106e-08	-10.0	-0.8
75.0	6.3368e-06	1.6979e-08	-10.0	-0.7
75.5	5.9115e-06	1.3989e-08	-10.0	-0.6
76.0	5.4951e-06	1.1128e-08	-10.0	-0.5
76.5	5.0891e-06	8.3959e-09	-10.0	-0.4
77.0	4.6926e-06	5.7936e-09	-10.0	-0.3
77.5	4.3071e-06	3.3278e-09	-10.0	-0.2
78.0	3.9327e-06	9.6592e-10	-10.0	-0.1
78.5	3.5703e-06	1.1842e-09	-10.0	-1.027e-15
79.0	3.2196e-06	3.2077e-09	-10.0	0.1
79.5	2.8824e-06	5.1112e-09	-10.0	0.2
80.0	2.5591e-06	6.8411e-09	-10.0	0.3
80.5	2.2503e-06	8.4339e-09	-10.0	0.4
81.0	1.9568e-06	9.8499e-09	-10.0	0.5
81.5	1.6799e-06	1.1097e-08	-10.0	0.6
82.0	1.4202e-06	1.2172e-08	-10.0	0.7
82.5	1.1786e-06	1.3062e-08	-10.0	0.8
83.0	9.5589e-07	1.3777e-08	-10.0	0.9
83.5	7.5369e-07	1.4274e-08	-10.0	1.0
84.0	5.7436e-07	1.4626e-08	-10.0	1.1
84.5	4.2105e-07	1.4814e-08	-10.0	1.2
85.0	2.9667e-07	1.4949e-08	-10.0	1.3
85.5	2.0326e-07	1.5027e-08	-10.0	1.4
86.0	1.3941e-07	1.5084e-08	-10.0	1.5
86.5	9.7791e-08	1.5093e-08	-10.0	1.6
87.0	7.0328e-08	1.518e-08	-10.0	1.7
87.5	5.186e-08	1.5088e-08	-10.0	1.8
88.0	3.9146e-08	1.5085e-08	-10.0	1.9
88.5	3.0308e-08	1.5066e-08	-10.0	2.0
89.0	2.4025e-08	1.5041e-08	-10.0	2.1
89.5	1.9536e-08	1.5017e-08	-10.0	2.2
90.0	1.6056e-08	1.4985e-08	-10.0	2.3
90.5	1.3197e-08	1.4972e-08	-10.0	2.4
91.0	1.0826e-08	1.4955e-08	-10.0	2.5
91.5	8.7764e-09	1.4957e-08	-10.0	2.6
