Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	6.1618e-10	2.0585e-09	-10.0	5.0
1.0	5.6057e-10	1.1306e-09	-10.0	4.9
1.5	5.9854e-10	1.04e-09	-10.0	4.8
2.0	6.9037e-10	9.9743e-10	-10.0	4.7
2.5	8.3698e-10	9.6784e-10	-10.0	4.6
3.0	1.0524e-09	9.4714e-10	-10.0	4.5
3.5	1.3348e-09	9.3077e-10	-10.0	4.4
4.0	1.7044e-09	9.1629e-10	-10.0	4.3
4.5	2.1396e-09	9.0558e-10	-10.0	4.2
5.0	2.6687e-09	8.9628e-10	-10.0	4.1
5.5	3.3129e-09	8.8727e-10	-10.0	4.0
6.0	4.0924e-09	6.7975e-10	-10.0	3.9
6.5	5.0012e-09	8.754e-10	-10.0	3.8
7.0	6.0125e-09	8.7076e-10	-10.0	3.7
7.5	7.1968e-09	8.6602e-10	-10.0	3.6
8.0	8.5324e-09	8.6158e-10	-10.0	3.5
8.5	1.0076e-08	8.576e-10	-10.0	3.4
9.0	1.1791e-08	8.534e-10	-10.0	3.3
9.5	1.372e-08	8.4955e-10	-10.0	3.2
10.0	1.5865e-08	8.4561e-10	-10.0	3.1
10.5	1.8286e-08	8.4115e-10	-10.0	3.0
11.0	2.1084e-08	8.3707e-10	-10.0	2.9
11.5	2.4307e-08	8.3201e-10	-10.0	2.8
12.0	2.7932e-08	8.2692e-10	-10.0	2.7
12.5	3.2102e-08	8.22e-10	-10.0	2.6
13.0	3.6819e-08	8.1662e-10	-10.0	2.5
13.5	4.2109e-08	8.0949e-10	-10.0	2.4
14.0	4.8029e-08	7.9818e-10	-10.0	2.3
14.5	5.4791e-08	7.8385e-10	-10.0	2.2
15.0	6.278e-08	7.6718e-10	-10.0	2.1
15.5	7.2686e-08	7.4028e-10	-10.0	2.0
16.0	8.5213e-08	7.1899e-10	-10.0	1.9
16.5	1.014e-07	6.9272e-10	-10.0	1.8
17.0	1.2407e-07	6.2026e-10	-10.0	1.7
17.5	1.5663e-07	6.367e-10	-10.0	1.6
18.0	2.0614e-07	6.0043e-10	-10.0	1.5
18.5	2.8064e-07	5.5914e-10	-10.0	1.4
19.0	3.8678e-07	5.0162e-10	-10.0	1.3
19.5	5.2852e-07	5.1081e-10	-10.0	1.2
20.0	7.0444e-07	5.3003e-10	-10.0	1.1
20.5	9.1182e-07	5.2428e-10	-10.0	1.0
21.0	1.1477e-06	4.0497e-10	-10.0	0.9
21.5	1.4098e-06	3.1285e-10	-10.0	0.8
22.0	1.6967e-06	4.4354e-10	-10.0	0.7
22.5	2.0067e-06	4.0444e-10	-10.0	0.6
23.0	2.339e-06	3.6087e-10	-10.0	0.5
23.5	2.6917e-06	3.1582e-10	-10.0	0.4
24.0	3.0631e-06	2.6766e-10	-10.0	0.3
24.5	3.4524e-06	2.1812e-10	-10.0	0.2
25.0	3.8578e-06	1.6792e-10	-10.0	0.1
25.5	4.2793e-06	1.1683e-10	-10.0	1.027e-15
26.0	4.7164e-06	6.8328e-11	-10.0	-0.1
26.5	5.1682e-06	1.9298e-11	-10.0	-0.2
27.0	5.6325e-06	2.9844e-11	-10.0	-0.3
27.5	6.1098e-06	8.1083e-11	-10.0	-0.4
28.0	6.5997e-06	1.3144e-10	-10.0	-0.5
28.5	7.101e-06	1.8609e-10	-10.0	-0.6
29.0	7.6137e-06	2.4075e-10	-10.0	-0.7
29.5	8.1379e-06	2.9887e-10	-10.0	-0.8
30.0	8.673e-06	3.6254e-10	-10.0	-0.9
30.5	9.2173e-06	4.3042e-10	-10.0	-1.0
31.0	9.7712e-06	5.048e-10	-10.0	-1.1
31.5	1.0336e-05	5.8476e-10	-10.0	-1.2
32.0	1.0908e-05	6.7735e-10	-10.0	-1.3
32.5	1.149e-05	7.5914e-10	-10.0	-1.4
33.0	1.2077e-05	8.5864e-10	-10.0	-1.5
33.5	1.2673e-05	9.6209e-10	-10.0	-1.6
34.0	1.3277e-05	1.0712e-09	-10.0	-1.7
34.5	1.3886e-05	1.1973e-09	-10.0	-1.8
35.0	1.4502e-05	1.348e-09	-10.0	-1.9
35.5	1.5126e-05	1.4672e-09	-10.0	-2.0
36.0	1.5758e-05	1.6116e-09	-10.0	-2.1
36.5	1.6392e-05	1.9551e-09	-10.0	-2.2
37.0	1.7035e-05	1.9609e-09	-10.0	-2.3
37.5	1.7679e-05	2.124e-09	-10.0	-2.4
38.0	1.833e-05	2.3021e-09	-10.0	-2.5
38.5	1.8986e-05	2.4909e-09	-10.0	-2.6
39.0	1.9648e-05	2.6928e-09	-10.0	-2.7
39.5	2.0312e-05	2.9017e-09	-10.0	-2.8
40.0	2.0981e-05	3.1257e-09	-10.0	-2.9
40.5	2.1654e-05	3.3863e-09	-10.0	-3.0
41.0	2.233e-05	3.6266e-09	-10.0	-3.1
41.5	2.3015e-05	3.8799e-09	-10.0	-3.2
42.0	2.37e-05	4.1374e-09	-10.0	-3.3
42.5	2.4388e-05	4.3943e-09	-10.0	-3.4
43.0	2.5082e-05	4.5764e-09	-10.0	-3.5
43.5	2.5774e-05	4.8405e-09	-10.0	-3.6
44.0	2.6475e-05	5.0595e-09	-10.0	-3.7
44.5	2.7174e-05	5.3379e-09	-10.0	-3.8
45.0	2.7874e-05	5.5744e-09	-10.0	-3.9
45.5	2.8579e-05	5.7871e-09	-10.0	-4.0
46.0	2.9289e-05	6.3355e-09	-10.0	-4.1
46.5	2.9999e-05	6.314e-09	-10.0	-4.2
47.0	3.0714e-05	6.602e-09	-10.0	-4.3
47.5	3.1424e-05	6.8261e-09	-10.0	-4.4
48.0	3.2142e-05	7.1719e-09	-10.0	-4.5
48.5	3.2855e-05	7.3737e-09	-10.0	-4.6
49.0	3.3572e-05	7.7403e-09	-10.0	-4.7
49.5	3.4286e-05	7.8553e-09	-10.0	-4.8
50.0	3.5013e-05	8.1559e-09	-10.0	-4.9
50.5	3.5737e-05	8.3763e-09	-10.0	-5.0
51.0	3.5729e-05	8.2546e-09	-10.0	-5.0
51.5	3.6452e-05	8.7199e-09	-10.0	-5.1
52.0	3.572e-05	8.0431e-09	-10.0	-5.0
52.5	3.4989e-05	7.7889e-09	-10.0	-4.9
53.0	3.4257e-05	7.5247e-09	-10.0	-4.8
53.5	3.3533e-05	7.0551e-09	-10.0	-4.7
54.0	3.281e-05	6.8818e-09	-10.0	-4.6
54.5	3.2085e-05	6.6405e-09	-10.0	-4.5
55.0	3.1362e-05	6.1638e-09	-10.0	-4.4
55.5	3.0642e-05	5.9494e-09	-10.0	-4.3
56.0	2.9925e-05	5.6239e-09	-10.0	-4.2
56.5	2.9216e-05	5.3191e-09	-10.0	-4.1
57.0	2.8504e-05	5.0822e-09	-10.0	-4.0
57.5	2.7797e-05	4.8047e-09	-10.0	-3.9
58.0	2.7092e-05	4.5234e-09	-10.0	-3.8
58.5	2.6394e-05	4.2396e-09	-10.0	-3.7
59.0	2.5694e-05	4.0054e-09	-10.0	-3.6
59.5	2.4996e-05	3.7348e-09	-10.0	-3.5
60.0	2.4304e-05	3.5385e-09	-10.0	-3.4
60.5	2.3615e-05	3.2577e-09	-10.0	-3.3
61.0	2.2932e-05	3.041e-09	-10.0	-3.2
61.5	2.2249e-05	2.8155e-09	-10.0	-3.1
62.0	2.1573e-05	2.6093e-09	-10.0	-3.0
62.5	2.0901e-05	2.3904e-09	-10.0	-2.9
63.0	2.023e-05	2.1566e-09	-10.0	-2.8
63.5	1.9565e-05	1.9601e-09	-10.0	-2.7
64.0	1.8903e-05	1.748e-09	-10.0	-2.6
64.5	1.8249e-05	1.5472e-09	-10.0	-2.5
65.0	1.7601e-05	1.3474e-09	-10.0	-2.4
65.5	1.6957e-05	1.1582e-09	-10.0	-2.3
66.0	1.6315e-05	9.8402e-10	-10.0	-2.2
66.5	1.5681e-05	5.23e-10	-10.0	-2.1
67.0	1.5053e-05	6.5723e-10	-10.0	-2.0
67.5	1.4431e-05	5.2709e-10	-10.0	-1.9
68.0	1.3817e-05	4.1407e-10	-10.0	-1.8
68.5	1.3207e-05	3.2784e-10	-10.0	-1.7
69.0	1.2608e-05	2.4958e-10	-10.0	-1.6
69.5	1.2012e-05	1.7735e-10	-10.0	-1.5
70.0	1.1426e-05	1.0632e-10	-10.0	-1.4
70.5	1.0848e-05	4.0342e-11	-10.0	-1.3
71.0	1.0276e-05	2.4405e-11	-10.0	-1.2
71.5	9.7126e-06	8.966e-11	-10.0	-1.1
72.0	9.1616e-06	1.6222e-10	-10.0	-1.0
72.5	8.6176e-06	2.1554e-10	-10.0	-0.9
73.0	8.0849e-06	2.7794e-10	-10.0	-0.8
