Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	1.3235e-05	1.0517e-10	-10.0	-2.5
1.0	1.3239e-05	2.0526e-10	-10.0	-2.5
1.5	1.3243e-05	2.1177e-10	-10.0	-2.5
2.0	1.3247e-05	2.1562e-10	-10.0	-2.5
2.5	1.3247e-05	2.1697e-10	-10.0	-2.5
3.0	1.3249e-05	2.1683e-10	-10.0	-2.5
3.5	1.3254e-05	2.1725e-10	-10.0	-2.5
4.0	1.3256e-05	2.1676e-10	-10.0	-2.5
4.5	1.3258e-05	2.1665e-10	-10.0	-2.5
5.0	1.3261e-05	2.1711e-10	-10.0	-2.5
5.5	1.3266e-05	2.1646e-10	-10.0	-2.5
6.0	1.3267e-05	2.1571e-10	-10.0	-2.5
6.5	1.327e-05	2.1521e-10	-10.0	-2.5
7.0	1.3272e-05	2.1469e-10	-10.0	-2.5
7.5	1.3274e-05	2.1589e-10	-10.0	-2.5
8.0	1.3276e-05	2.1471e-10	-10.0	-2.5
8.5	1.3279e-05	2.1374e-10	-10.0	-2.5
9.0	1.328e-05	2.1416e-10	-10.0	-2.5
9.5	1.3284e-05	2.1247e-10	-10.0	-2.5
10.0	1.3287e-05	2.1361e-10	-10.0	-2.5
10.5	1.3288e-05	2.1189e-10	-10.0	-2.5
11.0	1.329e-05	2.1211e-10	-10.0	-2.5
11.5	1.3293e-05	2.128e-10	-10.0	-2.5
12.0	1.3297e-05	2.1316e-10	-10.0	-2.5
12.5	1.3298e-05	2.1287e-10	-10.0	-2.5
13.0	1.3303e-05	2.119e-10	-10.0	-2.5
13.5	1.3303e-05	2.1217e-10	-10.0	-2.5
14.0	1.3306e-05	2.1182e-10	-10.0	-2.5
14.5	1.3307e-05	2.1119e-10	-10.0	-2.5
15.0	1.3309e-05	2.1041e-10	-10.0	-2.5
15.5	1.3312e-05	2.0966e-10	-10.0	-2.5
16.0	1.3311e-05	2.0985e-10	-10.0	-2.5
16.5	1.3316e-05	2.1073e-10	-10.0	-2.5
17.0	1.3319e-05	2.1003e-10	-10.0	-2.5
17.5	1.332e-05	2.0919e-10	-10.0	-2.5
18.0	1.332e-05	2.1056e-10	-10.0	-2.5
18.5	1.3323e-05	2.094e-10	-10.0	-2.5
19.0	1.3328e-05	2.0933e-10	-10.0	-2.5
19.5	1.333e-05	2.1033e-10	-10.0	-2.5
20.0	1.3332e-05	2.0987e-10	-10.0	-2.5
20.5	1.3334e-05	2.0943e-10	-10.0	-2.5
21.0	1.3335e-05	2.0995e-10	-10.0	-2.5
21.5	1.3339e-05	2.1066e-10	-10.0	-2.5
22.0	1.3339e-05	2.1031e-10	-10.0	-2.5
22.5	1.3341e-05	2.1068e-10	-10.0	-2.5
23.0	1.3343e-05	2.1085e-10	-10.0	-2.5
23.5	1.3342e-05	2.105e-10	-10.0	-2.5
24.0	1.3344e-05	2.1054e-10	-10.0	-2.5
24.5	1.3346e-05	2.1068e-10	-10.0	-2.5
25.0	1.3347e-05	2.1065e-10	-10.0	-2.5
25.5	1.3352e-05	2.099e-10	-10.0	-2.5
26.0	1.3353e-05	2.0954e-10	-10.0	-2.5
26.5	1.3354e-05	2.1019e-10	-10.0	-2.5
27.0	1.3357e-05	2.1017e-10	-10.0	-2.5
27.5	1.3361e-05	2.0966e-10	-10.0	-2.5
28.0	1.3364e-05	2.0891e-10	-10.0	-2.5
28.5	1.3364e-05	2.0956e-10	-10.0	-2.5
29.0	1.3365e-05	2.0863e-10	-10.0	-2.5
29.5	1.3367e-05	2.0958e-10	-10.0	-2.5
30.0	1.3371e-05	2.1049e-10	-10.0	-2.5
30.5	1.3372e-05	2.095e-10	-10.0	-2.5
31.0	1.3372e-05	2.0986e-10	-10.0	-2.5
31.5	1.3375e-05	2.089e-10	-10.0	-2.5
32.0	1.3378e-05	2.0928e-10	-10.0	-2.5
32.5	1.3379e-05	2.0982e-10	-10.0	-2.5
33.0	1.3381e-05	2.0972e-10	-10.0	-2.5
33.5	1.3383e-05	2.1024e-10	-10.0	-2.5
34.0	1.3385e-05	2.0926e-10	-10.0	-2.5
34.5	1.3385e-05	2.0955e-10	-10.0	-2.5
35.0	1.3389e-05	2.0951e-10	-10.0	-2.5
35.5	1.3393e-05	2.0936e-10	-10.0	-2.5
36.0	1.3391e-05	2.0954e-10	-10.0	-2.5
36.5	1.3393e-05	2.095e-10	-10.0	-2.5
37.0	1.3392e-05	2.0931e-10	-10.0	-2.5
37.5	1.3394e-05	2.0953e-10	-10.0	-2.5
38.0	1.3396e-05	2.1056e-10	-10.0	-2.5
38.5	1.3402e-05	2.0943e-10	-10.0	-2.5
39.0	1.34e-05	2.0954e-10	-10.0	-2.5
39.5	1.34e-05	2.0932e-10	-10.0	-2.5
40.0	1.3401e-05	2.0988e-10	-10.0	-2.5
40.5	1.3404e-05	2.0983e-10	-10.0	-2.5
41.0	1.3406e-05	2.0993e-10	-10.0	-2.5
41.5	1.3408e-05	2.0948e-10	-10.0	-2.5
42.0	1.3408e-05	2.0918e-10	-10.0	-2.5
42.5	1.341e-05	2.0918e-10	-10.0	-2.5
43.0	1.3413e-05	2.0894e-10	-10.0	-2.5
43.5	1.3412e-05	2.0783e-10	-10.0	-2.5
44.0	1.3414e-05	2.095e-10	-10.0	-2.5
44.5	1.3415e-05	2.101e-10	-10.0	-2.5
45.0	1.3419e-05	2.1018e-10	-10.0	-2.5
45.5	1.3422e-05	2.0929e-10	-10.0	-2.5
46.0	1.3422e-05	2.0996e-10	-10.0	-2.5
46.5	1.3425e-05	2.0961e-10	-10.0	-2.5
47.0	1.3423e-05	2.1019e-10	-10.0	-2.5
47.5	1.3426e-05	2.0927e-10	-10.0	-2.5
48.0	1.3429e-05	2.0957e-10	-10.0	-2.5
48.5	1.3428e-05	2.096e-10	-10.0	-2.5
49.0	1.3431e-05	2.0927e-10	-10.0	-2.5
49.5	1.3434e-05	2.1053e-10	-10.0	-2.5
50.0	1.3434e-05	2.1114e-10	-10.0	-2.5
50.5	1.3433e-05	2.0948e-10	-10.0	-2.5
51.0	1.3436e-05	2.0913e-10	-10.0	-2.5
51.5	1.3437e-05	2.0908e-10	-10.0	-2.5
52.0	1.3438e-05	2.0948e-10	-10.0	-2.5
52.5	1.3439e-05	2.0926e-10	-10.0	-2.5
53.0	1.3443e-05	2.0949e-10	-10.0	-2.5
53.5	1.3442e-05	2.0896e-10	-10.0	-2.5
54.0	1.3443e-05	2.0934e-10	-10.0	-2.5
54.5	1.3444e-05	2.0869e-10	-10.0	-2.5
55.0	1.3447e-05	2.0987e-10	-10.0	-2.5
55.5	1.3448e-05	2.0882e-10	-10.0	-2.5
56.0	1.3453e-05	2.0913e-10	-10.0	-2.5
56.5	1.3452e-05	2.0861e-10	-10.0	-2.5
57.0	1.3454e-05	2.0837e-10	-10.0	-2.5
57.5	1.3456e-05	2.086e-10	-10.0	-2.5
58.0	1.3458e-05	2.0864e-10	-10.0	-2.5
58.5	1.3459e-05	2.0842e-10	-10.0	-2.5
59.0	1.3461e-05	2.0882e-10	-10.0	-2.5
59.5	1.3461e-05	2.0999e-10	-10.0	-2.5
60.0	1.3462e-05	2.1057e-10	-10.0	-2.5
60.5	1.3465e-05	2.1015e-10	-10.0	-2.5
61.0	1.3467e-05	2.1032e-10	-10.0	-2.5
61.5	1.3467e-05	2.1083e-10	-10.0	-2.5
62.0	1.3468e-05	2.0978e-10	-10.0	-2.5
62.5	1.3468e-05	2.1043e-10	-10.0	-2.5
63.0	1.3469e-05	2.0898e-10	-10.0	-2.5
63.5	1.3471e-05	2.0953e-10	-10.0	-2.5
64.0	1.3471e-05	2.092e-10	-10.0	-2.5
64.5	1.3471e-05	2.1004e-10	-10.0	-2.5
65.0	1.3471e-05	2.0931e-10	-10.0	-2.5
65.5	1.3475e-05	2.0947e-10	-10.0	-2.5
66.0	1.3474e-05	2.0887e-10	-10.0	-2.5
66.5	1.3476e-05	2.0958e-10	-10.0	-2.5
67.0	1.3478e-05	2.1036e-10	-10.0	-2.5
67.5	1.3479e-05	2.1018e-10	-10.0	-2.5
68.0	1.3481e-05	2.0984e-10	-10.0	-2.5
68.5	1.3482e-05	2.1043e-10	-10.0	-2.5
69.0	1.3484e-05	2.1018e-10	-10.0	-2.5
69.5	1.3484e-05	2.0955e-10	-10.0	-2.5
