Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	1.196e-05	1.5713e-09	-10.0	-2.5
1.0	1.1955e-05	1.4884e-09	-10.0	-2.5
1.5	1.1955e-05	1.4437e-09	-10.0	-2.5
2.0	1.1954e-05	1.418e-09	-10.0	-2.5
2.5	1.1955e-05	1.3985e-09	-10.0	-2.5
3.0	1.1952e-05	1.3822e-09	-10.0	-2.5
3.5	1.1953e-05	1.3647e-09	-10.0	-2.5
4.0	1.1951e-05	1.3516e-09	-10.0	-2.5
4.5	1.1951e-05	1.3394e-09	-10.0	-2.5
5.0	1.1951e-05	1.326e-09	-10.0	-2.5
5.5	1.1949e-05	1.3164e-09	-10.0	-2.5
6.0	1.195e-05	1.3086e-09	-10.0	-2.5
6.5	1.1948e-05	1.2985e-09	-10.0	-2.5
7.0	1.1947e-05	1.2923e-09	-10.0	-2.5
7.5	1.1949e-05	1.2837e-09	-10.0	-2.5
8.0	1.1948e-05	1.2756e-09	-10.0	-2.5
8.5	1.1948e-05	1.2686e-09	-10.0	-2.5
9.0	1.1948e-05	1.2641e-09	-10.0	-2.5
9.5	1.1948e-05	1.2595e-09	-10.0	-2.5
10.0	1.1948e-05	1.2519e-09	-10.0	-2.5
10.5	1.1949e-05	1.2452e-09	-10.0	-2.5
11.0	1.1947e-05	1.2416e-09	-10.0	-2.5
11.5	1.1948e-05	1.2386e-09	-10.0	-2.5
12.0	1.1948e-05	1.231e-09	-10.0	-2.5
12.5	1.1948e-05	1.227e-09	-10.0	-2.5
13.0	1.1947e-05	1.2227e-09	-10.0	-2.5
13.5	1.1948e-05	1.219e-09	-10.0	-2.5
14.0	1.1948e-05	1.2137e-09	-10.0	-2.5
14.5	1.1947e-05	1.2073e-09	-10.0	-2.5
15.0	1.1946e-05	1.2065e-09	-10.0	-2.5
15.5	1.1946e-05	1.2029e-09	-10.0	-2.5
16.0	1.1948e-05	1.1981e-09	-10.0	-2.5
16.5	1.1948e-05	1.1927e-09	-10.0	-2.5
17.0	1.1948e-05	1.1888e-09	-10.0	-2.5
17.5	1.1948e-05	1.1862e-09	-10.0	-2.5
18.0	1.195e-05	1.1824e-09	-10.0	-2.5
18.5	1.1949e-05	1.1818e-09	-10.0	-2.5
19.0	1.195e-05	1.1764e-09	-10.0	-2.5
19.5	1.1951e-05	1.1702e-09	-10.0	-2.5
20.0	1.195e-05	1.1696e-09	-10.0	-2.5
20.5	1.1951e-05	1.1678e-09	-10.0	-2.5
21.0	1.195e-05	1.1654e-09	-10.0	-2.5
21.5	1.1951e-05	1.1607e-09	-10.0	-2.5
22.0	1.195e-05	1.159e-09	-10.0	-2.5
22.5	1.1952e-05	1.1579e-09	-10.0	-2.5
23.0	1.1952e-05	1.1541e-09	-10.0	-2.5
23.5	1.1949e-05	1.1533e-09	-10.0	-2.5
24.0	1.1953e-05	1.1496e-09	-10.0	-2.5
24.5	1.1951e-05	1.1483e-09	-10.0	-2.5
25.0	1.1952e-05	1.1427e-09	-10.0	-2.5
25.5	1.1951e-05	1.1393e-09	-10.0	-2.5
26.0	1.1952e-05	1.14e-09	-10.0	-2.5
26.5	1.1951e-05	1.1361e-09	-10.0	-2.5
27.0	1.1951e-05	1.1327e-09	-10.0	-2.5
27.5	1.1952e-05	1.1316e-09	-10.0	-2.5
28.0	1.1953e-05	1.1289e-09	-10.0	-2.5
28.5	1.1952e-05	1.1282e-09	-10.0	-2.5
29.0	1.1952e-05	1.1265e-09	-10.0	-2.5
29.5	1.1951e-05	1.1261e-09	-10.0	-2.5
30.0	1.1951e-05	1.1237e-09	-10.0	-2.5
30.5	1.1953e-05	1.1199e-09	-10.0	-2.5
31.0	1.195e-05	1.1204e-09	-10.0	-2.5
31.5	1.1951e-05	1.117e-09	-10.0	-2.5
32.0	1.1949e-05	1.1152e-09	-10.0	-2.5
32.5	1.195e-05	1.1119e-09	-10.0	-2.5
33.0	1.1951e-05	1.1098e-09	-10.0	-2.5
33.5	1.1953e-05	1.1078e-09	-10.0	-2.5
34.0	1.1955e-05	1.1062e-09	-10.0	-2.5
34.5	1.1954e-05	1.103e-09	-10.0	-2.5
35.0	1.1955e-05	1.1032e-09	-10.0	-2.5
35.5	1.1954e-05	1.103e-09	-10.0	-2.5
36.0	1.1954e-05	1.1002e-09	-10.0	-2.5
36.5	1.1954e-05	1.0979e-09	-10.0	-2.5
37.0	1.1956e-05	1.0975e-09	-10.0	-2.5
37.5	1.1955e-05	1.0961e-09	-10.0	-2.5
38.0	1.1957e-05	1.0959e-09	-10.0	-2.5
38.5	1.1956e-05	1.0932e-09	-10.0	-2.5
39.0	1.1957e-05	1.0941e-09	-10.0	-2.5
39.5	1.196e-05	1.0933e-09	-10.0	-2.5
40.0	1.196e-05	1.0929e-09	-10.0	-2.5
40.5	1.1957e-05	1.091e-09	-10.0	-2.5
41.0	1.1959e-05	1.0867e-09	-10.0	-2.5
41.5	1.1961e-05	1.0867e-09	-10.0	-2.5
42.0	1.196e-05	1.0848e-09	-10.0	-2.5
42.5	1.1962e-05	1.0834e-09	-10.0	-2.5
43.0	1.1958e-05	1.0815e-09	-10.0	-2.5
43.5	1.1959e-05	1.0791e-09	-10.0	-2.5
44.0	1.1958e-05	1.0774e-09	-10.0	-2.5
44.5	1.1958e-05	1.0783e-09	-10.0	-2.5
45.0	1.1959e-05	1.0745e-09	-10.0	-2.5
45.5	1.1959e-05	1.0754e-09	-10.0	-2.5
