Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	1.3157e-09	3.7363e-09	-10.0	5.0
1.0	1.1012e-09	1.7777e-09	-10.0	4.9
1.5	1.0568e-09	1.6369e-09	-10.0	4.8
2.0	1.0335e-09	1.5614e-09	-10.0	4.7
2.5	1.0239e-09	1.5133e-09	-10.0	4.6
3.0	1.0253e-09	1.4777e-09	-10.0	4.5
3.5	1.039e-09	1.4481e-09	-10.0	4.4
4.0	1.0672e-09	1.4224e-09	-10.0	4.3
4.5	1.1089e-09	1.3997e-09	-10.0	4.2
5.0	1.1682e-09	1.3779e-09	-10.0	4.1
5.5	1.2368e-09	1.3584e-09	-10.0	4.0
6.0	1.3261e-09	1.3381e-09	-10.0	3.9
6.5	1.4447e-09	1.3157e-09	-10.0	3.8
7.0	1.5955e-09	1.2911e-09	-10.0	3.7
7.5	1.8036e-09	1.2682e-09	-10.0	3.6
8.0	2.0814e-09	1.2444e-09	-10.0	3.5
8.5	2.4578e-09	1.2211e-09	-10.0	3.4
9.0	2.973e-09	1.196e-09	-10.0	3.3
9.5	3.66e-09	1.1696e-09	-10.0	3.2
10.0	4.5693e-09	1.1423e-09	-10.0	3.1
10.5	5.7689e-09	1.1117e-09	-10.0	3.0
11.0	7.3236e-09	1.0847e-09	-10.0	2.9
11.5	9.3956e-09	1.0574e-09	-10.0	2.8
12.0	1.2152e-08	1.0334e-09	-10.0	2.7
12.5	1.5908e-08	1.0115e-09	-10.0	2.6
13.0	2.0952e-08	9.9598e-10	-10.0	2.5
13.5	2.7778e-08	9.8049e-10	-10.0	2.4
14.0	3.7123e-08	9.6658e-10	-10.0	2.3
14.5	4.9771e-08	9.6017e-10	-10.0	2.2
15.0	6.6737e-08	9.6383e-10	-10.0	2.1
15.5	8.913e-08	4.9904e-10	-10.0	2.0
16.0	1.1679e-07	9.5351e-10	-10.0	1.9
16.51	1.5166e-07	9.2378e-10	-10.0	1.8
17.013	1.9446e-07	9.5937e-10	-10.0	1.7
17.5	2.4682e-07	9.0137e-10	-10.0	1.6
18.0	3.0955e-07	9.2851e-10	-10.0	1.5
18.5	3.8311e-07	9.1005e-10	-10.0	1.4
19.0	4.6765e-07	8.9024e-10	-10.0	1.3
19.5	5.638e-07	8.6586e-10	-10.0	1.2
20.0	6.7306e-07	8.3984e-10	-10.0	1.1
20.5	7.9678e-07	8.123e-10	-10.0	1.0
21.0	9.364e-07	7.8246e-10	-10.0	0.9
21.5	1.0939e-06	7.4995e-10	-10.0	0.8
22.0	1.2699e-06	6.6933e-10	-10.0	0.7
22.5	1.4646e-06	6.8647e-10	-10.0	0.6
23.0	1.6781e-06	6.5219e-10	-10.0	0.5
23.5	1.91e-06	6.1676e-10	-10.0	0.4
24.0	2.1598e-06	5.7948e-10	-10.0	0.3
24.5	2.4269e-06	5.3383e-10	-10.0	0.2
25.0	2.7108e-06	4.9625e-10	-10.0	0.1
25.5	3.0101e-06	4.5426e-10	-10.0	1.027e-15
26.0	3.3255e-06	4.093e-10	-10.0	-0.1
26.5	3.6551e-06	3.6264e-10	-10.0	-0.2
27.0	3.9976e-06	3.1548e-10	-10.0	-0.3
27.501	4.3528e-06	2.712e-10	-10.0	-0.4
28.0	4.72e-06	2.2008e-10	-10.0	-0.5
28.5	5.0984e-06	1.7589e-10	-10.0	-0.6
29.0	5.487e-06	1.3052e-10	-10.0	-0.7
29.5	5.8854e-06	8.64e-11	-10.0	-0.8
30.0	6.2925e-06	4.7064e-11	-10.0	-0.9
30.5	6.7094e-06	3.2633e-11	-10.0	-1.0
31.0	7.1345e-06	7.0325e-11	-10.0	-1.1
31.5	7.5677e-06	7.7106e-11	-10.0	-1.2
32.0	8.0085e-06	1.1824e-10	-10.0	-1.3
32.5	8.4556e-06	1.6051e-10	-10.0	-1.4
33.0	8.9106e-06	2.0325e-10	-10.0	-1.5
33.5	9.373e-06	2.4736e-10	-10.0	-1.6
34.0	9.8424e-06	2.9274e-10	-10.0	-1.7
34.502	1.0313e-05	3.3816e-10	-10.0	-1.8
35.0	1.0794e-05	3.9867e-10	-10.0	-1.9
35.5	1.1278e-05	4.3964e-10	-10.0	-2.0
36.0	1.177e-05	4.9557e-10	-10.0	-2.1
36.501	1.2267e-05	5.5312e-10	-10.0	-2.2
37.0	1.277e-05	6.1204e-10	-10.0	-2.3
37.5	1.3273e-05	6.7568e-10	-10.0	-2.4
38.0	1.3784e-05	7.4184e-10	-10.0	-2.5
38.5	1.43e-05	8.1182e-10	-10.0	-2.6
39.0	1.4817e-05	8.8178e-10	-10.0	-2.7
39.5	1.5338e-05	9.5513e-10	-10.0	-2.8
40.0	1.5865e-05	1.0315e-09	-10.0	-2.9
40.5	1.6396e-05	1.1067e-09	-10.0	-3.0
41.0	1.6929e-05	1.187e-09	-10.0	-3.1
41.5	1.7469e-05	1.2679e-09	-10.0	-3.2
42.0	1.8006e-05	1.3492e-09	-10.0	-3.3
42.5	1.8549e-05	1.4318e-09	-10.0	-3.4
43.0	1.9099e-05	1.5185e-09	-10.0	-3.5
43.5	1.9652e-05	1.601e-09	-10.0	-3.6
44.0	2.0204e-05	1.688e-09	-10.0	-3.7
44.5	2.0757e-05	1.7734e-09	-10.0	-3.8
45.0	2.1317e-05	1.862e-09	-10.0	-3.9
45.5	2.1886e-05	1.946e-09	-10.0	-4.0
46.0	2.245e-05	2.196e-09	-10.0	-4.1
46.5	2.3008e-05	2.1361e-09	-10.0	-4.2
47.0	2.358e-05	2.2288e-09	-10.0	-4.3
47.5	2.4149e-05	2.3207e-09	-10.0	-4.4
48.0	2.4716e-05	2.417e-09	-10.0	-4.5
48.5	2.5292e-05	2.5156e-09	-10.0	-4.6
49.0	2.5867e-05	2.6125e-09	-10.0	-4.7
49.5	2.6445e-05	2.7097e-09	-10.0	-4.8
50.0	2.7023e-05	2.8077e-09	-10.0	-4.9
50.5	2.7602e-05	2.9058e-09	-10.0	-5.0
51.0	2.76e-05	2.8781e-09	-10.0	-5.0
51.5	2.818e-05	2.9937e-09	-10.0	-5.1
52.0	2.7587e-05	2.8359e-09	-10.0	-5.0
52.5	2.7005e-05	2.7087e-09	-10.0	-4.9
53.0	2.6413e-05	2.5899e-09	-10.0	-4.8
53.5	2.5834e-05	2.4703e-09	-10.0	-4.7
54.0	2.5252e-05	2.3564e-09	-10.0	-4.6
54.5	2.4673e-05	2.2399e-09	-10.0	-4.5
55.0	2.4098e-05	2.1311e-09	-10.0	-4.4
55.5	2.3521e-05	2.0178e-09	-10.0	-4.3
56.0	2.2954e-05	1.9037e-09	-10.0	-4.2
56.5	2.2386e-05	1.7904e-09	-10.0	-4.1
57.0	2.1819e-05	1.6764e-09	-10.0	-4.0
57.5	2.1252e-05	1.5621e-09	-10.0	-3.9
58.0	2.0696e-05	1.4502e-09	-10.0	-3.8
58.5	2.0136e-05	1.3382e-09	-10.0	-3.7
59.0	1.958e-05	1.2302e-09	-10.0	-3.6
59.5	1.9029e-05	1.1182e-09	-10.0	-3.5
60.0	1.8477e-05	1.0158e-09	-10.0	-3.4
60.5	1.7933e-05	9.1372e-10	-10.0	-3.3
61.0	1.7393e-05	5.3555e-10	-10.0	-3.2
61.5	1.6853e-05	7.1016e-10	-10.0	-3.1
62.0	1.6317e-05	6.1575e-10	-10.0	-3.0
62.5	1.5786e-05	5.2402e-10	-10.0	-2.9
63.0	1.5257e-05	4.3956e-10	-10.0	-2.8
63.5	1.4734e-05	3.6776e-10	-10.0	-2.7
64.0	1.4217e-05	3.0203e-10	-10.0	-2.6
64.5	1.3699e-05	2.3886e-10	-10.0	-2.5
65.0	1.3191e-05	1.7524e-10	-10.0	-2.4
65.5	1.2686e-05	1.1463e-10	-10.0	-2.3
66.0	1.2184e-05	5.3711e-11	-10.0	-2.2
66.5	1.169e-05	7.9417e-12	-10.0	-2.1
67.0	1.1196e-05	7.0798e-11	-10.0	-2.0
67.5	1.0711e-05	1.3647e-10	-10.0	-1.9
68.0	1.023e-05	2.0157e-10	-10.0	-1.8
68.5	9.7568e-06	2.6844e-10	-10.0	-1.7
69.0	9.2915e-06	3.3993e-10	-10.0	-1.6
69.5	8.8304e-06	3.9693e-10	-10.0	-1.5
70.0	8.374e-06	4.5988e-10	-10.0	-1.4
70.5	7.9271e-06	5.1891e-10	-10.0	-1.3
71.0	7.4862e-06	5.7562e-10	-10.0	-1.2
71.5	7.0535e-06	6.3104e-10	-10.0	-1.1
72.0	6.6291e-06	6.8398e-10	-10.0	-1.0
72.5	6.214e-06	7.3618e-10	-10.0	-0.9
73.0	5.8069e-06	7.8601e-10	-10.0	-0.8
73.5	5.4087e-06	8.3205e-10	-10.0	-0.7
74.0	5.0216e-06	8.7597e-10	-10.0	-0.6
74.5	4.6446e-06	9.1706e-10	-10.0	-0.5
75.0	4.2785e-06	9.5705e-10	-10.0	-0.4
75.5	3.9252e-06	9.9349e-10	-10.0	-0.3
76.0	3.5839e-06	1.2028e-09	-10.0	-0.2
76.5	3.2563e-06	1.0609e-09	-10.0	-0.1
77.0	2.9437e-06	1.0926e-09	-10.0	-1.027e-15
77.5	2.6462e-06	1.1203e-09	-10.0	0.1
78.0	2.3643e-06	1.1471e-09	-10.0	0.2
78.5	2.1e-06	1.1721e-09	-10.0	0.3
79.0	1.8532e-06	1.1953e-09	-10.0	0.4
79.5	1.6248e-06	1.2159e-09	-10.0	0.5
80.0	1.4151e-06	1.2354e-09	-10.0	0.6
80.5	1.2242e-06	1.2531e-09	-10.0	0.7
81.0	1.052e-06	1.2705e-09	-10.0	0.8
81.5	8.9829e-07	1.2844e-09	-10.0	0.9
