Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	9.171e-09	1.2966e-08	-10.0	5.0
1.0	7.4077e-09	9.6708e-09	-10.0	4.9
1.5	6.5858e-09	8.5694e-09	-10.0	4.8
2.0	5.9074e-09	7.6725e-09	-10.0	4.7
2.5	5.3483e-09	6.8918e-09	-10.0	4.6
3.0	4.8988e-09	6.2088e-09	-10.0	4.5
3.5	4.5602e-09	5.61e-09	-10.0	4.4
4.0	4.3512e-09	5.0869e-09	-10.0	4.3
4.5	4.2648e-09	4.6284e-09	-10.0	4.2
5.0	4.3437e-09	4.2251e-09	-10.0	4.1
5.5	4.622e-09	3.8752e-09	-10.0	4.0
6.0	5.1494e-09	3.577e-09	-10.0	3.9
6.5	6.0109e-09	3.3209e-09	-10.0	3.8
7.0	7.3136e-09	3.0998e-09	-10.0	3.7
7.5	9.1904e-09	2.9105e-09	-10.0	3.6
8.0	1.1761e-08	2.7433e-09	-10.0	3.5
8.5	1.5214e-08	2.5942e-09	-10.0	3.4
9.0	1.983e-08	2.4618e-09	-10.0	3.3
9.5	2.5866e-08	2.343e-09	-10.0	3.2
10.0	3.3697e-08	2.233e-09	-10.0	3.1
10.5	4.3837e-08	2.1351e-09	-10.0	3.0
11.0	5.6853e-08	2.0516e-09	-10.0	2.9
11.5	7.3201e-08	1.9795e-09	-10.0	2.8
12.0	9.3196e-08	1.9193e-09	-10.0	2.7
12.5	1.1733e-07	1.8624e-09	-10.0	2.6
13.0	1.4643e-07	1.7182e-09	-10.0	2.5
13.5	1.8001e-07	1.7526e-09	-10.0	2.4
14.0	2.1822e-07	1.6948e-09	-10.0	2.3
14.5	2.6124e-07	1.6327e-09	-10.0	2.2
15.0	3.098e-07	1.5694e-09	-10.0	2.1
15.5	3.6558e-07	9.8247e-10	-10.0	2.0
16.0	4.2756e-07	1.424e-09	-10.0	1.9
16.5	4.975e-07	1.3493e-09	-10.0	1.8
17.0	5.7583e-07	1.2678e-09	-10.0	1.7
17.5	6.6532e-07	1.1854e-09	-10.0	1.6
18.0	7.6738e-07	1.1026e-09	-10.0	1.5
18.5	8.8417e-07	1.015e-09	-10.0	1.4
19.0	1.0171e-06	9.2569e-10	-10.0	1.3
19.5	1.1668e-06	7.8575e-10	-10.0	1.2
20.0	1.3347e-06	7.4381e-10	-10.0	1.1
20.5	1.5218e-06	6.5192e-10	-10.0	1.0
21.0	1.7287e-06	5.5889e-10	-10.0	0.9
21.5	1.9545e-06	4.6531e-10	-10.0	0.8
22.0	2.1997e-06	3.7136e-10	-10.0	0.7
22.5	2.4627e-06	2.7597e-10	-10.0	0.6
23.0	2.7427e-06	1.8385e-10	-10.0	0.5
23.5	3.0395e-06	9.7966e-11	-10.0	0.4
24.0	3.3516e-06	2.1018e-11	-10.0	0.3
24.5	3.677e-06	5.3493e-11	-10.0	0.2
25.0	4.0167e-06	1.264e-10	-10.0	0.1
25.5	4.3701e-06	1.9816e-10	-10.0	1.027e-15
26.0	4.7361e-06	2.7176e-10	-10.0	-0.1
26.5	5.1128e-06	3.4773e-10	-10.0	-0.2
27.0	5.5002e-06	4.2855e-10	-10.0	-0.3
27.5	5.8988e-06	5.1316e-10	-10.0	-0.4
28.0	6.3054e-06	5.9866e-10	-10.0	-0.5
28.5	6.7222e-06	6.8535e-10	-10.0	-0.6
29.0	7.1469e-06	7.7007e-10	-10.0	-0.7
29.5	7.5805e-06	8.533e-10	-10.0	-0.8
30.0	8.0234e-06	9.3501e-10	-10.0	-0.9
30.5	8.472e-06	1.0274e-09	-10.0	-1.0
31.0	8.9293e-06	1.106e-09	-10.0	-1.1
31.5	9.3927e-06	1.17e-09	-10.0	-1.2
32.0	9.8629e-06	1.2388e-09	-10.0	-1.3
32.5	1.034e-05	1.3075e-09	-10.0	-1.4
33.0	1.0823e-05	1.3747e-09	-10.0	-1.5
33.5	1.1314e-05	1.4327e-09	-10.0	-1.6
34.0	1.1808e-05	1.489e-09	-10.0	-1.7
34.5	1.2306e-05	1.5411e-09	-10.0	-1.8
35.0	1.2811e-05	1.5902e-09	-10.0	-1.9
35.5	1.3318e-05	1.6324e-09	-10.0	-2.0
36.0	1.3833e-05	1.6755e-09	-10.0	-2.1
36.5	1.435e-05	1.7099e-09	-10.0	-2.2
37.0	1.4876e-05	1.7418e-09	-10.0	-2.3
37.5	1.5403e-05	1.7701e-09	-10.0	-2.4
38.0	1.5933e-05	1.7946e-09	-10.0	-2.5
38.5	1.6466e-05	1.827e-09	-10.0	-2.6
39.0	1.7001e-05	1.8332e-09	-10.0	-2.7
39.5	1.7542e-05	1.8494e-09	-10.0	-2.8
40.0	1.8088e-05	1.8658e-09	-10.0	-2.9
40.5	1.8635e-05	1.8789e-09	-10.0	-3.0
41.0	1.918e-05	1.8918e-09	-10.0	-3.1
41.5	1.9736e-05	1.9071e-09	-10.0	-3.2
42.0	2.0289e-05	1.9239e-09	-10.0	-3.3
42.5	2.0846e-05	1.9372e-09	-10.0	-3.4
43.0	2.1409e-05	1.9555e-09	-10.0	-3.5
43.5	2.1972e-05	1.9714e-09	-10.0	-3.6
44.0	2.2536e-05	1.9888e-09	-10.0	-3.7
44.5	2.3104e-05	2.0087e-09	-10.0	-3.8
45.0	2.367e-05	2.0322e-09	-10.0	-3.9
45.5	2.4237e-05	2.0359e-09	-10.0	-4.0
46.0	2.481e-05	2.2466e-09	-10.0	-4.1
46.5	2.538e-05	2.117e-09	-10.0	-4.2
47.0	2.5959e-05	2.1468e-09	-10.0	-4.3
47.5	2.6539e-05	2.1829e-09	-10.0	-4.4
48.0	2.7117e-05	2.2219e-09	-10.0	-4.5
48.5	2.7693e-05	2.2638e-09	-10.0	-4.6
49.0	2.8274e-05	2.311e-09	-10.0	-4.7
49.5	2.8852e-05	2.3637e-09	-10.0	-4.8
50.0	2.9438e-05	2.4213e-09	-10.0	-4.9
50.5	3.0022e-05	2.4828e-09	-10.0	-5.0
51.0	3.0015e-05	2.2519e-09	-10.0	-5.0
51.5	3.0597e-05	2.4057e-09	-10.0	-5.1
52.0	3.0001e-05	1.8921e-09	-10.0	-5.0
52.5	2.9405e-05	1.5406e-09	-10.0	-4.9
53.0	2.8809e-05	1.249e-09	-10.0	-4.8
53.5	2.8221e-05	1.0038e-09	-10.0	-4.7
54.0	2.763e-05	7.9818e-10	-10.0	-4.6
54.5	2.7041e-05	6.2198e-10	-10.0	-4.5
55.0	2.6457e-05	4.7197e-10	-10.0	-4.4
55.5	2.5871e-05	3.5821e-10	-10.0	-4.3
56.0	2.5289e-05	2.6501e-10	-10.0	-4.2
56.5	2.4708e-05	1.816e-10	-10.0	-4.1
57.0	2.4135e-05	1.0317e-10	-10.0	-4.0
57.5	2.3559e-05	2.6367e-11	-10.0	-3.9
58.0	2.2988e-05	4.7283e-11	-10.0	-3.8
58.5	2.2415e-05	1.1975e-10	-10.0	-3.7
59.0	2.1845e-05	1.9522e-10	-10.0	-3.6
59.5	2.128e-05	2.6965e-10	-10.0	-3.5
60.0	2.0714e-05	3.3845e-10	-10.0	-3.4
60.5	2.0152e-05	4.0158e-10	-10.0	-3.3
61.002	1.9599e-05	6.1337e-10	-10.0	-3.2
61.5	1.9041e-05	5.4982e-10	-10.0	-3.1
62.0	1.849e-05	6.1003e-10	-10.0	-3.0
62.5	1.7942e-05	6.7557e-10	-10.0	-2.9
63.0	1.7393e-05	7.3763e-10	-10.0	-2.8
63.5	1.6851e-05	7.9594e-10	-10.0	-2.7
64.0	1.6311e-05	8.5225e-10	-10.0	-2.6
64.5	1.5777e-05	9.101e-10	-10.0	-2.5
65.0	1.5245e-05	9.646e-10	-10.0	-2.4
65.5	1.4719e-05	1.0176e-09	-10.0	-2.3
66.0	1.4197e-05	1.0716e-09	-10.0	-2.2
66.5	1.3674e-05	1.1225e-09	-10.0	-2.1
67.0	1.3159e-05	1.174e-09	-10.0	-2.0
67.5	1.265e-05	1.2213e-09	-10.0	-1.9
68.0	1.2145e-05	1.2691e-09	-10.0	-1.8
68.5	1.1645e-05	1.3173e-09	-10.0	-1.7
69.0	1.1152e-05	1.3644e-09	-10.0	-1.6
69.5	1.0662e-05	1.4094e-09	-10.0	-1.5
70.0	1.018e-05	1.4513e-09	-10.0	-1.4
70.5	9.704e-06	1.4972e-09	-10.0	-1.3
71.0	9.2341e-06	1.5434e-09	-10.0	-1.2
71.5	8.7703e-06	1.5819e-09	-10.0	-1.1
72.0	8.3148e-06	1.6199e-09	-10.0	-1.0
72.5	7.8663e-06	1.6601e-09	-10.0	-0.9
73.0	7.4248e-06	1.6959e-09	-10.0	-0.8
73.5	6.9933e-06	1.7314e-09	-10.0	-0.7
74.0	6.5689e-06	1.7663e-09	-10.0	-0.6
74.5	6.1562e-06	1.7991e-09	-10.0	-0.5
75.0	5.7505e-06	1.8297e-09	-10.0	-0.4
75.5	5.3562e-06	1.8596e-09	-10.0	-0.3
76.0	4.9706e-06	2.0364e-09	-10.0	-0.2
76.5	4.5972e-06	1.9232e-09	-10.0	-0.1
77.0	4.2368e-06	1.9486e-09	-10.0	-1.027e-15
77.5	3.886e-06	1.9737e-09	-10.0	0.1
78.0	3.5489e-06	1.9971e-09	-10.0	0.2
78.5	3.2275e-06	2.0182e-09	-10.0	0.3
79.0	2.9195e-06	2.0379e-09	-10.0	0.4
79.5	2.6271e-06	2.056e-09	-10.0	0.5
80.0	2.3521e-06	2.0722e-09	-10.0	0.6
80.5	2.0954e-06	2.0854e-09	-10.0	0.7
81.0	1.8568e-06	2.0962e-09	-10.0	0.8
81.5	1.6379e-06	2.1036e-09	-10.0	0.9
82.0	1.4388e-06	2.1111e-09	-10.0	1.0
82.5	1.259e-06	2.1167e-09	-10.0	1.1
83.0	1.0981e-06	2.1213e-09	-10.0	1.2
83.5	9.553e-07	2.1243e-09	-10.0	1.3
84.0	8.2872e-07	2.1305e-09	-10.0	1.4
84.5	7.1773e-07	2.1253e-09	-10.0	1.5
85.0	6.2077e-07	2.1237e-09	-10.0	1.6
85.5	5.3609e-07	2.1184e-09	-10.0	1.7
86.0	4.6133e-07	2.1103e-09	-10.0	1.8
86.5	3.9526e-07	2.0996e-09	-10.0	1.9
87.0	3.3667e-07	2.0858e-09	-10.0	2.0
87.5	2.8427e-07	2.0712e-09	-10.0	2.1
88.0	2.3873e-07	2.0508e-09	-10.0	2.2
88.5	1.9863e-07	2.0315e-09	-10.0	2.3
89.0	1.6319e-07	2.0125e-09	-10.0	2.4
89.5	1.3231e-07	1.9932e-09	-10.0	2.5
90.0	1.0576e-07	1.9782e-09	-10.0	2.6
90.5	8.3791e-08	1.9613e-09	-10.0	2.7
91.0	6.5719e-08	2.0312e-09	-10.0	2.8
91.5	5.0986e-08	2.2336e-09	-10.0	2.9
92.0	3.9283e-08	1.9153e-09	-10.0	3.0
92.5	3.0117e-08	1.8874e-09	-10.0	3.1
93.0	2.3008e-08	1.8589e-09	-10.0	3.2
93.5	1.7533e-08	1.8286e-09	-10.0	3.3
94.0	1.3256e-08	1.7975e-09	-10.0	3.4
94.5	9.9869e-09	1.767e-09	-10.0	3.5
95.0	7.5409e-09	1.7352e-09	-10.0	3.6
95.5	5.7502e-09	1.7055e-09	-10.0	3.7
96.0	4.4288e-09	1.6763e-09	-10.0	3.8
96.5	3.4573e-09	1.6481e-09	-10.0	3.9
97.0	2.7755e-09	1.6209e-09	-10.0	4.0
97.5	2.2753e-09	1.5932e-09	-10.0	4.1
98.0	1.8981e-09	1.5651e-09	-10.0	4.2
98.5	1.6104e-09	1.5394e-09	-10.0	4.3
99.0	1.3901e-09	1.5136e-09	-10.0	4.4
99.5	1.2122e-09	1.4907e-09	-10.0	4.5
100.0	1.0782e-09	1.4669e-09	-10.0	4.6
100.5	9.777e-10	1.4457e-09	-10.0	4.7
101.0	8.9624e-10	1.4242e-09	-10.0	4.8
101.5	8.37e-10	1.4039e-09	-10.0	4.9
102.0	7.8937e-10	1.385e-09	-10.0	5.0
102.5	7.8353e-10	1.3541e-09	-10.0	5.0
