File Name: 01_10010204_TMTES_PS_39_1_Sample23_device00_trfSat_begin.dat
File Data: 10/01/2024	09:47:14
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	-1.0000E+1	-1.5232E-5	2.0000E+1	1.0118E-3
1.0000E+3	-1.0000E+1	-1.5370E-5	1.9900E+1	1.0118E-3
1.5000E+3	-1.0000E+1	-1.5420E-5	1.9800E+1	1.0118E-3
2.0000E+3	-1.0000E+1	-1.5463E-5	1.9700E+1	1.0118E-3
2.5000E+3	-1.0000E+1	-1.5500E-5	1.9600E+1	1.0118E-3
3.0000E+3	-1.0000E+1	-1.5532E-5	1.9500E+1	1.0118E-3
3.5000E+3	-1.0000E+1	-1.5559E-5	1.9400E+1	1.0118E-3
4.0000E+3	-1.0000E+1	-1.5582E-5	1.9300E+1	1.0118E-3
4.5000E+3	-1.0000E+1	-1.5606E-5	1.9200E+1	1.0118E-3
5.0000E+3	-1.0000E+1	-1.5626E-5	1.9100E+1	1.0118E-3
5.5000E+3	-1.0000E+1	-1.5646E-5	1.9000E+1	1.0118E-3
6.0000E+3	-1.0000E+1	-1.5667E-5	1.8900E+1	1.0118E-3
6.5000E+3	-1.0000E+1	-1.5683E-5	1.8800E+1	1.0118E-3
7.0000E+3	-1.0000E+1	-1.5699E-5	1.8700E+1	1.0118E-3
7.5000E+3	-1.0000E+1	-1.5713E-5	1.8600E+1	1.0118E-3
8.0000E+3	-1.0000E+1	-1.5729E-5	1.8500E+1	1.0118E-3
8.5000E+3	-1.0000E+1	-1.5742E-5	1.8400E+1	1.0117E-3
9.0000E+3	-1.0000E+1	-1.5753E-5	1.8300E+1	1.0118E-3
9.5000E+3	-1.0000E+1	-1.5767E-5	1.8200E+1	1.0118E-3
1.0000E+4	-1.0000E+1	-1.5780E-5	1.8100E+1	1.0118E-3
1.0500E+4	-1.0000E+1	-1.5793E-5	1.8000E+1	1.0117E-3
1.1000E+4	-1.0000E+1	-1.5805E-5	1.7900E+1	1.0117E-3
1.1500E+4	-1.0000E+1	-1.5816E-5	1.7800E+1	1.0117E-3
1.2000E+4	-1.0000E+1	-1.5824E-5	1.7700E+1	1.0118E-3
1.2500E+4	-1.0000E+1	-1.5834E-5	1.7600E+1	1.0118E-3
1.3000E+4	-1.0000E+1	-1.5848E-5	1.7500E+1	1.0117E-3
1.3500E+4	-1.0000E+1	-1.5856E-5	1.7400E+1	1.0117E-3
1.4000E+4	-1.0000E+1	-1.5867E-5	1.7300E+1	1.0117E-3
1.4500E+4	-1.0000E+1	-1.5876E-5	1.7200E+1	1.0117E-3
1.5000E+4	-1.0000E+1	-1.5889E-5	1.7100E+1	1.0117E-3
1.5500E+4	-1.0000E+1	-1.5897E-5	1.7000E+1	1.0118E-3
1.6000E+4	-1.0000E+1	-1.5907E-5	1.6900E+1	1.0117E-3
1.6500E+4	-1.0000E+1	-1.5917E-5	1.6800E+1	1.0117E-3
1.7000E+4	-1.0000E+1	-1.5926E-5	1.6700E+1	1.0117E-3
1.7500E+4	-1.0000E+1	-1.5933E-5	1.6600E+1	1.0117E-3
1.8000E+4	-1.0000E+1	-1.5942E-5	1.6500E+1	1.0117E-3
1.8500E+4	-1.0000E+1	-1.5948E-5	1.6400E+1	1.0117E-3
1.9000E+4	-1.0000E+1	-1.5955E-5	1.6300E+1	1.0117E-3
1.9500E+4	-1.0000E+1	-1.5964E-5	1.6200E+1	1.0117E-3
2.0000E+4	-1.0000E+1	-1.5972E-5	1.6100E+1	1.0117E-3
2.0500E+4	-1.0000E+1	-1.5978E-5	1.6000E+1	1.0117E-3
2.1000E+4	-1.0000E+1	-1.5984E-5	1.5900E+1	1.0117E-3
2.1500E+4	-1.0000E+1	-1.5990E-5	1.5800E+1	1.0117E-3
2.2000E+4	-1.0000E+1	-1.5997E-5	1.5700E+1	1.0117E-3
2.2500E+4	-1.0000E+1	-1.6004E-5	1.5600E+1	1.0117E-3
2.3000E+4	-1.0000E+1	-1.6010E-5	1.5500E+1	1.0117E-3
2.3500E+4	-1.0000E+1	-1.6017E-5	1.5400E+1	1.0117E-3
2.4000E+4	-1.0000E+1	-1.6024E-5	1.5300E+1	1.0117E-3
2.4500E+4	-1.0000E+1	-1.6030E-5	1.5200E+1	1.0117E-3
2.5000E+4	-1.0000E+1	-1.6039E-5	1.5100E+1	1.0116E-3
2.5500E+4	-1.0000E+1	-1.6044E-5	1.5000E+1	1.0117E-3
2.6000E+4	-1.0000E+1	-1.6050E-5	1.4900E+1	1.0117E-3
2.6500E+4	-1.0000E+1	-1.6054E-5	1.4800E+1	1.0117E-3
2.7000E+4	-1.0000E+1	-1.6061E-5	1.4700E+1	1.0117E-3
2.7500E+4	-1.0000E+1	-1.6068E-5	1.4600E+1	1.0117E-3
2.8000E+4	-1.0000E+1	-1.6072E-5	1.4500E+1	1.0117E-3
2.8500E+4	-1.0000E+1	-1.6076E-5	1.4400E+1	1.0117E-3
2.9000E+4	-1.0000E+1	-1.6080E-5	1.4300E+1	1.0117E-3
2.9500E+4	-1.0000E+1	-1.6086E-5	1.4200E+1	1.0117E-3
3.0000E+4	-1.0000E+1	-1.6091E-5	1.4100E+1	1.0116E-3
3.0500E+4	-1.0000E+1	-1.6096E-5	1.4000E+1	1.0117E-3
3.1000E+4	-1.0000E+1	-1.6101E-5	1.3900E+1	1.0117E-3
3.1500E+4	-1.0000E+1	-1.6105E-5	1.3800E+1	1.0117E-3
3.2000E+4	-1.0000E+1	-1.6109E-5	1.3700E+1	1.0117E-3
3.2500E+4	-1.0000E+1	-1.6117E-5	1.3600E+1	1.0118E-3
3.3000E+4	-1.0000E+1	-1.6120E-5	1.3500E+1	1.0117E-3
3.3500E+4	-1.0000E+1	-1.6125E-5	1.3400E+1	1.0118E-3
3.4000E+4	-1.0000E+1	-1.6131E-5	1.3300E+1	1.0118E-3
3.4500E+4	-1.0000E+1	-1.6136E-5	1.3200E+1	1.0118E-3
3.5000E+4	-1.0000E+1	-1.6139E-5	1.3100E+1	1.0117E-3
3.5500E+4	-1.0000E+1	-1.6146E-5	1.3000E+1	1.0117E-3
3.6000E+4	-1.0000E+1	-1.6150E-5	1.2900E+1	1.0117E-3
3.6500E+4	-1.0000E+1	-1.6156E-5	1.2800E+1	1.0117E-3
3.7000E+4	-1.0000E+1	-1.6163E-5	1.2700E+1	1.0117E-3
3.7500E+4	-1.0000E+1	-1.6167E-5	1.2600E+1	1.0117E-3
3.8000E+4	-1.0000E+1	-1.6172E-5	1.2500E+1	1.0117E-3
3.8500E+4	-1.0000E+1	-1.6175E-5	1.2400E+1	1.0117E-3
3.9000E+4	-1.0000E+1	-1.6177E-5	1.2300E+1	1.0117E-3
3.9500E+4	-1.0000E+1	-1.6184E-5	1.2200E+1	1.0117E-3
