Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	1.5232e-05	0.0010118	-10.0	20.0
1.0	1.537e-05	0.0010118	-10.0	19.9
1.5	1.542e-05	0.0010118	-10.0	19.8
2.0	1.5463e-05	0.0010118	-10.0	19.7
2.5	1.55e-05	0.0010118	-10.0	19.6
3.0	1.5532e-05	0.0010118	-10.0	19.5
3.5	1.5559e-05	0.0010118	-10.0	19.4
4.0	1.5582e-05	0.0010118	-10.0	19.3
4.5	1.5606e-05	0.0010118	-10.0	19.2
5.0	1.5626e-05	0.0010118	-10.0	19.1
5.5	1.5646e-05	0.0010118	-10.0	19.0
6.0	1.5667e-05	0.0010118	-10.0	18.9
6.5	1.5683e-05	0.0010118	-10.0	18.8
7.0	1.5699e-05	0.0010118	-10.0	18.7
7.5	1.5713e-05	0.0010118	-10.0	18.6
8.0	1.5729e-05	0.0010118	-10.0	18.5
8.5	1.5742e-05	0.0010117	-10.0	18.4
9.0	1.5753e-05	0.0010118	-10.0	18.3
9.5	1.5767e-05	0.0010118	-10.0	18.2
10.0	1.578e-05	0.0010118	-10.0	18.1
10.5	1.5793e-05	0.0010117	-10.0	18.0
11.0	1.5805e-05	0.0010117	-10.0	17.9
11.5	1.5816e-05	0.0010117	-10.0	17.8
12.0	1.5824e-05	0.0010118	-10.0	17.7
12.5	1.5834e-05	0.0010118	-10.0	17.6
13.0	1.5848e-05	0.0010117	-10.0	17.5
13.5	1.5856e-05	0.0010117	-10.0	17.4
14.0	1.5867e-05	0.0010117	-10.0	17.3
14.5	1.5876e-05	0.0010117	-10.0	17.2
15.0	1.5889e-05	0.0010117	-10.0	17.1
15.5	1.5897e-05	0.0010118	-10.0	17.0
16.0	1.5907e-05	0.0010117	-10.0	16.9
16.5	1.5917e-05	0.0010117	-10.0	16.8
17.0	1.5926e-05	0.0010117	-10.0	16.7
17.5	1.5933e-05	0.0010117	-10.0	16.6
18.0	1.5942e-05	0.0010117	-10.0	16.5
18.5	1.5948e-05	0.0010117	-10.0	16.4
19.0	1.5955e-05	0.0010117	-10.0	16.3
19.5	1.5964e-05	0.0010117	-10.0	16.2
