Time (s)	|IDrain (A)|	|IGate (A)	Vdrain(V)	Vgate(V)
0.0	1.8931e-07	2.0693e-09	-10.0	10.0
1.0	2.0623e-07	1.0946e-09	-10.0	10.0
1.5	2.143e-07	9.7649e-10	-10.0	10.0
2.0	2.2114e-07	9.0898e-10	-10.0	10.0
2.5	2.2721e-07	8.5962e-10	-10.0	10.0
3.0	2.3237e-07	8.3463e-10	-10.0	10.0
3.5	2.3714e-07	8.0616e-10	-10.0	10.0
4.0	2.413e-07	8.0073e-10	-10.0	10.0
4.5	2.4538e-07	7.8906e-10	-10.0	10.0
5.0	2.4917e-07	7.7589e-10	-10.0	10.0
5.5	2.5291e-07	7.5846e-10	-10.0	10.0
6.0	2.5609e-07	7.659e-10	-10.0	10.0
6.5	2.5932e-07	7.576e-10	-10.0	10.0
7.0	2.6249e-07	7.505e-10	-10.0	10.0
7.5	2.6529e-07	7.4413e-10	-10.0	10.0
8.0	2.6797e-07	7.2944e-10	-10.0	10.0
8.5	2.7058e-07	7.3759e-10	-10.0	10.0
9.0	2.732e-07	7.362e-10	-10.0	10.0
9.5	2.7569e-07	7.3003e-10	-10.0	10.0
10.0	2.7798e-07	7.1794e-10	-10.0	10.0
10.5	2.8013e-07	7.1883e-10	-10.0	10.0
11.0	2.8238e-07	7.2586e-10	-10.0	10.0
11.5	2.8449e-07	7.1239e-10	-10.0	10.0
12.0	2.8645e-07	7.2733e-10	-10.0	10.0
12.5	2.8846e-07	7.1669e-10	-10.0	10.0
13.0	2.9038e-07	7.2208e-10	-10.0	10.0
13.5	2.9228e-07	7.0056e-10	-10.0	10.0
14.0	2.9425e-07	7.1023e-10	-10.0	10.0
14.5	2.9612e-07	7.1255e-10	-10.0	10.0
15.0	2.9792e-07	7.1286e-10	-10.0	10.0
15.5	2.9959e-07	6.9241e-10	-10.0	10.0
16.0	3.0138e-07	7.0334e-10	-10.0	10.0
16.5	3.0293e-07	7.0154e-10	-10.0	10.0
17.0	3.0469e-07	7.1822e-10	-10.0	10.0
17.5	3.0601e-07	7.1473e-10	-10.0	10.0
18.0	3.0763e-07	7.1119e-10	-10.0	10.0
18.5	3.0905e-07	7.0706e-10	-10.0	10.0
19.0	3.1055e-07	7.1581e-10	-10.0	10.0
19.5	3.1199e-07	7.0541e-10	-10.0	10.0
20.0	3.1354e-07	6.9599e-10	-10.0	10.0
20.5	3.1504e-07	7.1045e-10	-10.0	10.0
21.0	3.1645e-07	7.0763e-10	-10.0	10.0
21.5	3.1765e-07	6.9118e-10	-10.0	10.0
22.0	3.1918e-07	7.0693e-10	-10.0	10.0
22.5	3.2042e-07	7.0914e-10	-10.0	10.0
23.0	3.2176e-07	7.0415e-10	-10.0	10.0
23.5	3.2299e-07	6.9247e-10	-10.0	10.0
24.0	3.2406e-07	6.9292e-10	-10.0	10.0
24.5	3.2534e-07	6.9237e-10	-10.0	10.0
25.0	3.2649e-07	6.9913e-10	-10.0	10.0
25.5	3.2756e-07	7.1028e-10	-10.0	10.0
26.0	3.2883e-07	6.9373e-10	-10.0	10.0
26.5	3.2987e-07	6.8892e-10	-10.0	10.0
27.0	3.31e-07	6.8655e-10	-10.0	10.0
27.5	3.3199e-07	7.0532e-10	-10.0	10.0
28.0	3.3331e-07	6.9427e-10	-10.0	10.0
28.5	3.3428e-07	6.9296e-10	-10.0	10.0
29.0	3.3546e-07	6.9785e-10	-10.0	10.0
29.5	3.3645e-07	6.9067e-10	-10.0	10.0
30.0	3.3785e-07	6.9886e-10	-10.0	10.0
30.5	3.3879e-07	6.9414e-10	-10.0	10.0
31.0	3.3999e-07	6.8058e-10	-10.0	10.0
31.5	3.4117e-07	6.9996e-10	-10.0	10.0
32.0	3.4215e-07	6.9733e-10	-10.0	10.0
32.5	3.4318e-07	6.8991e-10	-10.0	10.0
33.0	3.4416e-07	6.7522e-10	-10.0	10.0
33.5	3.4515e-07	6.8615e-10	-10.0	10.0
34.0	3.4629e-07	6.9025e-10	-10.0	10.0
34.5	3.4729e-07	6.8994e-10	-10.0	10.0
35.0	3.4836e-07	6.975e-10	-10.0	10.0
35.5	3.4926e-07	6.8228e-10	-10.0	10.0
36.0	3.5018e-07	6.946e-10	-10.0	10.0
36.5	3.5138e-07	6.8781e-10	-10.0	10.0
37.0	3.525e-07	6.8708e-10	-10.0	10.0
37.5	3.5345e-07	6.7485e-10	-10.0	10.0
38.0	3.544e-07	6.7323e-10	-10.0	10.0
38.5	3.5546e-07	6.8922e-10	-10.0	10.0
