#scan;iMeasureCycle=1;iMux=0;time=0.144;N=210;LocalTime=20/12/2023 11:33:05;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
5;6.50E-10;0.305156;0;-2.69E-10;0.305156;;;0;2.6884E-10
5;5.83E-10;0.454094;-0.5;-2.35E-10;0.454094;;;-0.5;2.347E-10
5;5.36E-10;0.602653;-1;-2.09E-10;0.602653;;;-1;2.0863E-10
5;5.08E-10;0.751217;-1.5;-1.93E-10;0.751217;;;-1.5;1.9319E-10
5;4.71E-10;0.941366;-2;-1.73E-10;0.941366;;;-2;1.7289E-10
5;4.77E-10;1.089965;-2.50001;-1.77E-10;1.089965;;;-2.50001;1.7671E-10
5;4.70E-10;1.238598;-3;-1.72E-10;1.238598;;;-3;1.7202E-10
5;4.57E-10;1.393207;-3.50001;-1.65E-10;1.393207;;;-3.50001;1.6508E-10
5;4.59E-10;1.541812;-4.00001;-1.65E-10;1.541812;;;-4.00001;1.653E-10
5;4.57E-10;1.690419;-4.5;-1.64E-10;1.690419;;;-4.5;1.6385E-10
5;4.41E-10;1.856104;-5.00001;-1.57E-10;1.856104;;;-5.00001;1.5675E-10
5;4.52E-10;2.004777;-5.50001;-1.62E-10;2.004777;;;-5.50001;1.6179E-10
5;4.47E-10;2.153416;-6.00001;-1.60E-10;2.153416;;;-6.00001;1.5953E-10
5;4.45E-10;2.302021;-6.5;-1.58E-10;2.302021;;;-6.5;1.5797E-10
5;4.44E-10;2.450902;-7.00001;-1.58E-10;2.450902;;;-7.00001;1.5759E-10
5;4.44E-10;2.599566;-7.5;-1.57E-10;2.599566;;;-7.5;1.5675E-10
5;4.41E-10;2.748162;-8;-1.56E-10;2.748162;;;-8;1.5579E-10
5;4.40E-10;2.896768;-8.50001;-1.56E-10;2.896768;;;-8.50001;1.562E-10
5;4.38E-10;3.045409;-9.00001;-1.55E-10;3.045409;;;-9.00001;1.5484E-10
5;4.39E-10;3.193944;-9.50001;-1.56E-10;3.193944;;;-9.50001;1.5588E-10
5;4.22E-10;3.359666;-10.00001;-1.47E-10;3.359666;;;-10.00001;1.4695E-10
5;4.13E-10;3.480928;-10.00001;-1.42E-10;3.480928;;;-10.00001;1.4248E-10
5;3.87E-10;3.629618;-9.50001;-1.30E-10;3.629618;;;-9.50001;1.2954E-10
5;3.84E-10;3.778231;-9.00001;-1.27E-10;3.778231;;;-9.00001;1.2743E-10
5;3.81E-10;3.926935;-8.50001;-1.23E-10;3.926935;;;-8.50001;1.2347E-10
5;3.83E-10;4.075572;-8;-1.23E-10;4.075572;;;-8;1.2328E-10
5;3.79E-10;4.224115;-7.50001;-1.21E-10;4.224115;;;-7.50001;1.2097E-10
5;3.95E-10;4.397411;-7;-1.28E-10;4.397411;;;-7;1.283E-10
5;3.80E-10;4.546063;-6.50001;-1.21E-10;4.546063;;;-6.50001;1.209E-10
5;3.78E-10;4.694655;-6;-1.20E-10;4.694655;;;-6;1.2009E-10
5;3.93E-10;4.863111;-5.5;-1.26E-10;4.863111;;;-5.5;1.2612E-10
5;3.77E-10;5.011678;-5;-1.18E-10;5.011678;;;-5;1.1818E-10
5;3.77E-10;5.160286;-4.50001;-1.17E-10;5.160286;;;-4.50001;1.1706E-10
5;3.75E-10;5.308857;-4.00001;-1.15E-10;5.308857;;;-4.00001;1.1516E-10
5;3.75E-10;5.457929;-3.50001;-1.15E-10;5.457929;;;-3.50001;1.1457E-10
5;3.74E-10;5.606555;-3;-1.14E-10;5.606555;;;-3;1.1353E-10
5;3.73E-10;5.7554;-2.49999;-1.14E-10;5.7554;;;-2.49999;1.1382E-10
5;3.73E-10;5.903916;-2.00001;-1.13E-10;5.903916;;;-2.00001;1.1273E-10
5;3.71E-10;6.052556;-1.5;-1.12E-10;6.052556;;;-1.5;1.1233E-10
5;3.70E-10;6.201189;-1;-1.11E-10;6.201189;;;-1;1.1116E-10
5;3.82E-10;6.366678;-0.5;-1.16E-10;6.366678;;;-0.5;1.1568E-10
5;3.67E-10;6.5152;0;-1.09E-10;6.5152;;;0;1.0872E-10
2.49999;3.40E-10;6.691231;0;-1.02E-10;6.691231;;;0;1.0154E-10
2.49999;4.15E-10;6.839838;-0.50001;-5.07E-10;6.839838;;;-0.50001;5.0711E-10
2.49999;4.16E-10;6.996417;-1.00001;-5.98E-10;6.996417;;;-1.00001;5.9767E-10
2.49999;4.18E-10;7.145047;-1.5;-6.41E-10;7.145047;;;-1.5;6.4088E-10
2.49999;4.18E-10;7.293733;-2.00001;-6.65E-10;7.293733;;;-2.00001;6.6492E-10
2.49999;4.18E-10;7.442329;-2.50001;-6.78E-10;7.442329;;;-2.50001;6.7808E-10
2.49999;4.18E-10;7.59129;-3;-6.84E-10;7.59129;;;-3;6.8432E-10
2.49999;4.17E-10;7.739846;-3.5;-6.92E-10;7.739846;;;-3.5;6.922E-10
2.49999;4.04E-10;7.905817;-4.00001;-6.91E-10;7.905817;;;-4.00001;6.9058E-10
2.49999;4.19E-10;8.054461;-4.5;-7.00E-10;8.054461;;;-4.5;7.0005E-10
2.49999;4.17E-10;8.203103;-5;-7.04E-10;8.203103;;;-5;7.0419E-10
2.49999;4.02E-10;8.371505;-5.5;-6.97E-10;8.371505;;;-5.5;6.9705E-10
2.49999;4.19E-10;8.520161;-6.00001;-7.07E-10;8.520161;;;-6.00001;7.0658E-10
2.49999;4.17E-10;8.668734;-6.5;-7.07E-10;8.668734;;;-6.5;7.0678E-10
2.49999;4.18E-10;8.817274;-7.00001;-7.02E-10;8.817274;;;-7.00001;7.0178E-10
2.49999;4.17E-10;8.966438;-7.5;-7.01E-10;8.966438;;;-7.5;7.0136E-10
2.49999;4.18E-10;9.114979;-8.00001;-7.02E-10;9.114979;;;-8.00001;7.0171E-10
2.49999;4.17E-10;9.263573;-8.5;-7.05E-10;9.263573;;;-8.5;7.0514E-10
2.49999;4.19E-10;9.412151;-9;-7.08E-10;9.412151;;;-9;7.0766E-10
2.49999;4.19E-10;9.560753;-9.50001;-7.08E-10;9.560753;;;-9.50001;7.0786E-10
2.49999;4.18E-10;9.709324;-10.00001;-7.09E-10;9.709324;;;-10.00001;7.089E-10
2.49999;3.89E-10;9.830512;-10.00001;-6.98E-10;9.830512;;;-10.00001;6.9834E-10
2.49999;3.61E-10;10.003449;-9.5;-6.79E-10;10.003449;;;-9.5;6.7945E-10
