#scan;iMeasureCycle=1;iMux=0;time=0.141;N=202;LocalTime=20/12/2023 11:48:43;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain| (A);|IGate| (A)
4.99999;8.02E-10;0.301063;-0.5;-3.14E-10;0.301063;;;4.99999;3.1401E-10;8.0152E-10
4.9;4.89E-10;0.4226;-0.5;-1.40E-10;0.4226;;;4.9;1.399E-10;4.894E-10
4.8;4.35E-10;0.544051;-0.5;-1.25E-10;0.544051;;;4.8;1.2451E-10;4.3507E-10
4.7;3.91E-10;0.665216;-0.499999;-1.03E-10;0.665216;;;4.7;1.0317E-10;3.9079E-10
4.6;3.62E-10;0.786376;-0.499999;-8.80E-11;0.786376;;;4.6;8.798E-11;3.6161E-10
4.5;3.34E-10;0.907558;-0.5;-6.41E-11;0.907558;;;4.5;6.405E-11;3.3393E-10
4.4;3.07E-10;1.028793;-0.499999;-4.78E-11;1.028793;;;4.4;4.782E-11;3.0674E-10
4.3;2.93E-10;1.14998;-0.499999;-4.46E-11;1.14998;;;4.3;4.458E-11;2.9323E-10
4.2;3.32E-10;1.271179;-0.499999;-8.24E-11;1.271179;;;4.2;8.242E-11;3.3185E-10
4.1;3.28E-10;1.392385;-0.499999;-8.05E-11;1.392385;;;4.1;8.047E-11;3.2793E-10
4;3.24E-10;1.513616;-0.499999;-7.94E-11;1.513616;;;4;7.939E-11;3.2351E-10
3.9;3.22E-10;1.635046;-0.5;-7.46E-11;1.635046;;;3.9;7.46E-11;3.2224E-10
3.8;3.11E-10;1.756219;-0.499999;-6.98E-11;1.756219;;;3.8;6.976E-11;3.1076E-10
3.7;2.96E-10;1.877428;-0.499999;-5.50E-11;1.877428;;;3.7;5.496E-11;2.9585E-10
3.6;2.94E-10;1.998672;-0.499999;-6.52E-11;1.998672;;;3.6;6.519E-11;2.9434E-10
3.5;3.09E-10;2.119854;-0.499999;-7.30E-11;2.119854;;;3.5;7.303E-11;3.0874E-10
3.4;3.07E-10;2.241066;-0.5;-7.41E-11;2.241066;;;3.4;7.406E-11;3.0721E-10
3.3;2.98E-10;2.364208;-0.499999;-5.96E-11;2.364208;;;3.3;5.956E-11;2.9841E-10
3.2;2.59E-10;2.485644;-0.499999;-4.16E-11;2.485644;;;3.2;4.157E-11;2.5876E-10
3.1;2.48E-10;2.606834;-0.499999;-4.50E-11;2.606834;;;3.1;4.501E-11;2.483E-10
3;2.37E-10;2.728015;-0.499999;-6.34E-11;2.728015;;;3;6.338E-11;2.3703E-10
2.9;2.55E-10;2.852839;-0.5;-1.16E-10;2.852839;;;2.9;1.162E-10;2.5535E-10
2.8;2.27E-10;2.974109;-0.499999;-1.54E-10;2.974109;;;2.8;1.5419E-10;2.2686E-10
2.7;2.27E-10;3.095301;-0.499999;-2.12E-10;3.095301;;;2.7;2.118E-10;2.2748E-10
2.6;2.33E-10;3.216523;-0.499999;-2.85E-10;3.216523;;;2.6;2.8461E-10;2.326E-10
2.5;3.42E-10;3.354832;-0.499999;-4.39E-10;3.354832;;;2.5;4.3933E-10;3.4152E-10
